Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BOBR4,02/01/2019,2.62,2.74,2.62,2.74,BOMBRIL
BOBR4,03/01/2019,2.74,2.90,2.74,2.82,BOMBRIL
BOBR4,04/01/2019,2.82,2.87,2.73,2.79,BOMBRIL
BOBR4,07/01/2019,2.80,2.89,2.80,2.86,BOMBRIL
BOBR4,08/01/2019,2.88,2.88,2.78,2.82,BOMBRIL
BOBR4,09/01/2019,2.85,2.89,2.77,2.89,BOMBRIL
BOBR4,10/01/2019,2.93,2.98,2.91,2.96,BOMBRIL
BOBR4,11/01/2019,2.96,2.96,2.84,2.85,BOMBRIL
BOBR4,14/01/2019,2.88,2.91,2.86,2.91,BOMBRIL
BOBR4,15/01/2019,2.91,2.91,2.77,2.77,BOMBRIL
BOBR4,16/01/2019,2.81,2.84,2.77,2.79,BOMBRIL
BOBR4,17/01/2019,2.81,2.84,2.78,2.84,BOMBRIL
BOBR4,18/01/2019,2.82,2.82,2.70,2.70,BOMBRIL
BOBR4,21/01/2019,2.70,2.81,2.70,2.80,BOMBRIL
BOBR4,22/01/2019,2.83,2.83,2.76,2.80,BOMBRIL
BOBR4,23/01/2019,2.80,2.80,2.75,2.79,BOMBRIL
BOBR4,24/01/2019,2.79,2.84,2.76,2.80,BOMBRIL
BOBR4,28/01/2019,2.80,2.80,2.75,2.75,BOMBRIL
BOBR4,29/01/2019,2.80,2.83,2.76,2.76,BOMBRIL
BOBR4,30/01/2019,2.82,2.82,2.75,2.81,BOMBRIL
BOBR4,31/01/2019,2.80,2.82,2.71,2.72,BOMBRIL
BOBR4,01/02/2019,2.77,2.77,2.71,2.72,BOMBRIL
BOBR4,04/02/2019,2.72,2.75,2.72,2.75,BOMBRIL
BOBR4,05/02/2019,2.74,2.75,2.72,2.75,BOMBRIL
BOBR4,06/02/2019,2.76,2.76,2.67,2.69,BOMBRIL
BOBR4,07/02/2019,2.69,2.75,2.69,2.71,BOMBRIL
BOBR4,08/02/2019,2.74,2.79,2.72,2.72,BOMBRIL
BOBR4,11/02/2019,2.75,2.75,2.62,2.63,BOMBRIL
BOBR4,12/02/2019,2.65,2.72,2.64,2.64,BOMBRIL
BOBR4,13/02/2019,2.65,2.67,2.64,2.67,BOMBRIL
BOBR4,14/02/2019,2.65,2.70,2.65,2.70,BOMBRIL
BOBR4,15/02/2019,2.71,2.71,2.58,2.67,BOMBRIL
BOBR4,18/02/2019,2.65,2.68,2.59,2.60,BOMBRIL
BOBR4,19/02/2019,2.60,2.62,2.59,2.60,BOMBRIL
BOBR4,20/02/2019,2.64,2.64,2.61,2.63,BOMBRIL
BOBR4,21/02/2019,2.59,2.67,2.59,2.60,BOMBRIL
BOBR4,22/02/2019,2.60,2.64,2.59,2.61,BOMBRIL
BOBR4,25/02/2019,2.68,2.68,2.61,2.63,BOMBRIL
BOBR4,26/02/2019,2.63,2.65,2.60,2.65,BOMBRIL
BOBR4,27/02/2019,2.65,2.78,2.65,2.77,BOMBRIL
BOBR4,28/02/2019,2.78,2.78,2.60,2.67,BOMBRIL
BOBR4,01/03/2019,2.66,2.72,2.64,2.69,BOMBRIL
