Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BPAC11,02/01/2019,23.65,24.93,23.65,24.90,BTGP BANCO
BPAC11,03/01/2019,24.64,25.99,24.46,25.93,BTGP BANCO
BPAC11,04/01/2019,26.15,26.87,25.84,26.85,BTGP BANCO
BPAC11,07/01/2019,27.00,27.80,26.86,27.40,BTGP BANCO
BPAC11,08/01/2019,26.67,26.92,25.56,26.21,BTGP BANCO
BPAC11,09/01/2019,26.48,26.48,25.73,26.25,BTGP BANCO
BPAC11,10/01/2019,26.23,26.37,25.92,25.93,BTGP BANCO
BPAC11,11/01/2019,25.93,26.14,25.59,25.90,BTGP BANCO
BPAC11,14/01/2019,25.90,26.04,25.63,25.64,BTGP BANCO
BPAC11,15/01/2019,25.55,25.75,25.34,25.60,BTGP BANCO
BPAC11,16/01/2019,25.27,26.18,25.27,26.00,BTGP BANCO
BPAC11,17/01/2019,26.17,26.95,26.02,26.70,BTGP BANCO
BPAC11,18/01/2019,26.77,28.30,26.64,27.89,BTGP BANCO
BPAC11,21/01/2019,27.89,27.89,27.40,27.60,BTGP BANCO
BPAC11,22/01/2019,27.60,27.94,27.31,27.40,BTGP BANCO
BPAC11,23/01/2019,27.45,28.46,27.39,28.00,BTGP BANCO
BPAC11,24/01/2019,28.80,29.58,28.23,29.50,BTGP BANCO
BPAC11,28/01/2019,28.71,29.62,28.71,29.30,BTGP BANCO
BPAC11,29/01/2019,29.58,29.58,28.61,29.00,BTGP BANCO
BPAC11,30/01/2019,29.08,29.66,28.83,29.28,BTGP BANCO
BPAC11,31/01/2019,29.30,30.07,29.25,29.59,BTGP BANCO
BPAC11,01/02/2019,29.62,30.20,29.31,29.68,BTGP BANCO
BPAC11,04/02/2019,29.68,30.62,29.30,30.57,BTGP BANCO
BPAC11,05/02/2019,30.56,30.58,29.84,30.10,BTGP BANCO
BPAC11,06/02/2019,30.08,30.08,29.21,29.43,BTGP BANCO
BPAC11,07/02/2019,29.96,30.60,29.41,30.60,BTGP BANCO
BPAC11,08/02/2019,31.46,32.81,31.06,32.00,BTGP BANCO
BPAC11,11/02/2019,32.30,32.30,31.82,32.05,BTGP BANCO
BPAC11,12/02/2019,32.12,33.32,32.08,33.05,BTGP BANCO
BPAC11,13/02/2019,33.40,34.44,33.29,34.00,BTGP BANCO
BPAC11,14/02/2019,34.51,34.73,33.74,34.20,BTGP BANCO
BPAC11,15/02/2019,34.49,34.49,33.98,34.00,BTGP BANCO
BPAC11,18/02/2019,34.05,35.63,33.93,34.30,BTGP BANCO
BPAC11,19/02/2019,34.50,34.50,33.35,33.65,BTGP BANCO
BPAC11,20/02/2019,33.75,33.75,32.53,32.65,BTGP BANCO
BPAC11,21/02/2019,32.82,33.19,31.92,32.75,BTGP BANCO
BPAC11,22/02/2019,33.00,33.35,32.04,32.75,BTGP BANCO
BPAC11,25/02/2019,33.11,33.15,31.98,32.63,BTGP BANCO
BPAC11,26/02/2019,32.65,32.82,32.12,32.60,BTGP BANCO
BPAC11,27/02/2019,32.73,34.93,32.40,34.25,BTGP BANCO
BPAC11,28/02/2019,34.24,34.25,33.45,34.15,BTGP BANCO
BPAC11,01/03/2019,34.24,34.24,33.43,34.00,BTGP BANCO
BPAC11,06/03/2019,34.01,34.07,32.80,33.60,BTGP BANCO
BPAC11,07/03/2019,33.66,33.70,32.56,32.59,BTGP BANCO
BPAC11,08/03/2019,32.50,32.86,32.04,32.70,BTGP BANCO
BPAC11,11/03/2019,32.80,33.89,32.10,33.80,BTGP BANCO
BPAC11,12/03/2019,33.95,33.95,33.23,33.47,BTGP BANCO
BPAC11,13/03/2019,33.50,34.25,33.11,34.25,BTGP BANCO
BPAC11,14/03/2019,34.24,34.25,33.89,34.08,BTGP BANCO
BPAC11,15/03/2019,34.25,35.47,33.98,35.47,BTGP BANCO
BPAC11,18/03/2019,35.50,36.20,35.07,36.20,BTGP BANCO
BPAC11,19/03/2019,36.18,36.62,35.80,36.30,BTGP BANCO
BPAC11,20/03/2019,36.30,36.35,35.87,36.15,BTGP BANCO
BPAC11,21/03/2019,36.19,36.19,34.49,35.50,BTGP BANCO
BPAC11,22/03/2019,35.48,35.48,34.72,34.95,BTGP BANCO
BPAC11,25/03/2019,35.98,36.16,34.26,35.08,BTGP BANCO
BPAC11,26/03/2019,35.37,36.25,35.17,36.25,BTGP BANCO
BPAC11,27/03/2019,36.17,36.17,33.62,33.80,BTGP BANCO
BPAC11,28/03/2019,33.85,34.80,33.16,34.53,BTGP BANCO
BPAC11,29/03/2019,35.00,36.20,34.63,36.20,BTGP BANCO
BPAC11,01/04/2019,36.25,36.40,36.05,36.25,BTGP BANCO
BPAC11,02/04/2019,36.39,36.39,35.79,36.25,BTGP BANCO
BPAC11,03/04/2019,36.35,37.64,36.25,36.68,BTGP BANCO
BPAC11,04/04/2019,36.68,39.50,36.63,38.50,BTGP BANCO
BPAC11,05/04/2019,38.59,38.59,37.71,37.95,BTGP BANCO
BPAC11,08/04/2019,38.00,38.02,37.38,37.99,BTGP BANCO
BPAC11,09/04/2019,37.99,38.15,36.92,37.45,BTGP BANCO
BPAC11,10/04/2019,37.80,38.00,37.66,38.00,BTGP BANCO
BPAC11,11/04/2019,38.00,38.00,37.14,37.30,BTGP BANCO
BPAC11,12/04/2019,37.25,37.70,36.44,37.39,BTGP BANCO
BPAC11,15/04/2019,37.50,38.00,37.50,37.69,BTGP BANCO
BPAC11,16/04/2019,37.69,37.94,37.15,37.70,BTGP BANCO
BPAC11,17/04/2019,37.59,37.96,37.00,37.96,BTGP BANCO
BPAC11,18/04/2019,37.99,38.15,37.70,37.96,BTGP BANCO
BPAC11,22/04/2019,37.99,38.00,37.50,38.00,BTGP BANCO
BPAC11,23/04/2019,38.00,39.46,37.93,39.45,BTGP BANCO
