Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BPAN4,02/01/2019,1.95,2.05,1.93,2.00,BANCO PAN
BPAN4,03/01/2019,2.00,2.04,1.92,1.94,BANCO PAN
BPAN4,04/01/2019,1.93,1.98,1.93,1.97,BANCO PAN
BPAN4,07/01/2019,1.98,2.00,1.95,1.95,BANCO PAN
BPAN4,08/01/2019,1.95,1.97,1.93,1.95,BANCO PAN
BPAN4,09/01/2019,1.95,1.98,1.95,1.96,BANCO PAN
BPAN4,10/01/2019,1.98,2.04,1.96,2.04,BANCO PAN
BPAN4,11/01/2019,2.04,2.09,1.98,2.05,BANCO PAN
BPAN4,14/01/2019,2.05,2.08,2.01,2.03,BANCO PAN
BPAN4,15/01/2019,2.01,2.04,2.01,2.02,BANCO PAN
BPAN4,16/01/2019,2.03,2.04,1.97,1.97,BANCO PAN
BPAN4,17/01/2019,2.00,2.04,1.95,2.00,BANCO PAN
BPAN4,18/01/2019,2.00,2.03,1.99,2.03,BANCO PAN
BPAN4,21/01/2019,2.05,2.24,2.03,2.15,BANCO PAN
BPAN4,22/01/2019,2.20,2.28,2.17,2.19,BANCO PAN
BPAN4,23/01/2019,2.20,2.28,2.18,2.18,BANCO PAN
BPAN4,24/01/2019,2.22,2.24,2.11,2.17,BANCO PAN
BPAN4,28/01/2019,2.15,2.16,2.08,2.13,BANCO PAN
BPAN4,29/01/2019,2.13,2.17,2.12,2.15,BANCO PAN
BPAN4,30/01/2019,2.15,2.24,2.15,2.17,BANCO PAN
BPAN4,31/01/2019,2.17,2.23,2.17,2.18,BANCO PAN
BPAN4,01/02/2019,2.20,2.20,2.16,2.18,BANCO PAN
BPAN4,04/02/2019,2.20,2.27,2.20,2.27,BANCO PAN
BPAN4,05/02/2019,2.27,2.29,2.22,2.27,BANCO PAN
BPAN4,06/02/2019,2.29,2.35,2.29,2.34,BANCO PAN
BPAN4,07/02/2019,2.35,2.53,2.30,2.53,BANCO PAN
BPAN4,08/02/2019,2.49,2.94,2.46,2.84,BANCO PAN
BPAN4,11/02/2019,2.89,3.00,2.84,2.91,BANCO PAN
BPAN4,12/02/2019,2.98,3.09,2.91,3.06,BANCO PAN
BPAN4,13/02/2019,3.10,3.67,3.09,3.48,BANCO PAN
BPAN4,14/02/2019,3.51,3.90,3.48,3.85,BANCO PAN
