Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BRAP3,02/01/2019,27.84,28.60,27.50,28.60,BRADESPAR
BRAP3,03/01/2019,28.00,28.04,26.80,27.46,BRADESPAR
BRAP3,04/01/2019,27.99,28.95,27.89,28.95,BRADESPAR
BRAP3,07/01/2019,28.95,29.61,28.95,29.20,BRADESPAR
BRAP3,08/01/2019,29.20,29.31,29.02,29.28,BRADESPAR
BRAP3,09/01/2019,29.30,29.90,29.10,29.69,BRADESPAR
BRAP3,10/01/2019,29.66,29.97,29.38,29.97,BRADESPAR
BRAP3,11/01/2019,29.90,30.00,29.55,29.88,BRADESPAR
BRAP3,14/01/2019,29.60,29.85,29.13,29.85,BRADESPAR
BRAP3,15/01/2019,29.98,30.12,29.28,29.28,BRADESPAR
BRAP3,16/01/2019,29.50,29.88,29.45,29.68,BRADESPAR
BRAP3,17/01/2019,29.68,31.00,29.41,30.87,BRADESPAR
BRAP3,18/01/2019,30.88,31.45,30.61,31.27,BRADESPAR
BRAP3,21/01/2019,31.34,31.34,30.73,31.00,BRADESPAR
BRAP3,22/01/2019,31.00,31.12,30.45,30.61,BRADESPAR
BRAP3,23/01/2019,30.99,31.87,30.73,31.70,BRADESPAR
BRAP3,24/01/2019,31.60,32.34,31.21,32.20,BRADESPAR
BRAP3,28/01/2019,25.99,26.39,24.10,24.10,BRADESPAR
BRAP3,29/01/2019,24.30,25.01,24.01,24.25,BRADESPAR
BRAP3,30/01/2019,25.59,26.00,25.20,25.90,BRADESPAR
BRAP3,31/01/2019,26.10,26.77,25.26,25.50,BRADESPAR
BRAP3,01/02/2019,25.60,26.00,25.54,25.80,BRADESPAR
BRAP3,04/02/2019,25.90,25.90,24.90,25.02,BRADESPAR
BRAP3,05/02/2019,25.09,25.59,24.60,24.85,BRADESPAR
BRAP3,06/02/2019,24.84,24.89,23.46,23.46,BRADESPAR
BRAP3,07/02/2019,23.58,23.99,22.90,22.91,BRADESPAR
BRAP3,08/02/2019,22.98,23.89,22.26,23.89,BRADESPAR
BRAP3,11/02/2019,24.31,24.48,22.95,22.95,BRADESPAR
BRAP3,12/02/2019,23.52,23.80,22.64,23.80,BRADESPAR
BRAP3,13/02/2019,23.76,24.57,23.76,24.12,BRADESPAR
BRAP3,14/02/2019,24.31,24.33,23.80,24.30,BRADESPAR
BRAP3,15/02/2019,24.29,24.68,24.23,24.50,BRADESPAR
BRAP3,18/02/2019,24.50,24.60,24.25,24.40,BRADESPAR
BRAP3,19/02/2019,24.58,24.58,24.25,24.38,BRADESPAR
BRAP3,20/02/2019,24.30,24.46,23.97,24.28,BRADESPAR
BRAP3,21/02/2019,24.40,24.40,23.77,24.28,BRADESPAR
BRAP3,22/02/2019,24.40,24.90,24.31,24.80,BRADESPAR
BRAP3,25/02/2019,24.94,25.13,24.71,24.71,BRADESPAR
BRAP3,26/02/2019,24.60,25.50,24.60,25.30,BRADESPAR
BRAP3,27/02/2019,25.30,25.30,24.99,25.15,BRADESPAR
BRAP3,28/02/2019,25.15,25.18,24.71,25.08,BRADESPAR
BRAP3,01/03/2019,25.08,25.08,24.30,24.89,BRADESPAR
BRAP3,06/03/2019,24.89,25.39,24.89,25.15,BRADESPAR
BRAP3,07/03/2019,25.10,25.86,25.09,25.70,BRADESPAR
BRAP3,08/03/2019,25.50,25.79,25.25,25.70,BRADESPAR
BRAP3,11/03/2019,25.70,26.27,25.70,26.27,BRADESPAR
BRAP3,12/03/2019,26.27,26.49,26.04,26.48,BRADESPAR
BRAP3,13/03/2019,26.44,27.04,26.44,26.98,BRADESPAR
BRAP3,14/03/2019,26.98,27.05,26.40,27.00,BRADESPAR
BRAP3,15/03/2019,27.00,27.25,26.92,27.25,BRADESPAR
BRAP3,18/03/2019,27.07,27.10,26.50,27.10,BRADESPAR
BRAP3,19/03/2019,27.05,28.20,26.90,27.80,BRADESPAR
BRAP3,20/03/2019,27.51,27.76,27.09,27.55,BRADESPAR
BRAP3,21/03/2019,27.53,27.65,27.19,27.65,BRADESPAR
BRAP3,22/03/2019,27.22,27.57,26.48,26.65,BRADESPAR
BRAP3,25/03/2019,26.49,26.49,26.00,26.10,BRADESPAR
BRAP3,26/03/2019,26.39,26.98,26.39,26.76,BRADESPAR
BRAP3,27/03/2019,26.59,26.98,25.61,26.50,BRADESPAR
BRAP3,28/03/2019,26.49,26.65,25.95,26.36,BRADESPAR
BRAP3,29/03/2019,26.75,27.45,26.74,27.14,BRADESPAR
BRAP3,01/04/2019,27.34,28.55,27.34,28.35,BRADESPAR
BRAP3,02/04/2019,28.35,28.77,27.84,28.30,BRADESPAR
BRAP3,03/04/2019,28.37,28.55,28.08,28.26,BRADESPAR
BRAP3,04/04/2019,28.24,28.55,28.24,28.55,BRADESPAR
BRAP3,05/04/2019,28.25,28.91,28.01,28.01,BRADESPAR
BRAP3,08/04/2019,28.15,28.97,28.15,28.90,BRADESPAR
BRAP3,09/04/2019,28.91,29.00,28.31,28.31,BRADESPAR
BRAP3,10/04/2019,28.61,28.99,28.17,28.44,BRADESPAR
BRAP3,11/04/2019,28.37,28.37,27.96,28.31,BRADESPAR
BRAP3,12/04/2019,27.83,28.98,27.81,28.37,BRADESPAR
BRAP3,15/04/2019,27.93,28.18,27.70,28.15,BRADESPAR
BRAP3,16/04/2019,28.00,29.40,27.82,28.91,BRADESPAR
BRAP3,17/04/2019,28.85,29.24,28.11,28.67,BRADESPAR
BRAP3,18/04/2019,28.81,28.83,28.64,28.80,BRADESPAR
BRAP3,22/04/2019,28.01,28.44,27.78,28.44,BRADESPAR
BRAP3,23/04/2019,28.38,28.70,28.23,28.70,BRADESPAR
BRAP3,24/04/2019,28.25,28.33,27.69,27.99,BRADESPAR
BRAP3,25/04/2019,27.75,28.10,27.47,27.89,BRADESPAR
BRAP3,26/04/2019,27.66,27.89,27.02,27.89,BRADESPAR
BRAP3,29/04/2019,28.00,28.05,27.80,28.05,BRADESPAR
BRAP3,30/04/2019,27.98,28.12,27.65,28.12,BRADESPAR
BRAP3,02/05/2019,27.18,27.32,26.51,26.74,BRADESPAR
BRAP3,03/05/2019,27.00,27.67,26.94,27.51,BRADESPAR
BRAP3,06/05/2019,27.48,27.48,26.75,26.79,BRADESPAR
BRAP3,07/05/2019,26.60,27.09,26.30,27.09,BRADESPAR
BRAP3,08/05/2019,27.16,27.45,26.91,27.37,BRADESPAR
BRAP3,09/05/2019,26.91,26.92,26.50,26.55,BRADESPAR
BRAP3,10/05/2019,26.58,27.25,26.58,27.20,BRADESPAR
BRAP3,13/05/2019,26.78,26.79,26.04,26.22,BRADESPAR
BRAP3,14/05/2019,26.09,26.25,25.97,26.14,BRADESPAR
BRAP3,15/05/2019,25.92,26.49,25.83,26.24,BRADESPAR
BRAP3,16/05/2019,26.31,26.49,25.25,26.00,BRADESPAR
BRAP3,17/05/2019,25.88,26.00,25.40,25.97,BRADESPAR
BRAP3,20/05/2019,25.67,25.84,25.52,25.78,BRADESPAR
BRAP3,21/05/2019,25.50,26.25,25.50,25.85,BRADESPAR
BRAP3,22/05/2019,26.10,26.75,26.02,26.27,BRADESPAR
BRAP3,23/05/2019,26.07,26.30,25.72,26.10,BRADESPAR
BRAP3,24/05/2019,26.60,26.95,26.37,26.69,BRADESPAR
BRAP3,27/05/2019,26.70,27.30,26.70,27.18,BRADESPAR
BRAP3,28/05/2019,27.37,27.43,27.04,27.35,BRADESPAR
BRAP3,29/05/2019,27.00,27.37,26.82,27.13,BRADESPAR
BRAP3,30/05/2019,27.20,27.25,26.80,27.11,BRADESPAR
BRAP3,31/05/2019,26.66,27.29,26.66,27.05,BRADESPAR
BRAP3,03/06/2019,27.05,27.19,26.80,27.00,BRADESPAR
BRAP3,04/06/2019,27.38,27.38,26.76,26.99,BRADESPAR
BRAP3,05/06/2019,26.80,26.81,26.20,26.70,BRADESPAR
BRAP3,06/06/2019,26.68,27.03,26.55,26.90,BRADESPAR
BRAP3,07/06/2019,27.13,27.15,26.99,27.15,BRADESPAR
BRAP3,10/06/2019,27.15,27.28,26.97,27.28,BRADESPAR
BRAP3,11/06/2019,27.35,28.69,27.35,28.56,BRADESPAR
BRAP3,12/06/2019,28.27,28.39,28.12,28.15,BRADESPAR
BRAP3,13/06/2019,28.60,28.65,28.39,28.50,BRADESPAR
BRAP3,14/06/2019,28.45,28.57,28.21,28.56,BRADESPAR
BRAP3,17/06/2019,28.00,28.21,27.66,27.90,BRADESPAR
BRAP3,18/06/2019,27.90,28.75,27.89,28.75,BRADESPAR
BRAP3,19/06/2019,28.75,29.29,28.75,29.00,BRADESPAR
BRAP3,21/06/2019,29.25,29.25,29.02,29.03,BRADESPAR
BRAP3,24/06/2019,29.00,29.13,28.81,29.00,BRADESPAR
BRAP3,25/06/2019,28.73,28.91,28.32,28.60,BRADESPAR
BRAP3,26/06/2019,28.91,28.91,28.48,28.63,BRADESPAR
BRAP3,27/06/2019,28.78,28.86,28.55,28.71,BRADESPAR
BRAP3,28/06/2019,29.19,29.29,28.57,28.80,BRADESPAR
BRAP3,01/07/2019,29.30,29.58,29.10,29.47,BRADESPAR
BRAP3,02/07/2019,29.48,29.48,28.05,28.80,BRADESPAR
BRAP3,03/07/2019,28.95,28.95,28.39,28.73,BRADESPAR
BRAP3,04/07/2019,28.80,29.12,28.42,28.85,BRADESPAR
BRAP3,05/07/2019,28.43,28.43,27.78,28.03,BRADESPAR
BRAP3,08/07/2019,28.03,28.50,27.98,28.19,BRADESPAR
BRAP3,10/07/2019,28.50,30.29,28.50,30.29,BRADESPAR
BRAP3,11/07/2019,29.80,29.80,28.94,29.20,BRADESPAR
BRAP3,12/07/2019,29.65,29.65,29.11,29.26,BRADESPAR
BRAP3,15/07/2019,29.50,29.77,29.50,29.72,BRADESPAR
BRAP3,16/07/2019,29.94,30.25,29.91,30.17,BRADESPAR
