Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BRKM5,02/01/2019,47.38,48.59,46.87,48.31,BRASKEM
BRKM5,03/01/2019,48.33,48.74,47.60,48.60,BRASKEM
BRKM5,04/01/2019,48.25,48.25,46.87,48.06,BRASKEM
BRKM5,07/01/2019,48.49,48.50,47.27,47.72,BRASKEM
BRKM5,08/01/2019,47.83,48.10,47.34,47.69,BRASKEM
BRKM5,09/01/2019,47.67,48.85,47.67,48.01,BRASKEM
BRKM5,10/01/2019,48.42,48.72,46.76,47.51,BRASKEM
BRKM5,11/01/2019,47.52,48.49,47.31,48.18,BRASKEM
BRKM5,14/01/2019,48.40,48.63,48.06,48.28,BRASKEM
BRKM5,15/01/2019,48.30,48.99,48.09,48.33,BRASKEM
BRKM5,16/01/2019,48.36,48.74,47.85,48.20,BRASKEM
BRKM5,17/01/2019,48.20,48.56,47.23,47.37,BRASKEM
BRKM5,18/01/2019,47.37,47.60,46.13,46.29,BRASKEM
BRKM5,21/01/2019,46.40,47.23,45.63,46.92,BRASKEM
BRKM5,22/01/2019,48.40,50.37,48.10,48.35,BRASKEM
BRKM5,23/01/2019,48.72,49.70,48.59,48.67,BRASKEM
BRKM5,24/01/2019,48.70,49.62,48.62,49.45,BRASKEM
BRKM5,28/01/2019,49.40,50.36,48.75,50.36,BRASKEM
BRKM5,29/01/2019,51.01,51.25,49.71,50.31,BRASKEM
BRKM5,30/01/2019,51.10,53.18,51.10,51.78,BRASKEM
BRKM5,31/01/2019,51.79,52.95,51.45,52.26,BRASKEM
BRKM5,01/02/2019,52.52,53.12,51.85,52.30,BRASKEM
BRKM5,04/02/2019,52.30,52.98,51.90,52.80,BRASKEM
BRKM5,05/02/2019,52.51,53.88,52.50,53.79,BRASKEM
BRKM5,06/02/2019,53.63,54.59,53.08,53.12,BRASKEM
BRKM5,07/02/2019,53.12,53.68,51.88,52.30,BRASKEM
BRKM5,08/02/2019,51.83,53.12,51.71,52.08,BRASKEM
BRKM5,11/02/2019,53.14,53.98,52.36,53.97,BRASKEM
BRKM5,12/02/2019,54.58,54.94,53.07,54.94,BRASKEM
BRKM5,13/02/2019,54.89,55.43,54.07,55.38,BRASKEM
BRKM5,14/02/2019,55.16,55.75,54.91,55.73,BRASKEM
BRKM5,15/02/2019,55.14,56.00,55.10,55.58,BRASKEM
BRKM5,18/02/2019,55.15,55.84,54.87,54.87,BRASKEM
BRKM5,19/02/2019,55.04,55.94,55.04,55.86,BRASKEM
BRKM5,20/02/2019,55.95,56.50,55.29,55.36,BRASKEM
BRKM5,21/02/2019,55.36,56.20,54.46,55.00,BRASKEM
BRKM5,22/02/2019,55.01,55.95,55.01,55.95,BRASKEM
BRKM5,25/02/2019,55.95,56.44,55.30,55.94,BRASKEM
BRKM5,26/02/2019,55.67,57.20,55.67,56.03,BRASKEM
BRKM5,27/02/2019,55.86,55.86,54.06,55.22,BRASKEM
BRKM5,28/02/2019,54.92,55.32,53.58,54.40,BRASKEM
BRKM5,01/03/2019,54.40,55.20,54.19,55.05,BRASKEM
BRKM5,06/03/2019,55.10,55.26,54.50,54.65,BRASKEM
BRKM5,07/03/2019,54.67,55.12,53.68,54.50,BRASKEM
BRKM5,08/03/2019,54.38,55.38,53.82,54.98,BRASKEM
BRKM5,11/03/2019,55.40,55.76,54.76,55.29,BRASKEM
BRKM5,12/03/2019,55.32,55.37,54.16,54.45,BRASKEM
BRKM5,13/03/2019,54.30,55.17,54.17,54.67,BRASKEM
BRKM5,14/03/2019,53.00,56.06,52.65,55.35,BRASKEM
BRKM5,15/03/2019,55.15,55.78,54.61,54.61,BRASKEM
BRKM5,18/03/2019,54.80,55.26,54.43,54.66,BRASKEM
BRKM5,19/03/2019,54.75,55.06,53.75,53.75,BRASKEM
BRKM5,20/03/2019,53.75,54.40,53.07,53.07,BRASKEM
BRKM5,21/03/2019,53.02,53.42,51.30,52.19,BRASKEM
BRKM5,22/03/2019,51.79,52.63,51.03,51.89,BRASKEM
BRKM5,25/03/2019,52.00,52.05,51.06,51.20,BRASKEM
BRKM5,26/03/2019,51.60,51.71,51.00,51.58,BRASKEM
BRKM5,27/03/2019,51.00,51.36,49.93,49.93,BRASKEM
BRKM5,28/03/2019,49.93,52.17,49.39,51.40,BRASKEM
BRKM5,29/03/2019,51.54,51.97,50.31,50.90,BRASKEM
BRKM5,01/04/2019,50.90,52.40,50.90,51.73,BRASKEM
BRKM5,02/04/2019,52.17,52.17,49.62,49.70,BRASKEM
BRKM5,03/04/2019,49.38,49.60,48.25,48.70,BRASKEM
BRKM5,04/04/2019,48.70,49.24,48.11,48.85,BRASKEM
BRKM5,05/04/2019,49.31,50.18,48.12,48.73,BRASKEM
BRKM5,08/04/2019,49.01,49.44,48.07,48.54,BRASKEM
BRKM5,09/04/2019,48.26,48.47,47.28,47.71,BRASKEM
BRKM5,10/04/2019,47.97,48.37,47.62,47.62,BRASKEM
BRKM5,11/04/2019,47.83,49.87,47.80,49.26,BRASKEM
BRKM5,12/04/2019,49.00,49.56,48.27,49.08,BRASKEM
BRKM5,15/04/2019,49.07,49.55,48.20,48.74,BRASKEM
BRKM5,16/04/2019,48.20,48.79,47.35,48.66,BRASKEM
BRKM5,17/04/2019,48.30,49.50,47.50,48.87,BRASKEM
BRKM5,18/04/2019,49.24,49.24,48.11,48.32,BRASKEM
BRKM5,22/04/2019,48.31,49.58,48.03,48.72,BRASKEM
