Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BRPR3,02/01/2019,8.13,8.32,8.08,8.20,BR PROPERT
BRPR3,03/01/2019,8.28,8.42,8.13,8.20,BR PROPERT
BRPR3,04/01/2019,8.22,8.26,8.08,8.20,BR PROPERT
BRPR3,07/01/2019,8.22,8.25,8.08,8.18,BR PROPERT
BRPR3,08/01/2019,8.22,8.24,8.01,8.09,BR PROPERT
BRPR3,09/01/2019,8.15,8.27,7.97,8.22,BR PROPERT
BRPR3,10/01/2019,8.24,8.53,8.23,8.39,BR PROPERT
BRPR3,11/01/2019,8.34,8.36,8.14,8.35,BR PROPERT
BRPR3,14/01/2019,8.41,8.70,8.36,8.61,BR PROPERT
BRPR3,15/01/2019,8.61,8.73,8.45,8.50,BR PROPERT
BRPR3,16/01/2019,8.50,8.66,8.38,8.45,BR PROPERT
BRPR3,17/01/2019,8.50,8.94,8.31,8.72,BR PROPERT
BRPR3,18/01/2019,8.80,8.84,8.61,8.63,BR PROPERT
BRPR3,21/01/2019,8.65,8.82,8.57,8.82,BR PROPERT
BRPR3,22/01/2019,8.80,8.89,8.60,8.69,BR PROPERT
BRPR3,23/01/2019,8.77,8.77,8.55,8.60,BR PROPERT
BRPR3,24/01/2019,8.66,8.68,8.51,8.60,BR PROPERT
BRPR3,28/01/2019,8.50,8.70,8.50,8.70,BR PROPERT
BRPR3,29/01/2019,8.69,8.80,8.64,8.79,BR PROPERT
BRPR3,30/01/2019,8.79,8.85,8.70,8.80,BR PROPERT
BRPR3,31/01/2019,8.82,8.93,8.78,8.80,BR PROPERT
BRPR3,01/02/2019,8.83,8.84,8.70,8.80,BR PROPERT
BRPR3,04/02/2019,8.82,8.87,8.79,8.85,BR PROPERT
BRPR3,05/02/2019,8.84,8.99,8.74,8.99,BR PROPERT
BRPR3,06/02/2019,8.99,9.05,8.82,8.90,BR PROPERT
BRPR3,07/02/2019,8.98,9.06,8.67,8.70,BR PROPERT
BRPR3,08/02/2019,8.53,9.15,8.17,9.10,BR PROPERT
BRPR3,11/02/2019,9.10,9.22,8.88,8.96,BR PROPERT
BRPR3,12/02/2019,9.04,9.06,8.75,9.05,BR PROPERT
BRPR3,13/02/2019,8.99,9.12,8.85,8.99,BR PROPERT
BRPR3,14/02/2019,9.05,9.15,8.85,9.15,BR PROPERT
BRPR3,15/02/2019,9.09,9.23,9.05,9.17,BR PROPERT
BRPR3,18/02/2019,9.21,9.21,8.95,8.99,BR PROPERT
BRPR3,19/02/2019,8.98,9.21,8.88,9.21,BR PROPERT
BRPR3,20/02/2019,9.18,9.27,9.01,9.05,BR PROPERT
BRPR3,21/02/2019,9.05,9.20,8.80,8.81,BR PROPERT
BRPR3,22/02/2019,8.90,8.90,8.62,8.77,BR PROPERT
BRPR3,25/02/2019,8.78,8.84,8.53,8.63,BR PROPERT
BRPR3,26/02/2019,8.67,8.83,8.62,8.80,BR PROPERT
BRPR3,27/02/2019,8.76,8.90,8.71,8.86,BR PROPERT
BRPR3,28/02/2019,8.81,8.88,8.67,8.76,BR PROPERT
BRPR3,01/03/2019,8.76,8.78,8.54,8.69,BR PROPERT
BRPR3,06/03/2019,8.70,8.83,8.58,8.81,BR PROPERT
BRPR3,07/03/2019,8.80,8.80,8.64,8.64,BR PROPERT
BRPR3,08/03/2019,8.64,8.82,8.58,8.81,BR PROPERT
BRPR3,11/03/2019,8.77,9.00,8.76,8.99,BR PROPERT
