Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BRSR6,02/01/2019,22.21,23.07,21.83,22.89,BANRISUL
BRSR6,03/01/2019,22.94,22.94,22.04,22.69,BANRISUL
BRSR6,04/01/2019,22.69,22.77,22.11,22.50,BANRISUL
BRSR6,07/01/2019,21.99,22.40,21.73,22.30,BANRISUL
BRSR6,08/01/2019,22.30,22.80,22.06,22.80,BANRISUL
BRSR6,09/01/2019,22.81,23.26,22.72,23.26,BANRISUL
BRSR6,10/01/2019,23.19,23.54,23.00,23.27,BANRISUL
BRSR6,11/01/2019,23.29,23.65,23.00,23.33,BANRISUL
BRSR6,14/01/2019,23.65,24.00,23.26,23.75,BANRISUL
BRSR6,15/01/2019,23.67,23.83,23.54,23.70,BANRISUL
BRSR6,16/01/2019,23.55,23.59,23.20,23.50,BANRISUL
BRSR6,17/01/2019,23.45,23.52,23.02,23.20,BANRISUL
BRSR6,18/01/2019,23.44,23.44,22.80,23.10,BANRISUL
BRSR6,21/01/2019,23.09,23.09,22.59,22.60,BANRISUL
BRSR6,22/01/2019,22.60,22.78,21.93,22.15,BANRISUL
BRSR6,23/01/2019,22.17,22.99,21.80,22.99,BANRISUL
BRSR6,24/01/2019,23.00,23.21,22.81,23.10,BANRISUL
BRSR6,28/01/2019,22.99,23.38,22.74,23.00,BANRISUL
BRSR6,29/01/2019,23.09,23.50,22.90,23.50,BANRISUL
BRSR6,30/01/2019,23.52,23.77,22.99,23.77,BANRISUL
BRSR6,31/01/2019,23.78,23.83,23.27,23.50,BANRISUL
BRSR6,01/02/2019,23.56,23.56,22.65,23.00,BANRISUL
BRSR6,04/02/2019,22.86,23.88,22.86,23.77,BANRISUL
BRSR6,05/02/2019,23.77,24.60,23.63,24.53,BANRISUL
BRSR6,06/02/2019,24.53,24.55,23.45,23.45,BANRISUL
BRSR6,07/02/2019,23.50,23.84,23.00,23.49,BANRISUL
BRSR6,08/02/2019,23.30,23.86,22.58,23.86,BANRISUL
BRSR6,11/02/2019,23.90,23.90,23.22,23.60,BANRISUL
BRSR6,12/02/2019,23.80,25.43,23.70,24.80,BANRISUL
BRSR6,13/02/2019,24.90,25.31,24.20,24.20,BANRISUL
BRSR6,14/02/2019,24.34,25.41,24.32,25.41,BANRISUL
BRSR6,15/02/2019,25.41,25.56,25.19,25.50,BANRISUL
BRSR6,18/02/2019,25.50,25.54,24.95,25.50,BANRISUL
BRSR6,19/02/2019,25.53,25.88,25.25,25.50,BANRISUL
BRSR6,20/02/2019,25.73,25.74,24.90,24.90,BANRISUL
BRSR6,21/02/2019,25.00,25.16,24.38,24.99,BANRISUL
BRSR6,22/02/2019,25.00,25.55,24.77,25.30,BANRISUL
BRSR6,25/02/2019,25.30,25.80,25.17,25.49,BANRISUL
BRSR6,26/02/2019,25.60,25.71,24.93,25.68,BANRISUL
BRSR6,27/02/2019,25.75,25.93,25.10,25.20,BANRISUL
BRSR6,28/02/2019,25.25,25.35,24.82,25.00,BANRISUL
BRSR6,01/03/2019,25.00,25.18,24.62,25.12,BANRISUL
BRSR6,06/03/2019,25.00,25.00,24.27,24.59,BANRISUL
BRSR6,07/03/2019,24.74,24.74,23.90,24.00,BANRISUL
BRSR6,08/03/2019,23.73,24.73,23.48,24.61,BANRISUL
BRSR6,11/03/2019,24.47,25.80,24.47,25.60,BANRISUL
BRSR6,12/03/2019,25.87,26.81,25.79,25.93,BANRISUL
BRSR6,13/03/2019,26.18,26.47,25.54,26.32,BANRISUL
BRSR6,14/03/2019,26.50,26.50,25.96,25.99,BANRISUL
BRSR6,15/03/2019,26.16,26.50,25.96,26.50,BANRISUL
BRSR6,18/03/2019,26.45,26.65,26.25,26.49,BANRISUL
BRSR6,19/03/2019,26.60,26.60,26.15,26.15,BANRISUL
BRSR6,20/03/2019,26.29,26.35,25.70,25.70,BANRISUL
