Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BTOW3,02/01/2019,41.93,44.06,41.70,43.00,B2W DIGITAL
BTOW3,03/01/2019,42.75,43.97,42.10,43.44,B2W DIGITAL
BTOW3,04/01/2019,43.45,43.47,41.70,42.00,B2W DIGITAL
BTOW3,07/01/2019,42.00,42.68,39.96,40.14,B2W DIGITAL
BTOW3,08/01/2019,40.31,42.45,40.31,42.00,B2W DIGITAL
BTOW3,09/01/2019,42.50,45.74,42.28,44.78,B2W DIGITAL
BTOW3,10/01/2019,44.55,46.65,44.08,46.50,B2W DIGITAL
BTOW3,11/01/2019,46.35,47.30,45.06,45.08,B2W DIGITAL
BTOW3,14/01/2019,45.10,45.90,44.42,45.60,B2W DIGITAL
BTOW3,15/01/2019,46.09,47.01,45.51,46.25,B2W DIGITAL
BTOW3,16/01/2019,46.18,48.36,46.18,47.91,B2W DIGITAL
BTOW3,17/01/2019,47.99,48.35,46.18,46.75,B2W DIGITAL
BTOW3,18/01/2019,47.23,47.40,44.82,46.00,B2W DIGITAL
BTOW3,21/01/2019,46.00,46.20,43.63,44.50,B2W DIGITAL
BTOW3,22/01/2019,43.15,44.31,42.75,43.99,B2W DIGITAL
BTOW3,23/01/2019,44.25,44.88,43.71,44.45,B2W DIGITAL
BTOW3,24/01/2019,44.83,46.21,44.80,45.61,B2W DIGITAL
BTOW3,28/01/2019,45.43,47.20,44.60,45.97,B2W DIGITAL
BTOW3,29/01/2019,46.10,48.00,45.97,47.80,B2W DIGITAL
BTOW3,30/01/2019,48.20,48.79,45.85,48.12,B2W DIGITAL
BTOW3,31/01/2019,48.10,50.01,47.81,50.00,B2W DIGITAL
BTOW3,01/02/2019,49.90,50.45,47.14,48.08,B2W DIGITAL
BTOW3,04/02/2019,48.48,48.48,46.50,47.95,B2W DIGITAL
BTOW3,05/02/2019,48.17,48.17,45.63,46.00,B2W DIGITAL
BTOW3,06/02/2019,45.45,45.56,43.97,44.45,B2W DIGITAL
BTOW3,07/02/2019,44.50,45.70,43.82,44.10,B2W DIGITAL
BTOW3,08/02/2019,44.38,45.18,43.00,44.99,B2W DIGITAL
BTOW3,11/02/2019,44.95,45.15,43.75,44.35,B2W DIGITAL
BTOW3,12/02/2019,44.96,46.40,44.41,46.40,B2W DIGITAL
BTOW3,13/02/2019,46.45,46.85,45.39,46.37,B2W DIGITAL
BTOW3,14/02/2019,47.00,47.69,45.37,47.50,B2W DIGITAL
BTOW3,15/02/2019,47.30,47.87,46.85,47.35,B2W DIGITAL
BTOW3,18/02/2019,47.24,47.68,46.37,47.47,B2W DIGITAL
BTOW3,19/02/2019,47.64,49.20,47.49,47.55,B2W DIGITAL
BTOW3,20/02/2019,48.25,48.42,45.00,45.00,B2W DIGITAL
BTOW3,21/02/2019,45.50,45.55,43.93,44.26,B2W DIGITAL
BTOW3,22/02/2019,44.50,46.70,44.19,46.47,B2W DIGITAL
BTOW3,25/02/2019,46.75,48.34,46.75,47.23,B2W DIGITAL
BTOW3,26/02/2019,47.39,47.95,46.64,47.13,B2W DIGITAL
BTOW3,27/02/2019,47.08,48.30,46.85,48.30,B2W DIGITAL
BTOW3,28/02/2019,48.34,49.15,47.88,48.35,B2W DIGITAL
BTOW3,01/03/2019,48.46,50.13,48.38,49.31,B2W DIGITAL
BTOW3,06/03/2019,49.00,49.40,47.70,48.47,B2W DIGITAL
BTOW3,07/03/2019,48.00,48.86,47.36,48.02,B2W DIGITAL
BTOW3,08/03/2019,47.31,49.90,47.31,49.90,B2W DIGITAL
BTOW3,11/03/2019,49.90,50.88,49.59,50.48,B2W DIGITAL
BTOW3,12/03/2019,49.20,49.48,47.90,47.90,B2W DIGITAL
BTOW3,13/03/2019,48.00,48.76,46.28,46.28,B2W DIGITAL
BTOW3,14/03/2019,46.68,47.65,46.00,47.65,B2W DIGITAL
BTOW3,15/03/2019,47.79,47.85,46.50,46.95,B2W DIGITAL
BTOW3,18/03/2019,47.00,48.68,46.75,48.56,B2W DIGITAL
BTOW3,19/03/2019,48.60,49.90,48.15,49.90,B2W DIGITAL
BTOW3,20/03/2019,49.59,50.88,49.18,49.90,B2W DIGITAL
BTOW3,21/03/2019,48.50,48.50,46.51,46.75,B2W DIGITAL
BTOW3,22/03/2019,45.90,45.90,42.48,42.50,B2W DIGITAL
BTOW3,25/03/2019,42.69,43.61,41.00,41.19,B2W DIGITAL
BTOW3,26/03/2019,41.95,43.13,41.90,42.21,B2W DIGITAL
BTOW3,27/03/2019,41.90,41.90,39.05,39.16,B2W DIGITAL
BTOW3,28/03/2019,39.61,41.77,38.38,41.46,B2W DIGITAL
BTOW3,29/03/2019,42.10,42.80,41.19,42.22,B2W DIGITAL
BTOW3,01/04/2019,42.87,43.20,41.69,42.00,B2W DIGITAL
BTOW3,02/04/2019,41.90,42.67,40.48,41.29,B2W DIGITAL
BTOW3,03/04/2019,42.00,42.40,40.74,40.85,B2W DIGITAL
BTOW3,04/04/2019,41.08,41.40,40.22,41.08,B2W DIGITAL
BTOW3,05/04/2019,41.39,42.23,40.71,41.20,B2W DIGITAL
BTOW3,08/04/2019,41.35,41.36,39.01,39.15,B2W DIGITAL
BTOW3,09/04/2019,39.30,39.45,37.11,38.00,B2W DIGITAL
BTOW3,10/04/2019,38.39,38.75,36.63,36.65,B2W DIGITAL
BTOW3,11/04/2019,36.83,38.61,35.54,38.60,B2W DIGITAL
BTOW3,12/04/2019,37.89,38.29,36.77,37.60,B2W DIGITAL
BTOW3,15/04/2019,38.00,38.36,36.32,36.93,B2W DIGITAL
BTOW3,16/04/2019,36.75,37.04,35.58,35.58,B2W DIGITAL
BTOW3,17/04/2019,35.95,36.79,35.61,36.28,B2W DIGITAL
BTOW3,18/04/2019,36.48,38.39,36.16,37.90,B2W DIGITAL
BTOW3,22/04/2019,37.95,38.19,36.81,37.10,B2W DIGITAL
BTOW3,23/04/2019,37.31,39.14,37.31,39.14,B2W DIGITAL
BTOW3,24/04/2019,39.12,39.45,37.11,37.65,B2W DIGITAL
BTOW3,25/04/2019,37.30,37.85,36.57,37.14,B2W DIGITAL
BTOW3,26/04/2019,37.24,37.65,36.67,37.26,B2W DIGITAL
BTOW3,29/04/2019,37.64,37.65,37.03,37.61,B2W DIGITAL
BTOW3,30/04/2019,37.67,38.69,36.60,38.25,B2W DIGITAL
BTOW3,02/05/2019,37.83,38.01,36.60,36.80,B2W DIGITAL
BTOW3,03/05/2019,37.20,38.42,36.80,38.12,B2W DIGITAL
BTOW3,06/05/2019,37.21,38.99,36.98,38.80,B2W DIGITAL
BTOW3,07/05/2019,38.58,38.76,36.71,37.08,B2W DIGITAL
BTOW3,08/05/2019,37.09,37.99,37.00,37.40,B2W DIGITAL
BTOW3,09/05/2019,37.05,37.18,36.15,36.15,B2W DIGITAL
BTOW3,10/05/2019,34.70,35.10,33.03,33.80,B2W DIGITAL
BTOW3,13/05/2019,33.40,33.59,32.30,32.30,B2W DIGITAL
BTOW3,14/05/2019,32.70,33.00,30.66,32.00,B2W DIGITAL
BTOW3,15/05/2019,31.10,32.98,30.92,32.33,B2W DIGITAL
BTOW3,16/05/2019,32.10,32.59,31.73,32.02,B2W DIGITAL
BTOW3,17/05/2019,31.80,33.90,31.80,32.39,B2W DIGITAL
BTOW3,20/05/2019,32.58,34.22,32.58,33.91,B2W DIGITAL
BTOW3,21/05/2019,34.30,35.10,33.99,34.60,B2W DIGITAL
BTOW3,22/05/2019,35.00,35.05,33.25,33.30,B2W DIGITAL
BTOW3,23/05/2019,33.19,33.19,31.50,31.50,B2W DIGITAL
BTOW3,24/05/2019,32.00,32.10,30.32,30.43,B2W DIGITAL
BTOW3,27/05/2019,30.99,31.11,30.12,30.45,B2W DIGITAL
BTOW3,28/05/2019,30.68,32.80,30.68,32.45,B2W DIGITAL
BTOW3,29/05/2019,32.54,33.80,32.02,32.23,B2W DIGITAL
BTOW3,30/05/2019,32.50,33.70,31.79,32.42,B2W DIGITAL
BTOW3,31/05/2019,32.35,32.61,31.20,31.40,B2W DIGITAL
BTOW3,03/06/2019,31.75,32.37,30.26,30.70,B2W DIGITAL
BTOW3,04/06/2019,31.03,31.44,30.25,30.50,B2W DIGITAL
BTOW3,05/06/2019,30.72,31.18,29.80,29.98,B2W DIGITAL
