Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CAML3,02/01/2019,7.05,7.30,7.05,7.30,CAMIL
CAML3,03/01/2019,7.39,7.69,7.39,7.59,CAMIL
CAML3,04/01/2019,7.65,7.72,7.45,7.63,CAMIL
CAML3,07/01/2019,7.65,7.73,7.52,7.73,CAMIL
CAML3,08/01/2019,7.73,7.73,7.56,7.56,CAMIL
CAML3,09/01/2019,7.63,7.65,7.54,7.56,CAMIL
CAML3,10/01/2019,7.60,7.60,7.46,7.55,CAMIL
CAML3,11/01/2019,7.70,7.77,7.47,7.55,CAMIL
CAML3,14/01/2019,7.60,7.60,7.33,7.35,CAMIL
CAML3,15/01/2019,7.38,7.43,7.16,7.19,CAMIL
CAML3,16/01/2019,7.23,7.35,7.00,7.10,CAMIL
CAML3,17/01/2019,7.10,7.18,7.01,7.09,CAMIL
CAML3,18/01/2019,7.14,7.20,7.03,7.06,CAMIL
CAML3,21/01/2019,7.09,7.29,7.02,7.27,CAMIL
CAML3,22/01/2019,7.24,7.38,7.17,7.28,CAMIL
CAML3,23/01/2019,7.28,7.28,6.84,7.02,CAMIL
CAML3,24/01/2019,7.05,7.24,6.85,7.24,CAMIL
CAML3,28/01/2019,7.20,7.45,7.11,7.45,CAMIL
CAML3,29/01/2019,7.47,7.51,7.39,7.45,CAMIL
CAML3,30/01/2019,7.50,7.58,7.40,7.58,CAMIL
CAML3,31/01/2019,7.59,7.61,7.47,7.51,CAMIL
CAML3,01/02/2019,7.52,7.56,7.33,7.51,CAMIL
CAML3,04/02/2019,7.51,7.53,7.32,7.44,CAMIL
CAML3,05/02/2019,7.45,7.62,7.45,7.58,CAMIL
CAML3,06/02/2019,7.57,7.62,7.33,7.34,CAMIL
CAML3,07/02/2019,7.35,7.46,7.19,7.26,CAMIL
CAML3,08/02/2019,7.20,7.43,7.20,7.41,CAMIL
CAML3,11/02/2019,7.40,7.41,7.22,7.25,CAMIL
CAML3,12/02/2019,7.27,7.37,7.26,7.28,CAMIL
CAML3,13/02/2019,7.30,7.38,7.28,7.34,CAMIL
CAML3,14/02/2019,7.38,7.54,7.31,7.54,CAMIL
CAML3,15/02/2019,7.53,7.68,7.39,7.54,CAMIL
CAML3,18/02/2019,7.56,7.59,7.40,7.45,CAMIL
CAML3,19/02/2019,7.45,7.49,7.40,7.47,CAMIL
CAML3,20/02/2019,7.47,7.51,7.30,7.32,CAMIL
CAML3,21/02/2019,7.36,7.37,7.21,7.24,CAMIL
CAML3,22/02/2019,7.21,7.42,7.21,7.26,CAMIL
CAML3,25/02/2019,7.27,7.32,7.20,7.29,CAMIL
CAML3,26/02/2019,7.30,7.30,7.14,7.16,CAMIL
CAML3,27/02/2019,7.17,7.28,7.15,7.21,CAMIL
CAML3,28/02/2019,7.21,7.22,7.11,7.19,CAMIL
CAML3,01/03/2019,7.21,7.23,7.14,7.14,CAMIL
CAML3,06/03/2019,7.13,7.17,7.00,7.09,CAMIL
CAML3,07/03/2019,7.12,7.14,7.04,7.12,CAMIL
CAML3,08/03/2019,7.08,7.14,7.04,7.09,CAMIL
CAML3,11/03/2019,7.13,7.27,7.09,7.17,CAMIL
CAML3,12/03/2019,7.20,7.22,7.06,7.09,CAMIL
CAML3,13/03/2019,7.13,7.14,7.06,7.11,CAMIL
CAML3,14/03/2019,7.12,7.14,7.06,7.10,CAMIL
CAML3,15/03/2019,7.10,7.14,7.05,7.05,CAMIL
CAML3,18/03/2019,7.06,7.10,7.03,7.05,CAMIL
CAML3,19/03/2019,7.05,7.09,6.94,6.99,CAMIL
CAML3,20/03/2019,6.99,7.06,6.89,6.90,CAMIL
CAML3,21/03/2019,6.91,6.92,6.76,6.89,CAMIL
CAML3,22/03/2019,6.80,6.91,6.72,6.86,CAMIL
CAML3,25/03/2019,6.90,6.96,6.78,6.92,CAMIL
CAML3,26/03/2019,6.94,6.99,6.81,6.85,CAMIL
CAML3,27/03/2019,6.85,6.85,6.66,6.69,CAMIL
CAML3,28/03/2019,6.70,6.84,6.64,6.81,CAMIL
CAML3,29/03/2019,6.84,6.97,6.77,6.81,CAMIL
CAML3,01/04/2019,6.83,7.04,6.78,7.03,CAMIL
CAML3,02/04/2019,7.05,7.09,6.93,7.05,CAMIL
CAML3,03/04/2019,7.11,7.15,6.82,6.85,CAMIL
CAML3,04/04/2019,6.87,6.91,6.82,6.84,CAMIL
CAML3,05/04/2019,6.89,6.91,6.82,6.83,CAMIL
CAML3,08/04/2019,6.86,7.09,6.86,7.07,CAMIL
CAML3,09/04/2019,7.07,7.10,6.97,6.98,CAMIL
CAML3,10/04/2019,7.00,7.01,6.93,6.97,CAMIL
CAML3,11/04/2019,6.96,6.98,6.83,6.89,CAMIL
CAML3,12/04/2019,6.86,7.07,6.81,6.89,CAMIL
CAML3,15/04/2019,6.95,7.02,6.90,6.94,CAMIL
CAML3,16/04/2019,6.95,7.00,6.83,6.92,CAMIL
CAML3,17/04/2019,6.95,7.04,6.90,6.91,CAMIL
CAML3,18/04/2019,6.96,7.09,6.89,7.08,CAMIL
CAML3,22/04/2019,7.08,7.24,7.04,7.22,CAMIL
CAML3,23/04/2019,7.25,7.26,6.94,6.96,CAMIL
CAML3,24/04/2019,6.96,7.01,6.90,7.00,CAMIL
CAML3,25/04/2019,7.01,7.01,6.93,6.97,CAMIL
CAML3,26/04/2019,7.02,7.02,6.90,6.93,CAMIL
CAML3,29/04/2019,7.00,7.00,6.91,6.91,CAMIL
CAML3,30/04/2019,6.91,7.02,6.90,6.90,CAMIL
CAML3,02/05/2019,6.90,7.01,6.81,6.89,CAMIL
CAML3,03/05/2019,6.90,6.97,6.87,6.97,CAMIL
CAML3,06/05/2019,6.94,6.95,6.82,6.90,CAMIL
CAML3,07/05/2019,6.90,6.91,6.75,6.75,CAMIL
CAML3,08/05/2019,6.77,6.85,6.77,6.82,CAMIL
CAML3,09/05/2019,6.82,6.85,6.75,6.84,CAMIL
CAML3,10/05/2019,6.94,7.07,6.87,7.06,CAMIL
CAML3,13/05/2019,7.00,7.04,6.88,6.97,CAMIL
CAML3,14/05/2019,7.01,7.01,6.88,6.97,CAMIL
CAML3,15/05/2019,6.93,6.98,6.83,6.89,CAMIL
CAML3,16/05/2019,6.89,6.90,6.73,6.75,CAMIL
CAML3,17/05/2019,6.75,6.80,6.65,6.67,CAMIL
CAML3,20/05/2019,6.69,6.89,6.62,6.89,CAMIL
CAML3,21/05/2019,6.86,7.00,6.85,6.94,CAMIL
CAML3,22/05/2019,6.98,6.98,6.85,6.88,CAMIL
CAML3,23/05/2019,6.89,6.94,6.79,6.81,CAMIL
CAML3,24/05/2019,6.85,6.85,6.73,6.79,CAMIL
CAML3,27/05/2019,6.80,6.89,6.75,6.85,CAMIL
CAML3,28/05/2019,6.85,6.98,6.74,6.98,CAMIL
CAML3,29/05/2019,6.93,7.00,6.82,6.89,CAMIL
CAML3,30/05/2019,6.89,6.95,6.78,6.79,CAMIL
CAML3,31/05/2019,6.79,6.82,6.73,6.76,CAMIL
CAML3,03/06/2019,6.79,6.82,6.71,6.72,CAMIL
CAML3,04/06/2019,6.74,6.76,6.66,6.68,CAMIL
CAML3,05/06/2019,6.69,6.70,6.58,6.59,CAMIL
CAML3,06/06/2019,6.64,6.64,6.53,6.60,CAMIL
CAML3,07/06/2019,6.61,6.64,6.56,6.56,CAMIL
CAML3,10/06/2019,6.56,6.61,6.52,6.59,CAMIL
CAML3,11/06/2019,6.61,6.61,6.54,6.58,CAMIL
CAML3,12/06/2019,6.60,6.62,6.56,6.57,CAMIL
CAML3,13/06/2019,6.58,6.62,6.47,6.55,CAMIL
CAML3,14/06/2019,6.55,6.59,6.52,6.54,CAMIL
CAML3,17/06/2019,6.54,6.59,6.51,6.58,CAMIL
CAML3,18/06/2019,6.60,6.61,6.56,6.57,CAMIL
CAML3,19/06/2019,6.54,6.83,6.54,6.83,CAMIL
CAML3,21/06/2019,6.84,7.09,6.83,7.09,CAMIL
CAML3,24/06/2019,7.10,7.32,7.04,7.32,CAMIL
CAML3,25/06/2019,7.32,7.42,7.27,7.32,CAMIL
CAML3,26/06/2019,7.32,7.70,7.32,7.70,CAMIL
CAML3,27/06/2019,7.59,7.59,7.23,7.49,CAMIL
CAML3,28/06/2019,7.52,7.53,7.18,7.18,CAMIL
CAML3,01/07/2019,7.21,7.34,7.18,7.21,CAMIL
CAML3,02/07/2019,7.21,7.29,7.21,7.27,CAMIL
CAML3,03/07/2019,7.28,7.41,7.28,7.35,CAMIL
CAML3,04/07/2019,7.40,7.44,7.30,7.40,CAMIL
CAML3,05/07/2019,7.39,7.45,7.33,7.41,CAMIL
CAML3,08/07/2019,7.46,7.58,7.45,7.50,CAMIL
CAML3,10/07/2019,7.61,7.87,7.56,7.62,CAMIL
CAML3,11/07/2019,7.70,7.75,7.48,7.54,CAMIL
