Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CARD3,02/01/2019,6.89,7.24,6.85,7.00,CSU CARDSYST
CARD3,03/01/2019,7.05,7.30,7.05,7.20,CSU CARDSYST
CARD3,04/01/2019,7.30,7.35,7.16,7.25,CSU CARDSYST
CARD3,07/01/2019,7.25,7.43,7.20,7.29,CSU CARDSYST
CARD3,08/01/2019,7.24,7.38,7.16,7.28,CSU CARDSYST
CARD3,09/01/2019,7.25,7.40,7.21,7.27,CSU CARDSYST
CARD3,10/01/2019,7.21,7.26,7.11,7.19,CSU CARDSYST
CARD3,11/01/2019,7.18,7.23,7.14,7.18,CSU CARDSYST
CARD3,14/01/2019,7.16,7.38,7.15,7.28,CSU CARDSYST
CARD3,15/01/2019,7.30,7.32,7.17,7.18,CSU CARDSYST
CARD3,16/01/2019,7.19,7.32,7.18,7.25,CSU CARDSYST
CARD3,17/01/2019,7.25,7.30,7.19,7.20,CSU CARDSYST
CARD3,18/01/2019,7.17,7.26,7.04,7.15,CSU CARDSYST
CARD3,21/01/2019,7.15,7.20,7.07,7.15,CSU CARDSYST
CARD3,22/01/2019,7.15,7.26,7.11,7.16,CSU CARDSYST
CARD3,23/01/2019,7.22,7.30,7.15,7.25,CSU CARDSYST
CARD3,24/01/2019,7.29,7.61,7.28,7.59,CSU CARDSYST
CARD3,28/01/2019,7.55,7.70,7.31,7.42,CSU CARDSYST
CARD3,29/01/2019,7.50,7.56,7.29,7.38,CSU CARDSYST
CARD3,30/01/2019,7.30,7.60,7.30,7.42,CSU CARDSYST
CARD3,31/01/2019,7.44,7.55,7.35,7.38,CSU CARDSYST
CARD3,01/02/2019,7.42,7.50,7.38,7.40,CSU CARDSYST
CARD3,04/02/2019,7.41,8.10,7.41,8.06,CSU CARDSYST
CARD3,05/02/2019,8.03,8.04,7.73,7.74,CSU CARDSYST
CARD3,06/02/2019,7.75,7.83,7.61,7.66,CSU CARDSYST
CARD3,07/02/2019,7.77,7.77,7.34,7.36,CSU CARDSYST
CARD3,08/02/2019,7.30,7.49,7.11,7.49,CSU CARDSYST
CARD3,11/02/2019,7.50,7.50,7.20,7.37,CSU CARDSYST
CARD3,12/02/2019,7.50,7.59,7.45,7.47,CSU CARDSYST
CARD3,13/02/2019,7.59,7.73,7.46,7.55,CSU CARDSYST
CARD3,14/02/2019,7.63,7.67,7.41,7.49,CSU CARDSYST
CARD3,15/02/2019,7.55,7.63,7.40,7.44,CSU CARDSYST
CARD3,18/02/2019,7.45,7.52,7.41,7.45,CSU CARDSYST
CARD3,19/02/2019,7.50,7.62,7.43,7.55,CSU CARDSYST
CARD3,20/02/2019,7.60,7.69,7.55,7.58,CSU CARDSYST
CARD3,21/02/2019,7.60,7.69,7.50,7.50,CSU CARDSYST
CARD3,22/02/2019,7.61,7.61,7.50,7.50,CSU CARDSYST
CARD3,25/02/2019,7.66,7.66,7.54,7.65,CSU CARDSYST
CARD3,26/02/2019,7.65,7.74,7.51,7.58,CSU CARDSYST
CARD3,27/02/2019,7.66,7.66,7.53,7.59,CSU CARDSYST
CARD3,28/02/2019,7.50,7.50,7.21,7.26,CSU CARDSYST
CARD3,01/03/2019,7.34,7.50,7.30,7.48,CSU CARDSYST
CARD3,06/03/2019,7.43,7.46,7.24,7.24,CSU CARDSYST
CARD3,07/03/2019,7.33,7.33,7.13,7.15,CSU CARDSYST
CARD3,08/03/2019,7.25,7.25,7.05,7.10,CSU CARDSYST
CARD3,11/03/2019,7.15,7.23,7.10,7.19,CSU CARDSYST
CARD3,12/03/2019,7.21,7.26,7.14,7.15,CSU CARDSYST
CARD3,13/03/2019,7.15,7.21,7.10,7.10,CSU CARDSYST
CARD3,14/03/2019,7.12,7.19,7.10,7.11,CSU CARDSYST
CARD3,15/03/2019,7.15,7.24,7.12,7.15,CSU CARDSYST
CARD3,18/03/2019,7.15,7.21,7.15,7.19,CSU CARDSYST
CARD3,19/03/2019,7.19,7.24,7.10,7.13,CSU CARDSYST
CARD3,20/03/2019,7.13,7.20,7.07,7.09,CSU CARDSYST
CARD3,21/03/2019,7.10,7.13,6.90,7.04,CSU CARDSYST
CARD3,22/03/2019,7.00,7.07,6.88,6.99,CSU CARDSYST
CARD3,25/03/2019,7.00,7.05,6.86,6.92,CSU CARDSYST
CARD3,26/03/2019,6.96,7.00,6.84,6.92,CSU CARDSYST
CARD3,27/03/2019,6.93,6.99,6.62,6.66,CSU CARDSYST
CARD3,28/03/2019,6.68,6.78,6.65,6.74,CSU CARDSYST
CARD3,29/03/2019,6.79,6.89,6.72,6.75,CSU CARDSYST
CARD3,01/04/2019,6.90,6.94,6.75,6.91,CSU CARDSYST
CARD3,02/04/2019,6.91,6.93,6.79,6.79,CSU CARDSYST
CARD3,03/04/2019,6.81,6.86,6.75,6.79,CSU CARDSYST
CARD3,04/04/2019,6.89,6.91,6.78,6.80,CSU CARDSYST
CARD3,05/04/2019,6.80,6.88,6.75,6.86,CSU CARDSYST
CARD3,08/04/2019,6.87,7.03,6.81,6.84,CSU CARDSYST
CARD3,09/04/2019,6.87,6.87,6.72,6.78,CSU CARDSYST
CARD3,10/04/2019,6.78,6.87,6.77,6.79,CSU CARDSYST
CARD3,11/04/2019,6.79,6.84,6.69,6.84,CSU CARDSYST
CARD3,12/04/2019,6.74,6.78,6.65,6.66,CSU CARDSYST
CARD3,15/04/2019,6.70,6.72,6.51,6.57,CSU CARDSYST
CARD3,16/04/2019,6.63,6.63,6.39,6.56,CSU CARDSYST
CARD3,17/04/2019,6.70,6.70,6.49,6.66,CSU CARDSYST
CARD3,18/04/2019,6.60,6.60,6.48,6.59,CSU CARDSYST
CARD3,22/04/2019,6.62,6.62,6.50,6.50,CSU CARDSYST
CARD3,23/04/2019,6.50,6.79,6.50,6.74,CSU CARDSYST
CARD3,24/04/2019,6.74,6.77,6.52,6.52,CSU CARDSYST
CARD3,25/04/2019,6.58,6.79,6.51,6.79,CSU CARDSYST
CARD3,26/04/2019,6.79,6.79,6.59,6.67,CSU CARDSYST
CARD3,29/04/2019,6.72,6.90,6.65,6.79,CSU CARDSYST
CARD3,30/04/2019,6.84,6.86,6.73,6.84,CSU CARDSYST
CARD3,02/05/2019,6.84,6.84,6.62,6.71,CSU CARDSYST
