Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CESP3,02/01/2019,20.33,20.75,19.82,20.68,CESP
CESP3,03/01/2019,20.20,20.39,19.83,20.39,CESP
CESP3,04/01/2019,20.10,20.69,19.95,20.69,CESP
CESP3,07/01/2019,20.48,20.80,20.15,20.50,CESP
CESP3,08/01/2019,20.00,20.71,20.00,20.60,CESP
CESP3,09/01/2019,20.49,20.67,20.23,20.59,CESP
CESP3,10/01/2019,20.32,20.40,19.90,20.40,CESP
CESP3,11/01/2019,20.11,20.36,20.00,20.20,CESP
CESP3,14/01/2019,20.00,20.39,19.98,19.98,CESP
CESP3,15/01/2019,19.93,20.07,19.88,19.99,CESP
CESP3,16/01/2019,19.98,19.98,19.25,19.80,CESP
CESP3,17/01/2019,19.53,19.80,19.15,19.80,CESP
CESP3,18/01/2019,19.51,19.99,19.50,19.99,CESP
CESP3,21/01/2019,19.98,20.15,19.60,20.00,CESP
CESP3,22/01/2019,20.00,20.15,19.80,20.00,CESP
CESP3,23/01/2019,20.00,20.65,20.00,20.65,CESP
CESP3,24/01/2019,20.65,21.39,20.65,21.39,CESP
CESP3,28/01/2019,21.00,21.45,20.86,21.45,CESP
CESP3,29/01/2019,21.30,21.50,21.16,21.40,CESP
CESP3,30/01/2019,21.37,21.45,21.28,21.28,CESP
CESP3,31/01/2019,21.34,21.44,21.34,21.37,CESP
CESP3,01/02/2019,21.37,21.47,21.05,21.40,CESP
CESP3,04/02/2019,21.20,21.35,21.00,21.35,CESP
CESP3,05/02/2019,21.17,21.29,21.00,21.29,CESP
CESP3,06/02/2019,21.23,21.29,21.00,21.29,CESP
CESP3,07/02/2019,21.06,21.39,21.05,21.39,CESP
CESP3,08/02/2019,21.11,21.90,21.11,21.80,CESP
CESP3,11/02/2019,21.75,21.84,21.51,21.63,CESP
CESP3,12/02/2019,21.59,22.00,21.50,22.00,CESP
CESP3,13/02/2019,21.78,21.99,21.78,21.94,CESP
CESP3,14/02/2019,21.94,21.94,21.61,21.61,CESP
CESP3,15/02/2019,21.52,21.90,21.20,21.90,CESP
CESP3,18/02/2019,21.71,21.71,20.53,20.58,CESP
CESP3,19/02/2019,20.81,21.08,20.35,20.97,CESP
CESP3,20/02/2019,21.27,21.29,20.30,20.55,CESP
CESP3,21/02/2019,20.55,20.97,20.50,20.85,CESP
CESP3,22/02/2019,20.97,21.30,20.97,21.28,CESP
CESP3,25/02/2019,21.28,21.40,21.15,21.40,CESP
CESP3,26/02/2019,21.41,21.55,21.37,21.54,CESP
CESP3,27/02/2019,21.69,21.90,21.32,21.32,CESP
CESP3,28/02/2019,21.40,21.89,21.00,21.89,CESP
CESP3,01/03/2019,21.64,21.89,21.34,21.89,CESP
CESP3,06/03/2019,21.51,21.69,21.42,21.42,CESP
CESP3,07/03/2019,21.55,21.75,21.20,21.20,CESP
CESP3,08/03/2019,21.20,21.98,21.00,21.90,CESP
CESP3,11/03/2019,21.72,22.00,21.71,22.00,CESP
CESP3,12/03/2019,21.79,21.99,21.79,21.99,CESP
CESP3,13/03/2019,21.98,22.09,21.77,21.90,CESP
CESP3,14/03/2019,21.70,21.98,20.85,21.37,CESP
CESP3,15/03/2019,21.36,21.89,21.30,21.88,CESP
CESP3,18/03/2019,21.89,22.50,21.89,21.92,CESP
CESP3,19/03/2019,22.07,22.07,21.73,21.89,CESP
CESP3,20/03/2019,21.89,22.75,21.89,22.42,CESP
CESP3,21/03/2019,22.39,22.40,21.95,22.40,CESP
CESP3,22/03/2019,21.81,22.38,21.79,22.32,CESP
CESP3,25/03/2019,22.20,22.33,22.14,22.29,CESP
CESP3,26/03/2019,22.12,22.30,22.12,22.30,CESP
CESP3,27/03/2019,22.02,22.29,21.96,22.29,CESP
CESP3,28/03/2019,22.02,22.30,22.00,22.28,CESP
CESP3,29/03/2019,22.16,22.30,22.16,22.30,CESP
CESP3,01/04/2019,22.27,22.50,22.20,22.50,CESP
CESP3,02/04/2019,22.48,22.55,22.26,22.49,CESP
CESP3,03/04/2019,22.38,22.42,21.30,21.98,CESP
CESP3,04/04/2019,21.81,22.33,21.65,21.99,CESP
CESP3,05/04/2019,22.17,22.43,22.00,22.30,CESP
CESP3,08/04/2019,22.38,22.60,22.13,22.59,CESP
CESP3,09/04/2019,22.53,22.55,22.27,22.45,CESP
CESP3,10/04/2019,22.32,22.49,22.22,22.45,CESP
CESP3,11/04/2019,22.31,22.45,22.29,22.35,CESP
CESP3,12/04/2019,22.30,22.60,22.15,22.60,CESP
CESP3,15/04/2019,22.40,22.41,21.99,22.18,CESP
CESP3,16/04/2019,22.29,22.55,22.27,22.55,CESP
CESP3,17/04/2019,22.50,22.60,22.08,22.60,CESP
CESP3,18/04/2019,22.59,22.59,22.36,22.59,CESP
CESP3,22/04/2019,22.40,22.55,22.21,22.49,CESP
CESP3,23/04/2019,22.37,22.89,22.25,22.60,CESP
CESP3,24/04/2019,22.60,22.90,22.37,22.90,CESP
CESP3,25/04/2019,22.76,22.90,22.65,22.90,CESP
CESP3,26/04/2019,22.76,23.40,22.72,23.40,CESP
CESP3,29/04/2019,23.30,24.17,23.27,24.17,CESP
CESP3,30/04/2019,23.25,24.00,23.25,24.00,CESP
CESP3,02/05/2019,23.99,23.99,23.67,23.80,CESP
CESP3,03/05/2019,23.60,23.80,23.42,23.80,CESP
CESP3,06/05/2019,23.60,23.89,23.59,23.79,CESP
CESP3,07/05/2019,23.58,23.79,23.58,23.78,CESP
CESP3,08/05/2019,23.79,24.30,23.71,24.15,CESP
CESP3,09/05/2019,24.19,24.20,24.00,24.09,CESP
CESP3,10/05/2019,24.09,24.27,23.96,24.25,CESP
CESP3,13/05/2019,24.20,24.26,24.02,24.10,CESP
CESP3,14/05/2019,23.86,24.21,23.76,24.10,CESP
CESP3,15/05/2019,24.08,24.13,24.06,24.10,CESP
CESP3,16/05/2019,23.93,24.11,23.93,24.09,CESP
CESP3,17/05/2019,23.90,24.14,23.85,24.11,CESP
CESP3,20/05/2019,23.99,24.10,23.99,24.10,CESP
CESP3,21/05/2019,24.00,24.40,24.00,24.39,CESP
CESP3,22/05/2019,24.30,24.38,24.17,24.30,CESP
CESP3,23/05/2019,24.25,24.25,23.81,24.00,CESP
CESP3,24/05/2019,24.10,24.10,23.89,24.10,CESP
CESP3,27/05/2019,24.10,24.49,24.10,24.33,CESP
CESP3,28/05/2019,24.33,24.97,24.20,24.45,CESP
CESP3,29/05/2019,24.35,24.47,24.07,24.22,CESP
CESP3,30/05/2019,24.20,24.50,24.13,24.50,CESP
CESP3,31/05/2019,24.38,25.70,24.38,25.25,CESP
CESP3,03/06/2019,25.12,25.25,24.99,24.99,CESP
CESP3,04/06/2019,25.44,25.45,25.25,25.44,CESP
CESP3,05/06/2019,25.75,25.75,25.50,25.72,CESP
CESP3,06/06/2019,25.50,25.69,25.49,25.69,CESP
CESP3,07/06/2019,25.74,26.50,25.45,26.46,CESP
CESP3,10/06/2019,26.22,26.50,25.87,26.44,CESP
CESP3,11/06/2019,26.34,26.73,26.00,26.35,CESP
CESP3,12/06/2019,26.68,26.91,26.25,26.43,CESP
CESP3,13/06/2019,26.69,26.98,26.50,26.50,CESP
CESP3,14/06/2019,26.39,26.45,26.22,26.38,CESP
CESP3,17/06/2019,26.11,26.77,26.10,26.49,CESP
CESP3,18/06/2019,26.50,26.74,26.29,26.74,CESP
