Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CMIG3,02/01/2019,15.19,15.74,14.97,15.60,CEMIG
CMIG3,03/01/2019,15.43,15.52,14.98,15.27,CEMIG
CMIG3,04/01/2019,15.42,15.63,14.99,15.63,CEMIG
CMIG3,07/01/2019,15.63,15.63,14.70,15.10,CEMIG
CMIG3,08/01/2019,15.20,15.25,14.62,15.09,CEMIG
CMIG3,09/01/2019,15.15,15.58,14.70,15.21,CEMIG
CMIG3,10/01/2019,15.70,15.87,15.34,15.64,CEMIG
CMIG3,11/01/2019,15.65,15.83,15.33,15.83,CEMIG
CMIG3,14/01/2019,15.92,16.52,15.50,16.35,CEMIG
CMIG3,15/01/2019,16.35,16.54,15.94,16.20,CEMIG
CMIG3,16/01/2019,16.20,16.40,15.76,16.15,CEMIG
CMIG3,17/01/2019,16.14,16.56,15.98,16.42,CEMIG
CMIG3,18/01/2019,16.58,16.58,16.04,16.24,CEMIG
CMIG3,21/01/2019,16.26,16.50,15.94,16.50,CEMIG
CMIG3,22/01/2019,16.49,16.69,16.22,16.45,CEMIG
CMIG3,23/01/2019,16.46,16.65,16.32,16.62,CEMIG
CMIG3,24/01/2019,16.56,16.90,16.54,16.90,CEMIG
CMIG3,28/01/2019,16.85,16.85,16.19,16.58,CEMIG
CMIG3,29/01/2019,16.70,16.70,16.46,16.53,CEMIG
CMIG3,30/01/2019,16.50,16.62,16.21,16.40,CEMIG
CMIG3,31/01/2019,16.40,16.56,15.91,16.22,CEMIG
CMIG3,01/02/2019,16.10,16.25,15.76,16.13,CEMIG
CMIG3,04/02/2019,16.02,16.03,15.67,15.83,CEMIG
CMIG3,05/02/2019,15.89,16.06,15.64,15.89,CEMIG
CMIG3,06/02/2019,15.85,15.85,15.21,15.48,CEMIG
CMIG3,07/02/2019,15.24,15.69,15.04,15.69,CEMIG
CMIG3,08/02/2019,15.52,15.95,15.36,15.95,CEMIG
CMIG3,11/02/2019,15.95,15.95,15.36,15.68,CEMIG
CMIG3,12/02/2019,15.74,15.87,15.48,15.86,CEMIG
CMIG3,13/02/2019,15.84,16.15,15.58,16.13,CEMIG
CMIG3,14/02/2019,16.14,16.39,15.68,16.39,CEMIG
CMIG3,15/02/2019,16.39,16.44,16.17,16.43,CEMIG
CMIG3,18/02/2019,16.32,16.67,16.09,16.61,CEMIG
CMIG3,19/02/2019,16.61,16.73,16.56,16.60,CEMIG
CMIG3,20/02/2019,16.73,16.75,15.96,16.15,CEMIG
CMIG3,21/02/2019,16.24,16.25,15.83,16.14,CEMIG
CMIG3,22/02/2019,16.07,16.27,15.86,16.22,CEMIG
CMIG3,25/02/2019,16.29,16.39,16.08,16.35,CEMIG
CMIG3,26/02/2019,16.35,16.43,15.99,16.37,CEMIG
CMIG3,27/02/2019,16.40,17.23,16.20,16.90,CEMIG
CMIG3,28/02/2019,16.94,16.94,16.43,16.75,CEMIG
CMIG3,01/03/2019,16.63,16.75,16.29,16.65,CEMIG
CMIG3,06/03/2019,16.64,16.65,16.30,16.45,CEMIG
CMIG3,07/03/2019,16.39,16.39,15.81,15.81,CEMIG
CMIG3,08/03/2019,15.81,16.22,15.69,16.22,CEMIG
CMIG3,11/03/2019,16.25,16.89,16.22,16.80,CEMIG
CMIG3,12/03/2019,16.67,17.20,16.50,17.10,CEMIG
CMIG3,13/03/2019,17.09,17.35,16.79,17.21,CEMIG
CMIG3,14/03/2019,17.10,17.39,17.00,17.30,CEMIG
CMIG3,15/03/2019,17.38,17.80,17.33,17.49,CEMIG
CMIG3,18/03/2019,17.55,17.79,17.21,17.79,CEMIG
CMIG3,19/03/2019,17.79,17.80,17.40,17.71,CEMIG
CMIG3,20/03/2019,17.70,17.72,17.29,17.34,CEMIG
CMIG3,21/03/2019,17.25,17.45,16.58,17.00,CEMIG
CMIG3,22/03/2019,16.80,16.98,16.34,16.49,CEMIG
CMIG3,25/03/2019,16.47,16.86,16.37,16.86,CEMIG
CMIG3,26/03/2019,16.91,17.05,16.55,17.05,CEMIG
CMIG3,27/03/2019,16.98,16.98,15.82,16.18,CEMIG
CMIG3,28/03/2019,16.00,16.66,15.76,16.40,CEMIG
CMIG3,29/03/2019,16.60,16.72,16.42,16.70,CEMIG
CMIG3,01/04/2019,16.65,16.77,16.16,16.31,CEMIG
CMIG3,02/04/2019,16.41,16.50,15.27,15.27,CEMIG
CMIG3,03/04/2019,15.39,15.76,15.15,15.61,CEMIG
CMIG3,04/04/2019,15.60,15.87,15.33,15.87,CEMIG
CMIG3,05/04/2019,15.91,16.15,15.48,15.99,CEMIG
CMIG3,08/04/2019,16.16,16.80,16.14,16.59,CEMIG
CMIG3,09/04/2019,16.60,16.60,15.96,16.34,CEMIG
CMIG3,10/04/2019,16.35,17.10,16.26,17.10,CEMIG
CMIG3,11/04/2019,16.80,16.94,16.49,16.89,CEMIG
CMIG3,12/04/2019,16.62,16.77,16.06,16.47,CEMIG
CMIG3,15/04/2019,16.44,16.59,16.10,16.45,CEMIG
CMIG3,16/04/2019,16.33,16.60,16.21,16.34,CEMIG
CMIG3,17/04/2019,16.34,16.48,15.77,15.98,CEMIG
CMIG3,18/04/2019,16.00,16.48,15.83,16.40,CEMIG
CMIG3,22/04/2019,16.40,16.79,16.07,16.70,CEMIG
