Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CPFE3,02/01/2019,28.70,28.95,28.60,28.94,CPFL ENERGIA
CPFE3,03/01/2019,28.69,28.91,28.21,28.59,CPFL ENERGIA
CPFE3,04/01/2019,28.35,28.74,28.25,28.65,CPFL ENERGIA
CPFE3,07/01/2019,28.50,28.76,28.14,28.28,CPFL ENERGIA
CPFE3,08/01/2019,28.38,28.52,28.11,28.30,CPFL ENERGIA
CPFE3,09/01/2019,28.28,28.63,28.14,28.60,CPFL ENERGIA
CPFE3,10/01/2019,28.57,28.68,28.20,28.50,CPFL ENERGIA
CPFE3,11/01/2019,28.49,28.49,28.02,28.30,CPFL ENERGIA
CPFE3,14/01/2019,28.30,28.38,27.91,28.11,CPFL ENERGIA
CPFE3,15/01/2019,28.18,28.28,27.90,27.99,CPFL ENERGIA
CPFE3,16/01/2019,28.11,28.29,27.93,28.16,CPFL ENERGIA
CPFE3,17/01/2019,28.27,29.00,28.14,28.90,CPFL ENERGIA
CPFE3,18/01/2019,28.97,30.63,28.97,30.50,CPFL ENERGIA
CPFE3,21/01/2019,30.50,30.89,30.27,30.73,CPFL ENERGIA
CPFE3,22/01/2019,30.84,31.00,30.42,30.99,CPFL ENERGIA
CPFE3,23/01/2019,31.00,31.15,30.90,31.00,CPFL ENERGIA
CPFE3,24/01/2019,31.10,31.15,30.80,31.00,CPFL ENERGIA
CPFE3,28/01/2019,30.83,31.24,30.63,31.19,CPFL ENERGIA
CPFE3,29/01/2019,31.21,31.37,30.73,31.18,CPFL ENERGIA
CPFE3,30/01/2019,31.49,32.21,31.25,32.05,CPFL ENERGIA
CPFE3,31/01/2019,32.35,32.84,32.32,32.60,CPFL ENERGIA
CPFE3,01/02/2019,32.60,32.79,30.93,31.10,CPFL ENERGIA
CPFE3,04/02/2019,31.65,31.65,30.97,31.12,CPFL ENERGIA
CPFE3,05/02/2019,31.12,31.31,30.65,31.00,CPFL ENERGIA
CPFE3,06/02/2019,30.99,31.04,30.51,30.69,CPFL ENERGIA
CPFE3,07/02/2019,30.56,30.75,29.59,30.35,CPFL ENERGIA
CPFE3,08/02/2019,30.35,30.35,29.78,30.28,CPFL ENERGIA
CPFE3,11/02/2019,30.32,30.46,29.54,29.80,CPFL ENERGIA
CPFE3,12/02/2019,29.83,30.13,29.10,29.89,CPFL ENERGIA
CPFE3,13/02/2019,30.10,31.65,29.68,31.65,CPFL ENERGIA
CPFE3,14/02/2019,31.66,31.97,31.00,31.97,CPFL ENERGIA
CPFE3,15/02/2019,31.89,31.96,31.43,31.65,CPFL ENERGIA
CPFE3,18/02/2019,31.75,31.81,31.14,31.60,CPFL ENERGIA
CPFE3,19/02/2019,31.65,31.92,31.27,31.78,CPFL ENERGIA
CPFE3,20/02/2019,31.78,31.80,31.40,31.50,CPFL ENERGIA
CPFE3,21/02/2019,31.69,31.82,30.90,31.79,CPFL ENERGIA
CPFE3,22/02/2019,31.71,31.95,31.35,31.87,CPFL ENERGIA
CPFE3,25/02/2019,31.89,31.89,31.30,31.75,CPFL ENERGIA
CPFE3,26/02/2019,31.74,31.80,31.26,31.44,CPFL ENERGIA
CPFE3,27/02/2019,31.50,31.53,30.98,31.06,CPFL ENERGIA
CPFE3,28/02/2019,31.06,31.36,30.69,30.69,CPFL ENERGIA
CPFE3,01/03/2019,30.89,30.99,30.15,30.60,CPFL ENERGIA
CPFE3,06/03/2019,30.69,30.69,30.01,30.43,CPFL ENERGIA
CPFE3,07/03/2019,30.44,30.59,30.00,30.15,CPFL ENERGIA
CPFE3,08/03/2019,30.13,30.54,30.03,30.41,CPFL ENERGIA
CPFE3,11/03/2019,30.49,30.68,30.22,30.50,CPFL ENERGIA
CPFE3,12/03/2019,30.72,30.99,30.16,30.77,CPFL ENERGIA
CPFE3,13/03/2019,30.76,31.00,30.46,31.00,CPFL ENERGIA
CPFE3,14/03/2019,31.00,31.09,30.51,30.74,CPFL ENERGIA
CPFE3,15/03/2019,30.86,30.86,30.43,30.49,CPFL ENERGIA
CPFE3,18/03/2019,30.47,30.66,30.19,30.60,CPFL ENERGIA
CPFE3,19/03/2019,30.79,30.79,30.28,30.75,CPFL ENERGIA
CPFE3,20/03/2019,30.89,30.89,30.34,30.59,CPFL ENERGIA
CPFE3,21/03/2019,30.47,30.58,29.80,30.18,CPFL ENERGIA
CPFE3,22/03/2019,29.93,30.32,29.77,30.32,CPFL ENERGIA
CPFE3,25/03/2019,30.40,30.57,30.09,30.45,CPFL ENERGIA
CPFE3,26/03/2019,30.69,30.87,30.43,30.87,CPFL ENERGIA
CPFE3,27/03/2019,30.69,30.78,30.31,30.68,CPFL ENERGIA
CPFE3,28/03/2019,30.67,30.81,30.39,30.75,CPFL ENERGIA
CPFE3,29/03/2019,31.12,31.20,30.42,30.48,CPFL ENERGIA
CPFE3,01/04/2019,30.60,30.82,29.70,29.70,CPFL ENERGIA
CPFE3,02/04/2019,29.65,29.80,29.20,29.50,CPFL ENERGIA
CPFE3,03/04/2019,28.50,29.28,28.41,29.20,CPFL ENERGIA
CPFE3,04/04/2019,29.25,29.46,28.85,28.99,CPFL ENERGIA
CPFE3,05/04/2019,29.00,29.44,28.99,29.44,CPFL ENERGIA
CPFE3,08/04/2019,29.24,29.40,28.88,29.32,CPFL ENERGIA
CPFE3,09/04/2019,29.28,29.36,28.71,29.00,CPFL ENERGIA
CPFE3,10/04/2019,29.02,29.07,28.68,29.00,CPFL ENERGIA
CPFE3,11/04/2019,28.99,29.11,28.44,28.44,CPFL ENERGIA
CPFE3,12/04/2019,28.40,28.84,28.29,28.84,CPFL ENERGIA
CPFE3,15/04/2019,28.85,28.95,28.35,28.95,CPFL ENERGIA
CPFE3,16/04/2019,28.83,28.83,28.45,28.51,CPFL ENERGIA
CPFE3,17/04/2019,28.60,28.60,28.05,28.50,CPFL ENERGIA
CPFE3,18/04/2019,28.45,28.65,28.22,28.65,CPFL ENERGIA
CPFE3,22/04/2019,28.48,28.88,28.46,28.88,CPFL ENERGIA
CPFE3,23/04/2019,28.94,29.09,28.65,29.00,CPFL ENERGIA
CPFE3,24/04/2019,29.04,29.05,28.56,28.90,CPFL ENERGIA
CPFE3,25/04/2019,28.99,29.10,28.75,29.10,CPFL ENERGIA
CPFE3,26/04/2019,29.14,29.25,28.82,29.00,CPFL ENERGIA
CPFE3,29/04/2019,29.20,29.28,28.95,29.10,CPFL ENERGIA
CPFE3,30/04/2019,29.25,29.82,29.17,29.82,CPFL ENERGIA
CPFE3,02/05/2019,29.35,29.79,29.21,29.79,CPFL ENERGIA
CPFE3,03/05/2019,29.87,29.87,29.41,29.63,CPFL ENERGIA
CPFE3,06/05/2019,29.56,29.77,29.29,29.77,CPFL ENERGIA
CPFE3,07/05/2019,29.58,29.90,29.50,29.90,CPFL ENERGIA
CPFE3,08/05/2019,30.00,30.19,29.71,30.19,CPFL ENERGIA
CPFE3,09/05/2019,30.15,30.35,29.88,30.35,CPFL ENERGIA
CPFE3,10/05/2019,30.34,30.81,30.14,30.75,CPFL ENERGIA
CPFE3,13/05/2019,30.72,30.72,30.23,30.44,CPFL ENERGIA
CPFE3,14/05/2019,30.52,30.56,30.02,30.02,CPFL ENERGIA
CPFE3,15/05/2019,29.88,30.09,29.55,29.72,CPFL ENERGIA
CPFE3,16/05/2019,29.74,29.74,29.01,29.48,CPFL ENERGIA
CPFE3,17/05/2019,29.62,29.62,28.82,28.90,CPFL ENERGIA
CPFE3,20/05/2019,29.02,29.10,28.55,29.10,CPFL ENERGIA
CPFE3,21/05/2019,29.24,30.35,29.19,30.00,CPFL ENERGIA
CPFE3,22/05/2019,30.04,30.13,29.91,30.13,CPFL ENERGIA
CPFE3,23/05/2019,29.99,30.30,29.88,30.03,CPFL ENERGIA
CPFE3,24/05/2019,30.20,30.20,29.86,29.90,CPFL ENERGIA
CPFE3,27/05/2019,30.10,30.10,29.47,29.80,CPFL ENERGIA
CPFE3,28/05/2019,29.89,29.89,29.55,29.72,CPFL ENERGIA
CPFE3,29/05/2019,29.68,29.84,29.52,29.75,CPFL ENERGIA
CPFE3,30/05/2019,29.83,30.61,29.69,30.30,CPFL ENERGIA
CPFE3,31/05/2019,30.43,30.94,30.30,30.74,CPFL ENERGIA
CPFE3,03/06/2019,30.99,30.99,30.57,30.70,CPFL ENERGIA
CPFE3,04/06/2019,30.68,30.88,30.35,30.88,CPFL ENERGIA
CPFE3,05/06/2019,30.98,30.98,30.30,30.30,CPFL ENERGIA
CPFE3,06/06/2019,30.50,30.50,29.75,29.75,CPFL ENERGIA
CPFE3,07/06/2019,29.75,29.81,28.49,29.10,CPFL ENERGIA
CPFE3,10/06/2019,29.10,29.10,28.15,28.30,CPFL ENERGIA
CPFE3,11/06/2019,28.36,28.99,28.10,28.54,CPFL ENERGIA
CPFE3,12/06/2019,28.60,29.56,28.44,28.94,CPFL ENERGIA
CPFE3,13/06/2019,29.09,30.20,29.09,29.85,CPFL ENERGIA
CPFE3,14/06/2019,29.91,30.19,29.33,29.58,CPFL ENERGIA
CPFE3,17/06/2019,29.50,30.19,29.33,29.90,CPFL ENERGIA
CPFE3,18/06/2019,30.07,30.41,29.80,29.95,CPFL ENERGIA
CPFE3,19/06/2019,29.96,30.04,29.08,29.80,CPFL ENERGIA
CPFE3,21/06/2019,29.95,29.95,29.50,29.78,CPFL ENERGIA
CPFE3,24/06/2019,29.78,29.78,29.30,29.59,CPFL ENERGIA
CPFE3,25/06/2019,29.60,29.70,28.90,29.10,CPFL ENERGIA
CPFE3,26/06/2019,29.15,29.35,28.95,29.20,CPFL ENERGIA
CPFE3,27/06/2019,29.23,29.68,28.92,29.68,CPFL ENERGIA
CPFE3,28/06/2019,29.80,30.43,29.65,30.43,CPFL ENERGIA
CPFE3,01/07/2019,30.46,30.54,29.74,30.29,CPFL ENERGIA
CPFE3,02/07/2019,30.34,30.42,29.89,30.24,CPFL ENERGIA
CPFE3,03/07/2019,30.00,31.22,30.00,31.12,CPFL ENERGIA
CPFE3,04/07/2019,31.23,31.62,31.18,31.44,CPFL ENERGIA
CPFE3,05/07/2019,31.56,31.63,30.82,31.43,CPFL ENERGIA
CPFE3,08/07/2019,31.30,31.66,31.25,31.56,CPFL ENERGIA
CPFE3,10/07/2019,31.62,31.93,31.35,31.86,CPFL ENERGIA
CPFE3,11/07/2019,31.86,31.86,31.41,31.83,CPFL ENERGIA
CPFE3,12/07/2019,31.93,31.96,31.07,31.50,CPFL ENERGIA
CPFE3,15/07/2019,31.82,31.82,30.96,31.19,CPFL ENERGIA
CPFE3,16/07/2019,31.20,31.31,30.66,31.17,CPFL ENERGIA
CPFE3,17/07/2019,31.31,31.45,30.86,31.06,CPFL ENERGIA
CPFE3,18/07/2019,31.30,31.40,30.75,30.97,CPFL ENERGIA
CPFE3,19/07/2019,31.06,31.09,30.41,30.91,CPFL ENERGIA
CPFE3,22/07/2019,31.30,31.54,30.83,31.08,CPFL ENERGIA
CPFE3,23/07/2019,31.08,31.40,30.85,30.99,CPFL ENERGIA
CPFE3,24/07/2019,31.10,31.20,30.15,30.90,CPFL ENERGIA
CPFE3,25/07/2019,31.14,31.20,30.35,30.66,CPFL ENERGIA
CPFE3,26/07/2019,30.72,31.27,30.58,31.03,CPFL ENERGIA
CPFE3,29/07/2019,31.15,31.63,30.97,31.57,CPFL ENERGIA
CPFE3,30/07/2019,31.31,32.17,31.31,31.90,CPFL ENERGIA
CPFE3,31/07/2019,32.03,32.29,31.80,32.23,CPFL ENERGIA
CPFE3,01/08/2019,32.30,33.50,32.25,33.00,CPFL ENERGIA
CPFE3,02/08/2019,33.45,33.45,32.62,33.17,CPFL ENERGIA
CPFE3,05/08/2019,33.13,33.13,32.53,32.74,CPFL ENERGIA
CPFE3,06/08/2019,33.00,33.83,32.67,33.83,CPFL ENERGIA
CPFE3,07/08/2019,33.70,34.23,33.28,34.00,CPFL ENERGIA
CPFE3,08/08/2019,34.06,34.30,33.88,33.98,CPFL ENERGIA
CPFE3,09/08/2019,34.17,34.17,33.69,33.86,CPFL ENERGIA
CPFE3,12/08/2019,33.76,33.76,33.10,33.64,CPFL ENERGIA
CPFE3,13/08/2019,33.90,33.90,33.10,33.62,CPFL ENERGIA
CPFE3,14/08/2019,33.65,33.90,32.89,33.00,CPFL ENERGIA
