Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CPLE6,02/01/2019,30.55,31.46,30.39,30.85,COPEL
CPLE6,03/01/2019,31.00,32.08,31.00,31.20,COPEL
CPLE6,04/01/2019,31.32,31.69,30.17,30.17,COPEL
CPLE6,07/01/2019,30.25,31.15,30.20,30.49,COPEL
CPLE6,08/01/2019,30.84,31.65,30.36,31.00,COPEL
CPLE6,09/01/2019,31.05,31.67,31.02,31.51,COPEL
CPLE6,10/01/2019,31.52,32.00,31.03,31.36,COPEL
CPLE6,11/01/2019,31.35,33.33,31.35,33.01,COPEL
CPLE6,14/01/2019,33.10,34.35,32.90,34.20,COPEL
CPLE6,15/01/2019,34.35,34.35,33.29,33.42,COPEL
CPLE6,16/01/2019,33.50,33.66,32.39,32.50,COPEL
CPLE6,17/01/2019,32.15,33.69,32.15,33.30,COPEL
CPLE6,18/01/2019,33.68,33.74,32.36,32.76,COPEL
CPLE6,21/01/2019,32.61,33.18,32.40,32.90,COPEL
CPLE6,22/01/2019,32.90,33.70,32.77,33.40,COPEL
CPLE6,23/01/2019,33.73,34.00,33.38,34.00,COPEL
CPLE6,24/01/2019,34.28,35.70,33.78,35.62,COPEL
CPLE6,28/01/2019,35.29,36.16,35.00,36.00,COPEL
CPLE6,29/01/2019,36.25,36.69,35.87,36.50,COPEL
CPLE6,30/01/2019,36.51,36.88,35.67,36.12,COPEL
CPLE6,31/01/2019,36.00,36.20,35.25,35.31,COPEL
CPLE6,01/02/2019,35.20,36.33,35.20,36.00,COPEL
CPLE6,04/02/2019,36.00,36.00,35.21,35.70,COPEL
CPLE6,05/02/2019,35.79,35.79,34.63,35.05,COPEL
CPLE6,06/02/2019,34.89,34.89,33.92,33.92,COPEL
CPLE6,07/02/2019,33.92,34.67,33.47,33.64,COPEL
CPLE6,08/02/2019,33.71,34.12,33.46,33.97,COPEL
CPLE6,11/02/2019,34.20,34.42,33.62,34.05,COPEL
CPLE6,12/02/2019,33.95,34.47,33.95,34.40,COPEL
CPLE6,13/02/2019,34.40,34.85,34.18,34.31,COPEL
CPLE6,14/02/2019,34.04,35.25,33.91,35.25,COPEL
CPLE6,15/02/2019,35.29,35.37,34.54,35.02,COPEL
CPLE6,18/02/2019,35.02,35.21,34.41,34.85,COPEL
CPLE6,19/02/2019,34.96,35.08,34.55,34.85,COPEL
CPLE6,20/02/2019,35.04,35.04,34.31,34.65,COPEL
CPLE6,21/02/2019,34.79,34.80,34.35,34.46,COPEL
CPLE6,22/02/2019,34.46,34.65,33.94,34.39,COPEL
CPLE6,25/02/2019,35.15,35.20,34.40,34.40,COPEL
CPLE6,26/02/2019,34.40,34.84,34.16,34.80,COPEL
CPLE6,27/02/2019,34.80,35.86,34.24,35.77,COPEL
CPLE6,28/02/2019,35.95,36.40,35.32,35.74,COPEL
CPLE6,01/03/2019,36.00,36.15,34.60,35.30,COPEL
CPLE6,06/03/2019,35.08,35.59,34.53,34.89,COPEL
CPLE6,07/03/2019,34.67,34.98,33.66,33.97,COPEL
CPLE6,08/03/2019,33.97,35.73,33.76,35.37,COPEL
CPLE6,11/03/2019,35.37,35.89,35.06,35.89,COPEL
CPLE6,12/03/2019,35.65,37.20,35.45,37.20,COPEL
CPLE6,13/03/2019,36.93,38.28,36.69,38.04,COPEL
CPLE6,14/03/2019,38.00,39.44,37.83,39.01,COPEL
CPLE6,15/03/2019,38.98,39.20,38.34,38.34,COPEL
CPLE6,18/03/2019,38.60,39.56,38.34,39.03,COPEL
CPLE6,19/03/2019,39.31,39.76,38.74,39.54,COPEL
CPLE6,20/03/2019,39.80,39.83,38.05,38.05,COPEL
CPLE6,21/03/2019,38.00,38.24,37.08,37.60,COPEL
CPLE6,22/03/2019,37.20,37.49,36.10,36.10,COPEL
CPLE6,25/03/2019,36.01,36.93,36.01,36.80,COPEL
CPLE6,26/03/2019,37.06,37.80,37.06,37.60,COPEL
CPLE6,27/03/2019,37.50,37.56,35.24,35.24,COPEL
CPLE6,28/03/2019,35.24,36.07,35.14,35.90,COPEL
CPLE6,29/03/2019,36.78,37.30,36.16,36.40,COPEL
CPLE6,01/04/2019,36.52,36.90,35.89,36.20,COPEL
CPLE6,02/04/2019,36.24,36.56,35.33,35.97,COPEL
CPLE6,03/04/2019,36.19,36.50,35.32,35.71,COPEL
CPLE6,04/04/2019,35.71,36.68,35.70,36.40,COPEL
CPLE6,05/04/2019,36.27,37.60,36.06,37.35,COPEL
CPLE6,08/04/2019,37.60,38.53,37.53,38.25,COPEL
CPLE6,09/04/2019,37.92,38.32,37.27,37.99,COPEL
CPLE6,10/04/2019,38.24,38.25,37.10,37.40,COPEL
CPLE6,11/04/2019,37.37,37.38,36.18,36.80,COPEL
CPLE6,12/04/2019,36.41,36.65,35.45,36.01,COPEL
CPLE6,15/04/2019,35.96,36.35,35.68,36.14,COPEL
