Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CRFB3,02/01/2019,17.90,19.10,17.90,18.95,CARREFOUR BR
CRFB3,03/01/2019,18.72,19.84,18.72,19.76,CARREFOUR BR
CRFB3,04/01/2019,19.88,19.88,19.02,19.20,CARREFOUR BR
CRFB3,07/01/2019,19.19,19.34,18.42,18.85,CARREFOUR BR
CRFB3,08/01/2019,18.82,19.09,18.61,18.66,CARREFOUR BR
CRFB3,09/01/2019,18.67,19.38,18.67,19.11,CARREFOUR BR
CRFB3,10/01/2019,19.03,19.60,19.02,19.28,CARREFOUR BR
CRFB3,11/01/2019,19.33,19.54,19.20,19.30,CARREFOUR BR
CRFB3,14/01/2019,19.30,19.64,19.27,19.57,CARREFOUR BR
CRFB3,15/01/2019,19.57,19.70,19.43,19.70,CARREFOUR BR
CRFB3,16/01/2019,19.74,20.00,19.64,19.80,CARREFOUR BR
CRFB3,17/01/2019,19.87,19.96,19.73,19.80,CARREFOUR BR
CRFB3,18/01/2019,19.94,20.56,19.65,19.80,CARREFOUR BR
CRFB3,21/01/2019,19.90,20.16,19.68,20.03,CARREFOUR BR
CRFB3,22/01/2019,20.10,20.16,19.21,19.60,CARREFOUR BR
CRFB3,23/01/2019,19.82,19.98,19.55,19.98,CARREFOUR BR
CRFB3,24/01/2019,19.95,20.14,19.82,20.01,CARREFOUR BR
CRFB3,28/01/2019,19.79,20.42,19.69,19.97,CARREFOUR BR
CRFB3,29/01/2019,20.13,20.20,19.90,19.90,CARREFOUR BR
CRFB3,30/01/2019,19.92,20.09,19.75,19.85,CARREFOUR BR
CRFB3,31/01/2019,19.99,20.29,19.83,19.99,CARREFOUR BR
CRFB3,01/02/2019,20.23,20.30,19.77,19.93,CARREFOUR BR
CRFB3,04/02/2019,19.98,20.27,19.96,19.97,CARREFOUR BR
CRFB3,05/02/2019,19.88,19.93,19.64,19.74,CARREFOUR BR
CRFB3,06/02/2019,19.74,19.74,19.06,19.17,CARREFOUR BR
CRFB3,07/02/2019,19.17,19.37,19.00,19.13,CARREFOUR BR
CRFB3,08/02/2019,19.15,19.34,18.87,19.26,CARREFOUR BR
CRFB3,11/02/2019,19.43,19.48,18.95,19.02,CARREFOUR BR
CRFB3,12/02/2019,19.30,19.80,18.95,19.44,CARREFOUR BR
CRFB3,13/02/2019,19.45,19.50,19.23,19.30,CARREFOUR BR
CRFB3,14/02/2019,19.38,19.76,19.00,19.62,CARREFOUR BR
CRFB3,15/02/2019,19.62,19.78,19.40,19.75,CARREFOUR BR
CRFB3,18/02/2019,19.61,19.93,19.42,19.69,CARREFOUR BR
CRFB3,19/02/2019,19.75,19.91,19.61,19.85,CARREFOUR BR
CRFB3,20/02/2019,19.90,20.42,19.86,20.00,CARREFOUR BR
CRFB3,21/02/2019,19.95,20.31,19.74,20.05,CARREFOUR BR
CRFB3,22/02/2019,20.05,20.46,19.79,20.27,CARREFOUR BR
CRFB3,25/02/2019,20.43,20.87,20.26,20.65,CARREFOUR BR
CRFB3,26/02/2019,20.65,20.89,20.54,20.75,CARREFOUR BR
CRFB3,27/02/2019,20.85,20.85,19.45,19.76,CARREFOUR BR
