Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CRPG5,02/01/2019,34.89,35.40,34.60,34.94,CRISTAL
CRPG5,03/01/2019,34.60,35.38,34.30,34.32,CRISTAL
CRPG5,04/01/2019,34.42,35.19,33.81,34.69,CRISTAL
CRPG5,07/01/2019,34.84,34.84,33.85,33.85,CRISTAL
CRPG5,08/01/2019,34.03,34.28,33.80,34.14,CRISTAL
CRPG5,09/01/2019,34.21,34.65,33.92,34.00,CRISTAL
CRPG5,10/01/2019,34.30,34.62,33.50,33.98,CRISTAL
CRPG5,11/01/2019,34.23,35.10,34.20,34.50,CRISTAL
CRPG5,14/01/2019,34.78,34.97,34.70,34.97,CRISTAL
CRPG5,15/01/2019,34.97,36.00,34.77,35.71,CRISTAL
CRPG5,16/01/2019,36.21,37.73,33.25,33.70,CRISTAL
CRPG5,17/01/2019,33.58,33.59,32.75,32.80,CRISTAL
CRPG5,18/01/2019,32.76,33.48,32.04,32.80,CRISTAL
CRPG5,21/01/2019,32.80,33.40,32.22,33.20,CRISTAL
CRPG5,22/01/2019,33.09,33.09,32.41,32.41,CRISTAL
CRPG5,23/01/2019,32.41,33.40,32.41,32.80,CRISTAL
CRPG5,24/01/2019,33.00,33.47,32.95,33.30,CRISTAL
CRPG5,28/01/2019,32.96,33.40,32.90,32.99,CRISTAL
CRPG5,29/01/2019,33.86,34.00,32.41,33.47,CRISTAL
CRPG5,30/01/2019,33.40,33.80,32.75,32.75,CRISTAL
CRPG5,31/01/2019,32.76,33.01,32.47,32.47,CRISTAL
CRPG5,01/02/2019,32.48,33.21,32.30,33.11,CRISTAL
CRPG5,04/02/2019,33.33,33.33,32.90,32.91,CRISTAL
CRPG5,05/02/2019,32.86,33.50,32.85,33.25,CRISTAL
CRPG5,06/02/2019,33.49,33.65,32.85,33.29,CRISTAL
CRPG5,07/02/2019,33.80,34.49,32.85,33.50,CRISTAL
CRPG5,08/02/2019,33.70,33.98,33.30,33.85,CRISTAL
CRPG5,11/02/2019,33.98,33.98,33.61,33.92,CRISTAL
CRPG5,12/02/2019,34.15,34.34,33.51,33.51,CRISTAL
CRPG5,13/02/2019,33.80,33.99,33.52,33.82,CRISTAL
CRPG5,14/02/2019,33.84,34.25,33.55,34.01,CRISTAL
CRPG5,15/02/2019,34.29,34.40,34.05,34.26,CRISTAL
CRPG5,18/02/2019,34.37,34.37,34.00,34.29,CRISTAL
CRPG5,19/02/2019,34.35,34.91,34.35,34.58,CRISTAL
CRPG5,20/02/2019,34.70,34.97,34.60,34.79,CRISTAL
CRPG5,21/02/2019,34.81,34.81,33.90,34.25,CRISTAL
CRPG5,22/02/2019,34.17,34.65,34.08,34.40,CRISTAL
CRPG5,25/02/2019,34.43,37.69,34.43,37.55,CRISTAL
CRPG5,26/02/2019,37.13,37.13,36.00,36.21,CRISTAL
CRPG5,27/02/2019,36.22,38.15,36.21,37.52,CRISTAL
CRPG5,28/02/2019,37.52,37.52,36.40,37.49,CRISTAL
CRPG5,01/03/2019,37.42,38.19,36.90,36.91,CRISTAL
CRPG5,06/03/2019,37.20,38.00,37.03,37.85,CRISTAL
CRPG5,07/03/2019,37.51,37.68,37.31,37.32,CRISTAL
CRPG5,08/03/2019,37.06,37.70,37.06,37.48,CRISTAL
CRPG5,11/03/2019,37.70,37.99,37.23,37.99,CRISTAL
CRPG5,12/03/2019,38.00,38.00,37.66,38.00,CRISTAL
CRPG5,13/03/2019,38.02,38.15,38.02,38.08,CRISTAL
CRPG5,14/03/2019,38.26,38.28,37.24,37.66,CRISTAL
