Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CSAN3,02/01/2019,33.39,36.00,33.26,35.70,COSAN
CSAN3,03/01/2019,35.30,36.53,35.30,36.24,COSAN
CSAN3,04/01/2019,35.79,36.65,34.99,36.03,COSAN
CSAN3,07/01/2019,36.48,36.48,35.00,35.50,COSAN
CSAN3,08/01/2019,35.37,35.89,35.00,35.89,COSAN
CSAN3,09/01/2019,35.79,38.82,35.79,38.82,COSAN
CSAN3,10/01/2019,38.50,40.18,38.11,39.74,COSAN
CSAN3,11/01/2019,39.45,39.78,38.64,38.95,COSAN
CSAN3,14/01/2019,38.98,39.75,38.36,39.20,COSAN
CSAN3,15/01/2019,39.00,40.19,38.64,39.61,COSAN
CSAN3,16/01/2019,39.85,41.70,39.34,41.55,COSAN
CSAN3,17/01/2019,42.00,42.46,41.64,42.18,COSAN
CSAN3,18/01/2019,42.20,42.59,41.19,42.18,COSAN
CSAN3,21/01/2019,41.90,41.94,40.56,40.91,COSAN
CSAN3,22/01/2019,40.50,41.30,40.06,40.87,COSAN
CSAN3,23/01/2019,41.19,42.55,40.58,42.55,COSAN
CSAN3,24/01/2019,42.20,43.44,41.80,43.44,COSAN
CSAN3,28/01/2019,42.80,43.72,42.51,43.52,COSAN
CSAN3,29/01/2019,43.64,44.32,43.09,44.22,COSAN
CSAN3,30/01/2019,44.39,45.26,44.12,44.95,COSAN
CSAN3,31/01/2019,45.03,45.80,43.91,44.39,COSAN
CSAN3,01/02/2019,44.39,44.49,43.59,44.35,COSAN
CSAN3,04/02/2019,44.20,45.57,44.05,44.50,COSAN
CSAN3,05/02/2019,44.22,45.54,44.12,45.00,COSAN
CSAN3,06/02/2019,44.60,44.97,43.05,43.29,COSAN
CSAN3,07/02/2019,43.31,44.25,42.72,42.90,COSAN
CSAN3,08/02/2019,42.54,43.30,42.42,43.12,COSAN
CSAN3,11/02/2019,43.18,43.48,42.22,42.88,COSAN
CSAN3,12/02/2019,43.44,43.65,42.10,42.54,COSAN
CSAN3,13/02/2019,42.58,43.24,42.30,42.53,COSAN
CSAN3,14/02/2019,42.60,43.00,41.61,42.70,COSAN
CSAN3,15/02/2019,43.05,43.43,42.28,42.90,COSAN
CSAN3,18/02/2019,42.57,43.00,41.90,42.20,COSAN
CSAN3,19/02/2019,42.20,43.52,42.11,43.52,COSAN
CSAN3,20/02/2019,43.68,45.00,43.68,44.73,COSAN
CSAN3,21/02/2019,44.72,45.18,43.16,44.28,COSAN
CSAN3,22/02/2019,44.55,45.40,43.72,45.08,COSAN
CSAN3,25/02/2019,45.20,45.46,43.50,44.10,COSAN
CSAN3,26/02/2019,43.82,45.25,43.63,45.15,COSAN
CSAN3,27/02/2019,45.25,45.50,44.50,44.50,COSAN
CSAN3,28/02/2019,44.50,44.67,43.33,43.70,COSAN
CSAN3,01/03/2019,43.49,44.08,42.47,42.66,COSAN
CSAN3,06/03/2019,42.17,42.39,41.30,41.42,COSAN
CSAN3,07/03/2019,41.24,42.06,41.21,41.43,COSAN
CSAN3,08/03/2019,41.21,42.06,41.06,42.06,COSAN
CSAN3,11/03/2019,42.00,43.88,41.97,43.88,COSAN
CSAN3,12/03/2019,43.70,44.00,43.13,43.84,COSAN
CSAN3,13/03/2019,43.74,44.29,43.16,44.00,COSAN
CSAN3,14/03/2019,44.01,44.27,43.50,43.70,COSAN
CSAN3,15/03/2019,43.92,44.38,43.57,44.28,COSAN
CSAN3,18/03/2019,44.50,45.70,44.47,45.00,COSAN
CSAN3,19/03/2019,45.53,46.44,45.53,45.79,COSAN
CSAN3,20/03/2019,45.85,47.00,45.85,45.93,COSAN
CSAN3,21/03/2019,46.00,46.91,45.25,46.44,COSAN
CSAN3,22/03/2019,45.99,45.99,44.66,45.19,COSAN
CSAN3,25/03/2019,44.58,45.09,43.37,43.48,COSAN
CSAN3,26/03/2019,43.80,44.36,43.05,43.75,COSAN
CSAN3,27/03/2019,43.30,43.56,42.00,42.14,COSAN
CSAN3,28/03/2019,41.80,42.75,41.60,42.15,COSAN
CSAN3,29/03/2019,42.50,43.67,42.03,42.65,COSAN
CSAN3,01/04/2019,43.06,44.00,42.74,43.61,COSAN
CSAN3,02/04/2019,44.00,44.17,42.60,43.03,COSAN
CSAN3,03/04/2019,43.33,44.30,42.67,44.11,COSAN
CSAN3,04/04/2019,44.50,44.55,43.56,43.94,COSAN
CSAN3,05/04/2019,44.40,46.29,44.08,46.00,COSAN
CSAN3,08/04/2019,45.99,47.09,45.84,46.28,COSAN
CSAN3,09/04/2019,45.68,46.49,45.00,45.00,COSAN
CSAN3,10/04/2019,45.40,47.01,45.01,46.30,COSAN
CSAN3,11/04/2019,46.25,46.49,44.95,45.00,COSAN
CSAN3,12/04/2019,44.74,45.30,44.00,44.04,COSAN
CSAN3,15/04/2019,44.55,46.00,43.55,44.97,COSAN
CSAN3,16/04/2019,44.88,46.73,44.50,45.95,COSAN
CSAN3,17/04/2019,45.86,46.27,44.23,44.85,COSAN
CSAN3,18/04/2019,44.91,46.58,44.83,46.40,COSAN
CSAN3,22/04/2019,46.38,46.86,45.84,46.50,COSAN
CSAN3,23/04/2019,46.75,48.40,46.75,47.32,COSAN
CSAN3,24/04/2019,46.94,47.66,45.98,46.60,COSAN
CSAN3,25/04/2019,46.45,46.61,45.50,45.96,COSAN
CSAN3,26/04/2019,45.89,46.29,45.54,45.57,COSAN
CSAN3,29/04/2019,46.15,46.56,45.78,46.22,COSAN
CSAN3,30/04/2019,46.22,47.08,46.02,46.87,COSAN
CSAN3,02/05/2019,46.87,47.03,46.30,46.74,COSAN
CSAN3,03/05/2019,46.05,46.30,45.17,45.19,COSAN
CSAN3,06/05/2019,45.00,45.12,44.40,44.86,COSAN
CSAN3,07/05/2019,44.70,44.95,43.69,44.56,COSAN
CSAN3,08/05/2019,44.86,45.59,44.59,45.27,COSAN
CSAN3,09/05/2019,44.90,45.42,44.07,44.25,COSAN
CSAN3,10/05/2019,44.17,45.40,44.01,44.76,COSAN
CSAN3,13/05/2019,44.00,44.74,43.94,44.49,COSAN
CSAN3,14/05/2019,44.55,44.95,43.59,44.20,COSAN
CSAN3,15/05/2019,43.71,43.96,42.87,43.80,COSAN
CSAN3,16/05/2019,43.40,44.32,43.03,43.60,COSAN
