Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CTNM4,02/01/2019,7.50,8.14,7.50,8.14,COTEMINAS
CTNM4,03/01/2019,8.16,8.80,8.16,8.60,COTEMINAS
CTNM4,04/01/2019,8.87,9.10,8.40,8.99,COTEMINAS
CTNM4,07/01/2019,8.99,8.99,8.60,8.99,COTEMINAS
CTNM4,08/01/2019,8.73,8.80,8.60,8.65,COTEMINAS
CTNM4,09/01/2019,8.89,8.89,8.33,8.60,COTEMINAS
CTNM4,10/01/2019,8.65,9.30,8.65,8.95,COTEMINAS
CTNM4,11/01/2019,9.05,9.39,8.95,9.38,COTEMINAS
CTNM4,14/01/2019,9.40,9.95,9.40,9.84,COTEMINAS
CTNM4,15/01/2019,9.82,9.94,9.70,9.70,COTEMINAS
CTNM4,16/01/2019,9.70,10.40,9.70,10.20,COTEMINAS
CTNM4,17/01/2019,10.00,10.39,9.58,10.15,COTEMINAS
CTNM4,18/01/2019,10.00,10.17,9.72,10.17,COTEMINAS
CTNM4,21/01/2019,10.10,10.10,9.83,10.08,COTEMINAS
CTNM4,22/01/2019,10.06,10.10,9.89,10.10,COTEMINAS
CTNM4,23/01/2019,10.05,10.05,9.56,9.74,COTEMINAS
CTNM4,24/01/2019,9.77,10.09,9.77,9.94,COTEMINAS
CTNM4,28/01/2019,9.60,10.04,9.60,10.02,COTEMINAS
CTNM4,29/01/2019,9.75,9.85,9.70,9.84,COTEMINAS
CTNM4,30/01/2019,9.95,10.14,9.90,10.14,COTEMINAS
CTNM4,31/01/2019,10.15,10.49,9.85,10.49,COTEMINAS
CTNM4,01/02/2019,10.35,10.60,10.13,10.13,COTEMINAS
CTNM4,04/02/2019,10.79,10.79,10.15,10.30,COTEMINAS
CTNM4,05/02/2019,10.60,10.60,10.30,10.47,COTEMINAS
CTNM4,06/02/2019,10.48,10.48,9.90,10.45,COTEMINAS
CTNM4,07/02/2019,10.25,10.43,10.25,10.40,COTEMINAS
CTNM4,08/02/2019,10.34,10.44,10.34,10.44,COTEMINAS
CTNM4,11/02/2019,10.44,10.44,10.15,10.44,COTEMINAS
CTNM4,12/02/2019,10.44,10.44,10.21,10.44,COTEMINAS
CTNM4,13/02/2019,10.21,10.25,10.21,10.21,COTEMINAS
CTNM4,14/02/2019,10.20,10.44,10.01,10.44,COTEMINAS
CTNM4,15/02/2019,10.44,10.44,10.27,10.42,COTEMINAS
CTNM4,18/02/2019,10.44,10.44,10.27,10.29,COTEMINAS
CTNM4,19/02/2019,10.29,10.30,10.06,10.30,COTEMINAS
CTNM4,20/02/2019,10.10,10.10,10.05,10.06,COTEMINAS
CTNM4,21/02/2019,10.02,10.02,9.84,9.98,COTEMINAS
CTNM4,22/02/2019,10.20,10.36,10.15,10.36,COTEMINAS
CTNM4,25/02/2019,10.08,10.38,10.08,10.38,COTEMINAS
CTNM4,26/02/2019,10.16,10.16,10.16,10.16,COTEMINAS
CTNM4,27/02/2019,10.01,10.19,9.87,10.19,COTEMINAS
CTNM4,28/02/2019,10.01,10.03,10.01,10.01,COTEMINAS
CTNM4,01/03/2019,10.01,10.19,9.85,10.19,COTEMINAS
CTNM4,06/03/2019,10.00,10.20,9.90,10.15,COTEMINAS
CTNM4,07/03/2019,9.90,10.00,9.88,10.00,COTEMINAS
CTNM4,08/03/2019,10.00,10.16,10.00,10.00,COTEMINAS
CTNM4,11/03/2019,10.00,10.35,10.00,10.35,COTEMINAS
CTNM4,12/03/2019,10.08,10.30,10.05,10.30,COTEMINAS
CTNM4,13/03/2019,10.29,10.44,10.03,10.44,COTEMINAS
CTNM4,14/03/2019,10.21,10.44,10.20,10.44,COTEMINAS
CTNM4,15/03/2019,10.20,10.44,10.05,10.44,COTEMINAS
CTNM4,18/03/2019,10.43,10.44,10.20,10.44,COTEMINAS
CTNM4,19/03/2019,10.44,10.44,10.21,10.41,COTEMINAS
CTNM4,20/03/2019,10.11,10.40,10.11,10.40,COTEMINAS
CTNM4,21/03/2019,10.11,10.38,10.11,10.38,COTEMINAS
CTNM4,22/03/2019,10.30,10.30,9.72,10.09,COTEMINAS
CTNM4,25/03/2019,10.09,10.09,10.08,10.08,COTEMINAS
CTNM4,26/03/2019,10.00,10.07,9.90,9.90,COTEMINAS
CTNM4,27/03/2019,9.62,10.04,9.42,10.04,COTEMINAS
CTNM4,28/03/2019,10.03,10.04,9.91,10.03,COTEMINAS
CTNM4,29/03/2019,10.03,10.40,10.03,10.40,COTEMINAS
CTNM4,01/04/2019,9.82,10.13,9.82,10.13,COTEMINAS
CTNM4,02/04/2019,10.00,10.08,9.92,10.08,COTEMINAS
CTNM4,03/04/2019,10.07,10.07,9.90,10.05,COTEMINAS
CTNM4,04/04/2019,9.91,10.35,9.90,10.35,COTEMINAS
CTNM4,05/04/2019,10.05,10.24,10.00,10.24,COTEMINAS
CTNM4,08/04/2019,10.40,11.15,10.40,11.00,COTEMINAS
CTNM4,09/04/2019,10.85,11.09,10.85,11.00,COTEMINAS
CTNM4,10/04/2019,10.62,10.85,10.54,10.56,COTEMINAS
CTNM4,11/04/2019,10.51,10.78,10.50,10.74,COTEMINAS
CTNM4,12/04/2019,10.77,11.28,10.50,11.28,COTEMINAS
CTNM4,15/04/2019,11.70,11.99,11.29,11.29,COTEMINAS
CTNM4,16/04/2019,11.00,11.44,10.81,11.43,COTEMINAS
CTNM4,17/04/2019,11.69,11.70,11.15,11.56,COTEMINAS
CTNM4,18/04/2019,11.71,11.71,11.30,11.70,COTEMINAS
CTNM4,22/04/2019,11.95,11.95,11.30,11.60,COTEMINAS
CTNM4,23/04/2019,11.63,11.80,11.23,11.69,COTEMINAS
CTNM4,24/04/2019,11.40,11.65,11.22,11.55,COTEMINAS
CTNM4,25/04/2019,11.40,11.60,11.20,11.60,COTEMINAS
CTNM4,26/04/2019,11.60,11.60,11.00,11.00,COTEMINAS
CTNM4,29/04/2019,11.03,11.49,11.00,11.49,COTEMINAS
CTNM4,30/04/2019,11.50,11.50,11.25,11.25,COTEMINAS
CTNM4,02/05/2019,11.03,11.05,10.61,10.61,COTEMINAS
CTNM4,03/05/2019,10.66,11.48,10.50,11.08,COTEMINAS
CTNM4,06/05/2019,11.00,11.05,10.60,10.60,COTEMINAS
CTNM4,07/05/2019,10.88,11.05,10.60,10.62,COTEMINAS
CTNM4,08/05/2019,10.62,10.89,10.50,10.50,COTEMINAS
CTNM4,09/05/2019,10.52,10.69,10.50,10.50,COTEMINAS
CTNM4,10/05/2019,10.52,10.54,10.40,10.40,COTEMINAS
CTNM4,13/05/2019,10.38,10.59,10.35,10.40,COTEMINAS
CTNM4,14/05/2019,10.36,10.61,10.35,10.45,COTEMINAS
CTNM4,15/05/2019,10.35,10.35,10.00,10.06,COTEMINAS
CTNM4,16/05/2019,10.00,10.05,9.42,9.42,COTEMINAS
CTNM4,17/05/2019,9.69,9.69,9.04,9.50,COTEMINAS
CTNM4,20/05/2019,9.45,9.45,9.19,9.20,COTEMINAS
CTNM4,21/05/2019,9.70,9.70,9.18,9.22,COTEMINAS
CTNM4,22/05/2019,9.30,9.55,9.22,9.55,COTEMINAS
CTNM4,23/05/2019,9.65,9.69,9.30,9.50,COTEMINAS
CTNM4,24/05/2019,9.50,9.50,9.30,9.50,COTEMINAS
CTNM4,27/05/2019,9.50,9.50,9.22,9.22,COTEMINAS
CTNM4,28/05/2019,9.34,9.50,9.25,9.35,COTEMINAS
CTNM4,29/05/2019,9.30,9.30,9.00,9.20,COTEMINAS
CTNM4,30/05/2019,9.04,9.10,8.75,8.90,COTEMINAS
CTNM4,31/05/2019,9.08,9.10,8.65,9.10,COTEMINAS
CTNM4,03/06/2019,9.09,9.11,8.81,9.07,COTEMINAS
CTNM4,04/06/2019,9.11,9.11,8.80,9.00,COTEMINAS
CTNM4,05/06/2019,9.00,9.09,9.00,9.09,COTEMINAS
CTNM4,06/06/2019,8.93,9.00,8.91,9.00,COTEMINAS
CTNM4,07/06/2019,9.01,9.01,8.83,8.99,COTEMINAS
CTNM4,10/06/2019,8.99,9.00,8.90,9.00,COTEMINAS
CTNM4,11/06/2019,8.85,8.93,8.63,8.64,COTEMINAS
CTNM4,12/06/2019,8.65,8.80,8.50,8.51,COTEMINAS
CTNM4,13/06/2019,8.63,8.64,8.06,8.06,COTEMINAS
CTNM4,14/06/2019,8.29,8.35,7.92,8.03,COTEMINAS
CTNM4,17/06/2019,8.20,8.30,8.00,8.00,COTEMINAS
CTNM4,18/06/2019,8.16,8.33,8.03,8.33,COTEMINAS
CTNM4,19/06/2019,8.36,8.37,8.02,8.30,COTEMINAS
CTNM4,21/06/2019,8.27,8.37,8.26,8.35,COTEMINAS
CTNM4,24/06/2019,8.32,8.65,8.30,8.53,COTEMINAS
CTNM4,25/06/2019,8.68,8.68,8.36,8.50,COTEMINAS
CTNM4,26/06/2019,8.52,9.00,8.52,8.80,COTEMINAS
CTNM4,27/06/2019,8.80,8.95,8.73,8.77,COTEMINAS
CTNM4,28/06/2019,8.94,9.05,8.80,9.04,COTEMINAS
CTNM4,01/07/2019,9.15,9.42,8.99,8.99,COTEMINAS
CTNM4,02/07/2019,9.20,10.01,9.00,10.01,COTEMINAS
CTNM4,03/07/2019,10.51,10.51,9.71,9.90,COTEMINAS
CTNM4,04/07/2019,10.10,10.44,10.00,10.16,COTEMINAS
CTNM4,05/07/2019,10.04,10.94,9.99,10.81,COTEMINAS
CTNM4,08/07/2019,11.20,12.39,11.20,11.94,COTEMINAS
CTNM4,10/07/2019,12.39,13.25,11.45,11.45,COTEMINAS
CTNM4,11/07/2019,11.84,11.84,10.80,11.27,COTEMINAS
CTNM4,12/07/2019,11.25,11.25,10.78,10.97,COTEMINAS
CTNM4,15/07/2019,10.96,11.90,10.94,11.50,COTEMINAS
CTNM4,16/07/2019,11.60,12.00,11.40,11.92,COTEMINAS
CTNM4,17/07/2019,12.20,12.35,11.66,11.66,COTEMINAS
CTNM4,18/07/2019,11.84,11.97,11.06,11.06,COTEMINAS
CTNM4,19/07/2019,11.15,11.30,10.54,11.14,COTEMINAS
CTNM4,22/07/2019,11.00,11.34,10.90,11.21,COTEMINAS
CTNM4,23/07/2019,11.21,11.34,10.95,11.25,COTEMINAS
CTNM4,24/07/2019,11.31,11.31,10.92,10.92,COTEMINAS
CTNM4,25/07/2019,10.90,11.28,10.90,11.10,COTEMINAS
CTNM4,26/07/2019,11.15,11.20,10.89,11.00,COTEMINAS
CTNM4,29/07/2019,11.02,11.32,10.96,11.07,COTEMINAS
CTNM4,30/07/2019,11.07,11.18,10.91,10.95,COTEMINAS
CTNM4,31/07/2019,10.95,10.95,10.57,10.69,COTEMINAS
CTNM4,01/08/2019,10.85,11.13,10.71,10.90,COTEMINAS
CTNM4,02/08/2019,10.81,10.98,10.68,10.98,COTEMINAS
CTNM4,05/08/2019,10.99,11.07,10.50,10.50,COTEMINAS
CTNM4,06/08/2019,11.07,11.07,10.40,10.56,COTEMINAS
CTNM4,07/08/2019,10.61,10.84,10.40,10.54,COTEMINAS
CTNM4,08/08/2019,10.69,10.86,10.48,10.48,COTEMINAS
CTNM4,09/08/2019,10.50,10.78,10.43,10.59,COTEMINAS
CTNM4,12/08/2019,10.51,10.79,10.44,10.60,COTEMINAS
CTNM4,13/08/2019,10.60,10.89,10.31,10.50,COTEMINAS
CTNM4,14/08/2019,10.50,10.51,10.20,10.20,COTEMINAS
CTNM4,15/08/2019,10.20,10.28,9.22,9.30,COTEMINAS
CTNM4,16/08/2019,9.31,9.78,8.76,8.93,COTEMINAS
CTNM4,19/08/2019,8.93,9.20,8.72,8.73,COTEMINAS
CTNM4,20/08/2019,8.80,8.80,8.35,8.60,COTEMINAS
CTNM4,21/08/2019,8.55,8.86,8.40,8.85,COTEMINAS
CTNM4,22/08/2019,9.49,9.49,8.90,9.30,COTEMINAS
CTNM4,23/08/2019,9.30,9.87,9.13,9.38,COTEMINAS
CTNM4,26/08/2019,9.38,9.49,8.53,8.53,COTEMINAS
CTNM4,27/08/2019,8.54,9.00,8.53,8.87,COTEMINAS
CTNM4,28/08/2019,8.90,9.37,8.90,9.16,COTEMINAS
CTNM4,29/08/2019,9.17,9.34,9.02,9.31,COTEMINAS
CTNM4,30/08/2019,9.14,9.45,9.14,9.37,COTEMINAS
CTNM4,02/09/2019,9.35,9.57,9.21,9.45,COTEMINAS
CTNM4,03/09/2019,9.45,9.49,9.20,9.20,COTEMINAS
CTNM4,04/09/2019,9.42,9.61,9.27,9.48,COTEMINAS
CTNM4,05/09/2019,9.48,9.49,9.20,9.40,COTEMINAS
CTNM4,06/09/2019,9.53,9.53,9.21,9.41,COTEMINAS
CTNM4,09/09/2019,9.45,9.53,9.06,9.37,COTEMINAS
CTNM4,10/09/2019,9.40,9.45,9.11,9.15,COTEMINAS
CTNM4,11/09/2019,9.40,9.40,9.00,9.11,COTEMINAS
CTNM4,12/09/2019,9.25,9.36,9.20,9.30,COTEMINAS
CTNM4,13/09/2019,9.30,9.42,9.05,9.07,COTEMINAS
CTNM4,16/09/2019,9.30,9.30,9.03,9.07,COTEMINAS
CTNM4,17/09/2019,9.03,9.24,8.98,9.20,COTEMINAS
CTNM4,18/09/2019,9.20,9.49,9.20,9.49,COTEMINAS
CTNM4,19/09/2019,9.42,9.80,9.35,9.79,COTEMINAS
CTNM4,20/09/2019,9.56,9.85,9.56,9.69,COTEMINAS
CTNM4,23/09/2019,9.69,9.76,9.25,9.25,COTEMINAS
CTNM4,24/09/2019,9.57,9.59,9.10,9.10,COTEMINAS
CTNM4,25/09/2019,9.06,9.73,9.00,9.69,COTEMINAS
CTNM4,26/09/2019,9.50,9.84,9.40,9.83,COTEMINAS
CTNM4,27/09/2019,9.80,9.84,9.49,9.56,COTEMINAS
CTNM4,30/09/2019,9.70,9.81,9.60,9.74,COTEMINAS
CTNM4,01/10/2019,9.79,9.92,9.61,9.92,COTEMINAS
CTNM4,02/10/2019,9.63,9.94,9.52,9.62,COTEMINAS
CTNM4,03/10/2019,9.83,9.83,9.58,9.61,COTEMINAS
CTNM4,04/10/2019,9.80,9.85,9.61,9.85,COTEMINAS
CTNM4,07/10/2019,9.85,9.85,9.43,9.74,COTEMINAS
CTNM4,08/10/2019,9.73,9.93,9.44,9.78,COTEMINAS
CTNM4,09/10/2019,9.78,9.94,9.62,9.78,COTEMINAS
CTNM4,10/10/2019,9.78,9.93,9.65,9.66,COTEMINAS
CTNM4,11/10/2019,9.80,9.82,9.62,9.66,COTEMINAS
CTNM4,14/10/2019,9.66,9.66,9.45,9.52,COTEMINAS
CTNM4,15/10/2019,9.43,9.68,9.40,9.60,COTEMINAS
CTNM4,16/10/2019,9.57,9.64,9.51,9.64,COTEMINAS
CTNM4,17/10/2019,9.62,9.63,9.52,9.53,COTEMINAS
CTNM4,18/10/2019,9.44,9.59,9.44,9.50,COTEMINAS
CTNM4,21/10/2019,9.50,9.70,9.47,9.62,COTEMINAS
