Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CVCB3,02/01/2019,61.19,61.73,60.74,61.10,CVC BRASIL
CVCB3,03/01/2019,61.50,61.65,60.10,60.71,CVC BRASIL
CVCB3,04/01/2019,60.45,60.95,59.14,59.95,CVC BRASIL
CVCB3,07/01/2019,60.54,61.94,60.16,60.70,CVC BRASIL
CVCB3,08/01/2019,60.86,61.06,58.71,58.71,CVC BRASIL
CVCB3,09/01/2019,58.83,59.80,57.99,59.07,CVC BRASIL
CVCB3,10/01/2019,59.07,60.01,59.05,60.00,CVC BRASIL
CVCB3,11/01/2019,60.10,60.12,58.49,59.00,CVC BRASIL
CVCB3,14/01/2019,59.20,59.50,58.68,59.01,CVC BRASIL
CVCB3,15/01/2019,59.15,59.99,58.90,59.46,CVC BRASIL
CVCB3,16/01/2019,59.44,59.85,58.91,59.50,CVC BRASIL
CVCB3,17/01/2019,59.29,60.20,59.02,59.90,CVC BRASIL
CVCB3,18/01/2019,59.95,60.95,59.53,60.01,CVC BRASIL
CVCB3,21/01/2019,60.50,60.50,58.71,59.53,CVC BRASIL
CVCB3,22/01/2019,59.53,60.74,59.00,59.60,CVC BRASIL
CVCB3,23/01/2019,60.20,61.68,59.15,61.68,CVC BRASIL
CVCB3,24/01/2019,61.70,62.39,61.24,61.99,CVC BRASIL
CVCB3,28/01/2019,61.90,62.80,61.20,62.20,CVC BRASIL
CVCB3,29/01/2019,62.71,63.39,62.32,62.71,CVC BRASIL
CVCB3,30/01/2019,62.71,65.24,62.50,64.69,CVC BRASIL
CVCB3,31/01/2019,65.00,65.33,63.36,64.00,CVC BRASIL
CVCB3,01/02/2019,64.02,65.13,63.83,64.80,CVC BRASIL
CVCB3,04/02/2019,65.02,65.07,63.56,63.85,CVC BRASIL
CVCB3,05/02/2019,63.50,63.84,61.71,62.85,CVC BRASIL
CVCB3,06/02/2019,62.45,62.56,60.00,60.00,CVC BRASIL
CVCB3,07/02/2019,60.65,62.05,60.20,60.73,CVC BRASIL
CVCB3,08/02/2019,60.70,61.51,59.90,61.00,CVC BRASIL
CVCB3,11/02/2019,61.09,61.42,59.90,61.16,CVC BRASIL
CVCB3,12/02/2019,61.77,63.25,60.88,63.24,CVC BRASIL
