Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
DMMO3,02/01/2019,0.99,0.99,0.96,0.98,DOMMO
DMMO3,03/01/2019,0.98,0.99,0.95,0.96,DOMMO
DMMO3,04/01/2019,0.96,0.97,0.95,0.97,DOMMO
DMMO3,07/01/2019,0.98,1.03,0.97,0.98,DOMMO
DMMO3,08/01/2019,0.99,1.00,0.91,0.91,DOMMO
DMMO3,09/01/2019,0.92,0.94,0.86,0.88,DOMMO
DMMO3,10/01/2019,0.88,0.93,0.84,0.89,DOMMO
DMMO3,11/01/2019,0.89,0.92,0.83,0.86,DOMMO
DMMO3,14/01/2019,0.87,0.87,0.81,0.85,DOMMO
DMMO3,15/01/2019,0.85,0.86,0.83,0.83,DOMMO
DMMO3,16/01/2019,0.83,0.91,0.83,0.89,DOMMO
DMMO3,17/01/2019,0.89,0.92,0.85,0.85,DOMMO
DMMO3,18/01/2019,0.86,0.87,0.83,0.84,DOMMO
DMMO3,21/01/2019,0.85,0.85,0.83,0.83,DOMMO
DMMO3,22/01/2019,0.84,0.85,0.83,0.83,DOMMO
DMMO3,23/01/2019,0.84,0.85,0.83,0.85,DOMMO
DMMO3,24/01/2019,0.84,0.86,0.83,0.83,DOMMO
DMMO3,28/01/2019,0.84,0.85,0.81,0.81,DOMMO
DMMO3,29/01/2019,0.82,0.83,0.80,0.82,DOMMO
DMMO3,30/01/2019,0.81,0.83,0.81,0.83,DOMMO
DMMO3,31/01/2019,0.82,0.84,0.82,0.83,DOMMO
DMMO3,01/02/2019,0.83,0.84,0.82,0.84,DOMMO
DMMO3,04/02/2019,0.83,0.84,0.82,0.83,DOMMO
DMMO3,05/02/2019,0.83,0.84,0.82,0.83,DOMMO
DMMO3,06/02/2019,0.84,0.88,0.82,0.84,DOMMO
DMMO3,07/02/2019,0.85,0.86,0.84,0.85,DOMMO
DMMO3,08/02/2019,0.86,0.86,0.84,0.86,DOMMO
DMMO3,11/02/2019,0.85,0.88,0.85,0.85,DOMMO
DMMO3,12/02/2019,0.86,0.86,0.84,0.84,DOMMO
DMMO3,13/02/2019,0.84,0.85,0.83,0.84,DOMMO
DMMO3,14/02/2019,0.84,0.87,0.83,0.85,DOMMO
DMMO3,15/02/2019,0.85,0.88,0.85,0.87,DOMMO
DMMO3,18/02/2019,0.87,1.05,0.87,1.04,DOMMO
DMMO3,19/02/2019,1.05,1.13,0.96,0.96,DOMMO
DMMO3,20/02/2019,0.96,0.98,0.89,0.90,DOMMO
DMMO3,21/02/2019,0.91,0.95,0.89,0.90,DOMMO
DMMO3,22/02/2019,0.90,0.94,0.89,0.91,DOMMO
DMMO3,25/02/2019,0.91,0.94,0.91,0.92,DOMMO
DMMO3,26/02/2019,0.92,0.93,0.91,0.91,DOMMO
DMMO3,27/02/2019,0.91,0.92,0.90,0.91,DOMMO
DMMO3,28/02/2019,0.92,0.92,0.89,0.89,DOMMO
DMMO3,01/03/2019,0.87,0.87,0.82,0.85,DOMMO
DMMO3,06/03/2019,0.84,0.85,0.83,0.83,DOMMO
DMMO3,07/03/2019,0.84,0.84,0.81,0.83,DOMMO
DMMO3,08/03/2019,0.82,0.84,0.82,0.82,DOMMO
DMMO3,11/03/2019,0.83,0.92,0.82,0.87,DOMMO
DMMO3,12/03/2019,0.88,0.89,0.85,0.86,DOMMO
DMMO3,13/03/2019,0.86,0.89,0.85,0.86,DOMMO
DMMO3,14/03/2019,0.87,0.87,0.85,0.85,DOMMO
DMMO3,15/03/2019,0.85,0.86,0.84,0.85,DOMMO
DMMO3,18/03/2019,0.84,0.85,0.83,0.83,DOMMO
DMMO3,19/03/2019,0.84,0.85,0.82,0.82,DOMMO
DMMO3,20/03/2019,0.82,0.83,0.81,0.82,DOMMO
DMMO3,21/03/2019,0.82,0.83,0.81,0.81,DOMMO
DMMO3,22/03/2019,0.81,0.81,0.77,0.79,DOMMO
DMMO3,25/03/2019,0.78,0.80,0.78,0.80,DOMMO
DMMO3,26/03/2019,0.80,0.80,0.79,0.80,DOMMO
