Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EALT4,02/01/2019,4.39,4.41,4.20,4.40,ACO ALTONA
EALT4,03/01/2019,4.43,4.48,4.38,4.38,ACO ALTONA
EALT4,04/01/2019,4.39,4.53,4.39,4.43,ACO ALTONA
EALT4,07/01/2019,4.53,4.64,4.51,4.64,ACO ALTONA
EALT4,08/01/2019,4.65,4.75,4.60,4.74,ACO ALTONA
EALT4,09/01/2019,4.88,5.40,4.87,5.39,ACO ALTONA
EALT4,10/01/2019,5.05,5.38,5.05,5.38,ACO ALTONA
EALT4,11/01/2019,5.38,5.50,5.16,5.42,ACO ALTONA
EALT4,14/01/2019,5.43,5.43,5.15,5.42,ACO ALTONA
EALT4,15/01/2019,5.40,5.42,5.26,5.42,ACO ALTONA
EALT4,16/01/2019,5.28,5.39,5.02,5.02,ACO ALTONA
EALT4,17/01/2019,5.04,5.35,5.04,5.35,ACO ALTONA
EALT4,18/01/2019,5.43,5.43,5.22,5.40,ACO ALTONA
EALT4,21/01/2019,5.39,5.40,5.26,5.35,ACO ALTONA
EALT4,22/01/2019,5.37,5.37,5.10,5.24,ACO ALTONA
EALT4,23/01/2019,5.11,5.34,5.01,5.28,ACO ALTONA
EALT4,24/01/2019,5.28,5.28,5.24,5.27,ACO ALTONA
EALT4,28/01/2019,5.25,5.25,5.20,5.20,ACO ALTONA
EALT4,29/01/2019,5.20,5.30,5.10,5.30,ACO ALTONA
EALT4,30/01/2019,5.30,5.47,5.24,5.33,ACO ALTONA
EALT4,31/01/2019,5.32,5.33,5.15,5.33,ACO ALTONA
EALT4,01/02/2019,5.02,5.33,5.02,5.33,ACO ALTONA
EALT4,04/02/2019,5.33,5.33,5.30,5.33,ACO ALTONA
EALT4,05/02/2019,5.33,5.34,5.15,5.33,ACO ALTONA
EALT4,06/02/2019,5.34,5.34,5.27,5.32,ACO ALTONA
EALT4,07/02/2019,5.34,5.34,5.15,5.25,ACO ALTONA
EALT4,08/02/2019,5.30,5.34,5.25,5.34,ACO ALTONA
EALT4,11/02/2019,5.33,5.34,5.10,5.34,ACO ALTONA
EALT4,12/02/2019,5.30,5.33,5.20,5.33,ACO ALTONA
EALT4,13/02/2019,5.36,5.36,5.20,5.28,ACO ALTONA
EALT4,14/02/2019,5.27,5.40,5.15,5.40,ACO ALTONA
EALT4,15/02/2019,5.42,5.42,5.30,5.38,ACO ALTONA
EALT4,18/02/2019,5.35,5.35,5.17,5.19,ACO ALTONA
