Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ECOR3,02/01/2019,9.47,9.72,9.36,9.72,ECORODOVIAS
ECOR3,03/01/2019,9.72,9.99,9.60,9.92,ECORODOVIAS
ECOR3,04/01/2019,9.92,10.05,9.80,9.96,ECORODOVIAS
ECOR3,07/01/2019,9.94,9.95,9.68,9.84,ECORODOVIAS
ECOR3,08/01/2019,9.91,9.92,9.72,9.82,ECORODOVIAS
ECOR3,09/01/2019,9.85,10.18,9.85,10.01,ECORODOVIAS
ECOR3,10/01/2019,10.01,10.20,9.90,10.20,ECORODOVIAS
ECOR3,11/01/2019,10.17,10.52,10.13,10.45,ECORODOVIAS
ECOR3,14/01/2019,10.51,10.87,10.41,10.71,ECORODOVIAS
ECOR3,15/01/2019,10.69,10.79,10.50,10.54,ECORODOVIAS
ECOR3,16/01/2019,10.53,10.65,10.32,10.35,ECORODOVIAS
ECOR3,17/01/2019,10.35,10.55,10.35,10.50,ECORODOVIAS
ECOR3,18/01/2019,10.58,10.58,10.22,10.34,ECORODOVIAS
ECOR3,21/01/2019,10.25,10.54,10.15,10.50,ECORODOVIAS
ECOR3,22/01/2019,10.52,10.80,10.40,10.58,ECORODOVIAS
ECOR3,23/01/2019,10.68,10.90,10.58,10.61,ECORODOVIAS
ECOR3,24/01/2019,10.68,11.29,10.64,11.17,ECORODOVIAS
ECOR3,28/01/2019,11.17,11.47,10.86,11.47,ECORODOVIAS
ECOR3,29/01/2019,11.47,12.08,11.43,12.00,ECORODOVIAS
ECOR3,30/01/2019,12.09,12.19,11.53,11.75,ECORODOVIAS
ECOR3,31/01/2019,11.77,11.89,11.37,11.39,ECORODOVIAS
ECOR3,01/02/2019,11.40,11.66,11.37,11.48,ECORODOVIAS
ECOR3,04/02/2019,11.54,11.65,11.17,11.55,ECORODOVIAS
ECOR3,05/02/2019,11.54,11.63,11.36,11.53,ECORODOVIAS
ECOR3,06/02/2019,11.47,11.47,10.91,11.11,ECORODOVIAS
ECOR3,07/02/2019,11.10,11.34,10.95,11.25,ECORODOVIAS
ECOR3,08/02/2019,11.32,11.59,11.13,11.13,ECORODOVIAS
ECOR3,11/02/2019,11.19,11.21,10.68,11.01,ECORODOVIAS
ECOR3,12/02/2019,11.16,11.19,10.85,11.08,ECORODOVIAS
ECOR3,13/02/2019,11.09,11.10,10.73,10.86,ECORODOVIAS
ECOR3,14/02/2019,10.87,11.23,10.71,11.14,ECORODOVIAS
ECOR3,15/02/2019,11.19,11.34,10.88,11.07,ECORODOVIAS
ECOR3,18/02/2019,11.12,11.17,10.93,11.17,ECORODOVIAS
ECOR3,19/02/2019,11.18,11.33,11.12,11.25,ECORODOVIAS
ECOR3,20/02/2019,11.28,11.45,11.00,11.01,ECORODOVIAS
ECOR3,21/02/2019,11.07,11.14,10.67,10.99,ECORODOVIAS
ECOR3,22/02/2019,11.01,11.07,10.84,10.95,ECORODOVIAS
ECOR3,25/02/2019,11.00,11.11,10.91,10.95,ECORODOVIAS
ECOR3,26/02/2019,10.96,11.23,10.88,11.00,ECORODOVIAS
ECOR3,27/02/2019,10.99,11.23,10.83,11.20,ECORODOVIAS
ECOR3,28/02/2019,11.15,11.43,11.08,11.32,ECORODOVIAS
ECOR3,01/03/2019,11.32,11.36,10.96,11.10,ECORODOVIAS
ECOR3,06/03/2019,11.09,11.09,10.57,10.57,ECORODOVIAS
ECOR3,07/03/2019,10.47,10.47,9.85,9.98,ECORODOVIAS
ECOR3,08/03/2019,9.90,10.32,9.84,10.06,ECORODOVIAS
ECOR3,11/03/2019,10.14,10.35,10.13,10.20,ECORODOVIAS
ECOR3,12/03/2019,10.18,10.40,10.17,10.22,ECORODOVIAS
ECOR3,13/03/2019,10.28,10.42,10.15,10.42,ECORODOVIAS
ECOR3,14/03/2019,10.40,10.42,10.15,10.35,ECORODOVIAS
ECOR3,15/03/2019,10.22,10.33,10.05,10.06,ECORODOVIAS
ECOR3,18/03/2019,10.13,10.13,9.86,9.95,ECORODOVIAS
ECOR3,19/03/2019,10.00,10.08,9.81,9.81,ECORODOVIAS
ECOR3,20/03/2019,9.82,10.00,9.73,9.90,ECORODOVIAS
ECOR3,21/03/2019,9.90,9.93,9.48,9.64,ECORODOVIAS
ECOR3,22/03/2019,9.43,9.49,9.18,9.18,ECORODOVIAS
ECOR3,25/03/2019,9.24,9.47,9.16,9.33,ECORODOVIAS
ECOR3,26/03/2019,9.38,9.59,9.36,9.59,ECORODOVIAS
ECOR3,27/03/2019,9.49,9.55,9.24,9.38,ECORODOVIAS
ECOR3,28/03/2019,9.38,9.74,9.13,9.72,ECORODOVIAS
ECOR3,29/03/2019,9.75,9.88,9.52,9.59,ECORODOVIAS
ECOR3,01/04/2019,9.71,9.75,9.34,9.40,ECORODOVIAS
ECOR3,02/04/2019,9.46,9.48,9.14,9.17,ECORODOVIAS
ECOR3,03/04/2019,9.26,9.31,8.92,9.00,ECORODOVIAS
ECOR3,04/04/2019,9.10,9.51,9.07,9.34,ECORODOVIAS
ECOR3,05/04/2019,9.46,9.55,9.25,9.27,ECORODOVIAS
ECOR3,08/04/2019,9.29,9.52,9.29,9.38,ECORODOVIAS
ECOR3,09/04/2019,9.43,9.55,9.35,9.45,ECORODOVIAS
