Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EGIE3,02/01/2019,33.35,34.45,33.28,34.14,ENGIE BRASIL
EGIE3,03/01/2019,34.40,35.27,34.11,35.26,ENGIE BRASIL
EGIE3,04/01/2019,35.26,35.92,34.89,35.52,ENGIE BRASIL
EGIE3,07/01/2019,35.86,35.86,35.08,35.30,ENGIE BRASIL
EGIE3,08/01/2019,35.56,36.05,35.37,35.70,ENGIE BRASIL
EGIE3,09/01/2019,35.80,36.83,35.80,36.65,ENGIE BRASIL
EGIE3,10/01/2019,36.78,36.78,36.05,36.22,ENGIE BRASIL
EGIE3,11/01/2019,36.22,36.90,36.22,36.82,ENGIE BRASIL
EGIE3,14/01/2019,36.93,37.42,36.92,37.31,ENGIE BRASIL
EGIE3,15/01/2019,37.47,37.47,37.03,37.16,ENGIE BRASIL
EGIE3,16/01/2019,37.27,37.32,36.73,37.00,ENGIE BRASIL
EGIE3,17/01/2019,37.07,38.00,36.56,37.56,ENGIE BRASIL
EGIE3,18/01/2019,37.45,38.88,37.40,38.49,ENGIE BRASIL
EGIE3,21/01/2019,38.64,39.18,38.24,38.67,ENGIE BRASIL
EGIE3,22/01/2019,38.67,39.44,38.53,38.94,ENGIE BRASIL
EGIE3,23/01/2019,38.94,41.14,38.94,41.05,ENGIE BRASIL
EGIE3,24/01/2019,41.05,42.02,40.94,42.00,ENGIE BRASIL
EGIE3,28/01/2019,42.05,43.81,41.60,43.60,ENGIE BRASIL
EGIE3,29/01/2019,43.87,44.08,42.22,42.60,ENGIE BRASIL
EGIE3,30/01/2019,42.62,42.86,41.42,42.46,ENGIE BRASIL
EGIE3,31/01/2019,42.76,42.93,41.85,41.85,ENGIE BRASIL
EGIE3,01/02/2019,41.89,42.90,41.89,42.66,ENGIE BRASIL
EGIE3,04/02/2019,42.93,43.83,42.75,43.83,ENGIE BRASIL
EGIE3,05/02/2019,43.82,44.04,43.20,43.80,ENGIE BRASIL
EGIE3,06/02/2019,43.59,43.59,41.80,41.80,ENGIE BRASIL
EGIE3,07/02/2019,41.86,43.25,41.80,42.40,ENGIE BRASIL
EGIE3,08/02/2019,42.40,43.75,42.19,43.41,ENGIE BRASIL
EGIE3,11/02/2019,43.50,44.27,42.62,43.37,ENGIE BRASIL
EGIE3,12/02/2019,43.60,44.61,43.54,43.72,ENGIE BRASIL
EGIE3,13/02/2019,44.00,44.25,42.75,43.02,ENGIE BRASIL
EGIE3,14/02/2019,42.90,43.83,42.29,43.59,ENGIE BRASIL
EGIE3,15/02/2019,43.55,44.00,43.03,43.18,ENGIE BRASIL
EGIE3,18/02/2019,43.00,43.33,42.64,42.64,ENGIE BRASIL
EGIE3,19/02/2019,42.70,44.50,42.70,44.50,ENGIE BRASIL
EGIE3,20/02/2019,44.60,44.66,42.00,42.00,ENGIE BRASIL
EGIE3,21/02/2019,42.16,42.42,40.92,41.96,ENGIE BRASIL
EGIE3,22/02/2019,42.15,42.66,41.74,41.85,ENGIE BRASIL
EGIE3,25/02/2019,42.00,42.38,41.90,42.11,ENGIE BRASIL
EGIE3,26/02/2019,42.11,42.11,41.28,41.48,ENGIE BRASIL
EGIE3,27/02/2019,41.50,42.39,41.29,42.10,ENGIE BRASIL
EGIE3,28/02/2019,42.01,42.51,41.02,41.16,ENGIE BRASIL
EGIE3,01/03/2019,41.16,41.63,40.13,40.36,ENGIE BRASIL
EGIE3,06/03/2019,40.07,40.25,39.56,39.80,ENGIE BRASIL
EGIE3,07/03/2019,39.80,40.36,39.41,39.49,ENGIE BRASIL
EGIE3,08/03/2019,39.52,40.34,39.52,40.17,ENGIE BRASIL
EGIE3,11/03/2019,40.20,40.61,40.02,40.22,ENGIE BRASIL
EGIE3,12/03/2019,40.58,41.61,40.45,41.14,ENGIE BRASIL
EGIE3,13/03/2019,41.50,42.90,41.22,42.41,ENGIE BRASIL
EGIE3,14/03/2019,42.66,43.47,42.39,42.92,ENGIE BRASIL
EGIE3,15/03/2019,42.80,43.55,42.76,43.20,ENGIE BRASIL
EGIE3,18/03/2019,43.40,43.60,43.04,43.29,ENGIE BRASIL
EGIE3,19/03/2019,43.10,43.42,42.95,43.20,ENGIE BRASIL
EGIE3,20/03/2019,43.00,43.20,42.41,42.51,ENGIE BRASIL
EGIE3,21/03/2019,42.54,42.70,41.50,41.75,ENGIE BRASIL
EGIE3,22/03/2019,41.00,41.46,40.40,40.88,ENGIE BRASIL
EGIE3,25/03/2019,40.89,41.86,40.61,41.44,ENGIE BRASIL
EGIE3,26/03/2019,41.92,42.72,41.28,42.09,ENGIE BRASIL
EGIE3,27/03/2019,41.52,41.94,40.85,41.19,ENGIE BRASIL
EGIE3,28/03/2019,40.93,42.80,40.52,42.66,ENGIE BRASIL
EGIE3,29/03/2019,42.62,43.50,42.43,42.71,ENGIE BRASIL
EGIE3,01/04/2019,43.32,43.51,42.40,43.33,ENGIE BRASIL
EGIE3,02/04/2019,43.50,43.78,42.37,42.50,ENGIE BRASIL
EGIE3,03/04/2019,42.55,44.00,42.55,43.34,ENGIE BRASIL
EGIE3,04/04/2019,43.51,44.74,43.27,43.84,ENGIE BRASIL
EGIE3,05/04/2019,44.05,45.03,44.00,44.01,ENGIE BRASIL
EGIE3,08/04/2019,44.20,45.55,43.61,44.30,ENGIE BRASIL
EGIE3,09/04/2019,44.30,44.30,42.88,42.88,ENGIE BRASIL
EGIE3,10/04/2019,43.38,43.89,42.51,42.76,ENGIE BRASIL
EGIE3,11/04/2019,42.92,43.10,42.00,42.00,ENGIE BRASIL
EGIE3,12/04/2019,41.89,42.41,41.36,42.01,ENGIE BRASIL
EGIE3,15/04/2019,42.30,42.76,41.91,42.32,ENGIE BRASIL
EGIE3,16/04/2019,42.22,43.19,42.22,42.83,ENGIE BRASIL
EGIE3,17/04/2019,43.02,43.06,41.55,42.31,ENGIE BRASIL
EGIE3,18/04/2019,42.55,42.71,41.85,42.37,ENGIE BRASIL
EGIE3,22/04/2019,42.44,43.40,42.09,42.85,ENGIE BRASIL
EGIE3,23/04/2019,43.19,43.76,42.86,43.40,ENGIE BRASIL
EGIE3,24/04/2019,43.45,43.54,43.11,43.19,ENGIE BRASIL
EGIE3,25/04/2019,43.56,44.39,43.24,43.85,ENGIE BRASIL
EGIE3,26/04/2019,43.90,44.65,43.80,44.28,ENGIE BRASIL
EGIE3,29/04/2019,44.52,44.99,44.39,44.62,ENGIE BRASIL
EGIE3,30/04/2019,44.88,44.89,43.86,44.49,ENGIE BRASIL
EGIE3,02/05/2019,44.49,44.49,43.25,43.40,ENGIE BRASIL
EGIE3,03/05/2019,43.51,43.85,42.57,42.57,ENGIE BRASIL
EGIE3,06/05/2019,42.48,42.78,41.81,42.66,ENGIE BRASIL
EGIE3,07/05/2019,42.61,42.62,41.81,42.20,ENGIE BRASIL
EGIE3,08/05/2019,42.53,43.04,42.15,42.15,ENGIE BRASIL
EGIE3,09/05/2019,42.25,42.55,41.26,42.35,ENGIE BRASIL
EGIE3,10/05/2019,42.30,43.10,42.11,42.57,ENGIE BRASIL
EGIE3,13/05/2019,41.90,42.63,41.75,42.34,ENGIE BRASIL
EGIE3,14/05/2019,42.41,42.49,41.48,41.80,ENGIE BRASIL
EGIE3,15/05/2019,41.50,42.79,40.75,42.00,ENGIE BRASIL
EGIE3,16/05/2019,41.60,42.00,40.96,41.56,ENGIE BRASIL
EGIE3,17/05/2019,41.56,41.61,40.13,40.25,ENGIE BRASIL
EGIE3,20/05/2019,40.47,42.04,40.31,41.90,ENGIE BRASIL
EGIE3,21/05/2019,42.25,42.86,41.91,42.28,ENGIE BRASIL
EGIE3,22/05/2019,42.28,42.60,41.95,42.15,ENGIE BRASIL
EGIE3,23/05/2019,42.26,42.32,41.51,41.62,ENGIE BRASIL
EGIE3,24/05/2019,42.03,42.03,41.52,41.76,ENGIE BRASIL
EGIE3,27/05/2019,41.95,42.57,41.88,41.92,ENGIE BRASIL
EGIE3,28/05/2019,41.96,43.10,41.91,42.57,ENGIE BRASIL
EGIE3,29/05/2019,42.57,43.29,42.16,43.00,ENGIE BRASIL
EGIE3,30/05/2019,42.75,44.28,42.66,44.21,ENGIE BRASIL
EGIE3,31/05/2019,44.14,46.32,43.78,46.32,ENGIE BRASIL
EGIE3,03/06/2019,46.31,47.11,45.90,47.11,ENGIE BRASIL
EGIE3,04/06/2019,46.80,47.11,45.94,46.51,ENGIE BRASIL
EGIE3,05/06/2019,46.17,46.91,46.15,46.64,ENGIE BRASIL
EGIE3,06/06/2019,46.67,46.75,45.68,46.08,ENGIE BRASIL
EGIE3,07/06/2019,46.50,47.54,46.20,46.20,ENGIE BRASIL
EGIE3,10/06/2019,46.00,46.39,44.95,45.09,ENGIE BRASIL
EGIE3,11/06/2019,45.40,45.65,44.81,44.95,ENGIE BRASIL
EGIE3,12/06/2019,44.95,45.22,44.00,44.00,ENGIE BRASIL
EGIE3,13/06/2019,44.30,45.08,44.03,44.39,ENGIE BRASIL
EGIE3,14/06/2019,44.53,45.12,43.61,43.61,ENGIE BRASIL
EGIE3,17/06/2019,43.61,44.12,43.00,43.06,ENGIE BRASIL
EGIE3,18/06/2019,43.50,44.24,43.31,43.68,ENGIE BRASIL
EGIE3,19/06/2019,43.67,43.89,42.99,43.36,ENGIE BRASIL
EGIE3,21/06/2019,43.90,43.94,43.09,43.19,ENGIE BRASIL
EGIE3,24/06/2019,43.35,43.72,42.58,42.94,ENGIE BRASIL
EGIE3,25/06/2019,43.14,43.17,42.30,42.43,ENGIE BRASIL
EGIE3,26/06/2019,42.90,43.02,41.60,42.49,ENGIE BRASIL
EGIE3,27/06/2019,42.06,42.82,41.77,42.69,ENGIE BRASIL
EGIE3,28/06/2019,42.85,43.78,42.75,43.47,ENGIE BRASIL
EGIE3,01/07/2019,43.95,44.00,43.50,43.50,ENGIE BRASIL
EGIE3,02/07/2019,43.80,43.97,43.07,43.71,ENGIE BRASIL
EGIE3,03/07/2019,43.31,44.80,43.12,44.06,ENGIE BRASIL
EGIE3,04/07/2019,44.68,45.05,44.31,44.34,ENGIE BRASIL
EGIE3,05/07/2019,44.36,44.82,44.07,44.55,ENGIE BRASIL
EGIE3,08/07/2019,44.75,45.19,44.37,45.17,ENGIE BRASIL
EGIE3,10/07/2019,45.30,46.40,45.30,46.16,ENGIE BRASIL
