Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ELET6,02/01/2019,28.19,32.26,28.00,32.26,ELETROBRAS
ELET6,03/01/2019,32.49,35.50,32.48,34.20,ELETROBRAS
ELET6,04/01/2019,34.25,34.43,33.08,33.96,ELETROBRAS
ELET6,07/01/2019,33.86,34.15,32.17,32.50,ELETROBRAS
ELET6,08/01/2019,32.50,33.85,32.28,33.59,ELETROBRAS
ELET6,09/01/2019,34.00,34.34,33.36,33.93,ELETROBRAS
ELET6,10/01/2019,33.70,34.40,33.17,34.37,ELETROBRAS
ELET6,11/01/2019,34.31,35.04,34.00,34.30,ELETROBRAS
ELET6,14/01/2019,34.31,34.88,33.78,34.09,ELETROBRAS
ELET6,15/01/2019,34.30,34.44,32.86,32.86,ELETROBRAS
ELET6,16/01/2019,32.98,33.52,32.47,33.52,ELETROBRAS
ELET6,17/01/2019,33.50,34.44,33.35,33.92,ELETROBRAS
ELET6,18/01/2019,34.02,35.91,34.02,35.69,ELETROBRAS
ELET6,21/01/2019,35.51,35.97,34.80,35.86,ELETROBRAS
ELET6,22/01/2019,35.92,36.73,35.30,35.80,ELETROBRAS
ELET6,23/01/2019,36.15,36.71,35.71,36.50,ELETROBRAS
ELET6,24/01/2019,36.49,36.97,36.11,36.95,ELETROBRAS
ELET6,28/01/2019,35.50,37.35,35.40,37.02,ELETROBRAS
ELET6,29/01/2019,37.35,40.56,37.32,38.81,ELETROBRAS
ELET6,30/01/2019,39.33,40.02,37.73,39.78,ELETROBRAS
ELET6,31/01/2019,40.23,41.00,39.70,40.70,ELETROBRAS
ELET6,01/02/2019,40.70,41.00,40.15,40.96,ELETROBRAS
ELET6,04/02/2019,40.85,40.92,39.94,40.28,ELETROBRAS
ELET6,05/02/2019,40.28,40.50,39.23,39.50,ELETROBRAS
ELET6,06/02/2019,39.40,39.96,37.63,37.89,ELETROBRAS
ELET6,07/02/2019,37.90,38.94,37.02,37.43,ELETROBRAS
ELET6,08/02/2019,37.12,37.88,36.73,37.40,ELETROBRAS
ELET6,11/02/2019,37.66,38.11,36.57,38.11,ELETROBRAS
ELET6,12/02/2019,38.22,38.93,36.94,37.73,ELETROBRAS
ELET6,13/02/2019,38.09,38.95,37.16,38.80,ELETROBRAS
ELET6,14/02/2019,39.07,40.40,38.40,39.83,ELETROBRAS
ELET6,15/02/2019,40.19,40.19,38.97,39.45,ELETROBRAS
ELET6,18/02/2019,39.02,39.34,38.10,38.69,ELETROBRAS
ELET6,19/02/2019,37.98,39.26,36.71,38.70,ELETROBRAS
ELET6,20/02/2019,39.10,39.24,37.46,37.46,ELETROBRAS
ELET6,21/02/2019,37.69,38.81,37.48,38.76,ELETROBRAS
ELET6,22/02/2019,38.72,40.17,38.18,39.82,ELETROBRAS
ELET6,25/02/2019,39.96,40.13,39.12,39.49,ELETROBRAS
ELET6,26/02/2019,39.23,39.70,38.53,39.32,ELETROBRAS
ELET6,27/02/2019,39.32,42.47,38.59,40.75,ELETROBRAS
ELET6,28/02/2019,41.20,41.26,38.13,38.97,ELETROBRAS
ELET6,01/03/2019,39.75,39.98,37.23,37.49,ELETROBRAS
ELET6,06/03/2019,37.50,37.68,36.75,37.26,ELETROBRAS
ELET6,07/03/2019,36.99,37.17,35.08,35.10,ELETROBRAS
ELET6,08/03/2019,34.30,36.05,34.30,35.89,ELETROBRAS
ELET6,11/03/2019,35.91,37.98,35.91,37.87,ELETROBRAS
ELET6,12/03/2019,37.50,38.03,37.02,37.16,ELETROBRAS
ELET6,13/03/2019,37.21,38.10,36.90,37.62,ELETROBRAS
ELET6,14/03/2019,37.44,37.95,37.05,37.60,ELETROBRAS
ELET6,15/03/2019,37.60,39.28,37.60,38.65,ELETROBRAS
ELET6,18/03/2019,38.70,39.25,38.44,39.00,ELETROBRAS
ELET6,19/03/2019,39.01,39.49,38.27,39.20,ELETROBRAS
ELET6,20/03/2019,39.40,39.45,38.40,38.93,ELETROBRAS
ELET6,21/03/2019,39.37,39.81,37.10,37.80,ELETROBRAS
ELET6,22/03/2019,37.10,37.45,35.70,36.06,ELETROBRAS
ELET6,25/03/2019,36.05,37.08,35.54,36.43,ELETROBRAS
ELET6,26/03/2019,37.00,38.19,36.63,37.92,ELETROBRAS
ELET6,27/03/2019,37.30,37.60,35.30,35.70,ELETROBRAS
ELET6,28/03/2019,37.15,37.71,36.01,37.25,ELETROBRAS
ELET6,29/03/2019,38.00,38.40,37.34,37.86,ELETROBRAS
ELET6,01/04/2019,38.20,39.17,38.19,38.85,ELETROBRAS
ELET6,02/04/2019,38.99,39.15,36.97,37.35,ELETROBRAS
ELET6,03/04/2019,37.50,37.97,36.52,36.90,ELETROBRAS
ELET6,04/04/2019,37.35,37.84,37.07,37.84,ELETROBRAS
ELET6,05/04/2019,37.84,37.90,37.02,37.51,ELETROBRAS
ELET6,08/04/2019,37.50,37.90,36.12,36.21,ELETROBRAS
ELET6,09/04/2019,36.00,36.26,34.35,35.00,ELETROBRAS
