Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EMBR3,02/01/2019,21.67,21.95,21.38,21.54,EMBRAER
EMBR3,03/01/2019,21.50,21.90,21.18,21.90,EMBRAER
EMBR3,04/01/2019,21.75,21.81,20.61,20.80,EMBRAER
EMBR3,07/01/2019,20.84,21.23,20.55,21.23,EMBRAER
EMBR3,08/01/2019,21.32,21.48,21.03,21.36,EMBRAER
EMBR3,09/01/2019,21.42,21.50,21.06,21.28,EMBRAER
EMBR3,10/01/2019,21.20,21.33,20.93,20.99,EMBRAER
EMBR3,11/01/2019,22.75,23.09,21.51,21.53,EMBRAER
EMBR3,14/01/2019,21.70,21.94,21.42,21.62,EMBRAER
EMBR3,15/01/2019,21.79,21.80,21.51,21.76,EMBRAER
EMBR3,16/01/2019,21.69,21.72,20.51,21.50,EMBRAER
EMBR3,17/01/2019,21.30,21.33,20.47,20.47,EMBRAER
EMBR3,18/01/2019,20.57,20.57,19.64,19.85,EMBRAER
EMBR3,21/01/2019,19.70,20.35,19.56,20.14,EMBRAER
EMBR3,22/01/2019,19.99,20.11,19.48,19.48,EMBRAER
EMBR3,23/01/2019,19.55,19.79,19.42,19.46,EMBRAER
EMBR3,24/01/2019,19.57,19.87,19.51,19.67,EMBRAER
EMBR3,28/01/2019,19.79,19.85,19.26,19.26,EMBRAER
EMBR3,29/01/2019,19.49,19.49,19.16,19.16,EMBRAER
EMBR3,30/01/2019,19.17,19.75,19.17,19.42,EMBRAER
EMBR3,31/01/2019,19.44,19.60,19.30,19.34,EMBRAER
EMBR3,01/02/2019,19.50,19.60,19.17,19.27,EMBRAER
EMBR3,04/02/2019,19.32,19.50,19.25,19.43,EMBRAER
EMBR3,05/02/2019,19.50,19.75,19.28,19.63,EMBRAER
EMBR3,06/02/2019,19.52,19.60,18.91,18.99,EMBRAER
EMBR3,07/02/2019,19.03,19.21,18.30,18.40,EMBRAER
EMBR3,08/02/2019,18.46,18.94,18.27,18.94,EMBRAER
EMBR3,11/02/2019,19.10,19.10,18.65,18.67,EMBRAER
EMBR3,12/02/2019,18.89,18.91,18.39,18.63,EMBRAER
EMBR3,13/02/2019,18.67,18.83,18.48,18.77,EMBRAER
EMBR3,14/02/2019,18.78,19.38,18.61,19.30,EMBRAER
EMBR3,15/02/2019,19.30,19.33,18.88,19.33,EMBRAER
EMBR3,18/02/2019,19.33,19.33,18.86,18.89,EMBRAER
EMBR3,19/02/2019,19.01,19.48,18.95,19.28,EMBRAER
EMBR3,20/02/2019,19.26,19.38,19.01,19.10,EMBRAER
EMBR3,21/02/2019,19.13,19.49,19.10,19.49,EMBRAER
EMBR3,22/02/2019,19.50,19.75,19.31,19.51,EMBRAER
EMBR3,25/02/2019,19.41,19.58,19.20,19.40,EMBRAER
EMBR3,26/02/2019,19.62,20.29,19.60,19.70,EMBRAER
EMBR3,27/02/2019,19.80,20.00,19.28,19.35,EMBRAER
EMBR3,28/02/2019,19.31,19.45,19.08,19.08,EMBRAER
EMBR3,01/03/2019,19.21,19.42,18.96,18.96,EMBRAER
EMBR3,06/03/2019,19.08,19.28,18.96,19.17,EMBRAER
EMBR3,07/03/2019,19.07,19.23,18.84,19.11,EMBRAER
EMBR3,08/03/2019,19.11,19.32,19.06,19.29,EMBRAER
EMBR3,11/03/2019,19.05,19.57,18.90,19.22,EMBRAER
EMBR3,12/03/2019,19.22,19.29,18.80,18.85,EMBRAER
EMBR3,13/03/2019,18.92,19.01,18.66,18.82,EMBRAER
EMBR3,14/03/2019,18.65,18.83,18.27,18.79,EMBRAER
EMBR3,15/03/2019,18.85,19.75,18.79,19.75,EMBRAER
EMBR3,18/03/2019,19.58,19.85,19.53,19.74,EMBRAER
EMBR3,19/03/2019,19.79,19.92,19.41,19.46,EMBRAER
EMBR3,20/03/2019,19.46,19.53,19.13,19.22,EMBRAER
EMBR3,21/03/2019,19.21,19.38,19.00,19.10,EMBRAER
EMBR3,22/03/2019,18.90,19.11,18.58,18.70,EMBRAER
EMBR3,25/03/2019,18.61,18.85,18.47,18.55,EMBRAER
EMBR3,26/03/2019,18.64,18.78,18.49,18.65,EMBRAER
EMBR3,27/03/2019,18.57,18.65,18.26,18.39,EMBRAER
EMBR3,28/03/2019,18.24,18.77,18.24,18.53,EMBRAER
EMBR3,29/03/2019,18.74,18.77,18.41,18.45,EMBRAER
EMBR3,01/04/2019,18.64,18.82,18.48,18.70,EMBRAER
EMBR3,02/04/2019,18.80,18.84,18.44,18.61,EMBRAER
EMBR3,03/04/2019,18.79,18.91,18.40,18.46,EMBRAER
EMBR3,04/04/2019,18.59,18.87,18.48,18.80,EMBRAER
EMBR3,05/04/2019,18.90,19.41,18.74,19.38,EMBRAER
EMBR3,08/04/2019,19.29,19.35,19.07,19.35,EMBRAER
EMBR3,09/04/2019,19.33,19.33,18.87,18.87,EMBRAER
EMBR3,10/04/2019,19.02,19.05,18.67,18.79,EMBRAER
EMBR3,11/04/2019,18.80,18.80,18.42,18.60,EMBRAER
EMBR3,12/04/2019,18.43,18.75,18.41,18.57,EMBRAER
EMBR3,15/04/2019,18.65,18.70,18.09,18.21,EMBRAER
EMBR3,16/04/2019,18.11,18.86,18.11,18.70,EMBRAER
EMBR3,17/04/2019,18.85,19.05,18.53,19.03,EMBRAER
EMBR3,18/04/2019,18.99,19.71,18.99,19.32,EMBRAER
EMBR3,22/04/2019,19.32,19.51,19.13,19.51,EMBRAER
EMBR3,23/04/2019,19.53,19.79,19.10,19.18,EMBRAER
EMBR3,24/04/2019,19.20,19.33,18.97,19.31,EMBRAER
EMBR3,25/04/2019,19.18,19.23,18.85,19.17,EMBRAER
EMBR3,26/04/2019,19.14,19.47,19.09,19.23,EMBRAER
EMBR3,29/04/2019,19.31,19.65,19.24,19.57,EMBRAER
EMBR3,30/04/2019,19.54,19.76,19.31,19.64,EMBRAER
EMBR3,02/05/2019,19.60,19.73,19.45,19.71,EMBRAER
EMBR3,03/05/2019,19.65,19.82,19.51,19.51,EMBRAER
EMBR3,06/05/2019,19.30,19.45,19.13,19.30,EMBRAER
EMBR3,07/05/2019,19.20,19.30,18.96,19.20,EMBRAER
EMBR3,08/05/2019,19.29,19.55,19.14,19.18,EMBRAER
EMBR3,09/05/2019,19.17,19.39,19.03,19.21,EMBRAER
EMBR3,10/05/2019,19.12,19.33,18.95,19.29,EMBRAER
EMBR3,13/05/2019,18.91,19.05,18.80,18.91,EMBRAER
EMBR3,14/05/2019,18.95,19.08,18.85,18.93,EMBRAER
EMBR3,15/05/2019,18.40,18.72,18.05,18.14,EMBRAER
EMBR3,16/05/2019,18.03,18.03,16.95,17.43,EMBRAER
EMBR3,17/05/2019,17.60,18.45,17.45,18.15,EMBRAER
EMBR3,20/05/2019,18.06,18.83,17.96,18.61,EMBRAER
EMBR3,21/05/2019,18.62,19.10,18.49,18.87,EMBRAER
EMBR3,22/05/2019,18.99,19.23,18.80,19.00,EMBRAER
EMBR3,23/05/2019,18.90,19.05,18.59,18.74,EMBRAER
EMBR3,24/05/2019,18.77,18.93,18.49,18.51,EMBRAER
EMBR3,27/05/2019,18.54,18.92,18.47,18.82,EMBRAER
EMBR3,28/05/2019,18.99,19.31,18.64,19.31,EMBRAER
EMBR3,29/05/2019,19.26,19.44,19.00,19.28,EMBRAER
EMBR3,30/05/2019,19.32,19.41,18.95,19.15,EMBRAER
EMBR3,31/05/2019,19.00,19.08,18.81,18.95,EMBRAER
EMBR3,03/06/2019,18.95,18.95,18.67,18.91,EMBRAER
EMBR3,04/06/2019,18.93,18.93,18.60,18.68,EMBRAER
EMBR3,05/06/2019,18.80,18.80,18.37,18.46,EMBRAER
EMBR3,06/06/2019,18.70,18.70,18.35,18.42,EMBRAER
EMBR3,07/06/2019,18.44,18.64,18.34,18.54,EMBRAER
EMBR3,10/06/2019,18.45,18.78,18.39,18.48,EMBRAER
EMBR3,11/06/2019,18.52,18.80,18.47,18.50,EMBRAER
EMBR3,12/06/2019,18.48,18.71,18.38,18.63,EMBRAER
EMBR3,13/06/2019,18.65,19.15,18.52,19.02,EMBRAER
EMBR3,14/06/2019,18.93,19.09,18.61,18.67,EMBRAER
EMBR3,17/06/2019,18.84,19.02,18.72,18.77,EMBRAER
EMBR3,18/06/2019,18.82,18.95,18.61,18.73,EMBRAER
EMBR3,19/06/2019,18.84,18.87,18.48,18.59,EMBRAER
EMBR3,21/06/2019,18.70,19.33,18.69,19.13,EMBRAER
EMBR3,24/06/2019,19.25,19.68,19.19,19.42,EMBRAER
EMBR3,25/06/2019,19.40,19.51,18.93,18.93,EMBRAER
EMBR3,26/06/2019,18.95,19.21,18.88,19.02,EMBRAER
EMBR3,27/06/2019,18.75,19.12,18.70,18.96,EMBRAER
EMBR3,28/06/2019,19.17,19.41,18.85,19.41,EMBRAER
EMBR3,01/07/2019,19.48,19.57,19.37,19.50,EMBRAER
EMBR3,02/07/2019,19.45,19.55,19.26,19.45,EMBRAER
EMBR3,03/07/2019,19.24,19.46,18.95,19.34,EMBRAER
EMBR3,04/07/2019,19.50,19.54,19.32,19.34,EMBRAER
EMBR3,05/07/2019,19.47,19.51,19.26,19.48,EMBRAER
EMBR3,08/07/2019,19.50,19.50,19.26,19.39,EMBRAER
EMBR3,10/07/2019,19.56,19.75,19.42,19.42,EMBRAER
EMBR3,11/07/2019,19.46,19.67,19.06,19.20,EMBRAER
EMBR3,12/07/2019,19.30,19.36,19.08,19.29,EMBRAER
EMBR3,15/07/2019,19.36,19.44,19.23,19.32,EMBRAER
EMBR3,16/07/2019,19.32,19.39,19.15,19.26,EMBRAER
EMBR3,17/07/2019,19.31,19.49,19.18,19.30,EMBRAER
EMBR3,18/07/2019,19.35,19.44,19.23,19.26,EMBRAER
EMBR3,19/07/2019,19.26,19.45,19.23,19.33,EMBRAER
EMBR3,22/07/2019,19.32,19.47,19.19,19.31,EMBRAER
EMBR3,23/07/2019,19.35,19.50,19.27,19.41,EMBRAER
EMBR3,24/07/2019,19.48,19.69,19.40,19.50,EMBRAER
EMBR3,25/07/2019,19.50,19.53,19.08,19.30,EMBRAER
EMBR3,26/07/2019,19.38,19.50,19.23,19.37,EMBRAER
EMBR3,29/07/2019,19.42,19.53,19.35,19.50,EMBRAER
EMBR3,30/07/2019,19.55,19.56,19.35,19.37,EMBRAER
EMBR3,31/07/2019,19.42,19.48,19.12,19.31,EMBRAER
EMBR3,01/08/2019,19.31,19.55,19.22,19.36,EMBRAER
EMBR3,02/08/2019,19.28,19.44,19.19,19.41,EMBRAER
EMBR3,05/08/2019,19.32,19.35,18.89,19.02,EMBRAER
EMBR3,06/08/2019,19.06,19.47,19.02,19.46,EMBRAER
EMBR3,07/08/2019,19.33,19.55,19.14,19.50,EMBRAER
EMBR3,08/08/2019,19.50,19.70,19.43,19.60,EMBRAER
EMBR3,09/08/2019,19.60,19.60,19.46,19.55,EMBRAER
