Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ENBR3,02/01/2019,14.00,14.40,13.98,14.18,ENERGIAS BR
ENBR3,03/01/2019,14.18,14.80,14.18,14.77,ENERGIAS BR
ENBR3,04/01/2019,14.79,15.02,14.69,14.88,ENERGIAS BR
ENBR3,07/01/2019,14.90,14.92,14.23,14.45,ENERGIAS BR
ENBR3,08/01/2019,14.51,14.76,14.48,14.50,ENERGIAS BR
ENBR3,09/01/2019,14.56,14.65,14.44,14.59,ENERGIAS BR
ENBR3,10/01/2019,14.57,14.73,14.50,14.73,ENERGIAS BR
ENBR3,11/01/2019,14.73,14.91,14.67,14.79,ENERGIAS BR
ENBR3,14/01/2019,14.85,15.13,14.82,14.96,ENERGIAS BR
ENBR3,15/01/2019,15.04,15.39,15.00,15.30,ENERGIAS BR
ENBR3,16/01/2019,15.30,15.59,15.01,15.45,ENERGIAS BR
ENBR3,17/01/2019,15.60,15.72,15.30,15.45,ENERGIAS BR
ENBR3,18/01/2019,15.45,15.92,15.43,15.67,ENERGIAS BR
ENBR3,21/01/2019,15.73,15.73,15.43,15.60,ENERGIAS BR
ENBR3,22/01/2019,15.64,15.95,15.52,15.60,ENERGIAS BR
ENBR3,23/01/2019,15.76,16.15,15.72,16.09,ENERGIAS BR
ENBR3,24/01/2019,16.09,16.54,16.00,16.54,ENERGIAS BR
ENBR3,28/01/2019,16.60,16.82,16.31,16.77,ENERGIAS BR
ENBR3,29/01/2019,16.82,17.03,16.60,16.70,ENERGIAS BR
ENBR3,30/01/2019,16.75,17.02,16.62,17.00,ENERGIAS BR
ENBR3,31/01/2019,17.11,17.12,16.65,16.79,ENERGIAS BR
ENBR3,01/02/2019,17.03,17.39,16.87,17.26,ENERGIAS BR
ENBR3,04/02/2019,17.26,17.45,17.19,17.28,ENERGIAS BR
ENBR3,05/02/2019,17.28,17.53,17.22,17.39,ENERGIAS BR
ENBR3,06/02/2019,17.30,17.35,16.89,16.95,ENERGIAS BR
ENBR3,07/02/2019,16.95,17.48,16.83,17.33,ENERGIAS BR
ENBR3,08/02/2019,17.32,17.79,17.19,17.72,ENERGIAS BR
ENBR3,11/02/2019,17.73,17.75,17.35,17.71,ENERGIAS BR
ENBR3,12/02/2019,17.85,18.14,17.71,18.11,ENERGIAS BR
ENBR3,13/02/2019,18.18,18.21,17.80,18.05,ENERGIAS BR
ENBR3,14/02/2019,18.10,18.89,18.10,18.66,ENERGIAS BR
ENBR3,15/02/2019,18.62,19.23,18.59,18.98,ENERGIAS BR
ENBR3,18/02/2019,19.00,19.27,18.96,19.01,ENERGIAS BR
ENBR3,19/02/2019,19.01,19.32,19.01,19.14,ENERGIAS BR
ENBR3,20/02/2019,19.15,19.26,18.71,18.90,ENERGIAS BR
ENBR3,21/02/2019,18.99,19.01,18.43,18.60,ENERGIAS BR
ENBR3,22/02/2019,18.76,18.76,18.28,18.48,ENERGIAS BR
ENBR3,25/02/2019,18.55,18.60,18.37,18.54,ENERGIAS BR
ENBR3,26/02/2019,18.47,18.53,18.03,18.03,ENERGIAS BR
ENBR3,27/02/2019,18.00,18.61,17.87,18.61,ENERGIAS BR
ENBR3,28/02/2019,18.54,18.61,17.16,17.30,ENERGIAS BR
ENBR3,01/03/2019,17.50,17.58,17.21,17.46,ENERGIAS BR
ENBR3,06/03/2019,17.55,17.65,16.96,17.23,ENERGIAS BR
ENBR3,07/03/2019,17.21,17.28,17.01,17.21,ENERGIAS BR
ENBR3,08/03/2019,17.25,17.71,17.17,17.59,ENERGIAS BR
ENBR3,11/03/2019,17.69,17.88,17.62,17.75,ENERGIAS BR
ENBR3,12/03/2019,17.78,17.79,17.30,17.37,ENERGIAS BR
ENBR3,13/03/2019,17.50,17.96,17.38,17.96,ENERGIAS BR
ENBR3,14/03/2019,17.92,17.96,17.71,17.88,ENERGIAS BR
ENBR3,15/03/2019,17.89,18.19,17.85,18.11,ENERGIAS BR
ENBR3,18/03/2019,18.11,18.18,18.01,18.18,ENERGIAS BR
ENBR3,19/03/2019,18.18,18.20,17.79,17.85,ENERGIAS BR
ENBR3,20/03/2019,17.93,17.94,17.39,17.40,ENERGIAS BR
ENBR3,21/03/2019,17.48,17.54,17.16,17.45,ENERGIAS BR
