Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ENEV3,02/01/2019,16.00,16.89,16.00,16.71,ENEVA
ENEV3,03/01/2019,16.75,17.06,16.50,16.80,ENEVA
ENEV3,04/01/2019,17.03,17.06,16.85,16.95,ENEVA
ENEV3,07/01/2019,16.95,17.09,16.75,16.98,ENEVA
ENEV3,08/01/2019,16.96,17.03,16.85,16.99,ENEVA
ENEV3,09/01/2019,17.02,17.29,16.90,17.08,ENEVA
ENEV3,10/01/2019,17.04,17.33,17.04,17.29,ENEVA
ENEV3,11/01/2019,17.29,17.73,17.26,17.37,ENEVA
ENEV3,14/01/2019,17.53,17.63,17.43,17.55,ENEVA
ENEV3,15/01/2019,17.61,17.73,17.50,17.60,ENEVA
ENEV3,16/01/2019,17.67,17.79,17.50,17.68,ENEVA
ENEV3,17/01/2019,17.71,17.76,17.59,17.74,ENEVA
ENEV3,18/01/2019,17.78,18.00,17.33,17.51,ENEVA
ENEV3,21/01/2019,17.22,17.54,17.21,17.45,ENEVA
ENEV3,22/01/2019,17.40,17.84,17.33,17.70,ENEVA
ENEV3,23/01/2019,17.80,17.88,17.60,17.70,ENEVA
ENEV3,24/01/2019,18.15,18.28,17.85,17.93,ENEVA
ENEV3,28/01/2019,17.89,18.51,17.80,18.30,ENEVA
ENEV3,29/01/2019,18.41,18.80,18.41,18.66,ENEVA
ENEV3,30/01/2019,18.70,18.86,18.52,18.85,ENEVA
ENEV3,31/01/2019,18.85,18.98,18.50,18.51,ENEVA
ENEV3,01/02/2019,18.60,18.95,18.33,18.90,ENEVA
ENEV3,04/02/2019,18.91,18.99,18.77,18.81,ENEVA
ENEV3,05/02/2019,18.80,18.96,18.71,18.81,ENEVA
ENEV3,06/02/2019,18.77,18.84,18.45,18.45,ENEVA
ENEV3,07/02/2019,18.43,18.65,18.17,18.52,ENEVA
ENEV3,08/02/2019,18.45,18.49,17.88,18.20,ENEVA
ENEV3,11/02/2019,18.28,18.43,17.89,18.00,ENEVA
ENEV3,12/02/2019,18.11,18.20,17.96,18.06,ENEVA
ENEV3,13/02/2019,18.07,18.35,17.95,18.05,ENEVA
ENEV3,14/02/2019,18.06,18.70,17.99,18.60,ENEVA
ENEV3,15/02/2019,18.61,18.92,18.57,18.88,ENEVA
ENEV3,18/02/2019,18.85,18.85,18.45,18.71,ENEVA
ENEV3,19/02/2019,18.85,19.26,18.71,19.03,ENEVA
ENEV3,20/02/2019,19.14,19.43,18.71,18.80,ENEVA
ENEV3,21/02/2019,18.90,18.97,18.25,18.67,ENEVA
ENEV3,22/02/2019,18.65,18.82,18.30,18.64,ENEVA
ENEV3,25/02/2019,18.64,18.75,18.30,18.71,ENEVA
ENEV3,26/02/2019,18.75,18.75,18.47,18.63,ENEVA
ENEV3,27/02/2019,18.64,18.77,18.39,18.77,ENEVA
ENEV3,28/02/2019,18.77,18.79,18.49,18.69,ENEVA
ENEV3,01/03/2019,18.65,18.77,18.40,18.50,ENEVA
ENEV3,06/03/2019,19.00,19.04,18.33,18.75,ENEVA
ENEV3,07/03/2019,18.75,18.75,18.41,18.50,ENEVA
ENEV3,08/03/2019,18.38,18.95,18.36,18.56,ENEVA
ENEV3,11/03/2019,18.57,18.93,18.53,18.60,ENEVA
ENEV3,12/03/2019,18.62,19.11,18.46,18.90,ENEVA
ENEV3,13/03/2019,18.91,19.14,18.78,18.86,ENEVA
ENEV3,14/03/2019,18.88,19.20,18.87,19.13,ENEVA
ENEV3,15/03/2019,19.19,19.42,18.30,18.30,ENEVA
ENEV3,18/03/2019,18.59,18.80,18.43,18.68,ENEVA
ENEV3,19/03/2019,18.77,19.01,18.52,18.92,ENEVA
ENEV3,20/03/2019,18.99,19.06,18.36,18.36,ENEVA
ENEV3,21/03/2019,18.35,18.65,18.21,18.52,ENEVA
ENEV3,22/03/2019,18.35,18.54,17.96,18.54,ENEVA
ENEV3,25/03/2019,18.42,18.57,18.35,18.35,ENEVA
ENEV3,26/03/2019,18.55,18.72,18.40,18.60,ENEVA
ENEV3,27/03/2019,18.50,18.50,17.75,17.90,ENEVA
ENEV3,28/03/2019,17.75,18.23,17.75,18.23,ENEVA
ENEV3,29/03/2019,18.35,18.65,18.27,18.50,ENEVA
ENEV3,01/04/2019,18.51,18.77,18.42,18.60,ENEVA
ENEV3,02/04/2019,18.65,19.29,18.61,18.80,ENEVA
ENEV3,03/04/2019,18.91,19.13,18.70,18.70,ENEVA
ENEV3,04/04/2019,18.81,18.89,18.46,18.50,ENEVA
ENEV3,05/04/2019,18.99,19.79,18.97,19.39,ENEVA
ENEV3,08/04/2019,19.49,19.65,19.20,19.30,ENEVA
ENEV3,09/04/2019,19.30,19.69,18.89,19.60,ENEVA
ENEV3,10/04/2019,19.70,19.73,19.32,19.60,ENEVA
ENEV3,11/04/2019,19.55,19.64,19.15,19.32,ENEVA
ENEV3,12/04/2019,19.21,19.22,19.02,19.22,ENEVA
ENEV3,15/04/2019,19.23,19.45,19.12,19.39,ENEVA
ENEV3,16/04/2019,19.34,19.74,19.30,19.40,ENEVA
ENEV3,17/04/2019,19.58,19.62,19.12,19.39,ENEVA
ENEV3,18/04/2019,19.49,19.50,19.24,19.50,ENEVA
ENEV3,22/04/2019,19.34,19.73,19.29,19.31,ENEVA
ENEV3,23/04/2019,19.45,20.08,19.45,19.95,ENEVA
ENEV3,24/04/2019,19.96,20.10,19.52,19.56,ENEVA
ENEV3,25/04/2019,19.73,19.92,19.36,19.75,ENEVA
ENEV3,26/04/2019,19.75,19.97,19.65,19.80,ENEVA
ENEV3,29/04/2019,19.80,19.93,19.51,19.60,ENEVA
ENEV3,30/04/2019,19.65,19.90,19.63,19.87,ENEVA
ENEV3,02/05/2019,19.84,20.59,19.74,20.35,ENEVA
ENEV3,03/05/2019,20.50,20.50,19.85,19.85,ENEVA
ENEV3,06/05/2019,19.74,20.05,19.20,20.00,ENEVA
ENEV3,07/05/2019,20.00,20.49,19.94,20.49,ENEVA
ENEV3,08/05/2019,20.43,20.98,20.43,20.75,ENEVA
ENEV3,09/05/2019,20.75,20.88,20.19,20.35,ENEVA
ENEV3,10/05/2019,20.35,20.74,20.34,20.69,ENEVA
ENEV3,13/05/2019,20.60,20.62,20.19,20.59,ENEVA
ENEV3,14/05/2019,20.76,20.90,20.29,20.69,ENEVA
ENEV3,15/05/2019,20.63,20.63,20.11,20.44,ENEVA
ENEV3,16/05/2019,20.34,20.55,20.18,20.49,ENEVA
ENEV3,17/05/2019,20.29,20.50,20.12,20.45,ENEVA
ENEV3,20/05/2019,20.45,20.97,20.22,20.30,ENEVA
ENEV3,21/05/2019,20.30,20.94,20.30,20.70,ENEVA
ENEV3,22/05/2019,20.84,21.08,20.80,20.85,ENEVA
ENEV3,23/05/2019,20.85,21.16,20.60,21.10,ENEVA
ENEV3,24/05/2019,21.21,21.40,20.74,21.10,ENEVA
ENEV3,27/05/2019,21.25,21.25,21.03,21.19,ENEVA
ENEV3,28/05/2019,21.25,21.29,20.85,21.28,ENEVA
ENEV3,29/05/2019,21.24,21.71,21.09,21.40,ENEVA
ENEV3,30/05/2019,21.40,21.55,21.20,21.50,ENEVA
ENEV3,31/05/2019,21.50,23.01,21.49,22.75,ENEVA
