Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ENGI3,02/01/2019,8.10,8.60,8.10,8.60,ENERGISA
ENGI3,03/01/2019,8.60,8.61,8.35,8.45,ENERGISA
ENGI3,04/01/2019,8.35,8.77,8.35,8.77,ENERGISA
ENGI3,07/01/2019,8.73,9.18,8.73,9.10,ENERGISA
ENGI3,08/01/2019,9.17,9.17,9.11,9.17,ENERGISA
ENGI3,09/01/2019,9.17,9.59,9.15,9.55,ENERGISA
ENGI3,10/01/2019,9.60,10.20,9.55,10.20,ENERGISA
ENGI3,11/01/2019,10.19,10.80,10.19,10.80,ENERGISA
ENGI3,14/01/2019,10.80,11.50,9.90,11.00,ENERGISA
ENGI3,15/01/2019,11.20,11.39,10.27,11.22,ENERGISA
ENGI3,16/01/2019,10.68,11.00,10.40,11.00,ENERGISA
ENGI3,17/01/2019,11.20,11.50,11.02,11.48,ENERGISA
ENGI3,18/01/2019,11.45,11.50,11.44,11.50,ENERGISA
ENGI3,21/01/2019,11.48,11.55,10.51,11.40,ENERGISA
ENGI3,22/01/2019,11.62,12.30,11.62,11.63,ENERGISA
ENGI3,23/01/2019,12.00,13.72,11.81,12.52,ENERGISA
ENGI3,24/01/2019,13.00,15.64,13.00,15.00,ENERGISA
ENGI3,28/01/2019,15.00,15.00,13.90,14.86,ENERGISA
ENGI3,29/01/2019,15.00,15.00,14.80,14.95,ENERGISA
ENGI3,30/01/2019,15.00,15.00,14.51,14.94,ENERGISA
ENGI3,31/01/2019,14.49,14.80,14.34,14.34,ENERGISA
ENGI3,01/02/2019,14.10,14.40,13.20,14.40,ENERGISA
ENGI3,04/02/2019,14.51,15.05,14.50,15.05,ENERGISA
ENGI3,05/02/2019,15.57,15.99,14.50,14.58,ENERGISA
ENGI3,06/02/2019,15.85,15.85,14.59,14.69,ENERGISA
ENGI3,07/02/2019,14.70,15.50,14.70,15.21,ENERGISA
ENGI3,08/02/2019,15.19,15.50,14.34,14.34,ENERGISA
ENGI3,11/02/2019,14.49,14.49,14.10,14.11,ENERGISA
ENGI3,12/02/2019,14.12,14.70,14.00,14.70,ENERGISA
ENGI3,13/02/2019,14.70,15.50,14.63,15.00,ENERGISA
ENGI3,14/02/2019,14.73,15.00,14.70,15.00,ENERGISA
ENGI3,15/02/2019,15.00,15.01,14.31,15.01,ENERGISA
ENGI3,18/02/2019,14.98,15.19,14.98,15.05,ENERGISA
ENGI3,19/02/2019,15.40,15.40,14.70,14.97,ENERGISA
ENGI3,20/02/2019,14.65,15.30,14.65,15.20,ENERGISA
ENGI3,21/02/2019,15.20,15.20,14.90,15.20,ENERGISA
ENGI3,22/02/2019,15.20,15.45,15.17,15.45,ENERGISA
ENGI3,25/02/2019,15.45,15.50,14.61,15.25,ENERGISA
ENGI3,26/02/2019,15.25,15.99,15.25,15.60,ENERGISA
ENGI3,27/02/2019,15.60,15.70,15.00,15.00,ENERGISA
ENGI3,28/02/2019,15.50,15.79,14.39,14.39,ENERGISA
ENGI3,01/03/2019,14.60,15.10,14.39,14.39,ENERGISA
ENGI3,06/03/2019,14.40,14.50,14.39,14.50,ENERGISA
ENGI3,07/03/2019,14.00,14.60,13.51,14.60,ENERGISA
ENGI3,08/03/2019,14.59,15.25,14.46,14.50,ENERGISA
ENGI3,11/03/2019,14.20,15.03,14.16,14.40,ENERGISA
ENGI3,12/03/2019,14.40,14.85,14.20,14.57,ENERGISA
ENGI3,13/03/2019,14.84,15.15,14.84,15.15,ENERGISA
ENGI3,14/03/2019,15.15,15.40,14.90,15.39,ENERGISA
ENGI3,15/03/2019,15.40,16.00,15.40,15.85,ENERGISA
ENGI3,18/03/2019,16.75,16.80,15.70,15.89,ENERGISA
ENGI3,19/03/2019,15.92,15.92,15.50,15.56,ENERGISA
ENGI3,20/03/2019,15.56,15.90,15.50,15.87,ENERGISA
ENGI3,21/03/2019,15.87,15.89,15.10,15.60,ENERGISA
ENGI3,22/03/2019,15.80,15.80,15.30,15.60,ENERGISA
ENGI3,25/03/2019,15.23,15.50,14.94,15.50,ENERGISA
ENGI3,26/03/2019,15.08,15.18,14.40,14.80,ENERGISA
ENGI3,27/03/2019,14.90,14.90,14.50,14.65,ENERGISA
ENGI3,28/03/2019,14.61,15.35,14.51,15.35,ENERGISA
ENGI3,29/03/2019,15.35,15.57,15.10,15.53,ENERGISA
ENGI3,01/04/2019,15.50,15.69,15.10,15.69,ENERGISA
ENGI3,02/04/2019,15.79,15.80,15.41,15.80,ENERGISA
ENGI3,03/04/2019,15.80,15.80,15.45,15.46,ENERGISA
ENGI3,04/04/2019,15.46,15.57,15.06,15.08,ENERGISA
ENGI3,05/04/2019,15.30,15.60,15.16,15.45,ENERGISA
ENGI3,08/04/2019,15.17,15.79,15.06,15.71,ENERGISA
ENGI3,09/04/2019,15.75,15.91,15.45,15.91,ENERGISA
ENGI3,10/04/2019,16.00,16.45,15.00,15.00,ENERGISA
ENGI3,11/04/2019,15.44,15.44,15.03,15.04,ENERGISA
ENGI3,12/04/2019,14.75,15.26,14.75,14.94,ENERGISA
ENGI3,15/04/2019,14.95,15.05,14.50,14.50,ENERGISA
ENGI3,16/04/2019,14.26,14.30,13.10,13.10,ENERGISA
ENGI3,17/04/2019,13.49,13.55,12.40,12.60,ENERGISA
ENGI3,18/04/2019,12.95,13.15,12.85,12.98,ENERGISA
ENGI3,22/04/2019,12.98,12.99,12.85,12.98,ENERGISA
ENGI3,23/04/2019,12.95,13.59,12.94,13.31,ENERGISA
ENGI3,24/04/2019,13.02,13.49,13.02,13.10,ENERGISA
ENGI3,25/04/2019,13.10,13.63,13.00,13.30,ENERGISA
ENGI3,26/04/2019,13.01,13.29,13.01,13.25,ENERGISA
ENGI3,29/04/2019,13.49,13.50,13.20,13.20,ENERGISA
ENGI3,30/04/2019,13.59,13.59,13.35,13.35,ENERGISA
ENGI3,02/05/2019,13.35,13.60,13.35,13.59,ENERGISA
ENGI3,03/05/2019,13.63,14.51,13.63,14.49,ENERGISA
ENGI3,06/05/2019,14.04,14.97,14.00,14.97,ENERGISA
ENGI3,07/05/2019,14.57,15.11,14.49,15.10,ENERGISA
ENGI3,08/05/2019,15.07,15.07,14.86,14.86,ENERGISA
ENGI3,09/05/2019,14.65,15.49,14.50,15.49,ENERGISA
ENGI3,10/05/2019,15.02,15.49,14.75,15.49,ENERGISA
ENGI3,13/05/2019,14.99,15.10,14.99,15.04,ENERGISA
ENGI3,14/05/2019,15.48,15.59,15.10,15.34,ENERGISA
ENGI3,15/05/2019,15.30,15.85,15.30,15.58,ENERGISA
ENGI3,16/05/2019,15.89,16.00,15.65,16.00,ENERGISA
ENGI3,17/05/2019,15.48,15.50,15.30,15.30,ENERGISA
ENGI3,20/05/2019,15.30,15.41,15.30,15.35,ENERGISA
ENGI3,21/05/2019,15.90,16.00,15.69,15.80,ENERGISA
ENGI3,22/05/2019,16.00,16.29,15.80,16.00,ENERGISA
ENGI3,23/05/2019,15.31,15.69,15.30,15.69,ENERGISA
ENGI3,24/05/2019,15.39,15.99,15.16,15.23,ENERGISA
ENGI3,27/05/2019,15.23,15.92,14.90,15.28,ENERGISA
ENGI3,28/05/2019,15.28,15.28,15.00,15.00,ENERGISA
ENGI3,29/05/2019,14.90,15.00,14.50,14.50,ENERGISA
ENGI3,30/05/2019,14.80,14.80,14.20,14.20,ENERGISA
ENGI3,31/05/2019,14.20,14.20,13.50,14.09,ENERGISA
ENGI3,03/06/2019,14.20,14.20,13.43,13.58,ENERGISA
ENGI3,04/06/2019,13.55,13.55,13.26,13.30,ENERGISA
ENGI3,05/06/2019,13.31,13.50,13.11,13.12,ENERGISA
ENGI3,06/06/2019,13.25,13.94,13.25,13.60,ENERGISA
