Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EVEN3,02/01/2019,6.00,6.15,5.95,6.11,EVEN
EVEN3,03/01/2019,6.03,6.26,6.03,6.26,EVEN
EVEN3,04/01/2019,6.23,6.27,6.08,6.19,EVEN
EVEN3,07/01/2019,6.14,6.35,6.09,6.22,EVEN
EVEN3,08/01/2019,6.22,6.26,6.11,6.17,EVEN
EVEN3,09/01/2019,6.22,6.28,6.18,6.25,EVEN
EVEN3,10/01/2019,6.25,6.36,6.13,6.36,EVEN
EVEN3,11/01/2019,6.33,6.38,6.15,6.22,EVEN
EVEN3,14/01/2019,6.16,6.51,6.16,6.37,EVEN
EVEN3,15/01/2019,6.37,6.42,6.19,6.21,EVEN
EVEN3,16/01/2019,6.22,6.29,6.16,6.22,EVEN
EVEN3,17/01/2019,6.23,6.85,6.17,6.70,EVEN
EVEN3,18/01/2019,6.76,6.77,6.54,6.68,EVEN
EVEN3,21/01/2019,6.70,6.73,6.54,6.70,EVEN
EVEN3,22/01/2019,6.70,6.70,6.44,6.52,EVEN
EVEN3,23/01/2019,6.60,6.87,6.58,6.74,EVEN
EVEN3,24/01/2019,6.75,6.84,6.70,6.77,EVEN
EVEN3,28/01/2019,6.75,6.80,6.63,6.75,EVEN
EVEN3,29/01/2019,6.72,6.86,6.65,6.65,EVEN
EVEN3,30/01/2019,6.72,6.75,6.58,6.70,EVEN
EVEN3,31/01/2019,6.70,6.97,6.61,6.73,EVEN
EVEN3,01/02/2019,6.77,6.85,6.49,6.51,EVEN
EVEN3,04/02/2019,6.54,6.58,6.12,6.37,EVEN
EVEN3,05/02/2019,6.36,6.47,6.26,6.40,EVEN
EVEN3,06/02/2019,6.37,6.39,6.04,6.14,EVEN
EVEN3,07/02/2019,6.14,6.20,5.81,5.95,EVEN
EVEN3,08/02/2019,5.97,6.18,5.87,6.16,EVEN
EVEN3,11/02/2019,6.16,6.18,6.04,6.11,EVEN
EVEN3,12/02/2019,6.12,6.28,6.00,6.23,EVEN
EVEN3,13/02/2019,6.27,6.27,5.99,6.00,EVEN
EVEN3,14/02/2019,6.01,6.15,5.76,6.14,EVEN
EVEN3,15/02/2019,6.14,6.18,6.05,6.15,EVEN
EVEN3,18/02/2019,6.16,6.23,6.05,6.20,EVEN
EVEN3,19/02/2019,6.20,6.28,6.06,6.11,EVEN
EVEN3,20/02/2019,6.15,6.21,6.01,6.10,EVEN
EVEN3,21/02/2019,6.10,6.13,6.01,6.10,EVEN
EVEN3,22/02/2019,6.12,6.17,6.03,6.15,EVEN
EVEN3,25/02/2019,6.21,6.23,6.06,6.08,EVEN
EVEN3,26/02/2019,6.11,6.15,6.01,6.06,EVEN
EVEN3,27/02/2019,6.06,6.14,5.96,6.14,EVEN
EVEN3,28/02/2019,6.14,6.14,5.97,5.97,EVEN
EVEN3,01/03/2019,6.00,6.07,5.91,6.02,EVEN
EVEN3,06/03/2019,6.01,6.05,5.91,6.01,EVEN
EVEN3,07/03/2019,5.97,6.13,5.85,6.05,EVEN
EVEN3,08/03/2019,6.03,6.22,5.94,6.12,EVEN
EVEN3,11/03/2019,6.15,6.38,6.13,6.37,EVEN
EVEN3,12/03/2019,6.40,6.45,6.22,6.28,EVEN
EVEN3,13/03/2019,6.30,6.39,6.18,6.32,EVEN
EVEN3,14/03/2019,6.30,6.40,6.24,6.35,EVEN
EVEN3,15/03/2019,6.39,6.49,6.30,6.45,EVEN
EVEN3,18/03/2019,6.45,6.54,6.32,6.35,EVEN
EVEN3,19/03/2019,6.42,6.55,6.32,6.55,EVEN
EVEN3,20/03/2019,6.59,6.69,6.48,6.60,EVEN
EVEN3,21/03/2019,6.59,6.63,6.33,6.37,EVEN
EVEN3,22/03/2019,6.32,6.32,6.03,6.13,EVEN
EVEN3,25/03/2019,6.13,6.13,6.00,6.06,EVEN
EVEN3,26/03/2019,6.08,6.25,6.07,6.22,EVEN
EVEN3,27/03/2019,6.20,6.20,5.77,5.80,EVEN
EVEN3,28/03/2019,5.80,6.12,5.72,6.00,EVEN
EVEN3,29/03/2019,6.08,6.14,5.93,6.00,EVEN
EVEN3,01/04/2019,6.02,6.10,5.88,5.97,EVEN
EVEN3,02/04/2019,6.05,6.05,5.83,5.96,EVEN
EVEN3,03/04/2019,5.96,6.12,5.90,5.94,EVEN
EVEN3,04/04/2019,5.94,6.02,5.88,6.00,EVEN
EVEN3,05/04/2019,5.98,6.27,5.97,6.10,EVEN
EVEN3,08/04/2019,6.14,6.14,5.97,6.09,EVEN
EVEN3,09/04/2019,6.09,6.09,5.80,5.90,EVEN
EVEN3,10/04/2019,5.93,5.97,5.81,5.92,EVEN
EVEN3,11/04/2019,5.88,6.01,5.88,5.95,EVEN
EVEN3,12/04/2019,5.91,5.94,5.66,5.77,EVEN
EVEN3,15/04/2019,5.82,5.82,5.66,5.75,EVEN
EVEN3,16/04/2019,5.77,6.15,5.77,5.93,EVEN
EVEN3,17/04/2019,6.00,6.00,5.80,5.84,EVEN
EVEN3,18/04/2019,5.84,6.00,5.78,5.95,EVEN
EVEN3,22/04/2019,5.96,6.00,5.84,5.88,EVEN
EVEN3,23/04/2019,5.95,5.98,5.87,5.95,EVEN
EVEN3,24/04/2019,5.98,5.98,5.80,5.80,EVEN
EVEN3,25/04/2019,5.82,6.34,5.80,6.27,EVEN
EVEN3,26/04/2019,6.27,6.38,6.14,6.29,EVEN
EVEN3,29/04/2019,6.32,6.60,6.25,6.40,EVEN
EVEN3,30/04/2019,6.40,6.51,6.27,6.51,EVEN
EVEN3,02/05/2019,6.50,6.50,6.34,6.42,EVEN
EVEN3,03/05/2019,6.42,6.43,6.28,6.35,EVEN
EVEN3,06/05/2019,6.21,6.41,6.18,6.40,EVEN
EVEN3,07/05/2019,6.35,6.36,6.17,6.25,EVEN
EVEN3,08/05/2019,6.26,6.38,6.18,6.28,EVEN
EVEN3,09/05/2019,6.28,6.28,6.14,6.28,EVEN
EVEN3,10/05/2019,6.40,6.53,6.39,6.45,EVEN
EVEN3,13/05/2019,6.43,6.43,6.20,6.37,EVEN
EVEN3,14/05/2019,6.38,6.45,6.27,6.33,EVEN
EVEN3,15/05/2019,6.28,6.28,6.05,6.12,EVEN
EVEN3,16/05/2019,6.12,6.14,5.98,6.14,EVEN
EVEN3,17/05/2019,6.10,6.11,5.92,5.92,EVEN
EVEN3,20/05/2019,5.96,6.27,5.93,6.27,EVEN
EVEN3,21/05/2019,6.25,6.42,6.23,6.34,EVEN
EVEN3,22/05/2019,6.41,6.44,6.14,6.20,EVEN
EVEN3,23/05/2019,6.17,6.29,6.11,6.22,EVEN
EVEN3,24/05/2019,6.29,6.29,6.17,6.19,EVEN
EVEN3,27/05/2019,6.24,6.31,6.19,6.27,EVEN
EVEN3,28/05/2019,6.27,6.46,6.27,6.45,EVEN
EVEN3,29/05/2019,6.44,6.54,6.35,6.40,EVEN
EVEN3,30/05/2019,6.50,6.81,6.50,6.65,EVEN
EVEN3,31/05/2019,6.65,6.90,6.58,6.90,EVEN
EVEN3,03/06/2019,6.90,7.08,6.87,7.00,EVEN
EVEN3,04/06/2019,7.06,7.35,7.06,7.25,EVEN
EVEN3,05/06/2019,7.34,7.37,7.13,7.23,EVEN
EVEN3,06/06/2019,7.27,7.33,7.15,7.27,EVEN
EVEN3,07/06/2019,7.34,7.52,7.15,7.29,EVEN
EVEN3,10/06/2019,7.29,7.35,7.18,7.19,EVEN
EVEN3,11/06/2019,7.16,7.29,7.08,7.22,EVEN
EVEN3,12/06/2019,7.26,7.50,7.08,7.38,EVEN
EVEN3,13/06/2019,7.42,7.75,7.41,7.69,EVEN
EVEN3,14/06/2019,7.68,7.93,7.63,7.75,EVEN
EVEN3,17/06/2019,7.79,7.90,7.71,7.71,EVEN
EVEN3,18/06/2019,7.70,7.86,7.55,7.61,EVEN
EVEN3,19/06/2019,7.64,7.73,7.48,7.62,EVEN
EVEN3,21/06/2019,7.64,7.90,7.64,7.75,EVEN
EVEN3,24/06/2019,7.82,8.07,7.82,8.00,EVEN
EVEN3,25/06/2019,8.00,8.10,7.78,7.85,EVEN
