Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
FESA4,02/01/2019,20.45,21.14,20.36,20.68,FERBASA
FESA4,03/01/2019,20.68,20.96,20.62,20.84,FERBASA
FESA4,04/01/2019,20.90,21.02,20.82,21.02,FERBASA
FESA4,07/01/2019,21.20,21.46,21.18,21.46,FERBASA
FESA4,08/01/2019,21.39,21.91,21.26,21.91,FERBASA
FESA4,09/01/2019,21.91,22.15,21.86,22.00,FERBASA
FESA4,10/01/2019,22.00,22.31,21.94,22.31,FERBASA
FESA4,11/01/2019,22.30,22.30,22.14,22.14,FERBASA
FESA4,14/01/2019,22.19,22.30,22.06,22.18,FERBASA
FESA4,15/01/2019,22.18,22.40,22.10,22.40,FERBASA
FESA4,16/01/2019,22.38,22.38,21.96,22.28,FERBASA
FESA4,17/01/2019,22.21,22.40,22.02,22.40,FERBASA
FESA4,18/01/2019,22.37,22.43,22.15,22.17,FERBASA
FESA4,21/01/2019,22.19,22.19,21.77,21.99,FERBASA
FESA4,22/01/2019,21.99,22.05,21.90,22.05,FERBASA
FESA4,23/01/2019,22.05,22.54,21.83,22.50,FERBASA
FESA4,24/01/2019,22.49,23.30,22.49,23.30,FERBASA
FESA4,28/01/2019,23.21,23.45,22.90,22.91,FERBASA
FESA4,29/01/2019,22.99,23.13,22.76,22.90,FERBASA
FESA4,30/01/2019,23.02,23.18,23.02,23.04,FERBASA
FESA4,31/01/2019,23.10,23.23,23.04,23.06,FERBASA
FESA4,01/02/2019,23.12,23.20,22.99,23.05,FERBASA
FESA4,04/02/2019,23.05,24.04,23.00,23.96,FERBASA
FESA4,05/02/2019,23.95,23.98,23.62,23.90,FERBASA
FESA4,06/02/2019,23.89,23.93,23.55,23.85,FERBASA
FESA4,07/02/2019,23.94,24.13,23.57,23.58,FERBASA
FESA4,08/02/2019,23.56,24.47,23.31,24.47,FERBASA
FESA4,11/02/2019,24.50,24.70,24.32,24.45,FERBASA
FESA4,12/02/2019,24.55,25.43,24.48,25.29,FERBASA
FESA4,13/02/2019,25.29,25.44,25.00,25.18,FERBASA
FESA4,14/02/2019,25.21,25.50,25.18,25.47,FERBASA
FESA4,15/02/2019,25.47,26.10,25.36,25.78,FERBASA
FESA4,18/02/2019,25.78,26.17,25.72,25.84,FERBASA
FESA4,19/02/2019,25.85,26.08,25.47,25.95,FERBASA
FESA4,20/02/2019,26.07,26.29,25.00,25.53,FERBASA
FESA4,21/02/2019,25.63,25.98,25.54,25.81,FERBASA
FESA4,22/02/2019,25.89,26.55,25.80,26.30,FERBASA
FESA4,25/02/2019,26.32,27.29,26.32,27.26,FERBASA
FESA4,26/02/2019,27.30,27.45,26.81,27.04,FERBASA
FESA4,27/02/2019,27.04,27.44,26.89,27.28,FERBASA
FESA4,28/02/2019,27.28,27.62,26.90,27.40,FERBASA
FESA4,01/03/2019,27.40,27.42,26.90,27.01,FERBASA
