Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
FRAS3,02/01/2019,4.60,4.83,4.60,4.82,FRAS-LE
FRAS3,03/01/2019,4.82,4.83,4.77,4.77,FRAS-LE
FRAS3,04/01/2019,4.79,4.81,4.72,4.72,FRAS-LE
FRAS3,07/01/2019,4.80,4.88,4.77,4.80,FRAS-LE
FRAS3,08/01/2019,4.80,4.83,4.71,4.80,FRAS-LE
FRAS3,09/01/2019,4.83,4.84,4.75,4.76,FRAS-LE
FRAS3,10/01/2019,4.81,4.81,4.73,4.73,FRAS-LE
FRAS3,11/01/2019,4.73,4.80,4.73,4.73,FRAS-LE
FRAS3,14/01/2019,4.73,4.82,4.70,4.79,FRAS-LE
FRAS3,15/01/2019,4.82,4.83,4.76,4.78,FRAS-LE
FRAS3,16/01/2019,4.80,4.83,4.78,4.80,FRAS-LE
FRAS3,17/01/2019,4.82,4.96,4.78,4.96,FRAS-LE
FRAS3,18/01/2019,4.96,5.15,4.96,5.11,FRAS-LE
FRAS3,21/01/2019,5.08,5.23,5.03,5.23,FRAS-LE
FRAS3,22/01/2019,5.20,5.23,5.06,5.10,FRAS-LE
FRAS3,23/01/2019,5.11,5.19,5.09,5.15,FRAS-LE
FRAS3,24/01/2019,5.15,5.23,5.13,5.17,FRAS-LE
FRAS3,28/01/2019,5.10,5.21,5.07,5.21,FRAS-LE
FRAS3,29/01/2019,5.22,5.23,5.15,5.23,FRAS-LE
FRAS3,30/01/2019,5.28,5.36,5.20,5.26,FRAS-LE
FRAS3,31/01/2019,5.26,5.31,5.23,5.30,FRAS-LE
FRAS3,01/02/2019,5.30,5.35,5.25,5.32,FRAS-LE
FRAS3,04/02/2019,5.32,5.38,5.27,5.38,FRAS-LE
FRAS3,05/02/2019,5.39,5.40,5.33,5.35,FRAS-LE
FRAS3,06/02/2019,5.35,5.35,5.23,5.24,FRAS-LE
FRAS3,07/02/2019,5.21,5.28,5.08,5.12,FRAS-LE
FRAS3,08/02/2019,5.12,5.22,5.11,5.19,FRAS-LE
