Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GBIO33,02/01/2019,8.39,8.68,8.20,8.52,BIOTOSCANA
GBIO33,03/01/2019,8.63,8.80,8.39,8.39,BIOTOSCANA
GBIO33,04/01/2019,8.39,8.39,8.16,8.17,BIOTOSCANA
GBIO33,07/01/2019,8.19,8.25,8.13,8.18,BIOTOSCANA
GBIO33,08/01/2019,8.19,8.19,7.94,7.94,BIOTOSCANA
GBIO33,09/01/2019,8.05,8.20,7.95,8.00,BIOTOSCANA
GBIO33,10/01/2019,7.96,8.14,7.96,8.00,BIOTOSCANA
GBIO33,11/01/2019,8.00,8.06,7.95,8.05,BIOTOSCANA
GBIO33,14/01/2019,7.97,8.07,7.93,7.99,BIOTOSCANA
GBIO33,15/01/2019,7.99,7.99,7.85,7.86,BIOTOSCANA
GBIO33,16/01/2019,7.86,7.91,7.51,7.57,BIOTOSCANA
GBIO33,17/01/2019,7.59,7.69,7.30,7.44,BIOTOSCANA
GBIO33,18/01/2019,7.52,7.83,7.52,7.80,BIOTOSCANA
GBIO33,21/01/2019,7.77,7.90,7.76,7.90,BIOTOSCANA
GBIO33,22/01/2019,7.86,8.31,7.86,8.00,BIOTOSCANA
GBIO33,23/01/2019,8.01,8.18,7.85,7.99,BIOTOSCANA
GBIO33,24/01/2019,7.99,8.08,7.93,8.01,BIOTOSCANA
GBIO33,28/01/2019,8.04,8.10,7.80,8.07,BIOTOSCANA
GBIO33,29/01/2019,8.04,8.18,8.03,8.15,BIOTOSCANA
GBIO33,30/01/2019,8.15,8.46,8.09,8.40,BIOTOSCANA
GBIO33,31/01/2019,8.50,9.11,8.50,8.75,BIOTOSCANA
GBIO33,01/02/2019,8.75,9.02,8.51,8.62,BIOTOSCANA
GBIO33,04/02/2019,8.62,8.83,8.59,8.78,BIOTOSCANA
GBIO33,05/02/2019,8.80,9.22,8.80,8.85,BIOTOSCANA
GBIO33,06/02/2019,8.87,9.00,8.63,8.70,BIOTOSCANA
GBIO33,07/02/2019,8.71,8.80,8.56,8.75,BIOTOSCANA
GBIO33,08/02/2019,8.71,9.05,8.71,8.75,BIOTOSCANA
GBIO33,11/02/2019,8.76,8.98,8.71,8.75,BIOTOSCANA
GBIO33,12/02/2019,8.77,8.97,8.70,8.97,BIOTOSCANA
GBIO33,13/02/2019,8.99,9.25,8.84,9.20,BIOTOSCANA
GBIO33,14/02/2019,9.25,9.33,9.00,9.15,BIOTOSCANA
GBIO33,15/02/2019,9.07,9.23,8.90,9.23,BIOTOSCANA
GBIO33,18/02/2019,9.19,9.19,9.03,9.03,BIOTOSCANA
GBIO33,19/02/2019,9.00,9.09,8.72,9.09,BIOTOSCANA
GBIO33,20/02/2019,9.06,9.18,8.95,9.00,BIOTOSCANA
