Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GFSA3,02/01/2019,16.88,16.95,16.50,16.95,GAFISA
GFSA3,03/01/2019,16.89,17.01,16.67,16.94,GAFISA
GFSA3,04/01/2019,16.99,17.00,16.39,16.86,GAFISA
GFSA3,07/01/2019,16.71,16.88,16.46,16.70,GAFISA
GFSA3,08/01/2019,16.79,16.80,16.44,16.57,GAFISA
GFSA3,09/01/2019,16.58,16.80,16.36,16.36,GAFISA
GFSA3,10/01/2019,16.35,16.38,16.02,16.17,GAFISA
GFSA3,11/01/2019,16.17,16.49,16.15,16.40,GAFISA
GFSA3,14/01/2019,16.40,16.60,16.16,16.29,GAFISA
GFSA3,15/01/2019,16.40,16.47,15.88,16.21,GAFISA
GFSA3,16/01/2019,16.22,16.32,15.94,16.04,GAFISA
GFSA3,17/01/2019,16.18,16.19,15.60,15.70,GAFISA
GFSA3,18/01/2019,15.80,16.05,14.91,16.03,GAFISA
GFSA3,21/01/2019,16.05,16.18,15.51,15.56,GAFISA
GFSA3,22/01/2019,15.70,15.70,15.22,15.36,GAFISA
GFSA3,23/01/2019,15.27,16.13,15.10,16.03,GAFISA
GFSA3,24/01/2019,16.00,16.18,15.61,15.61,GAFISA
GFSA3,28/01/2019,15.60,15.61,15.03,15.12,GAFISA
GFSA3,29/01/2019,15.33,15.33,14.55,14.63,GAFISA
GFSA3,30/01/2019,14.60,14.60,13.70,13.77,GAFISA
GFSA3,31/01/2019,13.72,14.21,13.21,14.10,GAFISA
GFSA3,01/02/2019,14.37,14.64,14.22,14.49,GAFISA
GFSA3,04/02/2019,14.58,14.58,13.93,14.05,GAFISA
GFSA3,05/02/2019,14.20,14.24,13.80,13.92,GAFISA
GFSA3,06/02/2019,13.85,13.85,13.01,13.01,GAFISA
GFSA3,07/02/2019,13.04,13.10,12.50,12.88,GAFISA
GFSA3,08/02/2019,12.82,12.82,12.39,12.39,GAFISA
GFSA3,11/02/2019,12.01,13.21,11.05,12.22,GAFISA
GFSA3,12/02/2019,12.22,12.38,11.46,11.57,GAFISA
GFSA3,13/02/2019,11.65,11.65,10.78,10.78,GAFISA
GFSA3,14/02/2019,10.67,10.67,9.13,9.40,GAFISA
GFSA3,15/02/2019,9.70,10.09,9.55,9.61,GAFISA
GFSA3,18/02/2019,9.90,9.95,9.52,9.65,GAFISA
GFSA3,19/02/2019,9.65,9.76,9.26,9.31,GAFISA
GFSA3,20/02/2019,9.31,9.32,8.92,8.94,GAFISA
GFSA3,21/02/2019,8.97,9.34,8.79,9.05,GAFISA
GFSA3,22/02/2019,9.15,9.86,9.07,9.66,GAFISA
GFSA3,25/02/2019,9.86,10.32,9.75,10.17,GAFISA
GFSA3,26/02/2019,10.24,10.55,9.84,10.00,GAFISA
GFSA3,27/02/2019,10.12,10.14,9.66,9.75,GAFISA
GFSA3,28/02/2019,9.80,10.00,9.58,9.82,GAFISA
GFSA3,01/03/2019,9.90,10.05,9.78,9.78,GAFISA
GFSA3,06/03/2019,9.80,9.84,9.52,9.80,GAFISA
GFSA3,07/03/2019,9.80,9.87,9.66,9.70,GAFISA
GFSA3,08/03/2019,9.65,9.73,9.55,9.57,GAFISA
GFSA3,11/03/2019,9.56,9.65,9.05,9.22,GAFISA
GFSA3,12/03/2019,9.22,9.32,9.14,9.27,GAFISA
GFSA3,13/03/2019,9.23,9.41,9.20,9.20,GAFISA
GFSA3,14/03/2019,9.25,9.29,8.95,8.96,GAFISA
GFSA3,15/03/2019,8.98,9.08,8.90,9.00,GAFISA
GFSA3,18/03/2019,9.15,10.05,9.15,10.03,GAFISA
GFSA3,19/03/2019,10.20,10.32,9.65,9.72,GAFISA
GFSA3,20/03/2019,9.75,10.25,9.67,9.76,GAFISA
GFSA3,21/03/2019,9.83,9.87,9.36,9.53,GAFISA
GFSA3,22/03/2019,9.40,9.42,9.15,9.32,GAFISA
GFSA3,25/03/2019,9.35,9.55,9.16,9.16,GAFISA
GFSA3,26/03/2019,9.25,9.33,9.07,9.24,GAFISA
GFSA3,27/03/2019,9.21,9.26,8.92,8.96,GAFISA
GFSA3,28/03/2019,8.96,9.10,8.93,8.96,GAFISA
GFSA3,29/03/2019,8.90,8.92,8.50,8.54,GAFISA
GFSA3,01/04/2019,8.60,8.74,8.20,8.20,GAFISA
GFSA3,02/04/2019,8.21,8.56,8.01,8.39,GAFISA
GFSA3,03/04/2019,8.40,8.50,8.04,8.05,GAFISA
GFSA3,04/04/2019,8.06,8.10,7.74,7.76,GAFISA
GFSA3,05/04/2019,7.78,7.84,7.51,7.51,GAFISA
GFSA3,08/04/2019,7.55,8.28,7.34,7.98,GAFISA
GFSA3,09/04/2019,8.05,8.05,7.60,7.60,GAFISA
GFSA3,10/04/2019,7.67,7.83,7.56,7.65,GAFISA
GFSA3,11/04/2019,7.73,7.95,7.57,7.89,GAFISA
GFSA3,12/04/2019,7.78,8.35,7.78,7.82,GAFISA
GFSA3,15/04/2019,7.90,7.93,7.47,7.47,GAFISA
GFSA3,16/04/2019,7.25,7.80,6.95,7.44,GAFISA
GFSA3,17/04/2019,7.31,7.35,6.96,6.96,GAFISA
GFSA3,18/04/2019,6.80,6.88,6.46,6.49,GAFISA
GFSA3,22/04/2019,6.49,6.72,6.27,6.65,GAFISA
GFSA3,23/04/2019,6.72,6.89,6.68,6.84,GAFISA
GFSA3,24/04/2019,6.40,6.53,6.11,6.26,GAFISA
GFSA3,25/04/2019,6.20,6.27,6.03,6.05,GAFISA
GFSA3,26/04/2019,6.09,6.10,5.87,5.88,GAFISA
GFSA3,29/04/2019,5.90,6.12,5.68,6.12,GAFISA
GFSA3,30/04/2019,6.17,6.20,5.76,5.78,GAFISA
GFSA3,02/05/2019,5.80,5.80,5.56,5.60,GAFISA
GFSA3,03/05/2019,5.61,5.78,5.45,5.65,GAFISA
GFSA3,06/05/2019,5.51,5.74,5.49,5.53,GAFISA
GFSA3,07/05/2019,5.58,5.62,5.51,5.54,GAFISA
GFSA3,08/05/2019,5.55,5.64,5.53,5.59,GAFISA
GFSA3,09/05/2019,5.59,5.66,5.49,5.53,GAFISA
GFSA3,10/05/2019,5.52,5.60,5.52,5.55,GAFISA
GFSA3,13/05/2019,5.51,5.55,5.42,5.45,GAFISA
GFSA3,14/05/2019,5.43,5.52,5.40,5.41,GAFISA
GFSA3,15/05/2019,5.41,5.45,5.15,5.15,GAFISA
GFSA3,16/05/2019,5.15,5.20,5.08,5.15,GAFISA
GFSA3,17/05/2019,5.20,5.20,5.06,5.10,GAFISA
GFSA3,20/05/2019,5.10,5.18,5.10,5.13,GAFISA
GFSA3,21/05/2019,5.18,5.22,5.13,5.15,GAFISA
GFSA3,22/05/2019,5.16,5.55,5.14,5.30,GAFISA
GFSA3,23/05/2019,5.28,5.35,4.98,5.02,GAFISA
GFSA3,24/05/2019,5.03,5.09,4.81,4.86,GAFISA
GFSA3,27/05/2019,4.90,5.06,4.88,4.97,GAFISA
