Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GGBR4,02/01/2019,14.80,15.43,14.57,15.20,GERDAU
GGBR4,03/01/2019,15.14,15.60,14.80,15.10,GERDAU
GGBR4,04/01/2019,15.16,15.65,15.16,15.50,GERDAU
GGBR4,07/01/2019,15.53,15.80,15.39,15.54,GERDAU
GGBR4,08/01/2019,15.60,15.75,15.37,15.56,GERDAU
GGBR4,09/01/2019,15.73,16.10,15.67,16.00,GERDAU
GGBR4,10/01/2019,15.86,15.89,15.54,15.59,GERDAU
GGBR4,11/01/2019,15.63,15.69,14.84,15.22,GERDAU
GGBR4,14/01/2019,15.11,15.26,14.89,15.20,GERDAU
GGBR4,15/01/2019,15.24,15.38,14.90,14.90,GERDAU
GGBR4,16/01/2019,14.98,15.06,14.81,14.93,GERDAU
GGBR4,17/01/2019,14.85,15.19,14.75,15.05,GERDAU
GGBR4,18/01/2019,15.20,15.50,15.12,15.49,GERDAU
GGBR4,21/01/2019,15.50,15.62,15.27,15.50,GERDAU
GGBR4,22/01/2019,15.39,15.50,15.30,15.47,GERDAU
GGBR4,23/01/2019,15.55,15.70,15.32,15.65,GERDAU
GGBR4,24/01/2019,15.67,16.03,15.60,15.99,GERDAU
GGBR4,28/01/2019,15.65,15.98,15.53,15.64,GERDAU
GGBR4,29/01/2019,15.79,15.88,15.64,15.64,GERDAU
GGBR4,30/01/2019,15.86,16.30,15.81,16.15,GERDAU
GGBR4,31/01/2019,16.27,16.30,15.62,15.65,GERDAU
GGBR4,01/02/2019,15.80,16.02,15.70,15.80,GERDAU
GGBR4,04/02/2019,15.85,15.99,15.60,15.99,GERDAU
GGBR4,05/02/2019,15.96,16.15,15.86,15.92,GERDAU
GGBR4,06/02/2019,15.82,15.83,15.33,15.33,GERDAU
GGBR4,07/02/2019,15.45,15.70,15.16,15.23,GERDAU
GGBR4,08/02/2019,15.10,15.37,15.00,15.35,GERDAU
GGBR4,11/02/2019,15.45,15.54,15.10,15.45,GERDAU
GGBR4,12/02/2019,15.60,15.69,15.44,15.50,GERDAU
GGBR4,13/02/2019,15.64,15.80,15.50,15.63,GERDAU
GGBR4,14/02/2019,15.61,15.83,15.36,15.73,GERDAU
GGBR4,15/02/2019,15.73,15.77,15.45,15.48,GERDAU
GGBR4,18/02/2019,15.45,15.59,15.38,15.55,GERDAU
GGBR4,19/02/2019,15.56,15.69,15.45,15.54,GERDAU
GGBR4,20/02/2019,15.57,15.88,15.42,15.80,GERDAU
GGBR4,21/02/2019,15.55,15.68,15.01,15.10,GERDAU
GGBR4,22/02/2019,15.20,15.31,15.01,15.18,GERDAU
