Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GOLL4,02/01/2019,25.08,25.62,24.95,25.45,GOL
GOLL4,03/01/2019,25.39,25.83,24.69,25.63,GOL
GOLL4,04/01/2019,25.66,25.86,24.77,25.00,GOL
GOLL4,07/01/2019,24.76,25.15,23.85,23.90,GOL
GOLL4,08/01/2019,24.30,24.40,22.74,23.59,GOL
GOLL4,09/01/2019,23.70,24.13,23.46,23.48,GOL
GOLL4,10/01/2019,23.19,23.71,22.99,23.25,GOL
GOLL4,11/01/2019,23.50,24.96,23.44,24.96,GOL
GOLL4,14/01/2019,24.83,25.40,24.38,25.16,GOL
GOLL4,15/01/2019,25.30,25.50,24.37,24.37,GOL
GOLL4,16/01/2019,24.35,24.65,23.75,23.89,GOL
GOLL4,17/01/2019,24.25,24.48,23.93,24.02,GOL
GOLL4,18/01/2019,24.41,25.08,24.10,24.21,GOL
GOLL4,21/01/2019,23.95,24.14,23.50,23.62,GOL
GOLL4,22/01/2019,23.57,23.96,22.81,22.81,GOL
GOLL4,23/01/2019,23.15,23.35,22.69,23.21,GOL
GOLL4,24/01/2019,23.21,23.60,23.15,23.43,GOL
GOLL4,28/01/2019,22.78,23.41,22.51,23.17,GOL
GOLL4,29/01/2019,23.50,23.54,23.00,23.05,GOL
GOLL4,30/01/2019,23.35,24.22,23.32,24.06,GOL
GOLL4,31/01/2019,24.50,25.18,24.14,24.72,GOL
GOLL4,01/02/2019,24.59,25.05,24.43,24.92,GOL
GOLL4,04/02/2019,24.80,27.00,24.76,26.98,GOL
GOLL4,05/02/2019,27.49,28.14,27.20,27.59,GOL
GOLL4,06/02/2019,27.11,27.80,26.68,26.79,GOL
GOLL4,07/02/2019,27.00,27.33,25.88,26.36,GOL
GOLL4,08/02/2019,26.47,27.15,25.43,27.03,GOL
GOLL4,11/02/2019,27.32,28.14,27.06,27.82,GOL
GOLL4,12/02/2019,28.15,28.59,27.67,28.54,GOL
GOLL4,13/02/2019,28.57,28.89,28.00,28.65,GOL
GOLL4,14/02/2019,28.51,28.64,27.40,28.50,GOL
GOLL4,15/02/2019,28.63,28.98,28.13,28.91,GOL
GOLL4,18/02/2019,28.62,28.74,28.04,28.26,GOL
GOLL4,19/02/2019,28.52,28.63,28.01,28.02,GOL
GOLL4,20/02/2019,28.28,28.83,27.91,28.25,GOL
GOLL4,21/02/2019,28.20,28.65,26.09,27.30,GOL
GOLL4,22/02/2019,27.50,27.83,26.95,27.60,GOL
GOLL4,25/02/2019,27.80,27.96,27.00,27.00,GOL
GOLL4,26/02/2019,27.00,27.94,26.60,27.50,GOL
GOLL4,27/02/2019,27.70,27.90,27.01,27.30,GOL
GOLL4,28/02/2019,27.88,28.05,26.36,26.66,GOL
GOLL4,01/03/2019,26.96,27.08,25.79,26.42,GOL
GOLL4,06/03/2019,26.63,26.89,26.16,26.40,GOL
GOLL4,07/03/2019,26.39,27.03,26.11,26.63,GOL
GOLL4,08/03/2019,26.50,27.37,25.70,27.05,GOL
GOLL4,11/03/2019,26.19,27.22,25.92,26.35,GOL
GOLL4,12/03/2019,26.35,26.95,25.81,26.55,GOL
GOLL4,13/03/2019,26.59,27.81,26.16,27.43,GOL
