Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GUAR3,02/01/2019,163.70,166.19,163.00,165.34,GUARARAPES
GUAR3,03/01/2019,165.02,165.94,157.45,159.00,GUARARAPES
GUAR3,04/01/2019,159.00,160.00,154.18,156.33,GUARARAPES
GUAR3,07/01/2019,156.67,160.98,154.69,160.52,GUARARAPES
GUAR3,08/01/2019,161.48,161.48,158.53,158.56,GUARARAPES
GUAR3,09/01/2019,160.00,164.88,160.00,161.84,GUARARAPES
GUAR3,10/01/2019,161.27,165.92,161.27,164.19,GUARARAPES
GUAR3,11/01/2019,164.19,165.00,158.70,163.07,GUARARAPES
GUAR3,14/01/2019,161.56,162.70,158.10,160.63,GUARARAPES
GUAR3,15/01/2019,161.00,161.69,157.31,161.31,GUARARAPES
GUAR3,16/01/2019,159.83,159.85,157.50,158.00,GUARARAPES
GUAR3,17/01/2019,158.00,159.29,157.14,157.18,GUARARAPES
GUAR3,18/01/2019,158.41,158.62,153.34,158.62,GUARARAPES
GUAR3,21/01/2019,158.04,160.05,156.76,159.95,GUARARAPES
GUAR3,22/01/2019,158.56,159.29,154.60,156.71,GUARARAPES
GUAR3,23/01/2019,157.00,160.50,157.00,159.40,GUARARAPES
GUAR3,24/01/2019,159.49,160.85,157.87,160.85,GUARARAPES
GUAR3,28/01/2019,159.06,164.00,157.74,164.00,GUARARAPES
GUAR3,29/01/2019,164.97,164.97,161.18,163.25,GUARARAPES
GUAR3,30/01/2019,163.22,164.00,159.81,161.67,GUARARAPES
GUAR3,31/01/2019,162.00,162.00,157.03,157.03,GUARARAPES
GUAR3,01/02/2019,157.34,159.52,155.62,159.52,GUARARAPES
GUAR3,04/02/2019,159.61,159.61,154.70,156.18,GUARARAPES
GUAR3,05/02/2019,156.19,156.70,150.50,154.00,GUARARAPES
GUAR3,06/02/2019,153.00,153.47,150.76,151.00,GUARARAPES
GUAR3,07/02/2019,150.05,153.35,148.10,149.57,GUARARAPES
GUAR3,08/02/2019,148.24,150.25,144.00,148.00,GUARARAPES
GUAR3,11/02/2019,148.50,150.28,148.20,150.00,GUARARAPES
GUAR3,12/02/2019,151.00,151.39,148.00,150.50,GUARARAPES
GUAR3,13/02/2019,149.97,150.00,147.30,148.99,GUARARAPES
GUAR3,14/02/2019,149.02,154.00,145.54,152.79,GUARARAPES
GUAR3,15/02/2019,153.00,153.00,148.33,151.00,GUARARAPES
GUAR3,18/02/2019,149.20,149.50,147.69,148.40,GUARARAPES
