Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
HAPV3,02/01/2019,31.29,31.96,30.64,31.10,HAPVIDA
HAPV3,03/01/2019,31.06,31.06,30.39,30.39,HAPVIDA
HAPV3,04/01/2019,30.48,31.00,30.09,30.50,HAPVIDA
HAPV3,07/01/2019,30.50,31.10,30.50,30.96,HAPVIDA
HAPV3,08/01/2019,30.95,30.95,30.32,30.50,HAPVIDA
HAPV3,09/01/2019,30.44,31.19,30.44,31.00,HAPVIDA
HAPV3,10/01/2019,30.91,32.18,30.91,31.69,HAPVIDA
HAPV3,11/01/2019,31.35,31.57,30.83,31.34,HAPVIDA
HAPV3,14/01/2019,31.54,32.71,31.47,32.11,HAPVIDA
HAPV3,15/01/2019,32.13,33.68,31.47,31.70,HAPVIDA
HAPV3,16/01/2019,31.86,33.95,31.81,33.40,HAPVIDA
HAPV3,17/01/2019,33.52,33.94,33.22,33.68,HAPVIDA
HAPV3,18/01/2019,33.82,34.70,33.50,34.20,HAPVIDA
HAPV3,21/01/2019,34.20,34.73,33.33,34.40,HAPVIDA
HAPV3,22/01/2019,34.53,34.53,33.65,34.02,HAPVIDA
HAPV3,23/01/2019,33.79,34.29,33.31,33.67,HAPVIDA
HAPV3,24/01/2019,33.67,34.26,32.93,33.33,HAPVIDA
HAPV3,28/01/2019,33.27,33.27,32.56,33.00,HAPVIDA
HAPV3,29/01/2019,33.08,33.25,32.82,33.02,HAPVIDA
HAPV3,30/01/2019,33.01,33.50,32.74,33.50,HAPVIDA
HAPV3,31/01/2019,33.86,35.48,33.66,34.24,HAPVIDA
HAPV3,01/02/2019,34.34,34.46,33.54,34.00,HAPVIDA
HAPV3,04/02/2019,34.18,34.70,33.78,34.02,HAPVIDA
HAPV3,05/02/2019,34.02,34.56,31.85,33.50,HAPVIDA
HAPV3,06/02/2019,33.40,33.78,32.60,33.07,HAPVIDA
HAPV3,07/02/2019,32.98,33.46,32.34,32.95,HAPVIDA
HAPV3,08/02/2019,32.86,33.43,32.50,32.97,HAPVIDA
HAPV3,11/02/2019,32.95,33.48,32.61,33.30,HAPVIDA
HAPV3,12/02/2019,33.32,33.81,32.84,33.10,HAPVIDA
HAPV3,13/02/2019,33.00,33.89,32.67,33.50,HAPVIDA
HAPV3,14/02/2019,33.39,33.60,32.76,33.13,HAPVIDA
HAPV3,15/02/2019,33.12,33.96,33.12,33.73,HAPVIDA
HAPV3,18/02/2019,33.37,34.00,33.13,34.00,HAPVIDA
HAPV3,19/02/2019,34.01,34.27,33.34,33.40,HAPVIDA
HAPV3,20/02/2019,33.55,33.65,32.41,33.00,HAPVIDA
HAPV3,21/02/2019,33.01,33.12,32.25,32.50,HAPVIDA
HAPV3,22/02/2019,32.52,32.53,31.51,31.51,HAPVIDA
HAPV3,25/02/2019,31.78,32.95,31.30,32.37,HAPVIDA
HAPV3,26/02/2019,32.43,33.00,31.68,32.28,HAPVIDA
HAPV3,27/02/2019,32.28,32.79,32.05,32.47,HAPVIDA
HAPV3,28/02/2019,32.47,32.73,32.15,32.59,HAPVIDA
HAPV3,01/03/2019,32.33,32.80,32.10,32.38,HAPVIDA
HAPV3,06/03/2019,32.27,32.78,31.88,32.49,HAPVIDA
HAPV3,07/03/2019,32.48,32.65,32.20,32.61,HAPVIDA
HAPV3,08/03/2019,32.47,32.83,32.45,32.79,HAPVIDA
HAPV3,11/03/2019,33.00,33.09,32.64,33.02,HAPVIDA
HAPV3,12/03/2019,32.86,33.42,32.35,33.00,HAPVIDA
HAPV3,13/03/2019,33.06,33.11,32.37,32.50,HAPVIDA
HAPV3,14/03/2019,32.19,32.19,30.75,30.90,HAPVIDA
HAPV3,15/03/2019,30.90,31.27,30.17,30.30,HAPVIDA
HAPV3,18/03/2019,30.30,30.31,28.45,29.40,HAPVIDA
HAPV3,19/03/2019,29.30,30.34,29.30,30.34,HAPVIDA
HAPV3,20/03/2019,30.52,30.52,29.82,30.08,HAPVIDA
HAPV3,21/03/2019,30.29,30.29,29.73,29.99,HAPVIDA
HAPV3,22/03/2019,29.84,29.84,29.37,29.80,HAPVIDA
HAPV3,25/03/2019,29.45,29.74,29.11,29.70,HAPVIDA
HAPV3,26/03/2019,29.93,30.41,29.44,30.39,HAPVIDA
HAPV3,27/03/2019,30.30,30.30,29.35,29.48,HAPVIDA
HAPV3,28/03/2019,29.30,30.55,29.04,30.55,HAPVIDA
HAPV3,29/03/2019,30.80,31.15,30.09,30.76,HAPVIDA
