Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
HBOR3,02/01/2019,1.51,1.60,1.50,1.60,HELBOR
HBOR3,03/01/2019,1.61,1.63,1.54,1.56,HELBOR
HBOR3,04/01/2019,1.56,1.64,1.55,1.58,HELBOR
HBOR3,07/01/2019,1.58,1.61,1.55,1.55,HELBOR
HBOR3,08/01/2019,1.56,1.56,1.49,1.55,HELBOR
HBOR3,09/01/2019,1.55,1.59,1.55,1.56,HELBOR
HBOR3,10/01/2019,1.55,1.59,1.54,1.58,HELBOR
HBOR3,11/01/2019,1.58,1.61,1.56,1.58,HELBOR
HBOR3,14/01/2019,1.58,1.72,1.57,1.69,HELBOR
HBOR3,15/01/2019,1.69,1.73,1.65,1.65,HELBOR
HBOR3,16/01/2019,1.65,1.74,1.65,1.70,HELBOR
HBOR3,17/01/2019,1.71,1.80,1.70,1.80,HELBOR
HBOR3,18/01/2019,1.82,1.85,1.74,1.75,HELBOR
HBOR3,21/01/2019,1.76,1.78,1.72,1.76,HELBOR
HBOR3,22/01/2019,1.76,1.82,1.75,1.76,HELBOR
HBOR3,23/01/2019,1.75,1.78,1.68,1.74,HELBOR
HBOR3,24/01/2019,1.76,1.79,1.75,1.78,HELBOR
HBOR3,28/01/2019,1.76,1.78,1.59,1.62,HELBOR
HBOR3,29/01/2019,1.63,1.67,1.62,1.62,HELBOR
HBOR3,30/01/2019,1.64,1.70,1.63,1.66,HELBOR
HBOR3,31/01/2019,1.67,1.69,1.64,1.66,HELBOR
HBOR3,01/02/2019,1.66,1.67,1.60,1.62,HELBOR
HBOR3,04/02/2019,1.64,1.65,1.57,1.58,HELBOR
HBOR3,05/02/2019,1.60,1.63,1.58,1.59,HELBOR
HBOR3,06/02/2019,1.60,1.60,1.52,1.52,HELBOR
HBOR3,07/02/2019,1.53,1.54,1.44,1.51,HELBOR
HBOR3,08/02/2019,1.51,1.52,1.48,1.50,HELBOR
HBOR3,11/02/2019,1.52,1.54,1.47,1.48,HELBOR
HBOR3,12/02/2019,1.49,1.50,1.46,1.48,HELBOR
HBOR3,13/02/2019,1.49,1.49,1.45,1.45,HELBOR
HBOR3,14/02/2019,1.45,1.46,1.40,1.45,HELBOR
HBOR3,15/02/2019,1.47,1.51,1.46,1.49,HELBOR
HBOR3,18/02/2019,1.51,1.55,1.42,1.45,HELBOR
