Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
HGTX3,02/01/2019,29.30,30.50,28.97,30.21,CIA HERING
HGTX3,03/01/2019,30.10,30.66,29.19,30.62,CIA HERING
HGTX3,04/01/2019,30.42,30.45,29.23,29.43,CIA HERING
HGTX3,07/01/2019,29.31,29.47,28.24,28.45,CIA HERING
HGTX3,08/01/2019,28.26,28.84,27.65,28.39,CIA HERING
HGTX3,09/01/2019,28.53,29.42,28.53,29.40,CIA HERING
HGTX3,10/01/2019,29.42,29.68,29.04,29.15,CIA HERING
HGTX3,11/01/2019,29.27,29.35,28.70,28.91,CIA HERING
HGTX3,14/01/2019,28.90,28.90,28.24,28.80,CIA HERING
HGTX3,15/01/2019,29.11,29.94,27.50,27.95,CIA HERING
HGTX3,16/01/2019,28.10,28.20,26.77,28.00,CIA HERING
HGTX3,17/01/2019,28.21,28.37,27.39,28.11,CIA HERING
HGTX3,18/01/2019,28.23,28.38,27.98,28.38,CIA HERING
HGTX3,21/01/2019,28.38,28.38,27.55,28.36,CIA HERING
HGTX3,22/01/2019,28.30,28.30,27.68,28.10,CIA HERING
HGTX3,23/01/2019,28.11,28.50,28.08,28.30,CIA HERING
HGTX3,24/01/2019,28.30,29.45,28.21,29.45,CIA HERING
HGTX3,28/01/2019,29.38,30.10,28.71,30.00,CIA HERING
HGTX3,29/01/2019,29.91,30.78,29.91,30.62,CIA HERING
HGTX3,30/01/2019,30.67,30.88,30.30,30.81,CIA HERING
HGTX3,31/01/2019,30.98,31.54,30.75,31.20,CIA HERING
HGTX3,01/02/2019,31.20,33.31,31.00,32.16,CIA HERING
HGTX3,04/02/2019,32.09,32.39,31.75,31.97,CIA HERING
HGTX3,05/02/2019,32.01,32.99,31.95,32.99,CIA HERING
HGTX3,06/02/2019,32.85,33.14,32.04,32.15,CIA HERING
HGTX3,07/02/2019,32.15,32.50,30.50,31.25,CIA HERING
HGTX3,08/02/2019,31.26,31.65,30.35,31.63,CIA HERING
HGTX3,11/02/2019,31.56,31.63,30.78,31.00,CIA HERING
HGTX3,12/02/2019,31.30,31.52,30.57,31.23,CIA HERING
HGTX3,13/02/2019,31.10,31.31,29.96,29.97,CIA HERING
