Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
HYPE3,02/01/2019,30.29,31.44,30.20,31.15,HYPERA
HYPE3,03/01/2019,31.00,31.69,30.66,31.60,HYPERA
HYPE3,04/01/2019,31.38,31.87,30.94,31.45,HYPERA
HYPE3,07/01/2019,31.40,31.47,30.80,30.95,HYPERA
HYPE3,08/01/2019,31.08,31.38,30.77,30.90,HYPERA
HYPE3,09/01/2019,30.91,31.02,30.33,30.60,HYPERA
HYPE3,10/01/2019,30.39,30.96,30.39,30.90,HYPERA
HYPE3,11/01/2019,30.89,33.24,30.89,32.98,HYPERA
HYPE3,14/01/2019,32.71,33.67,32.63,33.01,HYPERA
HYPE3,15/01/2019,32.92,33.19,32.66,33.01,HYPERA
HYPE3,16/01/2019,32.94,33.38,32.69,32.76,HYPERA
HYPE3,17/01/2019,32.77,33.62,32.50,33.10,HYPERA
HYPE3,18/01/2019,33.04,33.61,32.83,33.02,HYPERA
HYPE3,21/01/2019,33.01,33.01,32.32,32.70,HYPERA
HYPE3,22/01/2019,32.84,33.33,32.44,32.50,HYPERA
HYPE3,23/01/2019,32.70,33.30,32.45,32.58,HYPERA
HYPE3,24/01/2019,32.50,32.81,32.11,32.47,HYPERA
HYPE3,28/01/2019,32.47,33.42,32.28,33.03,HYPERA
HYPE3,29/01/2019,33.29,33.93,32.47,32.47,HYPERA
HYPE3,30/01/2019,32.60,32.88,31.55,32.00,HYPERA
HYPE3,31/01/2019,32.28,32.35,31.58,31.85,HYPERA
HYPE3,01/02/2019,31.72,32.08,30.95,31.33,HYPERA
HYPE3,04/02/2019,31.34,32.07,31.15,32.00,HYPERA
HYPE3,05/02/2019,32.07,32.34,31.93,32.25,HYPERA
HYPE3,06/02/2019,32.18,32.18,31.22,31.46,HYPERA
HYPE3,07/02/2019,31.60,31.92,31.13,31.55,HYPERA
HYPE3,08/02/2019,31.40,31.79,30.82,31.60,HYPERA
HYPE3,11/02/2019,31.72,31.82,30.70,30.77,HYPERA
HYPE3,12/02/2019,30.99,31.02,29.91,30.07,HYPERA
HYPE3,13/02/2019,30.39,30.69,29.83,30.15,HYPERA
HYPE3,14/02/2019,30.22,30.35,29.80,30.11,HYPERA
HYPE3,15/02/2019,30.54,30.60,29.88,29.93,HYPERA
HYPE3,18/02/2019,29.94,30.48,29.76,29.87,HYPERA
HYPE3,19/02/2019,30.07,30.20,29.77,30.07,HYPERA
HYPE3,20/02/2019,30.24,30.24,29.19,29.47,HYPERA
HYPE3,21/02/2019,29.61,29.69,28.80,28.90,HYPERA
HYPE3,22/02/2019,28.20,28.44,27.61,27.78,HYPERA
HYPE3,25/02/2019,27.95,28.09,27.11,27.11,HYPERA
HYPE3,26/02/2019,27.25,27.70,26.65,26.80,HYPERA
HYPE3,27/02/2019,26.87,27.47,26.57,27.47,HYPERA
HYPE3,28/02/2019,27.52,27.82,26.90,26.90,HYPERA
HYPE3,01/03/2019,27.05,27.29,26.36,26.79,HYPERA
HYPE3,06/03/2019,26.96,26.97,26.41,26.62,HYPERA
HYPE3,07/03/2019,26.61,27.11,26.07,26.30,HYPERA
HYPE3,08/03/2019,26.25,26.55,26.08,26.19,HYPERA
HYPE3,11/03/2019,26.30,26.44,25.95,26.43,HYPERA
HYPE3,12/03/2019,27.00,27.65,26.90,27.10,HYPERA
HYPE3,13/03/2019,27.18,28.17,27.03,28.00,HYPERA
HYPE3,14/03/2019,28.08,28.34,27.30,27.75,HYPERA
HYPE3,15/03/2019,27.61,28.24,27.61,28.14,HYPERA
HYPE3,18/03/2019,28.14,28.50,27.85,28.10,HYPERA
HYPE3,19/03/2019,28.17,28.17,27.00,27.10,HYPERA
HYPE3,20/03/2019,27.00,27.36,26.57,27.00,HYPERA
HYPE3,21/03/2019,26.83,27.14,26.51,26.69,HYPERA
HYPE3,22/03/2019,26.44,26.45,26.00,26.15,HYPERA
HYPE3,25/03/2019,26.05,26.11,25.60,25.78,HYPERA
HYPE3,26/03/2019,25.87,26.05,25.25,25.59,HYPERA
HYPE3,27/03/2019,25.40,25.93,25.28,25.57,HYPERA
HYPE3,28/03/2019,24.75,26.09,24.75,25.90,HYPERA
HYPE3,29/03/2019,26.06,26.38,25.71,25.90,HYPERA
HYPE3,01/04/2019,26.20,26.31,25.84,26.29,HYPERA
HYPE3,02/04/2019,26.50,26.71,26.00,26.12,HYPERA
HYPE3,03/04/2019,26.39,26.66,25.89,26.04,HYPERA
HYPE3,04/04/2019,26.20,26.60,25.86,26.17,HYPERA
HYPE3,05/04/2019,26.40,26.55,26.20,26.50,HYPERA
HYPE3,08/04/2019,26.51,26.77,25.92,26.00,HYPERA
HYPE3,09/04/2019,25.96,26.07,25.45,25.70,HYPERA
HYPE3,10/04/2019,25.78,25.96,25.23,25.29,HYPERA
HYPE3,11/04/2019,25.35,25.47,25.02,25.24,HYPERA
HYPE3,12/04/2019,24.94,25.16,24.69,25.16,HYPERA
HYPE3,15/04/2019,25.14,25.35,24.80,25.00,HYPERA
HYPE3,16/04/2019,24.90,25.49,24.90,25.02,HYPERA
HYPE3,17/04/2019,25.17,25.38,24.76,25.10,HYPERA
HYPE3,18/04/2019,25.25,25.27,24.84,24.87,HYPERA
HYPE3,22/04/2019,24.95,25.17,24.68,25.15,HYPERA
HYPE3,23/04/2019,25.24,25.33,24.96,25.00,HYPERA
HYPE3,24/04/2019,25.01,25.05,24.56,25.00,HYPERA
HYPE3,25/04/2019,24.85,25.80,24.70,25.80,HYPERA
HYPE3,26/04/2019,25.65,26.70,25.32,26.70,HYPERA
HYPE3,29/04/2019,26.95,28.48,26.70,28.29,HYPERA
HYPE3,30/04/2019,28.10,28.46,27.63,28.08,HYPERA
HYPE3,02/05/2019,27.81,28.23,27.80,28.00,HYPERA
HYPE3,03/05/2019,27.87,28.33,27.68,28.08,HYPERA
HYPE3,06/05/2019,27.78,28.40,27.65,28.36,HYPERA
HYPE3,07/05/2019,28.20,28.84,28.01,28.76,HYPERA
HYPE3,08/05/2019,28.91,30.45,28.90,29.26,HYPERA
HYPE3,09/05/2019,29.32,29.64,28.61,28.83,HYPERA
HYPE3,10/05/2019,28.69,29.72,28.69,29.60,HYPERA
HYPE3,13/05/2019,28.72,29.32,28.61,29.15,HYPERA
HYPE3,14/05/2019,29.21,29.28,28.80,29.10,HYPERA
HYPE3,15/05/2019,28.51,29.16,28.15,28.73,HYPERA
HYPE3,16/05/2019,28.36,28.44,28.09,28.38,HYPERA
HYPE3,17/05/2019,28.20,28.58,28.20,28.47,HYPERA
HYPE3,20/05/2019,28.65,29.28,28.35,29.15,HYPERA
HYPE3,21/05/2019,29.15,30.00,28.99,30.00,HYPERA
HYPE3,22/05/2019,30.00,30.26,29.41,29.67,HYPERA
HYPE3,23/05/2019,29.36,30.09,29.36,30.09,HYPERA
HYPE3,24/05/2019,30.09,30.32,29.53,29.53,HYPERA
HYPE3,27/05/2019,29.58,30.10,29.53,29.99,HYPERA
HYPE3,28/05/2019,30.00,30.90,29.57,30.72,HYPERA
