Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
IGTA3,02/01/2019,41.55,42.70,41.26,42.43,IGUATEMI
IGTA3,03/01/2019,42.39,42.82,41.58,42.82,IGUATEMI
IGTA3,04/01/2019,42.67,42.67,41.30,41.75,IGUATEMI
IGTA3,07/01/2019,41.65,41.81,40.91,41.10,IGUATEMI
IGTA3,08/01/2019,41.30,41.39,39.94,40.55,IGUATEMI
IGTA3,09/01/2019,40.75,41.15,40.40,41.12,IGUATEMI
IGTA3,10/01/2019,41.23,41.57,40.51,40.76,IGUATEMI
IGTA3,11/01/2019,40.41,40.47,39.36,40.08,IGUATEMI
IGTA3,14/01/2019,40.09,40.24,39.20,39.50,IGUATEMI
IGTA3,15/01/2019,39.36,40.61,39.30,40.50,IGUATEMI
IGTA3,16/01/2019,40.52,40.81,40.06,40.65,IGUATEMI
IGTA3,17/01/2019,40.66,41.13,40.22,41.13,IGUATEMI
IGTA3,18/01/2019,41.09,41.33,40.61,41.12,IGUATEMI
IGTA3,21/01/2019,41.21,41.21,40.12,40.74,IGUATEMI
IGTA3,22/01/2019,40.97,40.97,40.04,40.80,IGUATEMI
IGTA3,23/01/2019,40.80,42.50,40.74,41.94,IGUATEMI
IGTA3,24/01/2019,41.85,42.26,41.75,41.81,IGUATEMI
IGTA3,28/01/2019,41.50,42.47,41.16,42.40,IGUATEMI
IGTA3,29/01/2019,42.47,43.37,42.14,43.29,IGUATEMI
IGTA3,30/01/2019,43.40,43.70,43.12,43.61,IGUATEMI
IGTA3,31/01/2019,43.61,44.73,43.41,44.55,IGUATEMI
IGTA3,01/02/2019,44.40,44.85,44.04,44.59,IGUATEMI
IGTA3,04/02/2019,44.28,45.11,43.78,44.86,IGUATEMI
IGTA3,05/02/2019,45.10,45.30,44.32,44.96,IGUATEMI
IGTA3,06/02/2019,44.50,44.76,44.03,44.21,IGUATEMI
IGTA3,07/02/2019,44.40,44.40,43.35,43.73,IGUATEMI
IGTA3,08/02/2019,43.34,44.15,43.34,44.15,IGUATEMI
IGTA3,11/02/2019,44.15,44.24,43.07,43.62,IGUATEMI
IGTA3,12/02/2019,43.76,44.10,42.90,43.45,IGUATEMI
IGTA3,13/02/2019,43.47,43.82,43.15,43.18,IGUATEMI
IGTA3,14/02/2019,43.17,43.78,42.29,43.66,IGUATEMI
IGTA3,15/02/2019,43.77,44.10,43.25,43.50,IGUATEMI
IGTA3,18/02/2019,43.42,43.57,42.79,43.10,IGUATEMI
IGTA3,19/02/2019,43.37,43.91,43.16,43.47,IGUATEMI
IGTA3,20/02/2019,43.65,43.95,42.65,42.85,IGUATEMI
IGTA3,21/02/2019,42.68,43.41,42.44,42.77,IGUATEMI
IGTA3,22/02/2019,42.79,43.69,42.70,43.32,IGUATEMI
IGTA3,25/02/2019,43.32,43.66,43.08,43.40,IGUATEMI
IGTA3,26/02/2019,43.13,43.57,43.02,43.48,IGUATEMI
IGTA3,27/02/2019,43.40,43.40,41.96,42.40,IGUATEMI
IGTA3,28/02/2019,42.32,42.56,41.74,42.00,IGUATEMI
IGTA3,01/03/2019,41.93,42.46,41.13,41.43,IGUATEMI
IGTA3,06/03/2019,41.45,41.45,40.28,40.39,IGUATEMI
IGTA3,07/03/2019,40.40,41.01,40.29,40.64,IGUATEMI
IGTA3,08/03/2019,40.50,41.60,40.31,41.60,IGUATEMI
IGTA3,11/03/2019,41.46,42.19,41.46,41.85,IGUATEMI
IGTA3,12/03/2019,42.04,42.06,41.56,41.70,IGUATEMI
IGTA3,13/03/2019,41.51,42.00,40.80,42.00,IGUATEMI
IGTA3,14/03/2019,42.09,42.09,41.25,41.73,IGUATEMI
IGTA3,15/03/2019,41.93,42.25,41.55,41.79,IGUATEMI
IGTA3,18/03/2019,42.20,42.20,41.06,41.44,IGUATEMI
