Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
IRBR3,02/01/2019,83.44,84.99,82.62,83.30,IRBBRASIL RE
IRBR3,03/01/2019,83.20,83.50,81.75,82.32,IRBBRASIL RE
IRBR3,04/01/2019,83.25,83.25,80.29,81.40,IRBBRASIL RE
IRBR3,07/01/2019,81.75,82.35,80.10,82.22,IRBBRASIL RE
IRBR3,08/01/2019,82.30,83.66,82.14,83.00,IRBBRASIL RE
IRBR3,09/01/2019,83.61,83.62,82.40,82.78,IRBBRASIL RE
IRBR3,10/01/2019,82.94,83.12,81.08,81.08,IRBBRASIL RE
IRBR3,11/01/2019,81.30,81.75,79.32,79.45,IRBBRASIL RE
IRBR3,14/01/2019,79.56,80.97,78.30,79.10,IRBBRASIL RE
IRBR3,15/01/2019,79.11,80.49,79.11,80.00,IRBBRASIL RE
IRBR3,16/01/2019,80.50,83.48,80.50,83.00,IRBBRASIL RE
IRBR3,17/01/2019,83.39,84.20,81.83,83.60,IRBBRASIL RE
IRBR3,18/01/2019,83.99,86.31,83.18,86.21,IRBBRASIL RE
IRBR3,21/01/2019,86.24,86.57,85.47,86.05,IRBBRASIL RE
IRBR3,22/01/2019,86.09,86.95,85.52,86.59,IRBBRASIL RE
IRBR3,23/01/2019,86.51,86.91,85.77,86.51,IRBBRASIL RE
IRBR3,24/01/2019,86.29,87.93,85.90,87.93,IRBBRASIL RE
IRBR3,28/01/2019,85.11,90.71,85.00,88.18,IRBBRASIL RE
IRBR3,29/01/2019,89.00,89.60,86.09,86.41,IRBBRASIL RE
IRBR3,30/01/2019,86.96,88.68,85.26,85.80,IRBBRASIL RE
IRBR3,31/01/2019,86.50,86.71,83.71,85.26,IRBBRASIL RE
IRBR3,01/02/2019,85.90,87.80,85.90,86.81,IRBBRASIL RE
IRBR3,04/02/2019,87.48,88.35,86.01,87.50,IRBBRASIL RE
IRBR3,05/02/2019,88.27,88.50,85.16,86.75,IRBBRASIL RE
IRBR3,06/02/2019,86.50,87.26,85.33,86.00,IRBBRASIL RE
IRBR3,07/02/2019,86.48,86.68,84.01,85.80,IRBBRASIL RE
IRBR3,08/02/2019,87.10,89.21,84.91,89.21,IRBBRASIL RE
