Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ITSA4,02/01/2019,12.11,12.70,12.08,12.65,ITAUSA
ITSA4,03/01/2019,12.65,12.76,12.51,12.76,ITAUSA
ITSA4,04/01/2019,12.66,12.83,12.56,12.72,ITAUSA
ITSA4,07/01/2019,12.70,12.82,12.62,12.71,ITAUSA
ITSA4,08/01/2019,12.71,12.88,12.55,12.88,ITAUSA
ITSA4,09/01/2019,12.93,13.07,12.84,13.05,ITAUSA
ITSA4,10/01/2019,13.00,13.20,12.94,12.96,ITAUSA
ITSA4,11/01/2019,12.95,12.96,12.72,12.80,ITAUSA
ITSA4,14/01/2019,12.81,12.99,12.77,12.99,ITAUSA
ITSA4,15/01/2019,12.93,12.93,12.71,12.91,ITAUSA
ITSA4,16/01/2019,12.91,12.93,12.80,12.92,ITAUSA
ITSA4,17/01/2019,12.90,12.96,12.76,12.94,ITAUSA
ITSA4,18/01/2019,12.94,13.08,12.92,12.93,ITAUSA
ITSA4,21/01/2019,12.97,12.97,12.76,12.88,ITAUSA
ITSA4,22/01/2019,12.86,12.95,12.70,12.82,ITAUSA
ITSA4,23/01/2019,12.85,13.11,12.79,12.99,ITAUSA
ITSA4,24/01/2019,13.00,13.35,13.00,13.20,ITAUSA
ITSA4,28/01/2019,13.15,13.56,13.08,13.49,ITAUSA
ITSA4,29/01/2019,13.54,13.55,13.27,13.27,ITAUSA
ITSA4,30/01/2019,13.34,13.42,13.05,13.42,ITAUSA
ITSA4,31/01/2019,13.42,13.71,13.41,13.50,ITAUSA
ITSA4,01/02/2019,13.50,13.55,13.33,13.54,ITAUSA
ITSA4,04/02/2019,13.50,13.80,13.35,13.80,ITAUSA
ITSA4,05/02/2019,13.49,13.55,13.24,13.37,ITAUSA
ITSA4,06/02/2019,13.30,13.32,12.80,12.80,ITAUSA
ITSA4,07/02/2019,12.85,13.03,12.66,12.82,ITAUSA
ITSA4,08/02/2019,12.79,13.23,12.73,13.23,ITAUSA
ITSA4,11/02/2019,13.19,13.22,12.93,13.14,ITAUSA
ITSA4,12/02/2019,13.25,13.40,13.17,13.36,ITAUSA
ITSA4,13/02/2019,13.34,13.39,13.00,13.07,ITAUSA
ITSA4,14/02/2019,13.09,13.40,12.88,13.40,ITAUSA
ITSA4,15/02/2019,13.29,13.34,13.06,13.23,ITAUSA
ITSA4,18/02/2019,13.21,13.22,12.95,12.96,ITAUSA
ITSA4,19/02/2019,13.19,13.42,13.13,13.23,ITAUSA
ITSA4,20/02/2019,13.44,13.51,13.19,13.20,ITAUSA
ITSA4,21/02/2019,13.30,13.56,13.28,13.56,ITAUSA
ITSA4,22/02/2019,12.90,12.96,12.75,12.90,ITAUSA
ITSA4,25/02/2019,12.90,12.96,12.71,12.81,ITAUSA
ITSA4,26/02/2019,12.84,12.90,12.80,12.82,ITAUSA
ITSA4,27/02/2019,12.85,12.88,12.60,12.64,ITAUSA
ITSA4,28/02/2019,12.68,12.71,12.33,12.37,ITAUSA
ITSA4,01/03/2019,12.40,12.49,12.25,12.26,ITAUSA
ITSA4,06/03/2019,12.38,12.38,12.04,12.08,ITAUSA
ITSA4,07/03/2019,12.08,12.39,12.01,12.29,ITAUSA
ITSA4,08/03/2019,12.26,12.59,12.18,12.51,ITAUSA
ITSA4,11/03/2019,12.60,12.89,12.56,12.86,ITAUSA
ITSA4,12/03/2019,12.88,12.90,12.75,12.90,ITAUSA
ITSA4,13/03/2019,12.85,13.04,12.72,12.98,ITAUSA
ITSA4,14/03/2019,12.95,12.98,12.67,12.77,ITAUSA
ITSA4,15/03/2019,12.76,12.88,12.75,12.80,ITAUSA
ITSA4,18/03/2019,12.84,12.92,12.77,12.89,ITAUSA
ITSA4,19/03/2019,12.88,12.89,12.66,12.69,ITAUSA
ITSA4,20/03/2019,12.69,12.72,12.46,12.47,ITAUSA
ITSA4,21/03/2019,12.50,12.53,12.09,12.28,ITAUSA
ITSA4,22/03/2019,12.10,12.11,11.80,11.93,ITAUSA
ITSA4,25/03/2019,11.92,12.07,11.80,11.96,ITAUSA
ITSA4,26/03/2019,12.08,12.12,11.91,12.03,ITAUSA
ITSA4,27/03/2019,11.89,11.89,11.43,11.43,ITAUSA
ITSA4,28/03/2019,11.43,12.06,11.36,12.05,ITAUSA
ITSA4,29/03/2019,12.14,12.17,11.89,11.98,ITAUSA
ITSA4,01/04/2019,12.10,12.15,11.90,11.98,ITAUSA
ITSA4,02/04/2019,12.01,12.06,11.83,11.87,ITAUSA
ITSA4,03/04/2019,12.00,12.06,11.66,11.75,ITAUSA
ITSA4,04/04/2019,11.81,12.03,11.73,11.80,ITAUSA
ITSA4,05/04/2019,11.90,12.11,11.80,12.07,ITAUSA
ITSA4,08/04/2019,12.10,12.11,11.95,12.06,ITAUSA
ITSA4,09/04/2019,12.00,12.00,11.80,11.88,ITAUSA
ITSA4,10/04/2019,11.93,11.95,11.81,11.82,ITAUSA
ITSA4,11/04/2019,11.81,11.82,11.55,11.67,ITAUSA
ITSA4,12/04/2019,11.55,11.87,11.44,11.55,ITAUSA
ITSA4,15/04/2019,11.66,11.72,11.40,11.53,ITAUSA
ITSA4,16/04/2019,11.53,11.69,11.48,11.63,ITAUSA
ITSA4,17/04/2019,11.65,11.73,11.31,11.47,ITAUSA
ITSA4,18/04/2019,11.51,11.70,11.36,11.59,ITAUSA
ITSA4,22/04/2019,11.54,11.61,11.38,11.55,ITAUSA
ITSA4,23/04/2019,11.60,11.86,11.59,11.85,ITAUSA
ITSA4,24/04/2019,11.85,11.92,11.63,11.85,ITAUSA
ITSA4,25/04/2019,11.74,12.04,11.60,12.04,ITAUSA
ITSA4,26/04/2019,12.01,12.10,11.93,12.02,ITAUSA
ITSA4,29/04/2019,12.06,12.09,11.80,11.80,ITAUSA
ITSA4,30/04/2019,11.83,11.97,11.75,11.91,ITAUSA
ITSA4,02/05/2019,11.86,12.00,11.81,11.95,ITAUSA
ITSA4,03/05/2019,12.01,12.05,11.77,11.77,ITAUSA
ITSA4,06/05/2019,11.65,11.70,11.44,11.44,ITAUSA
ITSA4,07/05/2019,11.44,11.44,11.18,11.44,ITAUSA
ITSA4,08/05/2019,11.49,11.74,11.48,11.54,ITAUSA
ITSA4,09/05/2019,11.49,11.53,11.34,11.49,ITAUSA
ITSA4,10/05/2019,11.49,11.54,11.31,11.45,ITAUSA
ITSA4,13/05/2019,11.25,11.35,11.19,11.25,ITAUSA
ITSA4,14/05/2019,11.32,11.38,11.20,11.27,ITAUSA
ITSA4,15/05/2019,11.16,11.28,11.04,11.25,ITAUSA
ITSA4,16/05/2019,11.16,11.22,11.03,11.08,ITAUSA
ITSA4,17/05/2019,11.08,11.32,11.02,11.08,ITAUSA
ITSA4,20/05/2019,11.14,11.48,11.10,11.44,ITAUSA
ITSA4,21/05/2019,11.49,11.79,11.44,11.79,ITAUSA
ITSA4,22/05/2019,11.80,11.87,11.66,11.72,ITAUSA
ITSA4,23/05/2019,11.65,11.75,11.57,11.68,ITAUSA
ITSA4,24/05/2019,11.75,11.80,11.51,11.55,ITAUSA
ITSA4,27/05/2019,11.64,11.75,11.57,11.58,ITAUSA
ITSA4,28/05/2019,11.62,11.90,11.60,11.87,ITAUSA
ITSA4,29/05/2019,11.84,12.28,11.81,12.16,ITAUSA
ITSA4,30/05/2019,12.14,12.40,12.14,12.33,ITAUSA
ITSA4,31/05/2019,12.31,12.45,12.24,12.39,ITAUSA
ITSA4,03/06/2019,12.42,12.50,12.33,12.42,ITAUSA
ITSA4,04/06/2019,12.43,12.52,12.37,12.45,ITAUSA
ITSA4,05/06/2019,12.49,12.50,12.15,12.15,ITAUSA
ITSA4,06/06/2019,12.28,12.34,12.14,12.29,ITAUSA
ITSA4,07/06/2019,12.33,12.48,12.29,12.40,ITAUSA
ITSA4,10/06/2019,12.40,12.41,12.03,12.21,ITAUSA
ITSA4,11/06/2019,12.25,12.30,12.11,12.24,ITAUSA
ITSA4,12/06/2019,12.23,12.32,12.07,12.18,ITAUSA
ITSA4,13/06/2019,12.18,12.22,11.97,12.02,ITAUSA
ITSA4,14/06/2019,12.00,12.03,11.83,11.98,ITAUSA
ITSA4,17/06/2019,11.98,12.05,11.91,11.97,ITAUSA
ITSA4,18/06/2019,12.08,12.20,12.04,12.20,ITAUSA
ITSA4,19/06/2019,12.18,12.38,12.07,12.38,ITAUSA
ITSA4,21/06/2019,12.40,12.61,12.39,12.60,ITAUSA
ITSA4,24/06/2019,12.62,12.72,12.56,12.65,ITAUSA
ITSA4,25/06/2019,12.62,12.73,12.48,12.58,ITAUSA
ITSA4,26/06/2019,12.63,13.00,12.63,12.98,ITAUSA
ITSA4,27/06/2019,12.85,13.07,12.75,12.94,ITAUSA
ITSA4,28/06/2019,13.06,13.06,12.88,12.89,ITAUSA
ITSA4,01/07/2019,13.00,13.05,12.83,12.92,ITAUSA
ITSA4,02/07/2019,12.93,13.00,12.76,12.78,ITAUSA
ITSA4,03/07/2019,12.75,13.02,12.73,12.98,ITAUSA
ITSA4,04/07/2019,13.06,13.30,13.04,13.15,ITAUSA
ITSA4,05/07/2019,13.15,13.28,13.07,13.27,ITAUSA
ITSA4,08/07/2019,13.25,13.32,13.17,13.28,ITAUSA
ITSA4,10/07/2019,13.40,13.45,13.27,13.34,ITAUSA
ITSA4,11/07/2019,13.25,13.28,13.13,13.20,ITAUSA
ITSA4,12/07/2019,13.24,13.27,13.00,13.00,ITAUSA
ITSA4,15/07/2019,13.05,13.10,12.86,12.95,ITAUSA
ITSA4,16/07/2019,12.95,13.00,12.82,12.89,ITAUSA
ITSA4,17/07/2019,12.91,13.04,12.87,12.93,ITAUSA
ITSA4,18/07/2019,12.97,13.21,12.89,13.21,ITAUSA
ITSA4,19/07/2019,13.18,13.18,13.00,13.05,ITAUSA
ITSA4,22/07/2019,13.09,13.30,13.06,13.25,ITAUSA
ITSA4,23/07/2019,13.28,13.42,13.16,13.32,ITAUSA
ITSA4,24/07/2019,13.34,13.49,13.27,13.30,ITAUSA
ITSA4,25/07/2019,13.32,13.39,12.84,12.90,ITAUSA
ITSA4,26/07/2019,12.96,13.15,12.88,13.01,ITAUSA
ITSA4,29/07/2019,13.00,13.15,12.88,12.99,ITAUSA
ITSA4,30/07/2019,12.99,12.99,12.67,12.78,ITAUSA
ITSA4,31/07/2019,12.81,12.82,12.43,12.47,ITAUSA
ITSA4,01/08/2019,12.56,12.84,12.46,12.55,ITAUSA
ITSA4,02/08/2019,12.60,12.61,12.32,12.46,ITAUSA
ITSA4,05/08/2019,12.26,12.34,12.16,12.26,ITAUSA
ITSA4,06/08/2019,12.35,12.69,12.35,12.66,ITAUSA
ITSA4,07/08/2019,12.52,12.99,12.42,12.99,ITAUSA
ITSA4,08/08/2019,13.03,13.16,12.96,13.12,ITAUSA
ITSA4,09/08/2019,13.12,13.16,12.93,13.06,ITAUSA
ITSA4,12/08/2019,12.87,12.87,12.59,12.60,ITAUSA
ITSA4,13/08/2019,12.74,12.99,12.62,12.92,ITAUSA
ITSA4,14/08/2019,12.80,12.82,12.67,12.75,ITAUSA
ITSA4,15/08/2019,12.85,12.89,12.65,12.80,ITAUSA
ITSA4,16/08/2019,12.57,12.64,12.38,12.51,ITAUSA
ITSA4,19/08/2019,12.61,12.63,12.21,12.29,ITAUSA
ITSA4,20/08/2019,12.28,12.37,12.05,12.10,ITAUSA
ITSA4,21/08/2019,12.24,12.37,12.16,12.25,ITAUSA
ITSA4,22/08/2019,12.28,12.36,12.03,12.05,ITAUSA
ITSA4,23/08/2019,11.97,12.17,11.79,11.88,ITAUSA
ITSA4,26/08/2019,12.03,12.06,11.67,11.83,ITAUSA
ITSA4,27/08/2019,11.88,12.11,11.81,12.02,ITAUSA
ITSA4,28/08/2019,11.90,12.20,11.84,12.20,ITAUSA
ITSA4,29/08/2019,12.23,12.34,12.00,12.26,ITAUSA
ITSA4,30/08/2019,12.37,12.39,12.17,12.29,ITAUSA
ITSA4,02/09/2019,12.27,12.32,12.11,12.14,ITAUSA
ITSA4,03/09/2019,12.13,12.24,11.90,11.95,ITAUSA
ITSA4,04/09/2019,12.12,12.14,11.96,12.14,ITAUSA
ITSA4,05/09/2019,12.21,12.64,12.18,12.58,ITAUSA
ITSA4,06/09/2019,12.61,12.96,12.61,12.95,ITAUSA
ITSA4,09/09/2019,12.95,13.20,12.94,13.11,ITAUSA
ITSA4,10/09/2019,13.11,13.18,12.90,12.98,ITAUSA
ITSA4,11/09/2019,13.03,13.05,12.88,12.94,ITAUSA
ITSA4,12/09/2019,13.00,13.19,12.99,13.11,ITAUSA
ITSA4,13/09/2019,13.13,13.37,13.08,13.16,ITAUSA
