Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
JBSS3,02/01/2019,11.58,12.04,11.38,12.04,JBS
JBSS3,03/01/2019,11.85,12.23,11.84,12.23,JBS
JBSS3,04/01/2019,12.07,12.89,11.99,12.55,JBS
JBSS3,07/01/2019,12.57,12.67,12.02,12.11,JBS
JBSS3,08/01/2019,12.20,12.35,12.04,12.30,JBS
JBSS3,09/01/2019,12.22,12.55,12.12,12.20,JBS
JBSS3,10/01/2019,12.27,12.32,11.93,12.16,JBS
JBSS3,11/01/2019,12.25,12.51,12.23,12.48,JBS
JBSS3,14/01/2019,12.58,12.71,12.50,12.69,JBS
JBSS3,15/01/2019,12.62,12.78,12.48,12.62,JBS
JBSS3,16/01/2019,12.66,13.15,12.58,13.15,JBS
JBSS3,17/01/2019,13.12,13.50,12.84,13.40,JBS
JBSS3,18/01/2019,13.36,13.81,13.26,13.53,JBS
JBSS3,21/01/2019,13.42,13.72,13.20,13.70,JBS
JBSS3,22/01/2019,13.92,14.13,13.37,13.60,JBS
JBSS3,23/01/2019,13.69,14.10,13.63,14.08,JBS
JBSS3,24/01/2019,14.12,14.47,13.97,14.47,JBS
JBSS3,28/01/2019,14.18,14.80,14.08,14.80,JBS
JBSS3,29/01/2019,14.81,14.88,14.58,14.70,JBS
JBSS3,30/01/2019,14.73,15.65,14.68,15.30,JBS
JBSS3,31/01/2019,15.31,15.78,15.09,15.09,JBS
JBSS3,01/02/2019,15.06,15.42,14.85,14.87,JBS
JBSS3,04/02/2019,14.87,15.09,14.62,15.02,JBS
JBSS3,05/02/2019,15.11,15.23,14.90,14.98,JBS
JBSS3,06/02/2019,14.80,14.92,14.03,14.03,JBS
JBSS3,07/02/2019,14.17,14.58,14.00,14.33,JBS
JBSS3,08/02/2019,14.22,14.42,13.95,14.25,JBS
JBSS3,11/02/2019,14.29,14.48,14.13,14.35,JBS
JBSS3,12/02/2019,14.47,14.69,14.46,14.55,JBS
JBSS3,13/02/2019,14.72,14.77,13.90,14.38,JBS
JBSS3,14/02/2019,14.47,14.55,14.19,14.50,JBS
JBSS3,15/02/2019,14.54,15.00,14.46,14.82,JBS
JBSS3,18/02/2019,14.90,15.09,14.67,15.00,JBS
JBSS3,19/02/2019,14.97,14.97,14.55,14.79,JBS
JBSS3,20/02/2019,14.85,14.87,14.23,14.23,JBS
JBSS3,21/02/2019,14.38,14.52,13.77,13.92,JBS
JBSS3,22/02/2019,14.07,14.21,13.80,14.21,JBS
JBSS3,25/02/2019,14.24,14.29,13.75,13.97,JBS
JBSS3,26/02/2019,14.00,14.03,13.68,13.70,JBS
JBSS3,27/02/2019,13.69,13.76,13.48,13.76,JBS
JBSS3,28/02/2019,13.76,13.87,13.43,13.43,JBS
JBSS3,01/03/2019,13.47,14.13,13.44,14.12,JBS
JBSS3,06/03/2019,13.90,13.97,13.31,13.40,JBS
JBSS3,07/03/2019,13.41,13.54,12.86,13.07,JBS
JBSS3,08/03/2019,13.05,13.22,12.80,13.15,JBS
JBSS3,11/03/2019,13.15,13.49,13.09,13.25,JBS
JBSS3,12/03/2019,13.37,13.74,13.34,13.70,JBS
JBSS3,13/03/2019,13.80,14.12,13.75,14.12,JBS
JBSS3,14/03/2019,14.10,14.45,14.00,14.40,JBS
JBSS3,15/03/2019,14.16,15.01,14.16,14.85,JBS
JBSS3,18/03/2019,14.99,15.55,14.85,15.55,JBS
JBSS3,19/03/2019,15.56,15.60,14.99,14.99,JBS
JBSS3,20/03/2019,14.98,15.29,14.70,14.98,JBS
JBSS3,21/03/2019,14.82,14.88,14.16,14.65,JBS
JBSS3,22/03/2019,14.35,14.75,14.11,14.29,JBS
JBSS3,25/03/2019,14.07,14.75,13.98,14.44,JBS
JBSS3,26/03/2019,14.71,15.38,14.25,15.12,JBS
JBSS3,27/03/2019,14.84,14.89,14.46,14.62,JBS
JBSS3,28/03/2019,14.68,15.55,14.63,15.47,JBS
JBSS3,29/03/2019,15.60,16.21,15.25,15.92,JBS
JBSS3,01/04/2019,16.11,16.30,15.66,16.23,JBS
JBSS3,02/04/2019,16.02,16.19,15.75,15.86,JBS
JBSS3,03/04/2019,15.91,15.98,15.40,15.60,JBS
