Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
JPSA3,02/01/2019,22.80,23.78,22.80,23.59,JEREISSATI
JPSA3,03/01/2019,23.50,23.51,23.22,23.50,JEREISSATI
JPSA3,04/01/2019,23.50,23.50,23.29,23.29,JEREISSATI
JPSA3,07/01/2019,23.67,23.67,23.46,23.63,JEREISSATI
JPSA3,08/01/2019,23.33,23.57,23.26,23.57,JEREISSATI
JPSA3,09/01/2019,23.60,23.65,23.47,23.47,JEREISSATI
JPSA3,10/01/2019,23.46,23.50,23.46,23.50,JEREISSATI
JPSA3,11/01/2019,23.20,23.48,23.10,23.48,JEREISSATI
JPSA3,14/01/2019,23.01,23.08,22.38,22.38,JEREISSATI
JPSA3,15/01/2019,22.88,23.00,22.39,23.00,JEREISSATI
JPSA3,16/01/2019,22.99,23.00,22.23,22.39,JEREISSATI
JPSA3,17/01/2019,23.00,23.00,22.48,22.48,JEREISSATI
JPSA3,18/01/2019,22.12,22.50,22.00,22.00,JEREISSATI
JPSA3,21/01/2019,22.00,22.28,21.35,21.35,JEREISSATI
JPSA3,22/01/2019,21.00,21.20,20.00,20.00,JEREISSATI
JPSA3,23/01/2019,20.00,21.80,20.00,21.76,JEREISSATI
JPSA3,24/01/2019,22.50,22.50,21.74,22.25,JEREISSATI
JPSA3,28/01/2019,23.64,23.64,22.52,23.45,JEREISSATI
JPSA3,29/01/2019,23.55,24.45,23.20,24.32,JEREISSATI
JPSA3,30/01/2019,26.36,26.36,25.60,25.90,JEREISSATI
JPSA3,31/01/2019,26.38,26.80,26.07,26.40,JEREISSATI
JPSA3,01/02/2019,26.55,27.00,26.55,27.00,JEREISSATI
JPSA3,04/02/2019,27.67,27.97,27.09,27.09,JEREISSATI
JPSA3,05/02/2019,27.15,27.30,26.88,26.90,JEREISSATI
JPSA3,06/02/2019,26.91,27.00,26.36,26.89,JEREISSATI
JPSA3,07/02/2019,26.88,26.90,26.20,26.50,JEREISSATI
JPSA3,08/02/2019,26.70,26.70,25.90,26.23,JEREISSATI
JPSA3,11/02/2019,26.50,26.60,25.98,26.25,JEREISSATI
JPSA3,12/02/2019,26.52,26.53,26.00,26.02,JEREISSATI
JPSA3,13/02/2019,26.03,26.05,25.78,25.99,JEREISSATI
JPSA3,14/02/2019,26.01,26.40,25.92,26.00,JEREISSATI
JPSA3,15/02/2019,26.05,26.05,25.93,26.00,JEREISSATI
JPSA3,18/02/2019,26.00,26.00,25.85,25.99,JEREISSATI
JPSA3,19/02/2019,26.15,26.15,25.85,26.00,JEREISSATI
JPSA3,20/02/2019,25.99,25.99,25.86,25.99,JEREISSATI
JPSA3,21/02/2019,26.00,26.00,25.75,25.99,JEREISSATI
JPSA3,22/02/2019,25.99,26.00,25.80,26.00,JEREISSATI
JPSA3,25/02/2019,26.00,26.00,25.85,25.99,JEREISSATI
JPSA3,26/02/2019,26.00,26.00,25.87,25.94,JEREISSATI
JPSA3,27/02/2019,25.94,25.94,25.36,25.55,JEREISSATI
JPSA3,28/02/2019,25.55,25.60,25.33,25.50,JEREISSATI
JPSA3,01/03/2019,25.50,25.57,25.20,25.57,JEREISSATI
JPSA3,06/03/2019,25.53,25.56,25.12,25.40,JEREISSATI
JPSA3,07/03/2019,25.40,25.69,25.06,25.20,JEREISSATI
JPSA3,08/03/2019,25.15,25.90,24.81,25.90,JEREISSATI
JPSA3,11/03/2019,25.77,25.77,25.38,25.75,JEREISSATI
JPSA3,12/03/2019,25.75,25.89,25.33,25.33,JEREISSATI
JPSA3,13/03/2019,25.41,25.43,24.70,24.95,JEREISSATI
JPSA3,14/03/2019,25.40,25.40,24.53,24.94,JEREISSATI
JPSA3,15/03/2019,24.94,25.40,24.84,25.00,JEREISSATI
JPSA3,18/03/2019,25.00,25.35,24.70,24.70,JEREISSATI
JPSA3,19/03/2019,24.70,24.95,24.55,24.75,JEREISSATI
JPSA3,20/03/2019,24.95,24.95,24.32,24.35,JEREISSATI
JPSA3,21/03/2019,24.31,24.47,23.56,24.38,JEREISSATI
JPSA3,22/03/2019,24.19,24.19,23.41,24.00,JEREISSATI
JPSA3,25/03/2019,23.95,24.07,23.60,23.91,JEREISSATI
JPSA3,26/03/2019,24.30,24.30,23.70,23.97,JEREISSATI
JPSA3,27/03/2019,23.93,23.93,23.00,23.00,JEREISSATI
JPSA3,28/03/2019,23.11,24.00,22.65,24.00,JEREISSATI
JPSA3,29/03/2019,24.00,24.24,23.60,24.24,JEREISSATI
JPSA3,01/04/2019,24.26,24.35,23.75,24.13,JEREISSATI
JPSA3,02/04/2019,24.13,24.15,23.75,24.14,JEREISSATI
JPSA3,03/04/2019,24.01,24.25,23.71,24.09,JEREISSATI
JPSA3,04/04/2019,24.09,24.23,24.01,24.19,JEREISSATI
JPSA3,05/04/2019,24.10,24.20,23.83,24.20,JEREISSATI
JPSA3,08/04/2019,24.24,24.85,24.02,24.20,JEREISSATI
JPSA3,09/04/2019,24.58,24.58,23.83,24.03,JEREISSATI
JPSA3,10/04/2019,24.03,24.20,23.91,24.19,JEREISSATI
JPSA3,11/04/2019,24.19,24.19,23.72,23.77,JEREISSATI
JPSA3,12/04/2019,23.50,23.87,22.85,23.35,JEREISSATI
JPSA3,15/04/2019,23.35,23.67,23.20,23.20,JEREISSATI
JPSA3,16/04/2019,23.20,23.82,23.17,23.58,JEREISSATI
JPSA3,17/04/2019,23.65,23.90,23.34,23.57,JEREISSATI
JPSA3,18/04/2019,23.81,24.29,23.62,24.29,JEREISSATI
JPSA3,22/04/2019,24.29,24.40,24.19,24.37,JEREISSATI
JPSA3,23/04/2019,24.43,24.66,24.21,24.58,JEREISSATI
JPSA3,24/04/2019,24.58,24.58,24.01,24.50,JEREISSATI
JPSA3,25/04/2019,24.93,24.93,24.05,24.50,JEREISSATI
JPSA3,26/04/2019,24.46,24.48,24.23,24.47,JEREISSATI
JPSA3,29/04/2019,24.47,24.48,24.24,24.30,JEREISSATI
JPSA3,30/04/2019,24.35,24.70,24.16,24.70,JEREISSATI
JPSA3,02/05/2019,24.72,24.72,24.25,24.40,JEREISSATI
JPSA3,03/05/2019,24.30,24.99,24.22,24.99,JEREISSATI
