Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
KEPL3,02/01/2019,14.79,15.44,14.79,15.20,KEPLER WEBER
KEPL3,03/01/2019,15.20,15.24,14.75,15.20,KEPLER WEBER
KEPL3,04/01/2019,15.10,15.23,15.02,15.20,KEPLER WEBER
KEPL3,07/01/2019,15.20,15.30,14.91,15.08,KEPLER WEBER
KEPL3,08/01/2019,15.00,15.00,14.75,14.85,KEPLER WEBER
KEPL3,09/01/2019,14.76,15.01,14.75,14.85,KEPLER WEBER
KEPL3,10/01/2019,14.79,14.80,14.60,14.70,KEPLER WEBER
KEPL3,11/01/2019,14.61,14.61,14.35,14.40,KEPLER WEBER
KEPL3,14/01/2019,14.40,14.45,14.40,14.40,KEPLER WEBER
KEPL3,15/01/2019,14.41,14.45,14.25,14.45,KEPLER WEBER
KEPL3,16/01/2019,14.45,15.00,14.41,15.00,KEPLER WEBER
KEPL3,17/01/2019,15.00,15.29,15.00,15.23,KEPLER WEBER
KEPL3,18/01/2019,15.24,15.26,15.12,15.20,KEPLER WEBER
KEPL3,21/01/2019,15.01,15.18,15.00,15.09,KEPLER WEBER
KEPL3,22/01/2019,15.10,15.15,15.00,15.04,KEPLER WEBER
KEPL3,23/01/2019,15.04,15.22,15.00,15.20,KEPLER WEBER
KEPL3,24/01/2019,15.20,15.30,15.12,15.30,KEPLER WEBER
KEPL3,28/01/2019,15.03,15.28,15.03,15.22,KEPLER WEBER
KEPL3,29/01/2019,15.21,15.22,15.08,15.08,KEPLER WEBER
KEPL3,30/01/2019,15.25,15.25,15.05,15.08,KEPLER WEBER
KEPL3,31/01/2019,15.06,15.17,15.00,15.00,KEPLER WEBER
KEPL3,01/02/2019,15.18,15.18,15.00,15.03,KEPLER WEBER
KEPL3,04/02/2019,15.10,15.97,15.10,15.62,KEPLER WEBER
KEPL3,05/02/2019,15.70,16.50,15.69,16.23,KEPLER WEBER
KEPL3,06/02/2019,16.27,16.47,15.50,15.69,KEPLER WEBER
KEPL3,07/02/2019,15.69,15.69,15.22,15.28,KEPLER WEBER
KEPL3,08/02/2019,15.28,16.25,14.85,16.20,KEPLER WEBER
KEPL3,11/02/2019,16.19,16.96,16.19,16.95,KEPLER WEBER
KEPL3,12/02/2019,16.93,17.09,16.55,16.87,KEPLER WEBER
KEPL3,13/02/2019,16.98,16.98,16.40,16.86,KEPLER WEBER
KEPL3,14/02/2019,16.86,16.98,16.55,16.80,KEPLER WEBER
KEPL3,15/02/2019,16.75,16.88,16.52,16.73,KEPLER WEBER
KEPL3,18/02/2019,16.98,17.85,16.98,17.84,KEPLER WEBER
KEPL3,19/02/2019,17.70,17.95,17.38,17.51,KEPLER WEBER
KEPL3,20/02/2019,17.74,17.84,17.55,17.74,KEPLER WEBER
KEPL3,21/02/2019,17.73,17.78,17.21,17.70,KEPLER WEBER
KEPL3,22/02/2019,17.85,17.85,17.60,17.85,KEPLER WEBER
KEPL3,25/02/2019,17.85,17.85,17.60,17.79,KEPLER WEBER
KEPL3,26/02/2019,17.71,17.99,17.50,17.69,KEPLER WEBER
KEPL3,27/02/2019,17.60,17.70,17.42,17.61,KEPLER WEBER
KEPL3,28/02/2019,17.62,17.99,17.00,17.25,KEPLER WEBER
KEPL3,01/03/2019,17.25,17.40,17.00,17.15,KEPLER WEBER
KEPL3,06/03/2019,17.01,17.40,17.00,17.29,KEPLER WEBER
KEPL3,07/03/2019,17.00,17.39,17.00,17.29,KEPLER WEBER
KEPL3,08/03/2019,17.27,17.33,17.20,17.25,KEPLER WEBER
KEPL3,11/03/2019,17.25,17.79,17.25,17.75,KEPLER WEBER
KEPL3,12/03/2019,17.75,17.75,17.45,17.45,KEPLER WEBER
KEPL3,13/03/2019,17.57,17.60,17.11,17.30,KEPLER WEBER
KEPL3,14/03/2019,17.20,17.41,16.85,16.89,KEPLER WEBER
KEPL3,15/03/2019,17.00,17.30,16.99,17.26,KEPLER WEBER
KEPL3,18/03/2019,17.15,17.37,17.01,17.28,KEPLER WEBER
KEPL3,19/03/2019,17.25,17.32,17.00,17.19,KEPLER WEBER
KEPL3,20/03/2019,17.19,17.29,16.91,17.20,KEPLER WEBER
KEPL3,21/03/2019,17.60,17.98,17.43,17.84,KEPLER WEBER
KEPL3,22/03/2019,17.70,17.70,17.21,17.47,KEPLER WEBER
KEPL3,25/03/2019,17.50,17.50,17.15,17.39,KEPLER WEBER
KEPL3,26/03/2019,17.35,17.77,17.10,17.45,KEPLER WEBER
KEPL3,27/03/2019,17.42,17.50,17.05,17.15,KEPLER WEBER
KEPL3,28/03/2019,17.10,17.45,16.86,17.26,KEPLER WEBER
KEPL3,29/03/2019,17.46,17.59,17.30,17.30,KEPLER WEBER
KEPL3,01/04/2019,17.30,17.84,17.19,17.84,KEPLER WEBER
KEPL3,02/04/2019,17.87,18.76,17.87,18.75,KEPLER WEBER
KEPL3,03/04/2019,18.76,18.96,18.25,18.30,KEPLER WEBER
KEPL3,04/04/2019,18.28,19.03,18.28,18.93,KEPLER WEBER
KEPL3,05/04/2019,18.94,19.07,18.57,18.65,KEPLER WEBER
KEPL3,08/04/2019,18.70,19.08,18.65,18.70,KEPLER WEBER
KEPL3,09/04/2019,18.73,18.80,18.42,18.63,KEPLER WEBER
KEPL3,10/04/2019,18.60,18.63,18.08,18.23,KEPLER WEBER
KEPL3,11/04/2019,18.09,18.19,17.98,18.05,KEPLER WEBER
KEPL3,12/04/2019,17.99,18.06,17.80,17.80,KEPLER WEBER
KEPL3,15/04/2019,18.01,18.39,17.80,18.39,KEPLER WEBER
KEPL3,16/04/2019,18.43,18.65,18.20,18.30,KEPLER WEBER
KEPL3,17/04/2019,18.35,18.50,17.30,18.50,KEPLER WEBER
KEPL3,18/04/2019,18.56,18.68,18.38,18.59,KEPLER WEBER
KEPL3,22/04/2019,18.64,18.67,18.26,18.56,KEPLER WEBER
KEPL3,23/04/2019,18.56,18.78,18.40,18.40,KEPLER WEBER
KEPL3,24/04/2019,18.55,18.62,18.32,18.60,KEPLER WEBER
KEPL3,25/04/2019,18.47,18.50,18.32,18.45,KEPLER WEBER
KEPL3,26/04/2019,18.45,18.45,18.28,18.30,KEPLER WEBER
KEPL3,29/04/2019,18.40,18.56,18.31,18.40,KEPLER WEBER
KEPL3,30/04/2019,18.35,18.47,18.31,18.41,KEPLER WEBER
KEPL3,02/05/2019,18.30,18.50,18.30,18.39,KEPLER WEBER
KEPL3,03/05/2019,18.47,18.47,18.25,18.34,KEPLER WEBER
KEPL3,06/05/2019,18.20,18.45,18.14,18.45,KEPLER WEBER
KEPL3,07/05/2019,18.25,18.48,18.25,18.39,KEPLER WEBER
KEPL3,08/05/2019,18.41,18.85,18.41,18.67,KEPLER WEBER
KEPL3,09/05/2019,18.99,19.18,18.75,18.98,KEPLER WEBER
KEPL3,10/05/2019,18.98,19.03,18.62,18.90,KEPLER WEBER
KEPL3,13/05/2019,18.73,18.82,18.50,18.72,KEPLER WEBER
KEPL3,14/05/2019,18.80,18.80,18.38,18.72,KEPLER WEBER
KEPL3,15/05/2019,18.53,18.75,17.68,18.67,KEPLER WEBER
KEPL3,16/05/2019,18.76,18.85,18.31,18.42,KEPLER WEBER
KEPL3,17/05/2019,18.40,18.66,18.30,18.35,KEPLER WEBER
KEPL3,20/05/2019,18.38,18.61,18.27,18.42,KEPLER WEBER
KEPL3,21/05/2019,18.32,18.87,18.32,18.87,KEPLER WEBER
