Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
KLBN11,02/01/2019,15.88,16.67,15.83,16.31,KLABIN S/A
KLBN11,03/01/2019,16.21,16.91,16.20,16.73,KLABIN S/A
KLBN11,04/01/2019,16.53,17.13,16.51,17.00,KLABIN S/A
KLBN11,07/01/2019,16.92,17.26,16.80,17.00,KLABIN S/A
KLBN11,08/01/2019,17.04,17.11,16.93,17.07,KLABIN S/A
KLBN11,09/01/2019,17.09,17.54,16.91,17.41,KLABIN S/A
KLBN11,10/01/2019,17.31,17.61,17.24,17.39,KLABIN S/A
KLBN11,11/01/2019,17.43,17.50,17.08,17.16,KLABIN S/A
KLBN11,14/01/2019,17.20,18.03,17.14,17.82,KLABIN S/A
KLBN11,15/01/2019,17.93,18.39,17.84,18.34,KLABIN S/A
KLBN11,16/01/2019,18.40,18.59,18.26,18.37,KLABIN S/A
KLBN11,17/01/2019,18.40,18.51,18.10,18.20,KLABIN S/A
KLBN11,18/01/2019,18.28,18.34,17.91,18.20,KLABIN S/A
KLBN11,21/01/2019,18.20,18.47,18.08,18.45,KLABIN S/A
KLBN11,22/01/2019,18.49,18.51,18.00,18.33,KLABIN S/A
KLBN11,23/01/2019,18.35,18.53,18.24,18.37,KLABIN S/A
KLBN11,24/01/2019,18.50,18.84,18.37,18.84,KLABIN S/A
KLBN11,28/01/2019,18.65,18.97,18.61,18.81,KLABIN S/A
KLBN11,29/01/2019,18.82,18.97,18.59,18.59,KLABIN S/A
KLBN11,30/01/2019,18.62,18.90,18.62,18.85,KLABIN S/A
KLBN11,31/01/2019,18.90,19.00,18.38,18.59,KLABIN S/A
KLBN11,01/02/2019,18.67,19.14,18.67,19.05,KLABIN S/A
KLBN11,04/02/2019,19.14,19.44,19.13,19.32,KLABIN S/A
KLBN11,05/02/2019,19.33,20.11,19.27,19.90,KLABIN S/A
KLBN11,06/02/2019,19.84,19.87,19.32,19.35,KLABIN S/A
KLBN11,07/02/2019,19.67,19.80,19.34,19.60,KLABIN S/A
KLBN11,08/02/2019,19.60,19.72,19.01,19.26,KLABIN S/A
KLBN11,11/02/2019,19.25,19.30,18.63,18.74,KLABIN S/A
KLBN11,12/02/2019,18.90,19.02,18.16,18.21,KLABIN S/A
KLBN11,13/02/2019,18.30,18.39,17.94,18.11,KLABIN S/A
KLBN11,14/02/2019,18.13,18.28,17.81,18.15,KLABIN S/A
KLBN11,15/02/2019,18.20,18.33,17.92,18.33,KLABIN S/A
KLBN11,18/02/2019,18.36,18.36,18.02,18.10,KLABIN S/A
KLBN11,19/02/2019,18.18,18.55,18.12,18.48,KLABIN S/A
KLBN11,20/02/2019,18.51,18.67,18.27,18.53,KLABIN S/A
KLBN11,21/02/2019,18.63,18.64,18.10,18.30,KLABIN S/A
KLBN11,22/02/2019,18.45,18.45,18.01,18.15,KLABIN S/A
KLBN11,25/02/2019,18.23,18.32,18.05,18.32,KLABIN S/A
KLBN11,26/02/2019,18.30,18.92,18.29,18.76,KLABIN S/A
KLBN11,27/02/2019,18.80,18.80,18.18,18.27,KLABIN S/A
KLBN11,28/02/2019,18.38,18.40,18.04,18.04,KLABIN S/A
KLBN11,01/03/2019,18.08,18.33,17.67,17.91,KLABIN S/A
KLBN11,06/03/2019,17.96,17.99,17.56,17.65,KLABIN S/A
KLBN11,07/03/2019,17.52,17.69,17.32,17.67,KLABIN S/A
KLBN11,08/03/2019,17.67,18.15,17.44,18.01,KLABIN S/A
KLBN11,11/03/2019,18.05,18.19,17.73,17.89,KLABIN S/A
KLBN11,12/03/2019,18.02,18.02,17.66,17.66,KLABIN S/A
KLBN11,13/03/2019,17.64,18.10,17.63,17.95,KLABIN S/A
KLBN11,14/03/2019,17.97,18.01,17.58,17.61,KLABIN S/A
KLBN11,15/03/2019,17.68,17.86,17.61,17.81,KLABIN S/A
KLBN11,18/03/2019,17.76,18.05,17.72,17.86,KLABIN S/A
KLBN11,19/03/2019,17.94,17.97,17.55,17.55,KLABIN S/A
KLBN11,20/03/2019,17.56,17.66,17.22,17.30,KLABIN S/A
KLBN11,21/03/2019,17.30,17.45,17.01,17.32,KLABIN S/A
KLBN11,22/03/2019,17.06,17.41,16.96,17.16,KLABIN S/A
KLBN11,25/03/2019,17.11,17.11,16.64,16.78,KLABIN S/A
KLBN11,26/03/2019,16.95,17.18,16.80,17.02,KLABIN S/A
KLBN11,27/03/2019,16.91,17.35,16.82,17.01,KLABIN S/A
KLBN11,28/03/2019,16.88,17.33,16.80,17.23,KLABIN S/A
KLBN11,29/03/2019,17.34,17.42,16.82,17.03,KLABIN S/A
KLBN11,01/04/2019,17.08,17.60,17.00,17.57,KLABIN S/A
KLBN11,02/04/2019,17.66,17.80,17.53,17.55,KLABIN S/A
KLBN11,03/04/2019,17.63,17.73,17.33,17.40,KLABIN S/A
KLBN11,04/04/2019,17.32,17.40,16.80,16.81,KLABIN S/A
KLBN11,05/04/2019,16.94,17.20,16.67,17.20,KLABIN S/A
KLBN11,08/04/2019,17.20,17.43,17.00,17.30,KLABIN S/A
KLBN11,09/04/2019,17.20,17.34,16.90,16.90,KLABIN S/A
KLBN11,10/04/2019,17.02,17.09,16.28,16.45,KLABIN S/A
KLBN11,11/04/2019,16.44,16.55,16.10,16.54,KLABIN S/A
KLBN11,12/04/2019,16.58,16.74,16.08,16.33,KLABIN S/A
KLBN11,15/04/2019,16.49,16.49,15.90,15.92,KLABIN S/A
KLBN11,16/04/2019,15.97,16.24,15.85,15.99,KLABIN S/A
KLBN11,17/04/2019,16.17,16.71,16.05,16.54,KLABIN S/A
KLBN11,18/04/2019,16.57,16.99,16.27,16.35,KLABIN S/A
KLBN11,22/04/2019,16.41,16.41,16.14,16.20,KLABIN S/A
KLBN11,23/04/2019,16.30,16.35,16.12,16.35,KLABIN S/A
KLBN11,24/04/2019,16.36,16.39,16.01,16.26,KLABIN S/A
KLBN11,25/04/2019,16.23,17.34,16.18,17.12,KLABIN S/A
KLBN11,26/04/2019,17.02,17.16,16.89,17.02,KLABIN S/A
KLBN11,29/04/2019,17.18,17.18,16.78,16.80,KLABIN S/A
KLBN11,30/04/2019,16.79,16.84,16.46,16.60,KLABIN S/A
KLBN11,02/05/2019,16.65,16.75,16.51,16.70,KLABIN S/A
KLBN11,03/05/2019,16.82,16.88,16.43,16.63,KLABIN S/A
KLBN11,06/05/2019,16.60,16.63,16.16,16.28,KLABIN S/A
