Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LAME4,02/01/2019,19.70,19.90,19.38,19.72,LOJAS AMERIC
LAME4,03/01/2019,19.73,19.74,19.31,19.66,LOJAS AMERIC
LAME4,04/01/2019,19.53,19.68,19.11,19.41,LOJAS AMERIC
LAME4,07/01/2019,19.63,20.12,19.58,19.98,LOJAS AMERIC
LAME4,08/01/2019,19.98,20.25,19.80,20.01,LOJAS AMERIC
LAME4,09/01/2019,20.03,20.98,20.01,20.80,LOJAS AMERIC
LAME4,10/01/2019,20.84,20.95,20.53,20.78,LOJAS AMERIC
LAME4,11/01/2019,20.78,20.78,20.37,20.50,LOJAS AMERIC
LAME4,14/01/2019,20.50,20.65,20.14,20.49,LOJAS AMERIC
LAME4,15/01/2019,20.37,20.58,20.22,20.35,LOJAS AMERIC
LAME4,16/01/2019,20.37,20.46,20.19,20.38,LOJAS AMERIC
LAME4,17/01/2019,20.41,20.64,20.23,20.47,LOJAS AMERIC
LAME4,18/01/2019,20.50,20.76,20.22,20.43,LOJAS AMERIC
LAME4,21/01/2019,20.27,20.39,19.71,19.97,LOJAS AMERIC
LAME4,22/01/2019,19.90,19.94,19.31,19.52,LOJAS AMERIC
LAME4,23/01/2019,19.61,20.01,19.49,20.00,LOJAS AMERIC
LAME4,24/01/2019,20.06,20.46,19.90,20.46,LOJAS AMERIC
LAME4,28/01/2019,20.46,20.65,20.22,20.43,LOJAS AMERIC
LAME4,29/01/2019,20.50,20.89,20.45,20.67,LOJAS AMERIC
LAME4,30/01/2019,20.70,20.82,20.29,20.57,LOJAS AMERIC
LAME4,31/01/2019,20.70,21.07,20.38,21.07,LOJAS AMERIC
LAME4,01/02/2019,20.95,21.32,20.32,20.57,LOJAS AMERIC
LAME4,04/02/2019,20.55,20.79,20.22,20.63,LOJAS AMERIC
LAME4,05/02/2019,20.60,20.80,20.33,20.70,LOJAS AMERIC
LAME4,06/02/2019,20.33,20.65,20.03,20.10,LOJAS AMERIC
LAME4,07/02/2019,20.15,20.55,19.96,20.21,LOJAS AMERIC
LAME4,08/02/2019,20.01,20.50,19.86,20.43,LOJAS AMERIC
LAME4,11/02/2019,20.29,20.70,20.03,20.57,LOJAS AMERIC
LAME4,12/02/2019,20.73,20.73,19.51,19.92,LOJAS AMERIC
LAME4,13/02/2019,20.00,20.24,19.32,19.51,LOJAS AMERIC
LAME4,14/02/2019,19.68,19.90,19.13,19.90,LOJAS AMERIC
LAME4,15/02/2019,19.89,19.98,19.41,19.51,LOJAS AMERIC
LAME4,18/02/2019,19.45,19.78,19.31,19.75,LOJAS AMERIC
LAME4,19/02/2019,19.78,19.92,19.61,19.84,LOJAS AMERIC
LAME4,20/02/2019,19.80,19.97,19.34,19.38,LOJAS AMERIC
LAME4,21/02/2019,19.52,19.64,19.09,19.22,LOJAS AMERIC
LAME4,22/02/2019,19.36,19.49,19.03,19.43,LOJAS AMERIC
LAME4,25/02/2019,19.50,19.63,18.97,19.03,LOJAS AMERIC
LAME4,26/02/2019,19.05,19.44,19.03,19.26,LOJAS AMERIC
LAME4,27/02/2019,19.15,19.82,18.98,19.81,LOJAS AMERIC
LAME4,28/02/2019,19.67,20.07,19.45,19.91,LOJAS AMERIC
LAME4,01/03/2019,19.90,19.96,19.60,19.67,LOJAS AMERIC
LAME4,06/03/2019,19.57,19.84,19.36,19.51,LOJAS AMERIC
LAME4,07/03/2019,19.45,19.51,19.11,19.36,LOJAS AMERIC
LAME4,08/03/2019,19.34,19.85,19.00,19.80,LOJAS AMERIC
LAME4,11/03/2019,19.80,20.43,19.71,20.28,LOJAS AMERIC
LAME4,12/03/2019,20.18,20.21,19.61,19.80,LOJAS AMERIC
LAME4,13/03/2019,19.78,20.10,19.60,19.84,LOJAS AMERIC
LAME4,14/03/2019,19.75,19.84,19.55,19.62,LOJAS AMERIC
LAME4,15/03/2019,19.58,19.77,19.31,19.73,LOJAS AMERIC
LAME4,18/03/2019,19.93,19.93,19.53,19.59,LOJAS AMERIC
LAME4,19/03/2019,19.73,19.86,19.50,19.84,LOJAS AMERIC
LAME4,20/03/2019,19.75,19.78,19.35,19.35,LOJAS AMERIC
LAME4,21/03/2019,19.30,19.35,17.91,18.27,LOJAS AMERIC
LAME4,22/03/2019,17.85,17.90,16.79,16.79,LOJAS AMERIC
LAME4,25/03/2019,17.00,17.26,16.26,16.49,LOJAS AMERIC
LAME4,26/03/2019,16.78,16.83,16.50,16.55,LOJAS AMERIC
LAME4,27/03/2019,16.39,16.53,15.79,15.79,LOJAS AMERIC
LAME4,28/03/2019,15.83,16.30,15.32,16.17,LOJAS AMERIC
LAME4,29/03/2019,16.43,16.90,16.07,16.77,LOJAS AMERIC
LAME4,01/04/2019,16.89,17.12,16.63,17.01,LOJAS AMERIC
LAME4,02/04/2019,17.12,17.19,16.52,16.78,LOJAS AMERIC
LAME4,03/04/2019,16.90,16.95,16.51,16.51,LOJAS AMERIC
LAME4,04/04/2019,16.52,16.93,16.40,16.71,LOJAS AMERIC
LAME4,05/04/2019,16.87,17.04,16.50,16.70,LOJAS AMERIC
LAME4,08/04/2019,16.72,16.79,16.04,16.09,LOJAS AMERIC
LAME4,09/04/2019,16.10,16.18,15.55,15.69,LOJAS AMERIC
LAME4,10/04/2019,15.76,15.83,15.40,15.40,LOJAS AMERIC
LAME4,11/04/2019,15.40,15.67,15.04,15.55,LOJAS AMERIC
LAME4,12/04/2019,15.38,15.54,14.91,15.25,LOJAS AMERIC
LAME4,15/04/2019,15.45,15.46,15.06,15.30,LOJAS AMERIC
LAME4,16/04/2019,15.30,15.40,15.03,15.18,LOJAS AMERIC
LAME4,17/04/2019,15.21,15.32,14.67,14.96,LOJAS AMERIC
LAME4,18/04/2019,15.09,15.58,15.01,15.19,LOJAS AMERIC
LAME4,22/04/2019,15.26,15.55,15.16,15.44,LOJAS AMERIC
LAME4,23/04/2019,15.64,15.69,15.15,15.21,LOJAS AMERIC
LAME4,24/04/2019,15.32,15.32,14.80,14.95,LOJAS AMERIC
LAME4,25/04/2019,14.92,15.37,14.81,15.37,LOJAS AMERIC
LAME4,26/04/2019,15.41,15.53,15.26,15.44,LOJAS AMERIC
LAME4,29/04/2019,15.54,15.60,15.21,15.46,LOJAS AMERIC
LAME4,30/04/2019,15.55,15.84,15.31,15.72,LOJAS AMERIC
LAME4,02/05/2019,15.69,15.72,15.46,15.56,LOJAS AMERIC
LAME4,03/05/2019,15.67,15.83,15.50,15.70,LOJAS AMERIC
LAME4,06/05/2019,15.50,15.65,15.40,15.58,LOJAS AMERIC
LAME4,07/05/2019,15.49,15.51,15.08,15.08,LOJAS AMERIC
LAME4,08/05/2019,15.10,15.56,15.10,15.30,LOJAS AMERIC
LAME4,09/05/2019,15.40,15.75,15.08,15.75,LOJAS AMERIC
LAME4,10/05/2019,15.40,15.50,15.01,15.16,LOJAS AMERIC
LAME4,13/05/2019,15.02,15.03,14.67,14.90,LOJAS AMERIC
LAME4,14/05/2019,15.03,15.13,14.90,15.10,LOJAS AMERIC
LAME4,15/05/2019,14.90,15.15,14.76,15.12,LOJAS AMERIC
LAME4,16/05/2019,15.01,15.05,14.59,14.75,LOJAS AMERIC
LAME4,17/05/2019,14.71,15.15,14.58,14.58,LOJAS AMERIC
LAME4,20/05/2019,14.70,15.52,14.66,15.30,LOJAS AMERIC
LAME4,21/05/2019,15.30,15.58,15.11,15.55,LOJAS AMERIC
LAME4,22/05/2019,15.50,15.55,15.28,15.37,LOJAS AMERIC
LAME4,23/05/2019,15.20,15.38,15.00,15.10,LOJAS AMERIC
LAME4,24/05/2019,15.16,15.19,14.94,15.10,LOJAS AMERIC
LAME4,27/05/2019,15.25,15.45,15.07,15.29,LOJAS AMERIC
LAME4,28/05/2019,15.40,15.73,15.29,15.69,LOJAS AMERIC
LAME4,29/05/2019,15.57,16.18,15.52,16.18,LOJAS AMERIC
LAME4,30/05/2019,16.21,16.49,15.97,16.42,LOJAS AMERIC
LAME4,31/05/2019,16.38,16.53,15.93,16.14,LOJAS AMERIC
LAME4,03/06/2019,16.20,16.37,15.57,15.72,LOJAS AMERIC
LAME4,04/06/2019,15.80,15.94,15.65,15.85,LOJAS AMERIC
LAME4,05/06/2019,15.90,16.14,15.37,15.44,LOJAS AMERIC
LAME4,06/06/2019,15.60,15.75,15.31,15.53,LOJAS AMERIC
LAME4,07/06/2019,15.60,16.05,15.45,15.90,LOJAS AMERIC
LAME4,10/06/2019,15.85,16.25,15.80,16.23,LOJAS AMERIC
LAME4,11/06/2019,16.27,16.34,15.96,16.09,LOJAS AMERIC
LAME4,12/06/2019,16.03,16.04,15.72,15.78,LOJAS AMERIC
