Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LLIS3,02/01/2019,27.39,28.50,27.39,28.11,LE LIS BLANC
LLIS3,03/01/2019,27.70,28.90,27.46,28.90,LE LIS BLANC
LLIS3,04/01/2019,28.98,29.02,28.50,29.02,LE LIS BLANC
LLIS3,07/01/2019,29.47,29.47,29.01,29.01,LE LIS BLANC
LLIS3,08/01/2019,29.00,29.15,28.30,28.30,LE LIS BLANC
LLIS3,09/01/2019,29.00,29.00,28.50,28.50,LE LIS BLANC
LLIS3,10/01/2019,28.04,29.01,28.00,29.00,LE LIS BLANC
LLIS3,11/01/2019,29.00,29.89,28.26,29.51,LE LIS BLANC
LLIS3,14/01/2019,29.51,29.51,29.01,29.10,LE LIS BLANC
LLIS3,15/01/2019,29.20,30.00,29.20,30.00,LE LIS BLANC
LLIS3,16/01/2019,30.33,30.99,30.30,30.50,LE LIS BLANC
LLIS3,17/01/2019,31.00,31.68,30.80,31.30,LE LIS BLANC
LLIS3,18/01/2019,31.29,31.29,30.43,30.99,LE LIS BLANC
LLIS3,21/01/2019,30.99,30.99,30.70,30.70,LE LIS BLANC
LLIS3,22/01/2019,31.70,31.74,30.38,30.60,LE LIS BLANC
LLIS3,23/01/2019,30.99,31.94,30.99,31.90,LE LIS BLANC
LLIS3,24/01/2019,31.00,31.90,31.00,31.71,LE LIS BLANC
LLIS3,28/01/2019,31.97,32.99,31.70,32.80,LE LIS BLANC
LLIS3,29/01/2019,32.81,33.70,32.81,32.98,LE LIS BLANC
LLIS3,30/01/2019,32.98,34.98,32.98,34.30,LE LIS BLANC
LLIS3,31/01/2019,34.30,35.70,34.30,35.25,LE LIS BLANC
LLIS3,01/02/2019,35.50,35.50,34.53,35.10,LE LIS BLANC
LLIS3,04/02/2019,35.40,35.40,33.50,34.74,LE LIS BLANC
LLIS3,05/02/2019,34.74,34.99,33.73,34.85,LE LIS BLANC
LLIS3,06/02/2019,34.15,34.49,33.78,34.00,LE LIS BLANC
LLIS3,07/02/2019,34.53,34.53,33.03,33.90,LE LIS BLANC
LLIS3,08/02/2019,33.89,34.00,33.86,34.00,LE LIS BLANC
LLIS3,11/02/2019,34.00,34.49,33.03,34.49,LE LIS BLANC
