Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LOGN3,02/01/2019,7.90,8.27,7.79,8.13,LOG-IN
LOGN3,03/01/2019,8.29,8.68,8.17,8.31,LOG-IN
LOGN3,04/01/2019,8.40,8.46,8.01,8.38,LOG-IN
LOGN3,07/01/2019,8.40,8.50,8.11,8.25,LOG-IN
LOGN3,08/01/2019,8.30,8.30,7.84,7.95,LOG-IN
LOGN3,09/01/2019,7.96,8.04,7.60,7.64,LOG-IN
LOGN3,10/01/2019,7.64,7.96,7.51,7.81,LOG-IN
LOGN3,11/01/2019,7.82,7.86,7.62,7.72,LOG-IN
LOGN3,14/01/2019,7.69,7.98,7.61,7.78,LOG-IN
LOGN3,15/01/2019,7.78,8.10,7.72,7.98,LOG-IN
LOGN3,16/01/2019,8.00,8.30,7.87,7.93,LOG-IN
LOGN3,17/01/2019,8.01,8.17,7.85,8.15,LOG-IN
LOGN3,18/01/2019,8.20,8.20,7.95,7.95,LOG-IN
LOGN3,21/01/2019,8.01,8.32,7.85,8.24,LOG-IN
LOGN3,22/01/2019,8.23,8.30,7.97,7.97,LOG-IN
LOGN3,23/01/2019,8.05,8.17,7.93,7.95,LOG-IN
LOGN3,24/01/2019,8.00,8.09,7.90,8.00,LOG-IN
LOGN3,28/01/2019,8.00,8.08,7.90,8.01,LOG-IN
LOGN3,29/01/2019,8.05,8.28,8.02,8.03,LOG-IN
LOGN3,30/01/2019,8.15,8.40,8.08,8.20,LOG-IN
LOGN3,31/01/2019,8.32,8.39,8.15,8.20,LOG-IN
LOGN3,01/02/2019,8.28,8.31,8.06,8.09,LOG-IN
LOGN3,04/02/2019,8.12,8.24,8.00,8.18,LOG-IN
LOGN3,05/02/2019,8.12,8.23,8.04,8.10,LOG-IN
LOGN3,06/02/2019,8.08,8.16,7.95,7.95,LOG-IN
LOGN3,07/02/2019,7.96,8.12,7.85,7.95,LOG-IN
LOGN3,08/02/2019,7.90,8.10,7.90,7.98,LOG-IN
LOGN3,11/02/2019,8.00,8.08,7.92,8.07,LOG-IN
LOGN3,12/02/2019,8.20,8.96,8.10,8.85,LOG-IN
LOGN3,13/02/2019,8.96,9.45,8.88,9.18,LOG-IN
LOGN3,14/02/2019,9.35,9.35,8.90,9.05,LOG-IN
LOGN3,15/02/2019,9.10,9.69,9.03,9.65,LOG-IN
LOGN3,18/02/2019,9.65,9.65,9.05,9.20,LOG-IN
LOGN3,19/02/2019,9.26,9.30,9.07,9.21,LOG-IN
LOGN3,20/02/2019,9.23,9.38,8.92,9.00,LOG-IN
LOGN3,21/02/2019,9.00,9.00,8.65,8.70,LOG-IN
LOGN3,22/02/2019,8.71,9.20,8.70,9.15,LOG-IN
LOGN3,25/02/2019,9.21,9.39,9.12,9.16,LOG-IN
LOGN3,26/02/2019,9.17,9.23,8.94,8.95,LOG-IN
LOGN3,27/02/2019,8.95,9.04,8.77,8.80,LOG-IN
LOGN3,28/02/2019,8.85,8.94,8.72,8.93,LOG-IN
LOGN3,01/03/2019,8.93,9.09,8.89,8.90,LOG-IN
LOGN3,06/03/2019,8.75,8.91,8.72,8.82,LOG-IN
LOGN3,07/03/2019,8.76,8.83,8.37,8.37,LOG-IN
LOGN3,08/03/2019,8.31,8.48,8.00,8.18,LOG-IN
LOGN3,11/03/2019,8.15,8.33,8.08,8.21,LOG-IN
LOGN3,12/03/2019,8.25,8.37,8.12,8.20,LOG-IN
LOGN3,13/03/2019,8.26,8.34,8.18,8.22,LOG-IN
LOGN3,14/03/2019,8.28,8.42,8.21,8.21,LOG-IN
LOGN3,15/03/2019,8.28,8.62,8.25,8.53,LOG-IN
LOGN3,18/03/2019,8.63,8.98,8.62,8.73,LOG-IN
