Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LREN3,02/01/2019,42.00,43.91,42.00,43.55,LOJAS RENNER
LREN3,03/01/2019,43.55,43.55,42.53,43.00,LOJAS RENNER
LREN3,04/01/2019,43.06,43.06,41.15,41.35,LOJAS RENNER
LREN3,07/01/2019,41.35,41.72,40.06,40.40,LOJAS RENNER
LREN3,08/01/2019,40.73,41.78,40.36,41.70,LOJAS RENNER
LREN3,09/01/2019,41.95,42.99,41.95,42.60,LOJAS RENNER
LREN3,10/01/2019,42.90,43.16,42.29,42.66,LOJAS RENNER
LREN3,11/01/2019,42.66,42.70,41.71,41.71,LOJAS RENNER
LREN3,14/01/2019,41.80,42.36,40.50,40.95,LOJAS RENNER
LREN3,15/01/2019,41.05,41.70,40.77,40.80,LOJAS RENNER
LREN3,16/01/2019,41.00,41.70,40.93,41.70,LOJAS RENNER
LREN3,17/01/2019,41.76,43.73,41.76,43.25,LOJAS RENNER
LREN3,18/01/2019,43.15,44.37,42.84,43.85,LOJAS RENNER
LREN3,21/01/2019,43.50,43.67,42.71,43.00,LOJAS RENNER
LREN3,22/01/2019,43.27,43.53,42.25,42.40,LOJAS RENNER
LREN3,23/01/2019,42.66,43.72,42.51,43.19,LOJAS RENNER
LREN3,24/01/2019,43.35,44.44,43.32,44.44,LOJAS RENNER
LREN3,28/01/2019,44.44,45.37,43.79,45.27,LOJAS RENNER
LREN3,29/01/2019,45.50,45.66,44.73,45.59,LOJAS RENNER
LREN3,30/01/2019,45.95,46.16,44.52,45.42,LOJAS RENNER
LREN3,31/01/2019,45.45,46.24,44.80,45.50,LOJAS RENNER
LREN3,01/02/2019,45.27,46.40,44.96,45.66,LOJAS RENNER
LREN3,04/02/2019,45.66,46.30,44.99,46.00,LOJAS RENNER
LREN3,05/02/2019,45.78,46.14,45.28,45.47,LOJAS RENNER
LREN3,06/02/2019,45.15,45.16,43.21,43.21,LOJAS RENNER
LREN3,07/02/2019,43.80,44.29,42.55,43.35,LOJAS RENNER
LREN3,08/02/2019,44.05,44.21,42.60,43.50,LOJAS RENNER
LREN3,11/02/2019,43.51,43.74,42.64,43.00,LOJAS RENNER
LREN3,12/02/2019,43.73,45.00,43.02,44.66,LOJAS RENNER
LREN3,13/02/2019,44.95,44.95,43.11,43.50,LOJAS RENNER
LREN3,14/02/2019,43.71,44.80,42.41,44.66,LOJAS RENNER
LREN3,15/02/2019,44.60,44.68,43.94,44.15,LOJAS RENNER
LREN3,18/02/2019,44.15,44.37,43.24,44.24,LOJAS RENNER
LREN3,19/02/2019,44.40,44.84,43.49,44.60,LOJAS RENNER
LREN3,20/02/2019,44.60,44.94,43.20,43.40,LOJAS RENNER
LREN3,21/02/2019,43.60,44.08,42.86,43.30,LOJAS RENNER
LREN3,22/02/2019,43.82,44.74,43.05,44.70,LOJAS RENNER
LREN3,25/02/2019,44.80,45.22,44.10,44.39,LOJAS RENNER
LREN3,26/02/2019,44.11,44.66,44.02,44.40,LOJAS RENNER
LREN3,27/02/2019,44.31,44.40,43.23,44.05,LOJAS RENNER
LREN3,28/02/2019,43.86,44.32,43.20,43.28,LOJAS RENNER
LREN3,01/03/2019,43.58,43.89,42.65,43.33,LOJAS RENNER
LREN3,06/03/2019,43.95,43.95,42.51,43.49,LOJAS RENNER
LREN3,07/03/2019,43.35,43.46,42.55,42.81,LOJAS RENNER
LREN3,08/03/2019,42.63,44.21,41.91,43.86,LOJAS RENNER
LREN3,11/03/2019,43.90,45.81,43.76,45.63,LOJAS RENNER
LREN3,12/03/2019,45.63,45.63,44.51,45.15,LOJAS RENNER
LREN3,13/03/2019,44.82,45.15,43.89,44.36,LOJAS RENNER
LREN3,14/03/2019,44.30,44.41,43.81,44.20,LOJAS RENNER
LREN3,15/03/2019,44.26,44.68,43.69,43.99,LOJAS RENNER
LREN3,18/03/2019,44.17,45.07,43.63,44.58,LOJAS RENNER
LREN3,19/03/2019,44.60,44.94,44.16,44.44,LOJAS RENNER
LREN3,20/03/2019,44.24,44.80,43.57,44.00,LOJAS RENNER
LREN3,21/03/2019,43.93,43.99,42.62,43.06,LOJAS RENNER
LREN3,22/03/2019,42.48,43.02,41.80,42.65,LOJAS RENNER
LREN3,25/03/2019,41.83,42.74,41.83,42.02,LOJAS RENNER
LREN3,26/03/2019,42.28,42.44,41.43,42.31,LOJAS RENNER
LREN3,27/03/2019,41.60,42.19,40.62,41.01,LOJAS RENNER
