Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
MRVE3,02/01/2019,12.39,12.82,12.34,12.64,MRV
MRVE3,03/01/2019,12.62,12.73,12.29,12.63,MRV
MRVE3,04/01/2019,12.63,12.69,12.36,12.45,MRV
MRVE3,07/01/2019,12.40,12.66,12.36,12.56,MRV
MRVE3,08/01/2019,12.61,13.15,12.54,13.05,MRV
MRVE3,09/01/2019,13.10,13.59,13.10,13.59,MRV
MRVE3,10/01/2019,13.56,13.56,13.17,13.46,MRV
MRVE3,11/01/2019,13.48,13.49,13.22,13.34,MRV
MRVE3,14/01/2019,13.61,13.99,13.54,13.88,MRV
MRVE3,15/01/2019,13.96,14.20,13.70,13.80,MRV
MRVE3,16/01/2019,13.82,14.15,13.56,13.65,MRV
MRVE3,17/01/2019,13.70,14.05,11.51,13.90,MRV
MRVE3,18/01/2019,14.08,14.08,11.54,13.92,MRV
MRVE3,21/01/2019,13.90,13.98,10.15,13.85,MRV
MRVE3,22/01/2019,13.72,14.22,13.72,13.93,MRV
MRVE3,23/01/2019,14.00,14.51,14.00,14.50,MRV
MRVE3,24/01/2019,14.50,14.98,14.45,14.85,MRV
MRVE3,28/01/2019,14.81,15.62,14.70,15.32,MRV
MRVE3,29/01/2019,15.46,15.53,14.87,14.93,MRV
MRVE3,30/01/2019,15.04,15.05,14.55,14.90,MRV
MRVE3,31/01/2019,14.92,15.15,14.91,15.00,MRV
MRVE3,01/02/2019,15.04,15.09,14.60,14.80,MRV
MRVE3,04/02/2019,14.85,14.85,14.61,14.65,MRV
MRVE3,05/02/2019,14.70,14.90,14.63,14.87,MRV
MRVE3,06/02/2019,14.70,14.83,14.38,14.41,MRV
MRVE3,07/02/2019,14.48,14.56,14.11,14.23,MRV
MRVE3,08/02/2019,14.20,14.54,14.04,14.48,MRV
MRVE3,11/02/2019,14.62,14.82,14.29,14.44,MRV
MRVE3,12/02/2019,14.66,14.73,14.15,14.15,MRV
MRVE3,13/02/2019,14.17,14.37,13.92,13.95,MRV
MRVE3,14/02/2019,13.91,14.46,13.75,14.43,MRV
MRVE3,15/02/2019,14.23,14.37,13.95,14.00,MRV
MRVE3,18/02/2019,13.98,14.15,10.22,14.00,MRV
MRVE3,19/02/2019,14.10,14.24,14.01,14.12,MRV
MRVE3,20/02/2019,14.15,14.16,13.68,13.73,MRV
MRVE3,21/02/2019,13.80,13.95,13.65,13.78,MRV
MRVE3,22/02/2019,13.79,13.93,13.71,13.71,MRV
MRVE3,25/02/2019,13.73,13.94,13.73,13.84,MRV
MRVE3,26/02/2019,13.79,13.90,13.31,13.36,MRV
MRVE3,27/02/2019,13.36,13.66,13.22,13.66,MRV
MRVE3,28/02/2019,13.55,13.69,13.50,13.59,MRV
MRVE3,01/03/2019,13.69,13.99,13.64,13.88,MRV
MRVE3,06/03/2019,13.95,14.07,13.71,13.84,MRV
MRVE3,07/03/2019,13.90,14.00,13.75,13.96,MRV
MRVE3,08/03/2019,13.98,14.50,13.86,14.34,MRV
MRVE3,11/03/2019,14.41,14.81,14.40,14.61,MRV
MRVE3,12/03/2019,14.64,14.81,14.51,14.69,MRV
MRVE3,13/03/2019,14.59,14.76,14.42,14.76,MRV
MRVE3,14/03/2019,14.66,14.70,14.52,14.56,MRV
MRVE3,15/03/2019,14.50,14.68,14.27,14.35,MRV
MRVE3,18/03/2019,14.21,14.60,14.19,14.48,MRV
MRVE3,19/03/2019,14.48,14.67,14.41,14.50,MRV
MRVE3,20/03/2019,14.51,14.56,14.07,14.19,MRV
MRVE3,21/03/2019,14.04,14.20,13.79,13.79,MRV
MRVE3,22/03/2019,13.65,13.68,13.10,13.40,MRV
MRVE3,25/03/2019,13.31,13.51,13.22,13.37,MRV
MRVE3,26/03/2019,13.46,14.01,13.40,13.94,MRV
MRVE3,27/03/2019,13.76,13.81,13.31,13.40,MRV
MRVE3,28/03/2019,13.28,14.01,13.20,13.76,MRV
MRVE3,29/03/2019,13.92,14.11,13.75,13.99,MRV
MRVE3,01/04/2019,14.00,14.23,13.86,14.15,MRV
MRVE3,02/04/2019,14.25,14.26,13.85,13.96,MRV
MRVE3,03/04/2019,14.00,14.11,13.60,13.74,MRV
MRVE3,04/04/2019,13.70,14.04,13.70,13.95,MRV
MRVE3,05/04/2019,13.91,14.32,13.82,14.27,MRV
MRVE3,08/04/2019,14.25,14.25,13.94,14.00,MRV
MRVE3,09/04/2019,14.07,14.07,13.74,13.80,MRV
MRVE3,10/04/2019,13.95,14.17,13.75,14.10,MRV
MRVE3,11/04/2019,13.98,14.14,13.59,13.59,MRV
MRVE3,12/04/2019,13.50,13.75,13.30,13.40,MRV
MRVE3,15/04/2019,13.61,13.66,13.25,13.66,MRV
MRVE3,16/04/2019,13.65,13.85,13.43,13.71,MRV
MRVE3,17/04/2019,13.69,14.17,13.67,14.00,MRV
MRVE3,18/04/2019,13.96,14.57,13.83,14.39,MRV
MRVE3,22/04/2019,14.42,14.80,14.30,14.56,MRV
MRVE3,23/04/2019,14.64,14.83,14.57,14.75,MRV
MRVE3,24/04/2019,14.63,14.65,14.18,14.31,MRV
MRVE3,25/04/2019,14.25,14.62,14.09,14.51,MRV
MRVE3,26/04/2019,14.47,14.58,14.31,14.53,MRV
MRVE3,29/04/2019,14.67,14.75,14.55,14.70,MRV
MRVE3,30/04/2019,14.74,14.75,14.51,14.51,MRV
MRVE3,02/05/2019,14.54,14.55,14.21,14.23,MRV
MRVE3,03/05/2019,14.28,14.55,14.21,14.46,MRV
MRVE3,06/05/2019,14.22,14.63,14.16,14.48,MRV
MRVE3,07/05/2019,14.49,14.80,14.32,14.80,MRV
MRVE3,08/05/2019,14.89,15.11,14.81,14.93,MRV
MRVE3,09/05/2019,15.02,15.88,15.02,15.60,MRV
MRVE3,10/05/2019,15.50,15.97,15.43,15.59,MRV
MRVE3,13/05/2019,15.43,15.75,15.23,15.39,MRV
MRVE3,14/05/2019,15.52,15.71,15.26,15.60,MRV
MRVE3,15/05/2019,15.33,15.70,15.11,15.48,MRV
MRVE3,16/05/2019,15.30,15.33,14.94,14.99,MRV
MRVE3,17/05/2019,14.96,15.30,14.72,14.80,MRV
MRVE3,20/05/2019,14.80,15.70,14.80,15.62,MRV
MRVE3,21/05/2019,15.74,16.12,15.65,15.95,MRV
MRVE3,22/05/2019,16.07,16.32,15.89,15.97,MRV
MRVE3,23/05/2019,16.06,16.19,15.72,15.96,MRV
MRVE3,24/05/2019,16.10,16.13,15.72,15.97,MRV
MRVE3,27/05/2019,16.00,16.80,15.98,16.65,MRV
MRVE3,28/05/2019,16.63,17.23,16.59,17.08,MRV
MRVE3,29/05/2019,17.09,17.23,16.90,17.00,MRV
MRVE3,30/05/2019,17.00,17.32,16.77,16.80,MRV
MRVE3,31/05/2019,16.64,17.20,16.64,17.20,MRV
MRVE3,03/06/2019,17.15,17.19,16.46,16.55,MRV
MRVE3,04/06/2019,16.60,16.95,16.55,16.80,MRV
MRVE3,05/06/2019,16.61,17.18,16.61,16.83,MRV
MRVE3,06/06/2019,17.10,17.60,16.86,17.50,MRV
MRVE3,07/06/2019,17.20,17.91,17.05,17.45,MRV
MRVE3,10/06/2019,17.28,17.52,17.00,17.28,MRV
MRVE3,11/06/2019,17.30,17.44,17.03,17.30,MRV
MRVE3,12/06/2019,17.00,17.30,16.84,16.84,MRV
MRVE3,13/06/2019,17.00,17.25,16.81,16.99,MRV
MRVE3,14/06/2019,16.92,17.44,16.92,17.30,MRV
MRVE3,17/06/2019,17.36,18.05,17.16,17.70,MRV
MRVE3,18/06/2019,17.91,18.64,17.74,18.35,MRV
MRVE3,19/06/2019,18.35,18.53,17.94,18.44,MRV
MRVE3,21/06/2019,18.49,19.38,18.20,19.38,MRV
MRVE3,24/06/2019,19.40,19.58,19.08,19.50,MRV
MRVE3,25/06/2019,19.31,19.46,18.77,18.77,MRV
MRVE3,26/06/2019,19.06,19.40,18.86,19.20,MRV
MRVE3,27/06/2019,19.06,19.34,18.97,19.24,MRV
MRVE3,28/06/2019,19.44,19.90,19.40,19.57,MRV
MRVE3,01/07/2019,19.79,19.99,18.98,19.12,MRV
MRVE3,02/07/2019,19.25,19.40,19.01,19.40,MRV
MRVE3,03/07/2019,19.20,19.37,19.00,19.10,MRV
MRVE3,04/07/2019,19.22,19.44,18.92,19.17,MRV
MRVE3,05/07/2019,19.16,19.54,19.05,19.35,MRV
MRVE3,08/07/2019,19.53,19.94,19.32,19.63,MRV
MRVE3,10/07/2019,20.00,20.38,19.84,20.09,MRV
MRVE3,11/07/2019,20.23,20.24,19.87,19.98,MRV
MRVE3,12/07/2019,20.11,20.17,19.43,19.43,MRV
MRVE3,15/07/2019,19.53,19.64,19.10,19.27,MRV
MRVE3,16/07/2019,19.41,19.98,19.24,19.55,MRV
MRVE3,17/07/2019,19.50,19.62,19.14,19.32,MRV
MRVE3,18/07/2019,19.48,20.02,19.44,19.87,MRV
MRVE3,19/07/2019,19.95,19.98,19.02,19.02,MRV
MRVE3,22/07/2019,19.05,19.14,18.47,18.47,MRV
MRVE3,23/07/2019,18.74,19.18,18.64,18.73,MRV
MRVE3,24/07/2019,18.86,18.98,18.66,18.80,MRV
MRVE3,25/07/2019,18.83,19.07,18.40,18.60,MRV
MRVE3,26/07/2019,18.73,19.43,18.66,19.33,MRV
MRVE3,29/07/2019,19.30,19.60,19.07,19.59,MRV
MRVE3,30/07/2019,19.55,20.15,19.41,20.06,MRV
MRVE3,31/07/2019,19.95,20.36,19.87,20.28,MRV
MRVE3,01/08/2019,20.50,21.11,20.39,20.95,MRV
MRVE3,02/08/2019,20.94,20.96,20.41,20.90,MRV
MRVE3,05/08/2019,20.38,20.70,20.25,20.37,MRV
MRVE3,06/08/2019,20.42,21.35,20.42,21.35,MRV
MRVE3,07/08/2019,21.20,21.65,20.79,21.65,MRV
MRVE3,08/08/2019,21.76,22.65,21.71,22.64,MRV
MRVE3,09/08/2019,22.36,22.36,21.07,21.25,MRV
MRVE3,12/08/2019,20.99,21.08,20.47,21.08,MRV
MRVE3,13/08/2019,21.19,21.29,20.25,20.27,MRV
MRVE3,14/08/2019,20.21,20.21,19.33,19.36,MRV
MRVE3,15/08/2019,19.30,19.48,18.55,18.72,MRV
MRVE3,16/08/2019,19.47,19.47,18.21,18.40,MRV
MRVE3,19/08/2019,18.75,18.95,17.88,18.10,MRV
MRVE3,20/08/2019,18.15,18.15,17.62,17.81,MRV
MRVE3,21/08/2019,18.20,19.18,18.16,18.88,MRV
MRVE3,22/08/2019,19.20,19.49,18.80,19.20,MRV
MRVE3,23/08/2019,18.93,18.99,18.17,18.73,MRV
MRVE3,26/08/2019,18.77,18.80,17.63,17.65,MRV
MRVE3,27/08/2019,17.80,18.58,17.80,18.31,MRV
MRVE3,28/08/2019,18.30,18.36,17.74,18.29,MRV
MRVE3,29/08/2019,18.30,19.69,17.95,19.69,MRV
MRVE3,30/08/2019,19.69,19.92,19.15,19.70,MRV
MRVE3,02/09/2019,19.81,20.27,19.61,19.90,MRV
MRVE3,03/09/2019,19.75,20.00,18.56,18.94,MRV
MRVE3,04/09/2019,18.62,18.70,17.36,17.72,MRV
MRVE3,05/09/2019,18.11,18.40,17.84,17.97,MRV
MRVE3,06/09/2019,18.15,18.17,17.33,17.45,MRV
MRVE3,09/09/2019,17.55,17.63,16.73,16.83,MRV
MRVE3,10/09/2019,16.83,16.99,16.34,16.97,MRV
MRVE3,11/09/2019,17.30,18.71,17.20,18.50,MRV
MRVE3,12/09/2019,18.71,18.79,17.87,18.15,MRV
MRVE3,13/09/2019,18.21,18.21,17.56,17.70,MRV
MRVE3,16/09/2019,17.72,18.03,17.25,17.41,MRV
MRVE3,17/09/2019,17.69,18.83,17.61,18.65,MRV
MRVE3,18/09/2019,18.55,18.55,17.90,18.22,MRV
MRVE3,19/09/2019,18.40,18.76,18.23,18.30,MRV
MRVE3,20/09/2019,18.27,18.45,18.16,18.30,MRV
