Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
MYPK3,02/01/2019,23.80,24.26,23.38,24.26,IOCHP-MAXION
MYPK3,03/01/2019,24.09,24.36,23.70,24.20,IOCHP-MAXION
MYPK3,04/01/2019,24.17,24.17,23.51,24.08,IOCHP-MAXION
MYPK3,07/01/2019,24.35,24.69,23.92,24.30,IOCHP-MAXION
MYPK3,08/01/2019,24.30,24.47,23.83,23.84,IOCHP-MAXION
MYPK3,09/01/2019,24.06,24.37,23.31,23.55,IOCHP-MAXION
MYPK3,10/01/2019,23.41,23.65,22.96,23.65,IOCHP-MAXION
MYPK3,11/01/2019,23.66,23.85,23.25,23.43,IOCHP-MAXION
MYPK3,14/01/2019,23.20,23.52,22.99,23.11,IOCHP-MAXION
MYPK3,15/01/2019,23.15,23.22,22.55,22.55,IOCHP-MAXION
MYPK3,16/01/2019,22.53,22.65,22.16,22.29,IOCHP-MAXION
MYPK3,17/01/2019,22.23,22.42,21.85,21.95,IOCHP-MAXION
MYPK3,18/01/2019,22.00,22.15,21.32,21.49,IOCHP-MAXION
MYPK3,21/01/2019,21.49,22.39,21.24,22.17,IOCHP-MAXION
MYPK3,22/01/2019,22.20,22.61,22.12,22.44,IOCHP-MAXION
MYPK3,23/01/2019,22.50,23.20,22.47,22.95,IOCHP-MAXION
MYPK3,24/01/2019,23.11,23.38,22.91,23.00,IOCHP-MAXION
MYPK3,28/01/2019,22.94,23.06,22.30,22.99,IOCHP-MAXION
MYPK3,29/01/2019,23.00,23.40,22.71,23.19,IOCHP-MAXION
MYPK3,30/01/2019,23.24,23.72,22.76,22.99,IOCHP-MAXION
MYPK3,31/01/2019,23.09,23.09,22.05,22.35,IOCHP-MAXION
MYPK3,01/02/2019,22.47,22.60,22.08,22.16,IOCHP-MAXION
MYPK3,04/02/2019,22.33,22.97,22.11,22.85,IOCHP-MAXION
MYPK3,05/02/2019,22.85,22.92,22.02,22.36,IOCHP-MAXION
MYPK3,06/02/2019,22.09,22.15,21.77,21.95,IOCHP-MAXION
MYPK3,07/02/2019,21.92,22.15,21.33,21.49,IOCHP-MAXION
MYPK3,08/02/2019,21.44,21.53,20.90,21.39,IOCHP-MAXION
MYPK3,11/02/2019,21.57,21.59,20.72,20.88,IOCHP-MAXION
MYPK3,12/02/2019,21.02,21.22,20.64,21.03,IOCHP-MAXION
MYPK3,13/02/2019,21.03,21.57,21.00,21.55,IOCHP-MAXION
MYPK3,14/02/2019,21.54,21.69,21.11,21.55,IOCHP-MAXION
MYPK3,15/02/2019,21.55,21.72,21.00,21.62,IOCHP-MAXION
MYPK3,18/02/2019,21.62,22.07,21.43,22.00,IOCHP-MAXION
MYPK3,19/02/2019,21.88,22.10,21.80,21.95,IOCHP-MAXION
MYPK3,20/02/2019,21.97,22.00,21.59,21.80,IOCHP-MAXION
MYPK3,21/02/2019,21.62,22.00,21.60,21.94,IOCHP-MAXION
MYPK3,22/02/2019,22.01,22.18,21.82,22.04,IOCHP-MAXION
MYPK3,25/02/2019,22.05,22.39,21.96,22.24,IOCHP-MAXION
MYPK3,26/02/2019,22.23,22.23,21.64,22.11,IOCHP-MAXION
MYPK3,27/02/2019,21.95,21.96,21.70,21.77,IOCHP-MAXION
MYPK3,28/02/2019,21.74,22.05,21.69,21.72,IOCHP-MAXION
MYPK3,01/03/2019,21.74,22.20,21.74,22.20,IOCHP-MAXION
MYPK3,06/03/2019,22.38,22.38,21.86,22.04,IOCHP-MAXION
MYPK3,07/03/2019,22.04,22.04,21.65,22.00,IOCHP-MAXION
