Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PCAR4,02/01/2019,80.99,83.03,80.25,82.77,P.ACUCAR-CBD
PCAR4,03/01/2019,81.85,84.20,80.82,84.20,P.ACUCAR-CBD
PCAR4,04/01/2019,83.19,84.68,82.44,83.00,P.ACUCAR-CBD
PCAR4,07/01/2019,83.81,83.84,81.46,83.50,P.ACUCAR-CBD
PCAR4,08/01/2019,83.68,84.73,83.44,84.01,P.ACUCAR-CBD
PCAR4,09/01/2019,83.63,85.68,83.60,85.11,P.ACUCAR-CBD
PCAR4,10/01/2019,85.15,86.12,84.62,85.76,P.ACUCAR-CBD
PCAR4,11/01/2019,86.19,88.87,86.19,88.87,P.ACUCAR-CBD
PCAR4,14/01/2019,88.85,90.79,88.31,90.11,P.ACUCAR-CBD
PCAR4,15/01/2019,90.00,90.85,89.38,90.47,P.ACUCAR-CBD
PCAR4,16/01/2019,90.45,91.15,89.95,90.53,P.ACUCAR-CBD
PCAR4,17/01/2019,90.21,91.08,89.65,89.75,P.ACUCAR-CBD
PCAR4,18/01/2019,89.33,90.19,88.85,89.65,P.ACUCAR-CBD
PCAR4,21/01/2019,89.66,90.43,88.34,90.00,P.ACUCAR-CBD
PCAR4,22/01/2019,90.00,90.98,88.81,89.90,P.ACUCAR-CBD
PCAR4,23/01/2019,89.76,93.85,89.76,93.59,P.ACUCAR-CBD
PCAR4,24/01/2019,94.59,95.30,93.03,94.78,P.ACUCAR-CBD
PCAR4,28/01/2019,94.79,98.42,94.05,97.92,P.ACUCAR-CBD
PCAR4,29/01/2019,97.88,98.35,95.99,95.99,P.ACUCAR-CBD
PCAR4,30/01/2019,97.00,98.14,96.44,98.14,P.ACUCAR-CBD
PCAR4,31/01/2019,98.15,98.50,96.40,97.28,P.ACUCAR-CBD
PCAR4,01/02/2019,97.28,97.95,95.21,96.60,P.ACUCAR-CBD
PCAR4,04/02/2019,96.17,97.17,95.33,96.15,P.ACUCAR-CBD
PCAR4,05/02/2019,95.21,97.94,95.20,97.07,P.ACUCAR-CBD
PCAR4,06/02/2019,96.15,96.40,94.50,94.50,P.ACUCAR-CBD
