Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PINE4,02/01/2019,2.25,2.26,2.20,2.25,PINE
PINE4,03/01/2019,2.25,2.38,2.25,2.38,PINE
PINE4,04/01/2019,2.34,2.37,2.28,2.30,PINE
PINE4,07/01/2019,2.36,2.41,2.36,2.39,PINE
PINE4,08/01/2019,2.39,2.40,2.39,2.40,PINE
PINE4,09/01/2019,2.38,2.44,2.38,2.42,PINE
PINE4,10/01/2019,2.34,2.45,2.34,2.45,PINE
PINE4,11/01/2019,2.45,2.48,2.45,2.48,PINE
PINE4,14/01/2019,2.48,2.50,2.41,2.49,PINE
PINE4,15/01/2019,2.50,2.51,2.42,2.50,PINE
PINE4,16/01/2019,2.50,2.60,2.48,2.53,PINE
PINE4,17/01/2019,2.56,2.59,2.52,2.53,PINE
PINE4,18/01/2019,2.53,2.74,2.53,2.67,PINE
PINE4,21/01/2019,2.70,2.73,2.69,2.70,PINE
PINE4,22/01/2019,2.62,2.62,2.51,2.60,PINE
PINE4,23/01/2019,2.55,2.55,2.53,2.54,PINE
PINE4,24/01/2019,2.54,2.54,2.48,2.48,PINE
PINE4,28/01/2019,2.52,2.57,2.50,2.52,PINE
PINE4,29/01/2019,2.50,2.52,2.38,2.38,PINE
PINE4,30/01/2019,2.47,2.47,2.35,2.42,PINE
PINE4,31/01/2019,2.47,2.47,2.38,2.41,PINE
PINE4,01/02/2019,2.42,2.47,2.37,2.44,PINE
PINE4,04/02/2019,2.44,2.44,2.43,2.43,PINE
PINE4,05/02/2019,2.46,2.52,2.42,2.45,PINE
PINE4,06/02/2019,2.39,2.50,2.37,2.48,PINE
PINE4,07/02/2019,2.52,2.52,2.34,2.35,PINE
PINE4,08/02/2019,2.34,2.50,2.34,2.42,PINE
PINE4,11/02/2019,2.40,2.45,2.37,2.40,PINE
PINE4,12/02/2019,2.41,2.44,2.39,2.39,PINE
PINE4,13/02/2019,2.42,2.50,2.42,2.45,PINE
PINE4,14/02/2019,2.50,2.74,2.40,2.65,PINE
PINE4,15/02/2019,2.65,3.20,2.65,3.05,PINE
