Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PMAM3,02/01/2019,1.40,1.42,1.38,1.41,PARANAPANEMA
PMAM3,03/01/2019,1.40,1.43,1.38,1.39,PARANAPANEMA
PMAM3,04/01/2019,1.40,1.44,1.38,1.39,PARANAPANEMA
PMAM3,07/01/2019,1.40,1.44,1.39,1.41,PARANAPANEMA
PMAM3,08/01/2019,1.41,1.42,1.38,1.40,PARANAPANEMA
PMAM3,09/01/2019,1.40,1.41,1.37,1.40,PARANAPANEMA
PMAM3,10/01/2019,1.40,1.40,1.38,1.38,PARANAPANEMA
PMAM3,11/01/2019,1.39,1.39,1.37,1.38,PARANAPANEMA
PMAM3,14/01/2019,1.38,1.40,1.37,1.39,PARANAPANEMA
PMAM3,15/01/2019,1.39,1.40,1.38,1.40,PARANAPANEMA
PMAM3,16/01/2019,1.40,1.40,1.37,1.40,PARANAPANEMA
PMAM3,17/01/2019,1.40,1.40,1.38,1.38,PARANAPANEMA
PMAM3,18/01/2019,1.39,1.43,1.38,1.41,PARANAPANEMA
PMAM3,21/01/2019,1.41,1.42,1.38,1.39,PARANAPANEMA
PMAM3,22/01/2019,1.40,1.41,1.36,1.36,PARANAPANEMA
PMAM3,23/01/2019,1.38,1.39,1.36,1.38,PARANAPANEMA
PMAM3,24/01/2019,1.38,1.38,1.36,1.36,PARANAPANEMA
PMAM3,28/01/2019,1.36,1.37,1.34,1.35,PARANAPANEMA
PMAM3,29/01/2019,1.35,1.38,1.35,1.36,PARANAPANEMA
PMAM3,30/01/2019,1.37,1.38,1.35,1.35,PARANAPANEMA
PMAM3,31/01/2019,1.35,1.38,1.35,1.38,PARANAPANEMA
PMAM3,01/02/2019,1.38,1.39,1.37,1.38,PARANAPANEMA
PMAM3,04/02/2019,1.38,1.41,1.36,1.37,PARANAPANEMA
PMAM3,05/02/2019,1.39,1.39,1.37,1.37,PARANAPANEMA
PMAM3,06/02/2019,1.37,1.38,1.36,1.36,PARANAPANEMA
PMAM3,07/02/2019,1.36,1.40,1.36,1.40,PARANAPANEMA
PMAM3,08/02/2019,1.40,1.50,1.39,1.47,PARANAPANEMA
PMAM3,11/02/2019,1.48,1.53,1.45,1.46,PARANAPANEMA
PMAM3,12/02/2019,1.47,1.50,1.39,1.40,PARANAPANEMA
PMAM3,13/02/2019,1.40,1.48,1.38,1.44,PARANAPANEMA
PMAM3,14/02/2019,1.49,1.54,1.46,1.47,PARANAPANEMA
PMAM3,15/02/2019,1.47,1.47,1.40,1.42,PARANAPANEMA
PMAM3,18/02/2019,1.40,1.42,1.38,1.39,PARANAPANEMA
PMAM3,19/02/2019,1.40,1.41,1.38,1.38,PARANAPANEMA
PMAM3,20/02/2019,1.39,1.40,1.38,1.38,PARANAPANEMA
PMAM3,21/02/2019,1.40,1.40,1.35,1.36,PARANAPANEMA
PMAM3,22/02/2019,1.36,1.38,1.35,1.38,PARANAPANEMA
PMAM3,25/02/2019,1.38,1.40,1.37,1.37,PARANAPANEMA
PMAM3,26/02/2019,1.38,1.38,1.36,1.36,PARANAPANEMA
PMAM3,27/02/2019,1.37,1.38,1.34,1.38,PARANAPANEMA
PMAM3,28/02/2019,1.44,1.48,1.42,1.46,PARANAPANEMA
PMAM3,01/03/2019,1.46,1.46,1.40,1.44,PARANAPANEMA
PMAM3,06/03/2019,1.45,1.48,1.45,1.48,PARANAPANEMA
PMAM3,07/03/2019,1.47,1.48,1.46,1.48,PARANAPANEMA
PMAM3,08/03/2019,1.47,1.50,1.47,1.47,PARANAPANEMA
PMAM3,11/03/2019,1.49,1.51,1.48,1.49,PARANAPANEMA
PMAM3,12/03/2019,1.50,1.51,1.48,1.49,PARANAPANEMA
PMAM3,13/03/2019,1.49,1.50,1.46,1.46,PARANAPANEMA
PMAM3,14/03/2019,1.47,1.48,1.43,1.43,PARANAPANEMA
PMAM3,15/03/2019,1.44,1.45,1.43,1.45,PARANAPANEMA
PMAM3,18/03/2019,1.46,1.47,1.44,1.46,PARANAPANEMA
PMAM3,19/03/2019,1.46,1.50,1.46,1.49,PARANAPANEMA
PMAM3,20/03/2019,1.49,1.52,1.48,1.49,PARANAPANEMA
PMAM3,21/03/2019,1.49,1.50,1.45,1.48,PARANAPANEMA
PMAM3,22/03/2019,1.47,1.47,1.44,1.46,PARANAPANEMA
PMAM3,25/03/2019,1.46,1.48,1.45,1.45,PARANAPANEMA
PMAM3,26/03/2019,1.46,1.48,1.46,1.47,PARANAPANEMA
PMAM3,27/03/2019,1.46,1.47,1.42,1.43,PARANAPANEMA
PMAM3,28/03/2019,1.44,1.45,1.43,1.45,PARANAPANEMA
PMAM3,29/03/2019,1.46,1.48,1.45,1.46,PARANAPANEMA
PMAM3,01/04/2019,1.46,1.47,1.44,1.46,PARANAPANEMA
PMAM3,02/04/2019,1.46,1.47,1.43,1.44,PARANAPANEMA
PMAM3,03/04/2019,1.44,1.45,1.42,1.42,PARANAPANEMA
PMAM3,04/04/2019,1.42,1.44,1.37,1.40,PARANAPANEMA
PMAM3,05/04/2019,1.41,1.44,1.41,1.44,PARANAPANEMA
PMAM3,08/04/2019,1.44,1.44,1.42,1.42,PARANAPANEMA
PMAM3,09/04/2019,1.43,1.44,1.41,1.44,PARANAPANEMA
PMAM3,10/04/2019,1.44,1.44,1.41,1.42,PARANAPANEMA
PMAM3,11/04/2019,1.43,1.43,1.39,1.40,PARANAPANEMA
PMAM3,12/04/2019,1.40,1.41,1.38,1.38,PARANAPANEMA
PMAM3,15/04/2019,1.39,1.41,1.38,1.38,PARANAPANEMA
PMAM3,16/04/2019,1.40,1.49,1.39,1.48,PARANAPANEMA
PMAM3,17/04/2019,1.48,1.52,1.45,1.46,PARANAPANEMA
PMAM3,18/04/2019,1.48,1.49,1.44,1.46,PARANAPANEMA
PMAM3,22/04/2019,1.46,1.47,1.42,1.45,PARANAPANEMA
PMAM3,23/04/2019,1.46,1.47,1.43,1.45,PARANAPANEMA
PMAM3,24/04/2019,1.45,1.46,1.44,1.45,PARANAPANEMA
PMAM3,25/04/2019,1.45,1.49,1.44,1.49,PARANAPANEMA
PMAM3,26/04/2019,1.48,1.50,1.46,1.47,PARANAPANEMA
PMAM3,29/04/2019,1.48,1.48,1.40,1.44,PARANAPANEMA
PMAM3,30/04/2019,1.44,1.44,1.40,1.40,PARANAPANEMA
