Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
POMO4,02/01/2019,4.07,4.25,4.05,4.24,MARCOPOLO
POMO4,03/01/2019,4.24,4.35,4.20,4.25,MARCOPOLO
POMO4,04/01/2019,4.26,4.35,4.23,4.30,MARCOPOLO
POMO4,07/01/2019,4.30,4.39,4.20,4.29,MARCOPOLO
POMO4,08/01/2019,4.31,4.34,4.19,4.19,MARCOPOLO
POMO4,09/01/2019,4.22,4.29,4.19,4.23,MARCOPOLO
POMO4,10/01/2019,4.24,4.26,4.13,4.20,MARCOPOLO
POMO4,11/01/2019,4.21,4.23,4.04,4.09,MARCOPOLO
POMO4,14/01/2019,4.08,4.18,4.05,4.18,MARCOPOLO
POMO4,15/01/2019,4.19,4.25,4.18,4.18,MARCOPOLO
POMO4,16/01/2019,4.21,4.22,4.07,4.13,MARCOPOLO
POMO4,17/01/2019,4.14,4.21,4.11,4.17,MARCOPOLO
POMO4,18/01/2019,4.19,4.22,4.16,4.20,MARCOPOLO
POMO4,21/01/2019,4.21,4.22,4.09,4.10,MARCOPOLO
POMO4,22/01/2019,4.11,4.16,4.06,4.08,MARCOPOLO
POMO4,23/01/2019,4.10,4.19,4.10,4.15,MARCOPOLO
POMO4,24/01/2019,4.16,4.17,4.13,4.14,MARCOPOLO
POMO4,28/01/2019,4.14,4.15,4.10,4.15,MARCOPOLO
POMO4,29/01/2019,4.15,4.16,4.08,4.11,MARCOPOLO
POMO4,30/01/2019,4.13,4.15,4.09,4.10,MARCOPOLO
POMO4,31/01/2019,4.12,4.15,4.08,4.08,MARCOPOLO
POMO4,01/02/2019,4.09,4.10,4.01,4.05,MARCOPOLO
POMO4,04/02/2019,4.05,4.12,4.02,4.12,MARCOPOLO
POMO4,05/02/2019,4.11,4.19,4.09,4.10,MARCOPOLO
POMO4,06/02/2019,4.11,4.11,3.96,3.98,MARCOPOLO
POMO4,07/02/2019,4.00,4.03,3.91,3.92,MARCOPOLO
POMO4,08/02/2019,3.92,3.94,3.83,3.89,MARCOPOLO
POMO4,11/02/2019,3.90,3.94,3.81,3.84,MARCOPOLO
POMO4,12/02/2019,3.88,3.90,3.66,3.67,MARCOPOLO
POMO4,13/02/2019,3.70,3.82,3.68,3.80,MARCOPOLO
POMO4,14/02/2019,3.82,3.88,3.72,3.82,MARCOPOLO
POMO4,15/02/2019,3.82,3.86,3.80,3.82,MARCOPOLO
POMO4,18/02/2019,3.82,3.87,3.80,3.86,MARCOPOLO
POMO4,19/02/2019,3.88,3.94,3.84,3.93,MARCOPOLO
POMO4,20/02/2019,3.94,3.99,3.85,3.88,MARCOPOLO
POMO4,21/02/2019,3.89,3.91,3.77,3.89,MARCOPOLO
POMO4,22/02/2019,3.89,3.91,3.84,3.91,MARCOPOLO
POMO4,25/02/2019,3.90,3.94,3.88,3.94,MARCOPOLO
POMO4,26/02/2019,3.97,4.02,3.92,3.97,MARCOPOLO
POMO4,27/02/2019,3.98,4.00,3.94,3.98,MARCOPOLO
POMO4,28/02/2019,3.98,4.08,3.98,4.05,MARCOPOLO
POMO4,01/03/2019,4.04,4.15,4.03,4.15,MARCOPOLO
POMO4,06/03/2019,4.16,4.20,4.03,4.16,MARCOPOLO
POMO4,07/03/2019,4.17,4.18,4.05,4.05,MARCOPOLO
POMO4,08/03/2019,4.05,4.16,4.01,4.13,MARCOPOLO
POMO4,11/03/2019,4.14,4.24,4.13,4.20,MARCOPOLO
POMO4,12/03/2019,4.21,4.23,4.14,4.15,MARCOPOLO
POMO4,13/03/2019,4.15,4.16,4.08,4.08,MARCOPOLO
POMO4,14/03/2019,4.08,4.11,4.04,4.04,MARCOPOLO
POMO4,15/03/2019,4.06,4.08,4.04,4.08,MARCOPOLO
POMO4,18/03/2019,4.07,4.20,4.05,4.17,MARCOPOLO
POMO4,19/03/2019,4.19,4.20,4.11,4.11,MARCOPOLO
POMO4,20/03/2019,4.11,4.17,4.06,4.10,MARCOPOLO
POMO4,21/03/2019,4.10,4.10,3.96,3.97,MARCOPOLO
POMO4,22/03/2019,3.96,3.96,3.90,3.91,MARCOPOLO
POMO4,25/03/2019,3.89,3.95,3.86,3.89,MARCOPOLO
POMO4,26/03/2019,3.95,3.98,3.89,3.91,MARCOPOLO
POMO4,27/03/2019,3.90,3.90,3.78,3.82,MARCOPOLO
POMO4,28/03/2019,3.80,3.91,3.73,3.87,MARCOPOLO
POMO4,29/03/2019,3.90,3.94,3.88,3.90,MARCOPOLO
