Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
POSI3,02/01/2019,2.25,2.40,2.23,2.40,POSITIVO TEC
POSI3,03/01/2019,2.41,2.45,2.34,2.43,POSITIVO TEC
POSI3,04/01/2019,2.41,2.45,2.38,2.41,POSITIVO TEC
POSI3,07/01/2019,2.42,2.42,2.31,2.32,POSITIVO TEC
POSI3,08/01/2019,2.34,2.34,2.26,2.27,POSITIVO TEC
POSI3,09/01/2019,2.28,2.33,2.25,2.28,POSITIVO TEC
POSI3,10/01/2019,2.28,2.30,2.24,2.25,POSITIVO TEC
POSI3,11/01/2019,2.26,2.36,2.24,2.34,POSITIVO TEC
POSI3,14/01/2019,2.34,2.37,2.32,2.33,POSITIVO TEC
POSI3,15/01/2019,2.33,2.38,2.32,2.32,POSITIVO TEC
POSI3,16/01/2019,2.34,2.34,2.28,2.33,POSITIVO TEC
POSI3,17/01/2019,2.30,2.34,2.29,2.33,POSITIVO TEC
POSI3,18/01/2019,2.33,2.35,2.31,2.34,POSITIVO TEC
POSI3,21/01/2019,2.34,2.38,2.31,2.36,POSITIVO TEC
POSI3,22/01/2019,2.36,2.41,2.32,2.33,POSITIVO TEC
POSI3,23/01/2019,2.35,2.37,2.32,2.32,POSITIVO TEC
POSI3,24/01/2019,2.34,2.36,2.32,2.36,POSITIVO TEC
POSI3,28/01/2019,2.36,2.36,2.30,2.31,POSITIVO TEC
POSI3,29/01/2019,2.31,2.34,2.29,2.29,POSITIVO TEC
POSI3,30/01/2019,2.30,2.33,2.28,2.29,POSITIVO TEC
POSI3,31/01/2019,2.31,2.38,2.28,2.36,POSITIVO TEC
POSI3,01/02/2019,2.37,2.39,2.33,2.39,POSITIVO TEC
POSI3,04/02/2019,2.39,2.50,2.39,2.46,POSITIVO TEC
POSI3,05/02/2019,2.47,2.47,2.41,2.43,POSITIVO TEC
POSI3,06/02/2019,2.44,2.44,2.33,2.36,POSITIVO TEC
POSI3,07/02/2019,2.39,2.40,2.31,2.31,POSITIVO TEC
POSI3,08/02/2019,2.32,2.35,2.31,2.32,POSITIVO TEC
POSI3,11/02/2019,2.35,2.35,2.29,2.32,POSITIVO TEC
POSI3,12/02/2019,2.32,2.34,2.25,2.27,POSITIVO TEC
POSI3,13/02/2019,2.29,2.33,2.27,2.30,POSITIVO TEC
POSI3,14/02/2019,2.33,2.34,2.27,2.30,POSITIVO TEC
POSI3,15/02/2019,2.30,2.44,2.29,2.37,POSITIVO TEC
POSI3,18/02/2019,2.37,2.44,2.35,2.40,POSITIVO TEC
POSI3,19/02/2019,2.40,2.40,2.35,2.37,POSITIVO TEC
POSI3,20/02/2019,2.37,2.39,2.34,2.35,POSITIVO TEC
POSI3,21/02/2019,2.35,2.36,2.34,2.35,POSITIVO TEC
POSI3,22/02/2019,2.35,2.37,2.34,2.37,POSITIVO TEC
POSI3,25/02/2019,2.35,2.37,2.35,2.35,POSITIVO TEC
POSI3,26/02/2019,2.36,2.37,2.30,2.30,POSITIVO TEC
POSI3,27/02/2019,2.31,2.33,2.29,2.32,POSITIVO TEC
POSI3,28/02/2019,2.33,2.35,2.30,2.35,POSITIVO TEC
POSI3,01/03/2019,2.36,2.36,2.31,2.35,POSITIVO TEC
POSI3,06/03/2019,2.34,2.34,2.30,2.33,POSITIVO TEC
POSI3,07/03/2019,2.31,2.32,2.26,2.27,POSITIVO TEC
POSI3,08/03/2019,2.27,2.29,2.26,2.28,POSITIVO TEC
POSI3,11/03/2019,2.30,2.32,2.28,2.31,POSITIVO TEC
POSI3,12/03/2019,2.32,2.34,2.31,2.33,POSITIVO TEC
POSI3,13/03/2019,2.31,2.35,2.30,2.32,POSITIVO TEC
POSI3,14/03/2019,2.33,2.34,2.32,2.34,POSITIVO TEC
POSI3,15/03/2019,2.34,2.34,2.32,2.33,POSITIVO TEC
POSI3,18/03/2019,2.32,2.37,2.32,2.33,POSITIVO TEC
POSI3,19/03/2019,2.33,2.39,2.32,2.33,POSITIVO TEC
POSI3,20/03/2019,2.36,2.36,2.32,2.33,POSITIVO TEC
POSI3,21/03/2019,2.33,2.34,2.32,2.33,POSITIVO TEC
POSI3,22/03/2019,2.32,2.33,2.31,2.31,POSITIVO TEC
POSI3,25/03/2019,2.32,2.35,2.30,2.34,POSITIVO TEC
