Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PPLA11,02/01/2019,1.45,1.49,1.45,1.49,PPLA
PPLA11,03/01/2019,1.48,1.49,1.45,1.49,PPLA
PPLA11,04/01/2019,1.48,1.53,1.45,1.50,PPLA
PPLA11,07/01/2019,1.50,1.53,1.45,1.50,PPLA
PPLA11,08/01/2019,1.49,1.50,1.49,1.50,PPLA
PPLA11,09/01/2019,1.50,1.54,1.45,1.54,PPLA
PPLA11,10/01/2019,1.47,1.59,1.47,1.59,PPLA
PPLA11,11/01/2019,1.59,1.77,1.54,1.55,PPLA
PPLA11,14/01/2019,1.68,1.68,1.53,1.55,PPLA
PPLA11,15/01/2019,1.59,1.63,1.55,1.62,PPLA
PPLA11,16/01/2019,1.63,1.63,1.55,1.62,PPLA
PPLA11,17/01/2019,1.60,1.67,1.57,1.66,PPLA
PPLA11,18/01/2019,1.68,1.68,1.62,1.67,PPLA
PPLA11,21/01/2019,1.67,1.69,1.60,1.64,PPLA
PPLA11,22/01/2019,1.67,1.69,1.65,1.69,PPLA
PPLA11,23/01/2019,1.70,1.72,1.62,1.70,PPLA
PPLA11,24/01/2019,1.69,1.78,1.69,1.77,PPLA
PPLA11,28/01/2019,1.66,1.86,1.66,1.81,PPLA
PPLA11,29/01/2019,1.80,1.85,1.77,1.81,PPLA
PPLA11,30/01/2019,1.75,1.81,1.75,1.81,PPLA
PPLA11,31/01/2019,1.78,1.84,1.78,1.84,PPLA
PPLA11,01/02/2019,1.80,1.84,1.80,1.84,PPLA
PPLA11,04/02/2019,1.81,1.85,1.79,1.84,PPLA
PPLA11,05/02/2019,1.83,1.86,1.81,1.86,PPLA
PPLA11,06/02/2019,1.86,1.86,1.80,1.86,PPLA
PPLA11,07/02/2019,1.86,1.86,1.82,1.86,PPLA
PPLA11,08/02/2019,1.80,1.86,1.80,1.85,PPLA
PPLA11,11/02/2019,1.82,1.86,1.80,1.85,PPLA
PPLA11,12/02/2019,1.84,1.86,1.82,1.86,PPLA
PPLA11,13/02/2019,1.85,1.85,1.80,1.85,PPLA
PPLA11,14/02/2019,1.76,1.83,1.76,1.78,PPLA
PPLA11,15/02/2019,1.75,1.85,1.63,1.81,PPLA
PPLA11,18/02/2019,1.85,1.85,1.80,1.82,PPLA
PPLA11,19/02/2019,1.82,1.84,1.81,1.84,PPLA
PPLA11,20/02/2019,1.84,1.84,1.82,1.84,PPLA
PPLA11,21/02/2019,1.84,1.86,1.81,1.86,PPLA
PPLA11,22/02/2019,1.84,1.86,1.81,1.85,PPLA
PPLA11,25/02/2019,1.82,1.85,1.72,1.85,PPLA
PPLA11,26/02/2019,1.80,1.98,1.80,1.94,PPLA
PPLA11,27/02/2019,1.94,2.00,1.92,2.00,PPLA
PPLA11,28/02/2019,2.03,2.17,1.98,2.15,PPLA
PPLA11,01/03/2019,2.15,2.19,2.05,2.09,PPLA
PPLA11,06/03/2019,2.15,2.15,1.96,2.10,PPLA
PPLA11,07/03/2019,2.09,2.15,2.09,2.15,PPLA
PPLA11,08/03/2019,2.15,2.18,2.10,2.15,PPLA
PPLA11,11/03/2019,2.12,2.15,2.05,2.15,PPLA
PPLA11,12/03/2019,2.11,2.17,2.11,2.17,PPLA
PPLA11,13/03/2019,2.18,2.25,2.10,2.20,PPLA
PPLA11,14/03/2019,2.21,2.26,2.16,2.19,PPLA
PPLA11,15/03/2019,2.26,2.26,2.20,2.20,PPLA
PPLA11,18/03/2019,2.22,2.28,2.20,2.24,PPLA
PPLA11,19/03/2019,2.18,2.24,2.18,2.24,PPLA
PPLA11,20/03/2019,2.20,2.27,2.20,2.26,PPLA
PPLA11,21/03/2019,2.27,2.29,2.19,2.29,PPLA
PPLA11,22/03/2019,2.28,2.40,2.20,2.38,PPLA
PPLA11,25/03/2019,2.40,2.55,2.36,2.53,PPLA
PPLA11,26/03/2019,2.52,2.65,2.45,2.62,PPLA
PPLA11,27/03/2019,2.58,2.59,2.40,2.43,PPLA
PPLA11,28/03/2019,2.45,2.59,2.45,2.58,PPLA
PPLA11,29/03/2019,2.60,2.66,2.51,2.60,PPLA
PPLA11,01/04/2019,2.50,2.74,2.43,2.60,PPLA
PPLA11,02/04/2019,2.58,2.62,2.40,2.56,PPLA
PPLA11,03/04/2019,2.60,2.63,2.45,2.59,PPLA
PPLA11,04/04/2019,2.61,2.68,2.55,2.60,PPLA
PPLA11,05/04/2019,2.53,2.64,2.53,2.63,PPLA
PPLA11,08/04/2019,2.63,2.70,2.60,2.64,PPLA
PPLA11,09/04/2019,2.67,2.69,2.62,2.69,PPLA
