Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PRIO3,02/01/2019,98.00,103.89,97.11,103.56,PETRORIO
PRIO3,03/01/2019,104.46,104.46,102.30,103.79,PETRORIO
PRIO3,04/01/2019,104.00,105.78,104.00,104.66,PETRORIO
PRIO3,07/01/2019,106.00,107.41,104.40,104.57,PETRORIO
PRIO3,08/01/2019,107.42,107.42,104.56,107.07,PETRORIO
PRIO3,09/01/2019,107.40,109.99,107.40,108.35,PETRORIO
PRIO3,10/01/2019,109.00,110.60,106.90,108.96,PETRORIO
PRIO3,11/01/2019,109.97,110.30,108.42,110.29,PETRORIO
PRIO3,14/01/2019,109.80,111.50,108.45,109.49,PETRORIO
PRIO3,15/01/2019,109.49,111.49,109.23,110.00,PETRORIO
PRIO3,16/01/2019,110.96,111.34,107.26,109.80,PETRORIO
PRIO3,17/01/2019,108.51,111.19,105.00,110.03,PETRORIO
PRIO3,18/01/2019,110.50,111.80,109.39,111.80,PETRORIO
PRIO3,21/01/2019,112.00,116.71,112.00,116.71,PETRORIO
PRIO3,22/01/2019,116.50,117.49,112.00,114.39,PETRORIO
PRIO3,23/01/2019,115.99,115.99,113.02,113.89,PETRORIO
PRIO3,24/01/2019,113.76,115.16,111.26,111.76,PETRORIO
PRIO3,28/01/2019,111.75,113.69,106.89,107.30,PETRORIO
PRIO3,29/01/2019,109.29,109.90,107.19,108.69,PETRORIO
PRIO3,30/01/2019,110.00,124.31,110.00,118.00,PETRORIO
PRIO3,31/01/2019,119.99,120.00,113.50,115.00,PETRORIO
PRIO3,01/02/2019,117.00,117.84,110.97,112.00,PETRORIO
PRIO3,04/02/2019,113.50,114.30,109.18,110.63,PETRORIO
PRIO3,05/02/2019,111.53,111.55,108.02,109.22,PETRORIO
PRIO3,06/02/2019,111.48,118.99,111.47,115.98,PETRORIO
PRIO3,07/02/2019,115.52,117.55,112.00,113.20,PETRORIO
PRIO3,08/02/2019,113.90,115.65,111.65,112.05,PETRORIO
PRIO3,11/02/2019,113.98,117.50,112.17,116.00,PETRORIO
PRIO3,12/02/2019,116.98,117.43,114.10,115.89,PETRORIO
PRIO3,13/02/2019,117.20,126.20,117.20,126.20,PETRORIO
PRIO3,14/02/2019,126.75,142.00,125.00,134.96,PETRORIO
PRIO3,15/02/2019,135.70,141.00,132.87,135.00,PETRORIO
PRIO3,18/02/2019,135.06,137.40,131.10,134.90,PETRORIO
PRIO3,19/02/2019,135.36,138.00,135.36,135.63,PETRORIO
PRIO3,20/02/2019,137.69,140.60,134.25,138.00,PETRORIO
PRIO3,21/02/2019,140.00,143.60,138.21,138.65,PETRORIO
PRIO3,22/02/2019,139.50,145.87,136.75,142.61,PETRORIO
PRIO3,25/02/2019,143.55,145.98,140.70,142.90,PETRORIO
PRIO3,26/02/2019,142.90,143.00,139.10,141.80,PETRORIO
PRIO3,27/02/2019,141.98,153.27,140.50,152.44,PETRORIO
PRIO3,28/02/2019,155.00,156.99,148.20,150.98,PETRORIO
PRIO3,01/03/2019,152.20,168.00,150.61,168.00,PETRORIO
PRIO3,06/03/2019,17.50,17.76,16.60,17.03,PETRORIO
PRIO3,07/03/2019,17.19,18.40,16.90,18.12,PETRORIO
PRIO3,08/03/2019,18.10,18.10,17.44,17.50,PETRORIO
PRIO3,11/03/2019,17.67,18.80,17.58,18.21,PETRORIO
PRIO3,12/03/2019,18.15,19.41,17.50,17.60,PETRORIO
PRIO3,13/03/2019,17.87,18.30,17.11,17.85,PETRORIO
PRIO3,14/03/2019,18.11,18.59,17.92,18.56,PETRORIO
