Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PSSA3,02/01/2019,51.70,52.50,51.36,52.01,PORTO SEGURO
PSSA3,03/01/2019,51.46,51.87,49.90,50.36,PORTO SEGURO
PSSA3,04/01/2019,50.11,50.36,48.21,48.22,PORTO SEGURO
PSSA3,07/01/2019,48.25,49.27,48.12,49.19,PORTO SEGURO
PSSA3,08/01/2019,49.77,50.73,49.07,50.40,PORTO SEGURO
PSSA3,09/01/2019,50.79,51.46,49.76,50.20,PORTO SEGURO
PSSA3,10/01/2019,50.35,51.64,50.35,51.05,PORTO SEGURO
PSSA3,11/01/2019,51.05,54.02,50.50,53.81,PORTO SEGURO
PSSA3,14/01/2019,53.96,54.96,53.45,54.85,PORTO SEGURO
PSSA3,15/01/2019,54.59,54.80,54.07,54.10,PORTO SEGURO
PSSA3,16/01/2019,54.65,54.65,52.89,53.10,PORTO SEGURO
PSSA3,17/01/2019,53.05,53.75,52.25,53.05,PORTO SEGURO
PSSA3,18/01/2019,53.45,54.94,53.40,54.40,PORTO SEGURO
PSSA3,21/01/2019,54.40,55.75,54.09,54.09,PORTO SEGURO
PSSA3,22/01/2019,54.39,56.20,53.71,54.53,PORTO SEGURO
PSSA3,23/01/2019,54.61,55.84,54.11,54.77,PORTO SEGURO
PSSA3,24/01/2019,54.99,55.24,53.75,54.64,PORTO SEGURO
PSSA3,28/01/2019,54.49,55.24,53.78,54.63,PORTO SEGURO
PSSA3,29/01/2019,54.62,55.03,52.33,52.74,PORTO SEGURO
PSSA3,30/01/2019,52.90,55.24,52.90,55.00,PORTO SEGURO
PSSA3,31/01/2019,55.81,57.95,55.76,56.08,PORTO SEGURO
PSSA3,01/02/2019,56.05,58.19,55.45,56.57,PORTO SEGURO
PSSA3,04/02/2019,57.27,57.89,56.00,57.47,PORTO SEGURO
PSSA3,05/02/2019,57.59,59.02,57.34,58.19,PORTO SEGURO
PSSA3,06/02/2019,58.00,58.87,57.55,57.55,PORTO SEGURO
PSSA3,07/02/2019,57.66,59.12,57.58,57.87,PORTO SEGURO
PSSA3,08/02/2019,57.87,61.15,57.75,60.71,PORTO SEGURO
PSSA3,11/02/2019,61.00,61.90,59.13,60.13,PORTO SEGURO
PSSA3,12/02/2019,60.29,63.30,60.13,62.98,PORTO SEGURO
PSSA3,13/02/2019,63.05,63.47,60.00,60.45,PORTO SEGURO
PSSA3,14/02/2019,60.94,61.41,58.41,60.00,PORTO SEGURO
PSSA3,15/02/2019,60.22,60.23,58.79,59.04,PORTO SEGURO
PSSA3,18/02/2019,59.06,60.58,58.34,59.18,PORTO SEGURO
PSSA3,19/02/2019,59.63,59.83,58.80,59.23,PORTO SEGURO
PSSA3,20/02/2019,59.30,59.58,58.31,58.33,PORTO SEGURO
PSSA3,21/02/2019,58.40,59.27,56.86,58.40,PORTO SEGURO
PSSA3,22/02/2019,58.79,59.67,57.95,59.67,PORTO SEGURO
PSSA3,25/02/2019,59.48,60.10,58.50,59.00,PORTO SEGURO
PSSA3,26/02/2019,58.99,59.24,56.42,57.55,PORTO SEGURO
PSSA3,27/02/2019,57.85,57.85,55.87,57.29,PORTO SEGURO
PSSA3,28/02/2019,57.42,57.42,56.00,56.04,PORTO SEGURO
PSSA3,01/03/2019,56.60,56.75,55.11,55.69,PORTO SEGURO
PSSA3,06/03/2019,56.48,56.50,54.43,55.60,PORTO SEGURO
PSSA3,07/03/2019,55.89,56.03,54.56,54.63,PORTO SEGURO
PSSA3,08/03/2019,54.86,55.69,53.96,55.00,PORTO SEGURO
