Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PTBL3,02/01/2019,5.17,5.41,5.15,5.40,PORTOBELLO
PTBL3,03/01/2019,5.38,5.63,5.31,5.45,PORTOBELLO
PTBL3,04/01/2019,5.50,5.58,5.35,5.35,PORTOBELLO
PTBL3,07/01/2019,5.33,5.50,5.31,5.44,PORTOBELLO
PTBL3,08/01/2019,5.45,5.53,5.41,5.47,PORTOBELLO
PTBL3,09/01/2019,5.55,5.55,5.43,5.48,PORTOBELLO
PTBL3,10/01/2019,5.48,5.50,5.45,5.46,PORTOBELLO
PTBL3,11/01/2019,5.48,5.48,5.34,5.41,PORTOBELLO
PTBL3,14/01/2019,5.44,5.46,5.35,5.42,PORTOBELLO
PTBL3,15/01/2019,5.45,5.73,5.42,5.73,PORTOBELLO
PTBL3,16/01/2019,5.73,5.76,5.57,5.75,PORTOBELLO
PTBL3,17/01/2019,5.76,5.88,5.72,5.88,PORTOBELLO
PTBL3,18/01/2019,5.88,5.90,5.74,5.80,PORTOBELLO
PTBL3,21/01/2019,5.81,5.83,5.63,5.76,PORTOBELLO
PTBL3,22/01/2019,5.76,5.79,5.43,5.45,PORTOBELLO
PTBL3,23/01/2019,5.51,5.68,5.48,5.67,PORTOBELLO
PTBL3,24/01/2019,5.67,5.80,5.56,5.70,PORTOBELLO
PTBL3,28/01/2019,5.68,5.70,5.55,5.61,PORTOBELLO
PTBL3,29/01/2019,5.61,5.67,5.57,5.65,PORTOBELLO
PTBL3,30/01/2019,5.65,5.70,5.61,5.68,PORTOBELLO
PTBL3,31/01/2019,5.68,5.77,5.65,5.77,PORTOBELLO
PTBL3,01/02/2019,5.79,5.82,5.73,5.78,PORTOBELLO
PTBL3,04/02/2019,5.78,5.85,5.77,5.79,PORTOBELLO
PTBL3,05/02/2019,5.81,5.85,5.74,5.80,PORTOBELLO
PTBL3,06/02/2019,5.79,5.83,5.60,5.65,PORTOBELLO
PTBL3,07/02/2019,5.65,5.71,5.44,5.57,PORTOBELLO
PTBL3,08/02/2019,5.58,5.61,5.46,5.55,PORTOBELLO
PTBL3,11/02/2019,5.55,5.59,5.30,5.36,PORTOBELLO
PTBL3,12/02/2019,5.42,5.44,5.23,5.25,PORTOBELLO
PTBL3,13/02/2019,5.30,5.42,5.27,5.42,PORTOBELLO
PTBL3,14/02/2019,5.44,5.54,5.30,5.36,PORTOBELLO
PTBL3,15/02/2019,5.38,5.54,5.33,5.51,PORTOBELLO
PTBL3,18/02/2019,5.49,5.57,5.40,5.51,PORTOBELLO
PTBL3,19/02/2019,5.62,5.70,5.56,5.66,PORTOBELLO
PTBL3,20/02/2019,5.70,5.72,5.55,5.58,PORTOBELLO
PTBL3,21/02/2019,5.56,5.65,5.18,5.25,PORTOBELLO
PTBL3,22/02/2019,5.30,5.40,5.27,5.40,PORTOBELLO
PTBL3,25/02/2019,5.40,5.40,5.29,5.31,PORTOBELLO
PTBL3,26/02/2019,5.31,5.34,5.19,5.30,PORTOBELLO
PTBL3,27/02/2019,5.30,5.30,5.19,5.26,PORTOBELLO
PTBL3,28/02/2019,5.25,5.26,5.14,5.20,PORTOBELLO
PTBL3,01/03/2019,5.20,5.21,5.02,5.10,PORTOBELLO
PTBL3,06/03/2019,5.06,5.08,4.95,4.98,PORTOBELLO
PTBL3,07/03/2019,5.02,5.20,4.92,5.20,PORTOBELLO
PTBL3,08/03/2019,5.20,5.23,5.05,5.14,PORTOBELLO
PTBL3,11/03/2019,5.18,5.25,5.17,5.25,PORTOBELLO
PTBL3,12/03/2019,5.23,5.23,5.14,5.16,PORTOBELLO
PTBL3,13/03/2019,5.15,5.19,5.10,5.19,PORTOBELLO
PTBL3,14/03/2019,5.17,5.18,5.00,5.00,PORTOBELLO
PTBL3,15/03/2019,5.04,5.15,5.03,5.10,PORTOBELLO
PTBL3,18/03/2019,5.10,5.13,5.06,5.07,PORTOBELLO
PTBL3,19/03/2019,5.11,5.13,5.01,5.01,PORTOBELLO
PTBL3,20/03/2019,5.02,5.09,5.00,5.09,PORTOBELLO
PTBL3,21/03/2019,5.08,5.08,4.95,5.05,PORTOBELLO
PTBL3,22/03/2019,4.95,4.97,4.85,4.89,PORTOBELLO
PTBL3,25/03/2019,4.88,4.93,4.83,4.90,PORTOBELLO
PTBL3,26/03/2019,4.92,4.97,4.89,4.97,PORTOBELLO
PTBL3,27/03/2019,4.95,4.95,4.71,4.73,PORTOBELLO
PTBL3,28/03/2019,4.74,4.91,4.66,4.91,PORTOBELLO
PTBL3,29/03/2019,4.91,4.97,4.88,4.91,PORTOBELLO
PTBL3,01/04/2019,4.92,5.05,4.87,5.04,PORTOBELLO
PTBL3,02/04/2019,5.05,5.06,4.96,4.97,PORTOBELLO
PTBL3,03/04/2019,5.04,5.04,4.90,5.00,PORTOBELLO
PTBL3,04/04/2019,5.00,5.03,4.96,5.02,PORTOBELLO
PTBL3,05/04/2019,5.05,5.07,5.00,5.04,PORTOBELLO
PTBL3,08/04/2019,4.93,4.96,4.85,4.89,PORTOBELLO
PTBL3,09/04/2019,4.89,4.91,4.84,4.86,PORTOBELLO
PTBL3,10/04/2019,4.90,4.90,4.82,4.84,PORTOBELLO
PTBL3,11/04/2019,4.84,4.84,4.74,4.75,PORTOBELLO
PTBL3,12/04/2019,4.72,4.90,4.70,4.72,PORTOBELLO
PTBL3,15/04/2019,4.73,4.80,4.70,4.71,PORTOBELLO
PTBL3,16/04/2019,4.73,4.76,4.67,4.72,PORTOBELLO
PTBL3,17/04/2019,4.75,4.75,4.63,4.73,PORTOBELLO
PTBL3,18/04/2019,4.75,4.81,4.70,4.80,PORTOBELLO
PTBL3,22/04/2019,4.80,4.81,4.75,4.80,PORTOBELLO
PTBL3,23/04/2019,4.80,4.85,4.78,4.82,PORTOBELLO
PTBL3,24/04/2019,4.84,4.84,4.75,4.82,PORTOBELLO
PTBL3,25/04/2019,4.79,4.85,4.75,4.85,PORTOBELLO
PTBL3,26/04/2019,4.80,4.89,4.78,4.85,PORTOBELLO
PTBL3,29/04/2019,4.85,4.94,4.85,4.85,PORTOBELLO
PTBL3,30/04/2019,4.85,4.89,4.83,4.83,PORTOBELLO
PTBL3,02/05/2019,4.84,4.84,4.76,4.76,PORTOBELLO
PTBL3,03/05/2019,4.76,4.80,4.71,4.73,PORTOBELLO
PTBL3,06/05/2019,4.71,4.80,4.65,4.78,PORTOBELLO
PTBL3,07/05/2019,4.80,4.85,4.69,4.73,PORTOBELLO
PTBL3,08/05/2019,4.75,4.89,4.71,4.89,PORTOBELLO
PTBL3,09/05/2019,4.89,4.89,4.78,4.79,PORTOBELLO
PTBL3,10/05/2019,4.80,4.85,4.71,4.75,PORTOBELLO
PTBL3,13/05/2019,4.68,4.68,4.54,4.68,PORTOBELLO
PTBL3,14/05/2019,4.69,4.73,4.55,4.57,PORTOBELLO
PTBL3,15/05/2019,4.57,4.57,4.37,4.39,PORTOBELLO
PTBL3,16/05/2019,4.40,4.43,4.15,4.30,PORTOBELLO
PTBL3,17/05/2019,4.30,4.37,4.11,4.13,PORTOBELLO
PTBL3,20/05/2019,4.14,4.20,4.07,4.19,PORTOBELLO
PTBL3,21/05/2019,4.13,4.28,4.13,4.28,PORTOBELLO
PTBL3,22/05/2019,4.30,4.35,4.22,4.25,PORTOBELLO
PTBL3,23/05/2019,4.27,4.27,4.17,4.24,PORTOBELLO
PTBL3,24/05/2019,4.24,4.24,4.15,4.18,PORTOBELLO
PTBL3,27/05/2019,4.16,4.25,4.16,4.25,PORTOBELLO
PTBL3,28/05/2019,4.26,4.29,4.21,4.22,PORTOBELLO
PTBL3,29/05/2019,4.21,4.29,4.17,4.25,PORTOBELLO
PTBL3,30/05/2019,4.27,4.37,4.23,4.35,PORTOBELLO
PTBL3,31/05/2019,4.35,4.36,4.30,4.30,PORTOBELLO
PTBL3,03/06/2019,4.30,4.34,4.22,4.28,PORTOBELLO
PTBL3,04/06/2019,4.25,4.28,4.19,4.28,PORTOBELLO
PTBL3,05/06/2019,4.28,4.28,4.15,4.16,PORTOBELLO
PTBL3,06/06/2019,4.16,4.24,4.16,4.20,PORTOBELLO
PTBL3,07/06/2019,4.20,4.27,4.19,4.26,PORTOBELLO
PTBL3,10/06/2019,4.26,4.26,4.13,4.18,PORTOBELLO
PTBL3,11/06/2019,4.18,4.22,4.16,4.19,PORTOBELLO
PTBL3,12/06/2019,4.19,4.23,4.12,4.15,PORTOBELLO
PTBL3,13/06/2019,4.18,4.18,4.13,4.17,PORTOBELLO
PTBL3,14/06/2019,4.17,4.17,4.12,4.16,PORTOBELLO
PTBL3,17/06/2019,4.16,4.18,4.12,4.15,PORTOBELLO
PTBL3,18/06/2019,4.15,4.38,4.13,4.37,PORTOBELLO
PTBL3,19/06/2019,4.35,4.44,4.34,4.41,PORTOBELLO
PTBL3,21/06/2019,4.41,4.52,4.41,4.49,PORTOBELLO
