Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RADL3,02/01/2019,57.00,57.75,56.17,56.70,RAIADROGASIL
RADL3,03/01/2019,56.76,56.80,55.26,56.57,RAIADROGASIL
RADL3,04/01/2019,57.00,58.70,55.83,57.38,RAIADROGASIL
RADL3,07/01/2019,57.99,58.00,55.98,56.10,RAIADROGASIL
RADL3,08/01/2019,56.25,58.44,55.63,58.15,RAIADROGASIL
RADL3,09/01/2019,58.37,61.55,58.37,61.11,RAIADROGASIL
RADL3,10/01/2019,61.11,63.96,61.00,63.52,RAIADROGASIL
RADL3,11/01/2019,63.49,64.79,62.66,64.00,RAIADROGASIL
RADL3,14/01/2019,63.52,66.05,62.70,63.77,RAIADROGASIL
RADL3,15/01/2019,63.60,64.79,63.15,64.72,RAIADROGASIL
RADL3,16/01/2019,65.01,65.15,62.58,64.20,RAIADROGASIL
RADL3,17/01/2019,64.15,64.84,63.02,63.02,RAIADROGASIL
RADL3,18/01/2019,63.06,64.23,62.92,63.37,RAIADROGASIL
RADL3,21/01/2019,63.77,63.77,61.25,62.38,RAIADROGASIL
RADL3,22/01/2019,62.49,63.03,61.13,61.45,RAIADROGASIL
RADL3,23/01/2019,61.85,63.00,61.46,61.89,RAIADROGASIL
RADL3,24/01/2019,62.13,62.58,61.64,62.29,RAIADROGASIL
RADL3,28/01/2019,62.46,66.41,61.80,65.11,RAIADROGASIL
RADL3,29/01/2019,65.73,66.30,62.81,63.10,RAIADROGASIL
RADL3,30/01/2019,63.30,64.15,61.15,62.36,RAIADROGASIL
RADL3,31/01/2019,62.89,62.89,61.80,62.00,RAIADROGASIL
RADL3,01/02/2019,61.99,62.90,61.99,62.45,RAIADROGASIL
RADL3,04/02/2019,62.90,63.24,62.31,62.50,RAIADROGASIL
RADL3,05/02/2019,62.50,62.86,61.32,61.32,RAIADROGASIL
RADL3,06/02/2019,61.18,61.18,59.73,59.73,RAIADROGASIL
RADL3,07/02/2019,59.85,61.11,59.85,60.25,RAIADROGASIL
RADL3,08/02/2019,60.12,61.38,59.08,60.23,RAIADROGASIL
RADL3,11/02/2019,59.71,59.83,58.61,59.25,RAIADROGASIL
RADL3,12/02/2019,60.04,60.99,59.03,59.27,RAIADROGASIL
RADL3,13/02/2019,59.98,59.98,57.86,58.06,RAIADROGASIL
RADL3,14/02/2019,58.26,59.46,57.16,58.78,RAIADROGASIL
RADL3,15/02/2019,58.91,59.49,58.12,58.51,RAIADROGASIL
RADL3,18/02/2019,58.29,58.49,57.40,57.58,RAIADROGASIL
RADL3,19/02/2019,57.85,60.50,57.85,59.24,RAIADROGASIL
RADL3,20/02/2019,59.43,60.18,57.95,58.15,RAIADROGASIL
RADL3,21/02/2019,58.60,59.57,57.75,58.95,RAIADROGASIL
RADL3,22/02/2019,59.24,59.49,58.15,59.32,RAIADROGASIL
RADL3,25/02/2019,59.44,59.80,57.86,59.00,RAIADROGASIL
RADL3,26/02/2019,59.00,62.22,58.62,60.94,RAIADROGASIL
RADL3,27/02/2019,64.90,68.17,63.90,65.49,RAIADROGASIL
RADL3,28/02/2019,65.50,66.59,64.73,65.41,RAIADROGASIL
RADL3,01/03/2019,65.41,66.41,63.10,63.85,RAIADROGASIL
RADL3,06/03/2019,63.86,64.30,62.73,63.18,RAIADROGASIL
RADL3,07/03/2019,63.03,63.51,62.24,62.78,RAIADROGASIL
RADL3,08/03/2019,62.78,67.11,62.24,66.80,RAIADROGASIL
RADL3,11/03/2019,66.79,67.29,66.00,67.00,RAIADROGASIL
RADL3,12/03/2019,67.00,67.51,66.62,67.09,RAIADROGASIL
RADL3,13/03/2019,67.05,70.59,66.76,70.10,RAIADROGASIL
RADL3,14/03/2019,70.09,71.20,67.91,69.05,RAIADROGASIL
RADL3,15/03/2019,69.10,69.70,67.73,68.66,RAIADROGASIL
RADL3,18/03/2019,69.00,69.69,67.22,67.92,RAIADROGASIL
RADL3,19/03/2019,68.00,69.00,67.91,68.50,RAIADROGASIL
RADL3,20/03/2019,67.87,68.92,66.00,66.00,RAIADROGASIL
RADL3,21/03/2019,66.50,67.18,64.79,66.50,RAIADROGASIL
RADL3,22/03/2019,65.28,66.50,64.77,66.41,RAIADROGASIL
RADL3,25/03/2019,66.17,66.43,65.02,65.09,RAIADROGASIL
RADL3,26/03/2019,65.72,67.14,63.75,66.16,RAIADROGASIL
RADL3,27/03/2019,65.00,66.55,64.08,64.33,RAIADROGASIL
RADL3,28/03/2019,64.00,66.45,63.31,65.00,RAIADROGASIL
RADL3,29/03/2019,65.04,66.61,64.55,65.30,RAIADROGASIL
RADL3,01/04/2019,66.00,66.01,63.89,64.59,RAIADROGASIL
RADL3,02/04/2019,64.92,65.68,64.12,65.68,RAIADROGASIL
RADL3,03/04/2019,66.00,66.82,64.92,65.50,RAIADROGASIL
RADL3,04/04/2019,65.98,67.73,65.35,67.35,RAIADROGASIL
RADL3,05/04/2019,67.95,69.20,67.43,68.85,RAIADROGASIL
