Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RCSL4,02/01/2019,1.37,1.57,1.35,1.45,RECRUSUL
RCSL4,03/01/2019,1.53,1.69,1.51,1.58,RECRUSUL
RCSL4,04/01/2019,1.63,1.67,1.52,1.57,RECRUSUL
RCSL4,07/01/2019,1.60,1.80,1.59,1.65,RECRUSUL
RCSL4,08/01/2019,1.72,1.74,1.60,1.60,RECRUSUL
RCSL4,09/01/2019,1.64,1.66,1.60,1.63,RECRUSUL
RCSL4,10/01/2019,1.60,1.64,1.58,1.58,RECRUSUL
RCSL4,11/01/2019,1.59,1.65,1.59,1.61,RECRUSUL
RCSL4,14/01/2019,1.64,1.64,1.59,1.59,RECRUSUL
RCSL4,15/01/2019,1.61,1.65,1.58,1.58,RECRUSUL
RCSL4,16/01/2019,1.61,1.66,1.55,1.62,RECRUSUL
RCSL4,17/01/2019,1.63,1.64,1.57,1.61,RECRUSUL
RCSL4,18/01/2019,1.63,1.67,1.59,1.65,RECRUSUL
RCSL4,21/01/2019,1.71,1.77,1.63,1.66,RECRUSUL
RCSL4,22/01/2019,1.69,1.82,1.63,1.67,RECRUSUL
RCSL4,23/01/2019,1.71,1.76,1.68,1.69,RECRUSUL
RCSL4,24/01/2019,1.73,1.77,1.70,1.77,RECRUSUL
RCSL4,28/01/2019,1.77,1.81,1.63,1.63,RECRUSUL
RCSL4,29/01/2019,1.70,1.73,1.62,1.63,RECRUSUL
RCSL4,30/01/2019,1.66,1.73,1.64,1.70,RECRUSUL
RCSL4,31/01/2019,1.70,1.70,1.64,1.67,RECRUSUL
RCSL4,01/02/2019,1.64,1.85,1.64,1.72,RECRUSUL
RCSL4,04/02/2019,1.80,1.81,1.70,1.72,RECRUSUL
RCSL4,05/02/2019,1.75,1.77,1.66,1.68,RECRUSUL
RCSL4,06/02/2019,1.74,1.74,1.68,1.68,RECRUSUL
RCSL4,07/02/2019,1.73,1.74,1.68,1.69,RECRUSUL
RCSL4,08/02/2019,1.72,1.73,1.67,1.70,RECRUSUL
RCSL4,11/02/2019,1.73,1.73,1.56,1.66,RECRUSUL
RCSL4,12/02/2019,1.67,1.69,1.65,1.67,RECRUSUL
RCSL4,13/02/2019,1.71,1.76,1.67,1.67,RECRUSUL
RCSL4,14/02/2019,1.71,1.71,1.63,1.67,RECRUSUL
RCSL4,15/02/2019,1.69,1.69,1.63,1.63,RECRUSUL
RCSL4,18/02/2019,1.68,1.68,1.59,1.65,RECRUSUL
RCSL4,19/02/2019,1.67,1.69,1.63,1.67,RECRUSUL
RCSL4,20/02/2019,1.67,1.69,1.62,1.62,RECRUSUL
RCSL4,21/02/2019,1.65,1.66,1.62,1.62,RECRUSUL
RCSL4,22/02/2019,1.65,1.65,1.55,1.57,RECRUSUL
RCSL4,25/02/2019,1.62,1.72,1.61,1.62,RECRUSUL
RCSL4,26/02/2019,1.66,1.68,1.61,1.63,RECRUSUL
RCSL4,27/02/2019,1.67,1.67,1.61,1.62,RECRUSUL
RCSL4,28/02/2019,1.65,1.65,1.57,1.58,RECRUSUL
RCSL4,01/03/2019,1.61,1.62,1.56,1.57,RECRUSUL
RCSL4,06/03/2019,1.59,1.63,1.56,1.59,RECRUSUL
RCSL4,07/03/2019,1.61,1.63,1.57,1.62,RECRUSUL
RCSL4,08/03/2019,1.62,1.64,1.57,1.60,RECRUSUL
RCSL4,11/03/2019,1.63,1.64,1.60,1.60,RECRUSUL
RCSL4,12/03/2019,1.63,1.63,1.57,1.60,RECRUSUL
RCSL4,13/03/2019,1.60,1.63,1.57,1.60,RECRUSUL
RCSL4,14/03/2019,1.60,1.61,1.57,1.60,RECRUSUL
RCSL4,15/03/2019,1.60,1.60,1.56,1.58,RECRUSUL
RCSL4,18/03/2019,1.59,1.60,1.58,1.58,RECRUSUL
RCSL4,19/03/2019,1.60,1.69,1.60,1.60,RECRUSUL
RCSL4,20/03/2019,1.65,1.66,1.57,1.59,RECRUSUL
